NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county
"Dickey County, North Dakota",0500000US38021,5319,42.7,5196,29,0,0,0,44,2642,2156,1578,578,1038,17,15,43,64,205,694,65200,15,4966,449,24105,56,41776,3110,2172,16,2908,2801,2448,616,38,021
"Divide County, North Dakota",0500000US38023,2058,51.9,2026,0,16,16,0,0,1412,1023,841,182,272,6,12,6,44,43,161,59500,0,2006,210,29512,35,47545,1581,339,37,1177,1144,1112,276,38,023
"Dunn County, North Dakota",0500000US38025,3535,44.0,3010,11,315,29,0,33,2107,1359,1155,204,487,17,9,11,61,9,380,81000,17,3462,301,28816,53,52861,2799,622,6,2120,1983,1875,356,38,025
"Eddy County, North Dakota",0500000US38027,2426,47.4,2329,5,68,0,0,14,1265,997,784,213,358,16,3,11,33,78,217,50700,0,2322,370,21865,14,40096,1983,416,11,1281,1248,1180,267,38,027
"Emmons County, North Dakota",0500000US38029,3578,50.3,3557,0,8,0,0,6,2086,1618,1345,273,489,49,0,49,44,103,244,64400,35,3509,496,22699,25,36903,3107,461,0,1825,1723,1694,324,38,029
"Foster County, North Dakota",0500000US38031,3389,46.3,3382,1,0,1,0,0,1867,1506,1149,357,495,14,2,27,44,38,370,77100,0,3295,260,34606,65,47500,2844,498,0,1876,1813,1647,423,38,031
"Golden Valley County, North Dakota",0500000US38033,1576,45.5,1528,1,29,0,0,0,963,733,566,167,269,6,14,2,7,87,153,59600,12,1489,166,26109,9,35402,1073,495,5,863,852,793,203,38,033
"Grand Forks County, North Dakota",0500000US38035,66662,29.3,60497,1447,1931,1186,11,414,29215,26760,14603,12157,24933,66,27,424,1165,2555,20696,143700,33,62389,10422,25807,767,46050,38485,25130,744,46542,43833,31432,11284,38,035
"Grant County, North Dakota",0500000US38037,2458,50.3,2357,2,46,24,0,0,1705,1175,932,243,428,20,6,38,45,49,270,61700,33,2380,295,28219,28,41821,2049,376,22,1378,1305,1234,217,38,037
"Griggs County, North Dakota",0500000US38039,2408,51.7,2391,0,7,4,0,0,1486,1086,847,239,441,14,13,12,53,49,300,65700,10,2348,227,24838,10,43000,1979,417,8,1316,1301,1251,261,38,039
"Hettinger County, North Dakota",0500000US38041,2495,49.8,2431,19,26,0,0,2,1363,1073,886,187,351,19,3,12,33,30,254,61600,6,2408,259,24717,34,41179,1993,472,9,1372,1327,1232,267,38,041
"Kidder County, North Dakota",0500000US38043,2499,49.4,2432,0,3,0,0,38,1669,1152,890,262,503,22,14,6,86,55,320,61000,6,2468,398,24765,27,37105,1901,535,9,1404,1316,1248,256,38,043
"LaMoure County, North Dakota",0500000US38045,4184,48.6,4147,12,8,0,0,3,2242,1923,1589,334,578,43,13,0,23,210,289,70500,12,4101,363,28230,35,49922,3381,780,15,2259,2159,2051,512,38,045
"Logan County, North Dakota",0500000US38047,1996,50.5,1995,1,0,0,0,0,1085,848,716,132,229,15,6,14,66,40,88,55300,0,1949,224,24022,16,42069,1595,393,5,980,894,909,171,38,047
"McHenry County, North Dakota",0500000US38049,5400,45.6,5281,2,34,24,4,3,2939,2515,1945,570,1019,53,23,54,65,264,560,68800,9,5344,706,24398,43,41989,4358,952,18,3101,2998,2811,465,38,049
"McIntosh County, North Dakota",0500000US38051,2857,53.3,2827,3,5,3,0,0,1919,1301,1124,177,361,44,12,9,29,52,215,49700,3,2716,364,23068,21,35757,2193,631,9,1387,1172,1258,316,38,051
"McKenzie County, North Dakota",0500000US38053,6262,38.0,4761,0,1313,69,0,33,3069,2566,1775,791,1882,7,55,70,295,270,1185,88400,12,6158,739,29890,106,53902,4505,1661,38,3730,3519,3198,713,38,053
"McLean County, North Dakota",0500000US38055,8923,49.3,8208,13,634,11,0,3,5563,3904,3030,874,1771,24,38,119,199,256,1135,98900,19,8726,867,27945,72,52996,7178,1614,52,5244,5068,4772,951,38,055
"Mercer County, North Dakota",0500000US38057,8382,46.2,7995,62,213,27,0,0,4441,3662,2908,754,1208,5,18,32,111,316,726,109300,12,8277,717,30387,67,62578,6462,1848,23,5234,5003,4778,1067,38,057
"Morton County, North Dakota",0500000US38059,27076,40.5,25467,91,1005,83,0,161,11972,10918,8536,2382,4157,37,48,88,458,630,2896,120400,9,26582,1977,27347,264,55196,21487,5331,34,16721,15818,14579,3835,38,059
"Mountrail County, North Dakota",0500000US38061,7482,37.3,4852,47,2203,5,0,13,4041,2885,2128,757,2028,26,15,47,292,547,1101,75400,4,7327,1080,28998,124,56593,6143,1264,30,4672,4449,3892,834,38,061
