NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county
"Autauga County, Alabama",0500000US01001,53944,36.4,42577,9755,114,385,0,278,21859,19998,15548,4450,12272,94,54,125,698,1932,9369,137500,43,53591,5830,25035,353,53899,36190,15859,822,32949,31599,28294,6691,01,001
"Baldwin County, Alabama",0500000US01003,179523,41.4,155068,16936,1119,1207,2,2738,102978,70757,53939,16818,42009,124,170,203,1626,5340,34546,175700,751,177223,22095,27217,2514,51321,97885,73481,1426,107919,101433,94440,26687,01,003
"Barbour County, Alabama",0500000US01005,27546,38.3,13576,12632,92,147,0,508,11903,9589,6371,3218,8209,82,47,410,739,1934,4997,91600,75,24610,6083,15899,41,34041,18897,7715,101,17487,16554,14998,2022,01,005
"Bibb County, Alabama",0500000US01007,22746,39.1,17437,5153,77,12,0,11,8933,7225,5998,1227,4030,172,16,43,798,1000,2001,87500,10,22057,3453,18462,37,40506,19500,2920,35,14513,14242,12421,1284,01,007
"Blount County, Alabama",0500000US01009,57140,38.8,54446,806,342,48,0,762,23728,20954,16747,4207,11114,90,60,100,699,2426,7739,111500,45,56703,7773,21185,290,45404,45434,8952,164,34829,32249,30222,3610,01,009
"Bullock County, Alabama",0500000US01011,10877,41.2,3115,7619,18,0,18,0,4520,3760,2994,766,2309,10,192,19,380,249,1459,68000,46,10465,2720,20678,145,31955,9229,1117,37,7046,6617,6090,906,01,011
"Butler County, Alabama",0500000US01013,20860,40.0,11428,9091,30,164,0,1,9987,8090,5749,2341,6061,75,9,157,585,1608,3627,74300,4,20565,5288,17091,52,31273,17670,2949,24,12373,12160,10645,1463,01,013
"Calhoun County, Alabama",0500000US01015,117614,38.4,88450,24103,330,762,82,1767,53208,45923,32171,13752,33717,403,331,472,2942,6090,23479,99600,116,114792,23432,20903,748,39467,84979,28634,1311,73886,70334,61319,10268,01,015
"Chambers County, Alabama",0500000US01017,34375,40.6,20299,13490,14,149,17,48,16892,13562,9677,3885,9725,305,201,122,1125,1586,6386,82400,19,33918,7108,17705,111,32186,25222,8613,146,20821,20370,18062,2097,01,017
"Cherokee County, Alabama",0500000US01019,25819,44.2,23948,1283,181,57,3,92,16116,11508,8721,2787,6145,58,150,12,640,1061,4224,96200,36,25325,5263,21673,196,37833,14783,10645,174,15804,15533,13973,1671,01,019
"Chilton County, Alabama",0500000US01021,43444,37.3,37978,4169,253,103,0,404,19231,16277,12259,4018,10495,76,109,309,850,1925,7226,104300,24,42980,7471,20826,253,40418,35216,6189,137,26655,24689,22920,3096,01,021
"Choctaw County, Alabama",0500000US01023,13953,43.6,7738,6011,0,45,0,5,7324,5165,4382,783,2037,11,97,182,225,321,1201,61400,13,13793,2826,18201,91,32188,8474,5345,73,8266,8125,7209,787,01,023
"Clarke County, Alabama",0500000US01025,26046,39.7,14327,10872,492,107,0,48,12648,9114,7027,2087,5850,285,60,756,671,1465,2613,79900,35,25810,7027,18471,175,29668,22205,3604,101,15369,15128,13130,1664,01,025
"Clay County, Alabama",0500000US01027,14010,41.7,11431,2213,21,0,0,157,6779,5837,4462,1375,2919,85,121,83,282,808,1540,83400,39,13677,2563,18284,12,35410,11204,2464,32,8354,8045,7333,742,01,027
"Cleburne County, Alabama",0500000US01029,14881,40.6,14077,552,38,2,0,17,6704,5521,4333,1188,3072,0,112,96,226,501,2137,88200,12,14720,2469,18881,61,38785,8404,6257,35,8955,8798,7822,880,01,029
"Coffee County, Alabama",0500000US01031,49221,37.7,38158,8565,441,548,0,321,22149,18799,13268,5531,13790,170,64,202,952,2047,10355,121800,56,48381,8578,22953,317,42065,29945,15922,1039,30146,27843,25732,5932,01,031
"Colbert County, Alabama",0500000US01033,54478,41.7,44084,8785,326,208,0,318,25697,22322,16231,6091,14496,234,337,335,1639,2726,9225,97300,132,53853,8877,21693,399,40247,42133,11239,193,32966,32145,28577,5287,01,033
"Conecuh County, Alabama",0500000US01035,13286,43.1,6874,5903,135,0,0,0,7099,4712,3739,973,2872,77,0,58,456,745,1536,76700,3,13211,3693,16673,58,27977,10784,2458,18,7813,7764,6457,855,01,035
"Coosa County, Alabama",0500000US01037,11303,43.7,7604,3598,0,0,0,10,6469,4667,3950,717,1791,134,41,38,324,189,1065,79200,0,10938,2056,19966,24,37191,9485,1437,161,7149,6909,6314,509,01,037
"Covington County, Alabama",0500000US01039,37736,42.1,31981,4735,240,128,0,249,18821,14742,10906,3836,10056,231,266,223,915,1304,7117,86100,47,37150,8013,20246,261,33544,29139,7954,139,22236,21706,19228,2725,01,039
"Crenshaw County, Alabama",0500000US01041,13938,39.7,10177,3131,101,180,0,0,6758,5650,3903,1747,3975,117,89,120,459,418,2772,75400,41,13759,2329,21993,118,38041,11325,2285,49,8406,8130,7277,906,01,041
"Cullman County, Alabama",0500000US01043,80246,39.9,76905,817,505,371,32,503,36994,31364,23618,7746,18794,409,96,395,1001,3105,13788,102300,126,79160,13914,20621,394,38703,60402,17528,160,48849,46471,42034,6398,01,043
"Dale County, Alabama",0500000US01045,49920,36.0,37367,9884,137,683,58,436,22645,19454,11916,7538,19071,81,89,293,1232,2531,14845,96800,120,48117,7466,22326,232,45491,27280,19347,1349,30847,28619,26066,4859,01,045
"Dallas County, Alabama",0500000US01047,43868,36.9,12981,30207,42,155,0,200,20268,16913,10406,6507,17231,280,419,635,1685,2978,11234,70200,19,43384,15053,17259,173,26909,38405,4934,171,26056,25670,21950,2946,01,047
"DeKalb County, Alabama",0500000US01049,70608,37.3,64659,1180,1044,213,5,2092,30942,26196,20422,5774,15394,82,160,326,1271,1315,12240,87400,120,69853,13830,18788,390,36853,47111,17987,363,42541,37814,36875,4078,01,049
"Elmore County, Alabama",0500000US01051,78641,37.6,59687,15757,317,426,0,1235,32293,28085,21601,6484,15756,155,250,423,424,2535,11969,143200,165,72501,8987,23828,626,54831,56812,19446,664,50693,48601,43354,9452,01,051
"Escambia County, Alabama",0500000US01053,38081,38.6,23975,12088,1423,141,14,149,16529,13860,9982,3878,9667,161,65,188,700,2096,6457,84500,23,35268,8363,16509,72,31638,27001,10493,182,23609,23251,20424,2633,01,053
"Etowah County, Alabama",0500000US01055,104216,39.9,85609,15687,346,663,84,362,47440,41160,30163,10997,25944,431,113,678,1498,3902,19322,102000,110,102313,18400,20818,526,37772,82602,18778,577,63747,61506,54889,9126,01,055
"Fayette County, Alabama",0500000US01057,17361,42.7,15051,1923,36,71,0,0,8457,7240,5337,1903,4270,61,43,151,191,762,3062,72200,21,17053,3362,18336,36,33378,14427,2733,95,10374,10194,8968,1102,01,057
"Franklin County, Alabama",0500000US01059,31532,38.5,27803,1344,160,44,0,1858,14032,12376,8527,3849,9255,133,30,143,804,1512,6633,81400,48,31098,6253,18715,197,35831,22431,6562,30,19010,16522,16306,1931,01,059
"Geneva County, Alabama",0500000US01061,26646,41.8,23305,2560,56,26,0,287,12668,10892,7758,3134,8056,123,64,58,384,1723,5704,82000,41,26276,5022,20120,101,35237,19078,6837,222,16038,15417,13835,1580,01,061
"Greene County, Alabama",0500000US01063,9170,41.5,1644,7489,22,0,0,0,5020,3357,2396,961,2179,0,68,61,521,618,911,77100,2,9130,2897,15210,50,23004,8186,984,0,5445,5438,4457,412,01,063
"Hale County, Alabama",0500000US01065,15972,39.5,6379,9436,30,58,0,0,7694,5858,4443,1415,3785,74,100,234,719,500,2158,73500,13,15688,4058,16480,28,29236,13769,1979,76,9589,9366,8171,872,01,065
"Henry County, Alabama",0500000US01067,17240,42.5,11835,4847,0,399,0,90,8842,6783,5471,1312,2999,66,60,127,125,599,2022,95100,71,17012,2586,20079,27,39948,12396,4346,33,10346,9884,8903,1449,01,067
"Houston County, Alabama",0500000US01069,100310,38.2,70453,25519,388,815,20,1390,45051,38500,25699,12801,33585,206,170,578,2102,5006,25523,120500,124,98975,16940,23152,880,41766,67303,29845,914,61359,58516,53025,10901,01,069
"Jackson County, Alabama",0500000US01071,53357,41.5,49037,1829,853,202,16,223,24794,21629,16477,5152,11546,210,352,312,1483,1681,7508,88900,110,52725,9039,19770,162,36383,35824,16426,191,32693,31645,28602,4219,01,071
"Jefferson County, Alabama",0500000US01073,657486,37.0,354221,276023,1293,9362,113,11507,300366,259394,171152,88242,207843,1326,1774,4429,12585,29643,158086,141700,2087,643346,104174,26962,9576,45750,497720,128525,3612,416215,388779,351958,110278,01,073
"Lamar County, Alabama",0500000US01075,14644,42.6,12744,1762,4,3,0,9,7379,6016,4414,1602,3450,188,43,154,421,618,2026,70000,16,14447,2760,20865,106,34711,9520,5073,9,8723,8679,7643,825,01,075
"Lauderdale County, Alabama",0500000US01077,92269,40.3,80551,9379,354,681,0,374,43581,38315,27330,10985,22929,329,180,544,1309,3347,17220,108100,198,90292,15695,22692,757,39702,64974,25144,353,57009,55174,47037,10851,01,077
"Lawrence County, Alabama",0500000US01079,34250,40.4,26656,3860,1883,64,0,195,15253,13531,10653,2878,6865,212,130,178,806,1125,4414,95000,36,34010,4893,19676,54,40009,27769,5963,80,21437,20903,18480,2549,01,079
"Lee County, Alabama",0500000US01081,137855,28.9,99714,31610,527,3640,140,545,61661,55176,34845,20331,45214,135,390,223,1327,5016,38123,144100,233,132434,26212,23015,1159,42320,72884,56603,1744,94616,87781,65096,21147,01,081
"Limestone County, Alabama",0500000US01083,80966,38.7,66848,10591,482,858,4,1201,34329,30821,23781,7040,16432,230,239,388,1569,2321,11685,128700,119,76910,10641,24157,677,47199,54881,22222,797,51718,48475,45262,10095,01,083
"Lowndes County, Alabama",0500000US01085,11538,40.2,2942,8520,28,0,0,31,5198,4215,3129,1086,3278,0,76,237,778,330,1857,64900,19,11465,3128,17671,95,27905,10163,1343,7,7008,6948,5871,830,01,085
"Macon County, Alabama",0500000US01087,21489,35.8,3341,17754,75,0,0,8,10310,8031,5454,2577,5693,52,117,117,858,1150,3399,77900,15,19090,5100,16763,94,29355,16256,4904,186,14052,13420,9924,2009,01,087
"Madison County, Alabama",0500000US01089,329299,37.1,229229,77988,2005,7943,300,2656,144339,128869,90358,38511,86829,583,574,1282,4079,12413,67898,160400,629,321740,39793,30708,6162,57453,178359,127664,5725,210797,194224,176992,69129,01,089
"Marengo County, Alabama",0500000US01091,21130,40.2,9698,11266,3,1,0,6,10250,8359,6138,2221,5181,72,89,413,619,971,3017,88500,27,20867,4341,19075,91,35165,17615,3390,95,12417,12344,10624,2084,01,091
"Marion County, Alabama",0500000US01093,30771,42.0,28735,1177,65,75,0,352,14745,12806,9641,3165,6976,67,72,128,634,870,5205,75900,0,29746,6040,18358,185,31799,22708,7561,171,18439,17981,16141,1543,01,093
"Marshall County, Alabama",0500000US01095,92052,38.2,85960,1581,637,477,50,1981,40150,34587,24987,9600,26237,189,175,206,2318,4252,19097,107000,141,90993,17887,20590,775,38563,61739,22144,660,55423,48548,47506,7662,01,095
"Mobile County, Alabama",0500000US01097,410520,36.4,250378,141914,3043,7519,26,2341,177126,155638,105725,49913,122292,1455,1231,2365,7630,20930,88681,124100,857,402006,77088,22306,3603,42187,299090,95758,2315,254260,240439,213411,45018,01,097
"Monroe County, Alabama",0500000US01099,23159,40.0,12829,9465,304,89,0,149,11381,8943,6666,2277,5735,22,243,143,689,1163,3475,77900,37,22943,6167,17408,50,29849,19226,3573,68,13742,13426,11769,1234,01,099
"Montgomery County, Alabama",0500000US01101,228939,34.6,95015,124127,954,4531,47,1616,101461,88091,55559,32532,81864,534,848,1121,5219,11812,62330,124000,384,219780,43269,24991,2788,44587,163893,52692,2999,145119,136290,118827,38571,01,101
"Morgan County, Alabama",0500000US01103,118521,38.6,97473,14009,1212,823,92,2834,51026,46129,33279,12850,31484,178,244,551,1640,5297,23574,117300,233,117031,17393,23552,801,45564,80670,30888,767,73468,67675,63524,12907,01,103
"Perry County, Alabama",0500000US01105,10620,37.1,3181,7286,0,31,0,6,4795,3690,2348,1342,3399,156,73,83,544,520,2023,62200,6,9949,2531,14283,32,27222,9229,1291,26,6256,6176,5102,652,01,105
"Pickens County, Alabama",0500000US01107,19765,40.8,11277,8306,14,5,0,3,9496,7852,5675,2177,4904,199,140,109,599,818,3039,81200,3,19478,5389,16310,0,29096,15835,3834,18,11682,11430,10014,1176,01,107
"Pike County, Alabama",0500000US01109,32471,31.6,19072,11773,274,613,0,79,15173,12967,7317,5650,12666,152,204,385,800,1697,9428,102800,16,30549,8273,19335,184,31179,24411,6649,261,21596,20226,14781,3718,01,109
"Randolph County, Alabama",0500000US01111,22838,40.3,17581,4833,95,12,0,104,11877,8949,6630,2319,5263,47,176,85,776,429,3750,91200,83,22190,5226,20147,99,35823,14124,8190,92,13653,12951,11581,1500,01,111
"Russell County, Alabama",0500000US01113,52490,36.4,28495,21823,38,226,88,326,24470,20453,12919,7534,18985,314,424,648,1203,1886,14510,96200,66,51768,10964,18233,63,33754,19784,30852,1032,32387,31044,27427,3626,01,113
"St. Clair County, Alabama",0500000US01115,82363,38.2,73362,7236,433,488,14,158,35105,30588,24869,5719,15274,54,4,248,780,2260,11928,129700,86,80019,10719,22974,599,49200,64237,15944,583,52104,50706,45477,7215,01,115
"Shelby County, Alabama",0500000US01117,191705,36.8,161026,20165,551,3772,0,4175,80068,72694,57983,14711,34719,148,236,654,1281,3509,28891,198900,744,189420,13692,34226,4531,68883,120065,58721,1650,122675,112745,107850,45985,01,117
"Sumter County, Alabama",0500000US01119,13758,36.3,3397,10145,16,2,0,53,6801,5036,3403,1633,4316,194,44,80,674,781,2543,75300,0,13476,5125,14122,23,21964,9880,3821,16,8545,8501,6450,987,01,119
"Talladega County, Alabama",0500000US01121,82265,39.2,53876,26405,270,380,0,631,36909,31597,22352,9245,23214,246,105,624,3229,4414,14596,89100,248,78850,17089,18882,157,36609,67092,13419,335,51458,49908,44261,5720,01,121
"Tallapoosa County, Alabama",0500000US01123,41614,41.3,29486,11130,39,12,0,325,22008,16404,12050,4354,11351,105,82,355,1174,2117,7518,96600,244,40929,6995,22792,317,39423,33404,7301,162,25104,24213,21714,3866,01,123
"Tuscaloosa County, Alabama",0500000US01125,191489,31.3,128912,57059,494,2288,0,1099,83981,68711,43808,24903,61679,231,408,1063,3536,6584,49857,150600,336,182538,36319,22449,1558,43538,142477,41060,1203,129487,120058,91915,25327,01,125
"Walker County, Alabama",0500000US01127,67308,41.2,61733,3658,191,176,0,294,30996,25779,19877,5902,14687,88,244,530,1297,2083,10445,83600,130,66128,13008,20881,311,37161,55362,10965,202,41285,40422,35886,3958,01,127
"Washington County, Alabama",0500000US01129,17487,39.0,11441,4446,1346,51,31,29,8410,6489,5513,976,2633,63,257,177,139,663,1334,85600,17,17280,3008,19836,49,40286,13480,3905,12,10448,10307,9009,933,01,129
"Wilcox County, Alabama",0500000US01131,11862,37.8,3177,8644,0,0,0,5,5702,3732,2937,795,2388,29,14,436,500,485,924,54500,0,11545,4242,12683,30,23750,10720,1095,20,6890,6847,5919,674,01,131
"Winston County, Alabama",0500000US01133,24593,42.6,23744,208,46,27,0,108,13429,9568,7174,2394,5510,137,283,176,544,747,3623,83500,80,24139,5107,18568,187,32557,19011,5238,17,14734,14504,12971,1593,01,133
"Aleutians East Borough, Alaska",0500000US02013,3084,39.3,689,486,474,1250,26,51,535,336,173,163,373,0,0,46,40,37,250,121700,0,3080,603,24387,8,57083,538,448,144,2750,622,2352,402,02,013
"Aleutians West Census Area, Alaska",0500000US02016,5488,41.5,2053,361,921,1373,131,309,2268,1255,481,774,1749,4,18,36,46,437,1208,193800,2,5193,606,31188,29,75179,1205,2224,268,4380,2275,3953,454,02,016
"Anchorage Municipality, Alaska",0500000US02020,287390,33.0,193404,15844,18720,22013,5520,5147,112804,105123,64529,40594,101938,87,378,1347,4335,12440,83351,276200,471,281124,22045,35580,7185,75485,97827,155116,8215,191928,160231,159317,52651,02,020
"Bethel Census Area, Alaska",0500000US02050,16973,25.9,2032,77,13759,178,4,0,5884,4295,2768,1527,5028,18,56,114,528,1007,3305,171100,0,16629,3299,18392,157,52063,14956,1780,85,9811,3148,7807,1046,02,050
"Bristol Bay Borough, Alaska",0500000US02060,1035,41.9,548,1,318,2,5,0,952,424,233,191,412,0,2,14,44,47,305,172300,0,1030,62,35981,20,80000,488,537,1,694,662,621,133,02,060
"Denali Borough, Alaska",0500000US02068,1770,42.8,1556,18,50,68,0,3,1507,699,469,230,438,0,0,15,0,88,335,179500,0,1579,144,38804,17,82898,417,1189,13,1328,1168,1216,306,02,068
"Dillingham Census Area, Alaska",0500000US02070,4845,29.1,911,16,3272,47,21,60,2416,1369,778,591,1826,0,21,72,317,347,1069,182500,6,4813,948,22603,75,57681,3837,899,29,2884,1796,2322,478,02,070
"Fairbanks North Star Borough, Alaska",0500000US02090,96161,30.8,74613,4352,6705,2536,364,1190,41191,35583,21079,14504,35336,39,119,258,1048,3192,30680,212800,30,92929,7271,31532,1288,68922,30793,57858,2408,65315,57949,52036,14447,02,090
"Haines Borough, Alaska",0500000US02100,2519,44.0,2063,5,211,22,0,0,1668,1176,804,372,716,0,0,3,198,76,439,173800,0,2489,147,30090,43,51667,842,1557,30,1583,1486,1477,482,02,100
"Hoonah-Angoon Census Area, Alaska",0500000US02105,2029,47.0,1021,9,716,27,10,32,1761,966,604,362,718,0,1,36,135,142,404,208200,8,2017,302,28398,16,49545,1043,870,21,1377,1166,1309,368,02,105
"Juneau City and Borough, Alaska",0500000US02110,31244,38.6,21842,240,3538,1687,215,448,13049,12379,7982,4397,9280,5,42,141,952,1122,7018,299100,60,30654,1946,37294,605,77465,12130,16701,538,21386,18908,18521,6575,02,110
"Kenai Peninsula Borough, Alaska",0500000US02122,54718,40.8,46520,305,4008,773,93,275,30137,22390,16459,5931,12473,15,49,260,895,1819,9435,200000,112,53327,4860,30256,652,59256,19092,33134,761,35714,32455,31287,7094,02,122
"Ketchikan Gateway Borough, Alaska",0500000US02130,13417,37.9,9158,61,1968,748,0,196,6182,5479,3142,2337,5010,38,0,46,289,674,3963,254900,26,12921,1234,29998,153,57243,5560,6661,241,8909,7879,7711,1974,02,130
"Kodiak Island Borough, Alaska",0500000US02150,13488,31.9,7702,150,2136,2735,19,277,5323,4445,2387,2058,5573,4,0,79,349,315,4826,214000,15,12997,1485,26720,165,66326,4690,6407,341,8718,6531,7135,1721,02,150
"Lake and Peninsula Borough, Alaska",0500000US02164,1540,31.2,529,7,903,17,7,3,1605,562,349,213,578,0,0,31,42,82,423,157600,0,1535,323,21210,9,51429,1094,426,1,989,851,799,168,02,164
"Matanuska-Susitna Borough, Alaska",0500000US02170,86817,34.9,74058,859,4045,1056,180,482,40206,30609,24077,6532,16935,7,160,187,914,2229,13438,216500,71,85390,8244,29292,1248,70343,31962,49968,1632,54959,51247,47565,10158,02,170
"Nome Census Area, Alaska",0500000US02180,9443,28.1,1580,148,6806,85,32,30,3975,2756,1459,1297,3736,13,148,232,732,737,1874,144200,1,9185,2296,20325,74,52435,7638,1549,60,5661,4050,4578,751,02,180
"North Slope Borough, Alaska",0500000US02185,9088,29.2,2878,47,5268,95,71,121,2517,1966,874,1092,3888,83,5,439,314,749,2298,137500,0,8956,946,35423,79,76667,6546,2234,138,5790,3427,4700,882,02,185
"Northwest Arctic Borough, Alaska",0500000US02188,7532,25.8,887,26,5955,91,9,18,2699,1797,978,819,2798,14,29,86,425,423,1821,131100,0,7464,1465,21751,18,59893,6441,911,35,4427,2906,3424,427,02,188
"Petersburg Census Area, Alaska",0500000US02195,3831,42.4,2782,74,400,87,0,102,2049,1564,1194,370,816,0,0,0,96,169,551,182200,3,3762,335,31279,30,64216,1415,2158,39,2577,2301,2295,603,02,195
"Prince of Wales-Hyder Census Area, Alaska",0500000US02198,5541,39.5,2773,7,2292,49,17,19,2996,2351,1599,752,1749,25,4,35,338,182,1165,145000,12,5505,793,24902,47,45513,2812,2566,63,3577,3395,3101,514,02,198
"Sitka City and Borough, Alaska",0500000US02220,8879,38.8,5992,34,1629,379,0,93,4078,3632,1947,1685,3830,0,104,152,303,520,2751,315200,22,8603,590,32451,142,69798,3331,4900,51,6027,5257,5013,1768,02,220
"Skagway Municipality, Alaska",0500000US02230,1105,40.4,911,10,14,108,0,0,638,430,264,166,310,0,0,0,16,67,227,310300,6,1094,90,36108,44,73000,232,636,72,801,615,703,213,02,230
"Southeast Fairbanks Census Area, Alaska",0500000US02240,7000,36.5,5687,163,637,63,32,5,3873,2523,1645,878,2341,0,16,1,154,284,1886,158900,15,6872,713,29014,39,59917,2156,4180,142,4470,3727,3782,755,02,240
"Valdez-Cordova Census Area, Alaska",0500000US02261,9596,40.1,6884,52,1568,336,27,107,6031,3793,2897,896,1771,0,47,41,161,163,1359,167700,11,9427,631,31029,113,62238,4049,4925,151,6458,5929,5596,1353,02,261
"Wade Hampton Census Area, Alaska",0500000US02270,7473,21.7,251,9,6797,21,24,0,2177,1714,1149,565,1963,0,79,134,233,410,1107,85100,0,7431,2229,11476,8,39583,7146,280,24,3970,1514,2920,215,02,270
"Wrangell City and Borough, Alaska",0500000US02275,2353,44.1,1653,21,415,22,9,0,1376,1004,763,241,457,0,8,0,30,132,287,168500,0,2318,203,29643,52,50000,1079,1156,40,1395,1304,1203,264,02,275
"Yakutat City and Borough, Alaska",0500000US02282,731,39.4,281,40,280,9,7,8,449,259,133,126,309,0,0,0,36,48,225,155500,0,729,21,37556,9,74844,362,283,23,537,426,455,124,02,282
"Yukon-Koyukuk Census Area, Alaska",0500000US02290,5613,35.3,1246,4,3823,35,25,5,4027,2041,1430,611,1723,29,6,67,267,298,1056,102500,3,5555,1280,19923,13,35335,4238,1262,47,3510,2842,2926,316,02,290
"Apache County, Arizona",0500000US04001,70906,31.9,17362,288,51365,245,50,730,32511,18953,14442,4511,17607,185,152,1268,3309,3951,8742,83200,158,69516,24120,12626,173,31011,49386,19955,322,40152,13934,32798,3244,04,001
"Cochise County, Arizona",0500000US04003,130464,39.8,105856,4923,1358,2514,383,9028,58768,48917,33855,15062,38897,54,205,251,2149,6284,29954,155700,244,123802,19996,23296,963,45906,43528,67431,3668,78125,55456,65991,15023,04,003
"Coconino County, Arizona",0500000US04005,132978,30.8,82239,1631,36006,1928,155,7380,62944,45266,27757,17509,47079,67,708,1492,2423,6700,35689,246600,586,126036,24988,22607,1123,49615,68452,55127,1565,89540,67420,65713,20841,04,005
"Gila County, Arizona",0500000US04007,53380,47.3,42228,226,7825,82,32,1808,32470,19924,15301,4623,13533,18,50,171,1042,2173,10079,154200,124,52242,10906,20098,215,37905,28647,22452,363,29684,24377,25876,3761,04,007
"Graham County, Arizona",0500000US04009,36720,31.7,26565,813,5210,187,105,2975,12809,11100,8239,2861,8655,12,128,427,745,1381,5962,121100,30,32793,7088,16116,77,43083,24700,10101,168,21979,16779,17395,2463,04,009
"Greenlee County, Arizona",0500000US04011,8472,35.0,6995,55,156,47,13,936,4287,3292,1576,1716,4523,8,13,102,254,1446,2700,73200,10,8386,1445,20366,0,49390,5337,2768,42,5018,3914,4395,612,04,011
"La Paz County, Arizona",0500000US04012,20521,52.8,14563,217,2548,156,18,2753,16041,10374,7736,2638,5658,34,51,81,392,1074,4026,95700,169,20308,3937,21358,96,32220,5484,12464,123,10181,7952,9167,725,04,012
"Maricopa County, Arizona",0500000US04013,3798374,34.4,3064635,185533,70179,128943,7566,243433,1620963,1394016,908339,485677,1286925,1622,3543,10012,50272,140034,1081442,219300,22393,3748938,557410,27841,61192,55099,1339570,1823974,42181,2337412,1692366,1961541,585718,04,013
"Mohave County, Arizona",0500000US04015,200690,46.8,180346,1998,3523,1975,292,5084,109997,80389,57273,23116,65001,147,444,1082,3228,10110,49990,158200,503,196396,32928,21457,1234,40573,38158,148195,1642,113206,100385,99490,12673,04,015
"Navajo County, Arizona",0500000US04017,107418,34.3,52228,966,45784,480,128,4281,56534,34921,25421,9500,29399,182,156,1109,4178,4269,19505,130400,209,104471,27412,17004,294,38975,70252,33612,524,61111,35691,50853,7438,04,017
"Pima County, Arizona",0500000US04019,974181,37.5,757116,34836,30976,25856,1350,96403,438892,382366,244641,137725,325157,813,1737,5270,15549,40786,261002,190500,2897,948746,164932,25477,11288,46341,379861,451710,14303,600833,421661,494717,145466,04,019
"Pinal County, Arizona",0500000US04021,351709,35.6,266371,15254,18923,6001,1424,32701,155504,121281,92825,28456,83288,169,429,1079,3431,8378,69802,144500,447,324948,46508,21419,1973,51212,134686,176908,2775,210211,155675,182452,31948,04,021
"Santa Cruz County, Arizona",0500000US04023,46727,35.0,32110,263,274,317,12,12760,17816,13114,9037,4077,12796,57,95,226,1023,2307,9088,152700,111,46453,12149,17577,281,38092,22262,8428,750,26276,4972,22149,3827,04,023
"Yavapai County, Arizona",0500000US04025,210838,48.6,191952,1135,4068,1515,105,6786,109634,90309,64863,25446,59884,48,177,513,2849,6238,50059,216900,1265,207642,31007,26028,2071,44084,59926,134305,1906,120578,106834,105646,24420,04,025
"Yuma County, Arizona",0500000US04027,193995,33.8,146975,3989,2791,2044,300,33128,87549,69993,49276,20717,54113,94,40,1030,2499,8779,41671,138600,264,186513,38749,18778,1009,41441,66369,76879,3210,108361,49117,87569,12812,04,027
"Arkansas County, Arkansas",0500000US05001,19146,41.7,13841,4664,91,166,6,189,9491,8089,5388,2701,6161,58,18,104,486,634,4861,79000,21,18628,3395,22220,100,38986,15872,2736,62,11564,11015,9988,1430,05,001
"Ashley County, Arkansas",0500000US05003,21966,39.1,15147,5658,48,40,0,728,10193,8828,6529,2299,5295,117,48,54,486,851,3739,61800,15,21693,3874,19264,101,35657,15237,6229,77,13051,12436,11350,1520,05,003
"Baxter County, Arkansas",0500000US05005,41527,50.4,40320,114,189,163,5,145,22451,18581,14374,4207,9079,39,13,186,431,1076,7334,121900,68,40750,6533,21968,283,35589,14202,26267,258,22483,21996,19912,3047,05,005
"Benton County, Arkansas",0500000US05007,216314,34.5,184637,2469,3111,5876,476,13565,91924,80140,55708,24432,62172,107,73,428,2488,7082,51994,155700,336,213115,25069,25934,2841,52159,83656,108049,2639,129923,108890,111686,32418,05,007
"Boone County, Arkansas",0500000US05009,36908,41.2,35635,96,249,213,0,89,16761,14596,10623,3973,9090,16,13,196,418,1250,7197,108400,12,36247,5711,21803,240,37703,19436,16966,99,21715,21210,18824,2793,05,009
"Bradley County, Arkansas",0500000US05011,11580,39.7,7151,3302,154,0,0,901,5866,4906,3456,1450,3101,17,95,52,407,586,1944,63900,0,11393,2897,19283,106,32337,8718,2118,14,6765,5912,5857,738,05,011
"Calhoun County, Arkansas",0500000US05013,5417,40.4,4038,1291,0,0,0,2,2922,2037,1672,365,936,10,10,83,262,38,533,51300,18,5329,522,15998,2,30625,4623,779,13,3342,3315,2874,183,05,013
"Carroll County, Arkansas",0500000US05015,27145,43.6,24495,94,231,192,71,1591,13456,11418,8197,3221,7470,0,31,19,405,679,6336,118200,47,26715,4530,20320,167,36031,11867,13059,135,16078,14040,14171,2429,05,015
"Chicot County, Arkansas",0500000US05017,11947,42.5,5001,6535,0,19,0,292,5469,4674,3215,1459,3897,14,57,190,530,631,2475,54700,0,11105,3606,15593,51,23954,8206,3449,15,7010,6740,5983,796,05,017
"Clark County, Arkansas",0500000US05019,23066,33.1,16984,5583,43,160,0,80,10413,8072,5397,2675,6446,56,17,67,469,817,5020,78700,68,20331,4671,18090,143,32998,15470,6993,129,15139,14364,9986,2418,05,019
