NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 79.01, District of Columbia, District of Columbia",1400000US11001007901,3953,33.2,281,3512,45,82,0,22,1767,1578,596,982,2479,51,312,60,152,518,1386,360500,0,3953,1379,25689,83,31765,2383,1397,10,2468,2180,2165,477,11,001,007901
"Census Tract 79.03, District of Columbia, District of Columbia",1400000US11001007903,1457,46.5,86,1329,0,9,0,0,889,746,505,241,445,14,17,37,70,42,265,302000,29,1457,307,34584,24,43000,768,590,9,981,898,830,292,11,001,007903
"Census Tract 80.01, District of Columbia, District of Columbia",1400000US11001008001,2672,34.7,1318,1041,0,205,0,0,1371,1247,851,396,668,0,0,50,54,67,497,497200,8,2615,317,51797,139,94931,724,1627,22,2045,1918,1826,1311,11,001,008001
"Census Tract 80.02, District of Columbia, District of Columbia",1400000US11001008002,3601,34.6,1821,1441,0,93,0,105,1640,1542,952,590,1228,38,0,8,138,79,965,513200,0,3588,310,51739,289,96385,1197,2079,70,2709,2396,2430,1453,11,001,008002
"Census Tract 81, District of Columbia, District of Columbia",1400000US11001008100,3314,30.7,2564,586,0,85,0,31,1510,1347,747,600,1015,0,0,12,39,77,887,656900,94,3224,160,67696,415,128523,665,2351,25,2597,2371,2281,1903,11,001,008100
"Census Tract 82, District of Columbia, District of Columbia",1400000US11001008200,2767,30.8,2415,124,0,128,0,26,1599,1478,564,914,1483,0,12,9,150,99,1213,764700,154,2684,304,79951,308,85484,275,2224,103,2281,2061,1943,1788,11,001,008200
"Census Tract 83.01, District of Columbia, District of Columbia",1400000US11001008301,2543,31.4,2134,296,0,66,0,12,1196,1120,682,438,1037,0,0,0,63,91,883,669300,48,2527,262,69361,282,121058,394,1942,61,2217,1974,1676,1331,11,001,008301
"Census Tract 83.02, District of Columbia, District of Columbia",1400000US11001008302,2233,32.3,1782,263,28,51,0,60,1037,1019,594,425,860,0,0,0,0,46,814,621500,27,2155,104,62322,214,96823,355,1701,35,1806,1590,1686,1584,11,001,008302
"Census Tract 84.02, District of Columbia, District of Columbia",1400000US11001008402,2183,34.5,1160,967,3,41,0,0,1249,1039,333,706,1359,8,0,116,226,161,848,563300,12,2183,236,38046,38,64261,684,1282,60,1671,1513,1434,953,11,001,008402
"Census Tract 84.10, District of Columbia, District of Columbia",1400000US11001008410,1423,35.4,327,1040,0,32,0,0,641,529,365,164,424,0,36,0,15,134,239,392500,0,1369,112,40647,0,104710,758,598,0,1036,977,926,471,11,001,008410
"Census Tract 87.01, District of Columbia, District of Columbia",1400000US11001008701,2046,33.8,251,1756,0,0,0,0,957,811,511,300,708,0,0,15,43,133,517,401900,0,2015,269,29634,22,54750,989,936,18,1495,1386,1155,439,11,001,008701
"Census Tract 87.02, District of Columbia, District of Columbia",1400000US11001008702,1611,35.9,226,1278,59,0,0,25,878,651,307,344,673,74,0,32,65,146,356,360300,0,1611,274,28441,0,51650,819,573,47,1139,1049,958,275,11,001,008702
"Census Tract 88.02, District of Columbia, District of Columbia",1400000US11001008802,4388,37.7,401,3702,65,31,0,122,2040,1814,770,1044,2429,19,0,169,113,583,1545,339600,0,4384,1328,25412,52,41746,2579,1561,58,2760,2534,2395,748,11,001,008802
"Census Tract 88.03, District of Columbia, District of Columbia",1400000US11001008803,2030,22.4,661,1110,0,65,0,145,653,443,115,328,807,40,20,0,62,242,443,236900,0,1219,600,12541,0,27344,645,1074,20,1660,1281,886,155,11,001,008803
"Census Tract 88.04, District of Columbia, District of Columbia",1400000US11001008804,3056,41.3,61,2894,0,0,0,63,1557,1254,330,924,2067,132,33,123,273,204,1302,256200,0,3044,1207,17627,0,26615,2082,974,0,2212,2165,1990,261,11,001,008804
"Census Tract 89.03, District of Columbia, District of Columbia",1400000US11001008903,2578,34.2,20,2484,2,0,0,0,1485,1210,261,949,2000,9,198,35,329,211,1218,238900,0,2578,635,18973,6,30020,1936,595,0,1674,1659,1427,231,11,001,008903
"Census Tract 89.04, District of Columbia, District of Columbia",1400000US11001008904,3354,43.6,65,3183,0,0,0,63,1902,1589,159,1430,2991,20,123,96,454,843,1455,259600,0,3354,950,19298,0,27601,2047,1005,0,2361,2256,2030,221,11,001,008904
"Census Tract 90, District of Columbia, District of Columbia",1400000US11001009000,2793,49.1,55,2708,0,12,0,0,1721,1619,577,1042,1618,0,0,38,371,375,834,351600,0,2757,464,37899,79,32287,1527,1153,20,1554,1488,1367,593,11,001,009000
"Census Tract 91.02, District of Columbia, District of Columbia",1400000US11001009102,4827,35.4,339,4361,0,38,0,40,1841,1612,623,989,2508,34,55,88,623,1030,678,287200,0,4594,1378,16754,5,31544,2985,1320,28,2983,2792,2491,318,11,001,009102
"Census Tract 92.01, District of Columbia, District of Columbia",1400000US11001009201,1560,25.8,510,920,3,20,0,60,617,525,150,375,680,9,39,11,75,94,452,288100,9,1186,249,22671,13,41902,678,687,0,1146,951,705,234,11,001,009201
"Census Tract 92.03, District of Columbia, District of Columbia",1400000US11001009203,3039,26.3,376,2077,0,0,0,423,1373,1206,561,645,1511,0,81,28,235,298,869,295200,0,3039,543,29489,39,46159,1234,1341,16,2308,1970,1593,638,11,001,009203
"Census Tract 92.04, District of Columbia, District of Columbia",1400000US11001009204,2798,39.5,209,2128,0,12,0,423,1446,1266,208,1058,2300,94,64,114,356,666,1006,241300,0,2769,635,18050,16,31290,1306,990,0,1538,1070,1271,211,11,001,009204
"Census Tract 93.01, District of Columbia, District of Columbia",1400000US11001009301,3009,41.5,1010,1845,29,84,0,20,1216,1152,923,229,726,0,0,12,144,270,300,409500,0,2995,566,41729,124,75833,948,1681,40,1939,1732,1646,929,11,001,009301
"Census Tract 93.02, District of Columbia, District of Columbia",1400000US11001009302,1090,42.5,155,784,0,100,0,0,537,422,287,135,324,0,0,0,19,140,165,391600,0,1090,34,34414,24,65700,635,342,0,754,669,636,236,11,001,009302
"Census Tract 94, District of Columbia, District of Columbia",1400000US11001009400,3991,44.8,436,3357,68,23,0,50,1870,1783,1256,527,1114,32,283,93,202,104,400,380100,0,3991,392,39601,92,69639,1825,1729,90,2675,2515,2378,875,11,001,009400
"Census Tract 95.01, District of Columbia, District of Columbia",1400000US11001009501,6243,22.1,1787,3813,27,150,0,422,2057,1796,384,1412,3329,30,52,6,209,1065,1967,293300,9,4329,1090,17670,19,40528,2278,2605,35,4600,3821,2433,578,11,001,009501
"Census Tract 95.03, District of Columbia, District of Columbia",1400000US11001009503,2775,46.5,436,2238,0,12,0,55,1255,1146,1023,123,323,17,0,27,50,58,171,381100,0,2715,438,37109,28,77451,1347,1251,6,1763,1639,1465,831,11,001,009503
"Census Tract 95.04, District of Columbia, District of Columbia",1400000US11001009504,2996,44.5,380,2253,0,12,0,310,1392,1154,564,590,1306,6,0,0,338,243,719,352200,7,2700,395,26756,34,52095,1485,1140,34,1856,1703,1584,514,11,001,009504
"Census Tract 95.05, District of Columbia, District of Columbia",1400000US11001009505,2533,48.5,15,2185,0,45,0,233,1202,1058,902,156,411,8,0,0,254,149,0,356600,0,2525,222,32089,0,66591,1194,1122,15,1531,1228,1301,461,11,001,009505
"Census Tract 95.07, District of Columbia, District of Columbia",1400000US11001009507,1724,46.4,43,1650,0,31,0,0,667,655,496,159,434,0,0,31,35,33,335,331300,0,1724,99,29653,40,52981,1107,495,11,968,906,864,261,11,001,009507
"Census Tract 95.08, District of Columbia, District of Columbia",1400000US11001009508,3258,40.3,111,2787,0,21,0,272,1573,1454,835,619,1187,0,54,66,132,313,622,314800,0,3258,298,29242,19,51525,1569,1124,22,1760,1504,1457,600,11,001,009508
"Census Tract 95.09, District of Columbia, District of Columbia",1400000US11001009509,3140,44.9,257,2819,0,64,0,0,1298,1208,1088,120,399,0,22,0,0,152,225,328700,0,3140,149,34003,23,66341,1600,1319,13,1960,1885,1751,524,11,001,009509
"Census Tract 96.01, District of Columbia, District of Columbia",1400000US11001009601,2874,17.7,0,2861,0,0,0,0,877,840,317,523,2171,3,0,42,876,248,1002,253600,0,2864,1182,16262,7,45000,2269,521,0,1247,1184,1179,239,11,001,009601
"Census Tract 96.02, District of Columbia, District of Columbia",1400000US11001009602,2792,28.8,0,2792,0,0,0,0,1588,1308,89,1219,2510,27,62,54,682,483,1202,226400,0,2792,1094,15357,0,25307,2037,749,6,1673,1673,1436,20,11,001,009602
"Census Tract 96.03, District of Columbia, District of Columbia",1400000US11001009603,3027,40.3,20,2946,0,0,0,15,1741,1461,483,978,2060,95,23,46,337,559,1000,212100,0,3016,460,27474,8,41898,1908,1053,0,1794,1727,1562,236,11,001,009603
"Census Tract 96.04, District of Columbia, District of Columbia",1400000US11001009604,2050,47.8,23,2023,0,0,0,0,1022,997,776,221,386,12,0,4,11,161,198,229900,12,2036,320,24987,10,43588,1404,581,0,1228,1126,1019,297,11,001,009604
"Census Tract 97, District of Columbia, District of Columbia",1400000US11001009700,2454,33.3,3,2439,0,0,0,12,1159,893,357,536,1516,0,0,22,350,328,816,273600,0,2454,919,18457,5,30821,1856,546,16,1484,1463,1143,153,11,001,009700
"Census Tract 98.01, District of Columbia, District of Columbia",1400000US11001009801,1588,25.4,41,1539,0,0,0,0,786,494,102,392,1430,28,43,77,189,173,920,225000,0,1578,744,13518,0,28900,1263,284,1,839,839,686,109,11,001,009801
"Census Tract 98.02, District of Columbia, District of Columbia",1400000US11001009802,1288,25.5,17,1271,0,0,0,0,790,497,96,401,1070,40,0,26,118,6,880,254900,0,1288,707,11910,0,24464,896,392,0,688,688,555,51,11,001,009802
"Census Tract 98.03, District of Columbia, District of Columbia",1400000US11001009803,2352,31.9,43,2288,0,0,0,0,1436,1046,198,848,1685,10,100,38,239,170,1128,275000,0,2304,555,16746,0,26471,1579,714,27,1589,1551,1293,172,11,001,009803
"Census Tract 98.04, District of Columbia, District of Columbia",1400000US11001009804,2879,27.2,45,2716,0,0,0,16,1068,1011,332,679,1867,19,46,40,121,691,950,228600,12,2823,677,21166,16,50156,2264,593,0,1804,1741,1319,187,11,001,009804
"Census Tract 98.07, District of Columbia, District of Columbia",1400000US11001009807,3414,39.4,61,3323,0,0,0,0,1685,1558,817,741,1569,0,10,22,110,337,1090,243600,0,3339,928,21482,0,38500,2143,1143,11,2273,2200,2046,292,11,001,009807
"Census Tract 98.10, District of Columbia, District of Columbia",1400000US11001009810,2303,26.0,3,2203,0,0,0,0,1212,993,75,918,2172,0,0,6,709,166,1291,182600,0,2262,772,12732,0,26515,1585,660,0,1274,1207,1040,19,11,001,009810
"Census Tract 98.11, District of Columbia, District of Columbia",1400000US11001009811,3859,25.9,0,3837,0,0,0,0,1973,1692,109,1583,3634,0,22,105,477,687,2343,226000,0,3859,1634,13033,0,25750,2966,852,0,2210,2135,1861,117,11,001,009811
"Census Tract 99.01, District of Columbia, District of Columbia",1400000US11001009901,2069,52.7,65,1933,0,0,0,17,1107,1028,885,143,348,41,0,0,27,91,189,360700,3,2069,165,45888,92,80036,1006,1022,0,1299,1249,1189,492,11,001,009901
"Census Tract 99.02, District of Columbia, District of Columbia",1400000US11001009902,2788,45.7,133,2637,0,10,0,0,1289,1147,907,240,613,73,0,12,29,212,287,248800,28,2786,716,29053,28,52379,1910,819,0,1641,1607,1489,484,11,001,009902
"Census Tract 99.03, District of Columbia, District of Columbia",1400000US11001009903,1373,41.1,40,1333,0,0,0,0,803,608,335,273,690,42,45,7,58,169,369,277100,0,1373,307,28119,0,54667,833,507,33,813,813,641,196,11,001,009903
"Census Tract 99.04, District of Columbia, District of Columbia",1400000US11001009904,1717,34.5,0,1639,0,3,0,0,1075,696,168,528,1321,8,95,9,281,252,676,228500,0,1714,477,18468,0,37931,1169,506,12,1083,1068,938,92,11,001,009904
