NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B03003_003E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9501, Baker County, Oregon",1400000US41001950100,2606,54.6,2567,7,13,0,0,53,0,1796,1187,1080,107,252,2,0,18,30,21,181,236000,59,2602,271,31069,33,58518,1446,1132,0,1631,1612,1537,468,41,001,950100
"Census Tract 9502, Baker County, Oregon",1400000US41001950200,3390,39.7,3213,31,127,0,0,233,19,1582,1320,881,439,1089,0,0,0,19,116,954,124400,0,3325,867,20460,11,42566,1911,1330,21,1951,1812,1752,394,41,001,950200
"Census Tract 9503, Baker County, Oregon",1400000US41001950300,2388,49.7,2324,0,2,16,0,25,0,1385,1040,674,366,860,0,82,0,42,306,430,114900,8,2387,401,20661,14,42823,1374,991,11,1292,1284,1151,186,41,001,950300
"Census Tract 9504, Baker County, Oregon",1400000US41001950400,2923,48.0,2834,0,4,28,0,130,0,1450,1367,849,518,1015,0,0,12,39,112,852,127400,0,2900,694,20191,14,26758,1694,1175,16,1592,1548,1400,245,41,001,950400
"Census Tract 9505, Baker County, Oregon",1400000US41001950500,2997,42.1,2760,33,14,15,4,83,23,1210,1136,692,444,1265,0,0,64,0,127,1074,147600,1,2695,576,18428,6,42917,1492,1448,29,1867,1815,1506,289,41,001,950500
"Census Tract 9506, Baker County, Oregon",1400000US41001950600,1822,56.0,1775,0,12,0,3,12,0,1389,947,669,278,534,5,0,58,80,81,310,207400,55,1822,345,23439,31,31827,888,902,19,971,967,922,248,41,001,950600
"Census Tract 1, Benton County, Oregon",1400000US41003000100,7045,29.2,6357,180,0,204,24,733,47,2854,2713,1278,1435,3885,0,0,61,140,393,3291,198100,0,6960,1570,20210,41,40709,2577,3503,100,5152,4363,3559,1443,41,003,000100
"Census Tract 2.02, Benton County, Oregon",1400000US41003000202,5169,36.3,4668,32,22,373,0,260,17,2362,2274,1304,970,2026,0,0,0,27,310,1689,296900,0,5119,834,31575,126,51176,2058,2252,57,3320,2758,2550,1455,41,003,000202
"Census Tract 4, Benton County, Oregon",1400000US41003000400,7852,40.5,6953,0,171,522,0,348,98,3327,3148,2175,973,2164,0,0,0,54,352,1758,314500,7,7845,1141,36199,234,77642,2878,3994,106,4895,4321,4023,2696,41,003,000400
"Census Tract 5, Benton County, Oregon",1400000US41003000500,3071,52.1,2889,0,11,58,0,65,33,1377,1314,1042,272,550,0,0,9,0,108,433,354600,37,3018,271,42526,149,76957,958,1859,41,1732,1621,1626,957,41,003,000500
