NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 1, Beaverhead County, Montana",1400000US30001000100,1449,50.4,1433,1,8,2,0,2,1336,699,434,265,543,275,163000,43,1449,224,21372,2,32335,730,700,11,910,848,820,204,30,001,000100
"Census Tract 2, Beaverhead County, Montana",1400000US30001000200,3287,47.9,3199,0,26,1,0,0,1826,1490,1067,423,761,432,243900,19,3277,239,26212,26,49667,1629,1618,20,1951,1936,1790,572,30,001,000200
"Census Tract 3, Beaverhead County, Montana",1400000US30001000300,4434,32.4,4075,21,42,129,19,34,2061,1815,1010,805,1647,1358,145200,13,3816,716,19529,9,39263,2202,2005,39,2963,2640,1952,743,30,001,000300
"Census Tract 1, Big Horn County, Montana",1400000US30003000100,4570,38.9,2778,0,1254,102,0,60,1968,1654,1076,578,1421,1310,96900,2,4415,882,18227,17,33800,2873,1630,12,2568,2357,2203,344,30,003,000100
"Census Tract 9404, Big Horn County, Montana",1400000US30003940400,1688,21.3,184,1,1452,0,0,0,530,395,237,158,720,382,111700,3,1678,627,11019,0,31563,1403,283,0,819,722,711,125,30,003,940400
"Census Tract 9405, Big Horn County, Montana",1400000US30003940500,1440,33.1,418,0,1015,0,0,0,666,366,268,98,337,140,120100,0,1391,456,14510,0,39423,1148,292,0,825,547,748,121,30,003,940500
"Census Tract 9406, Big Horn County, Montana",1400000US30003940600,3003,24.8,464,0,2465,0,0,0,812,592,397,195,1061,466,68000,18,2913,835,11583,0,45565,2614,368,0,1822,795,1357,101,30,003,940600
"Census Tract 9407, Big Horn County, Montana",1400000US30003940700,2075,29.2,338,0,1710,0,0,0,713,482,345,137,651,220,64100,4,2058,521,15351,5,41522,1658,403,0,1201,568,877,110,30,003,940700
"Census Tract 1, Blaine County, Montana",1400000US30005000100,1512,30.0,844,0,637,0,23,0,645,505,335,170,699,421,71400,3,1503,396,19413,27,40250,1133,341,17,770,700,619,155,30,005,000100
"Census Tract 2, Blaine County, Montana",1400000US30005000200,2348,46.4,2249,0,26,4,0,33,1268,1040,816,224,499,379,76800,16,2292,395,22120,6,45625,1863,465,8,1325,1318,1197,251,30,005,000200
"Census Tract 9401, Blaine County, Montana",1400000US30005940100,1521,28.0,27,0,1483,0,4,0,496,431,180,251,857,374,51000,0,1502,570,11257,0,35813,1400,117,4,882,839,705,69,30,005,940100
"Census Tract 9402, Blaine County, Montana",1400000US30005940200,1095,32.2,37,0,1056,0,0,0,439,342,160,182,595,333,34600,3,1090,415,12363,2,26875,989,106,0,665,637,553,72,30,005,940200
"Census Tract 1, Broadwater County, Montana",1400000US30007000100,2194,47.0,2129,1,8,0,0,1,877,808,615,193,530,375,130700,0,2149,330,16889,11,36132,1194,997,0,1241,1241,1053,132,30,007,000100
"Census Tract 2, Broadwater County, Montana",1400000US30007000200,3253,39.6,2968,86,0,0,0,0,1410,1151,922,229,532,433,199800,0,3169,272,23280,0,48715,2195,1002,30,1786,1774,1647,343,30,007,000200
"Census Tract 1, Carbon County, Montana",1400000US30009000100,2529,46.7,2394,18,38,49,8,0,1172,1019,816,203,556,322,200000,9,2455,216,24520,8,43750,1626,831,3,1515,1484,1335,400,30,009,000100
"Census Tract 2, Carbon County, Montana",1400000US30009000200,2023,43.3,1984,0,8,7,0,18,902,765,571,194,567,455,109400,0,1995,184,21686,4,46709,1047,923,12,1146,1103,1064,188,30,009,000200
"Census Tract 3, Carbon County, Montana",1400000US30009000300,2329,46.3,2294,4,25,6,0,0,1735,1083,572,511,1086,890,205700,0,2244,415,24990,0,45938,1004,1212,25,1513,1490,1415,645,30,009,000300
"Census Tract 4, Carbon County, Montana",1400000US30009000400,1725,52.5,1672,0,31,6,0,16,1800,829,700,129,204,134,387000,69,1699,148,35565,27,53250,859,840,4,1095,1064,1033,381,30,009,000400
"Census Tract 5, Carbon County, Montana",1400000US30009000500,1410,47.4,1399,0,4,0,0,7,768,569,416,153,429,321,216700,6,1410,156,24408,13,47902,885,505,0,864,811,766,176,30,009,000500
"Census Tract 3, Carter County, Montana",1400000US30011000300,1266,50.3,1247,0,13,0,0,4,830,551,407,144,299,147,69400,31,1240,166,20844,5,35121,586,679,0,733,729,657,83,30,011,000300
"Census Tract 1, Cascade County, Montana",1400000US30013000100,2583,29.8,2411,68,63,3,0,0,1179,1094,837,257,608,608,128800,0,2567,373,24387,0,53716,1202,1288,26,1725,1612,1220,279,30,013,000100
"Census Tract 2, Cascade County, Montana",1400000US30013000200,4136,34.1,3284,33,434,0,0,0,1763,1695,1261,434,943,784,129500,0,4122,291,21315,0,44817,2429,1597,38,2612,2465,2211,470,30,013,000200
"Census Tract 3, Cascade County, Montana",1400000US30013000300,3451,34.0,2814,67,365,52,0,0,1546,1400,834,566,1099,848,127100,8,3296,808,19953,11,40978,1956,1307,115,2500,2368,1928,426,30,013,000300
"Census Tract 4, Cascade County, Montana",1400000US30013000400,1928,34.3,1788,49,46,0,0,0,950,782,279,503,1161,1064,113600,0,1916,474,18543,17,35978,890,966,28,1191,1129,948,192,30,013,000400
"Census Tract 7, Cascade County, Montana",1400000US30013000700,1660,31.7,1413,5,139,43,0,0,1029,812,236,576,1122,998,101700,0,1660,465,20028,0,30343,1124,468,0,1120,1069,928,95,30,013,000700
"Census Tract 8, Cascade County, Montana",1400000US30013000800,1785,33.8,1446,12,169,53,0,0,895,823,298,525,1121,1004,103700,0,1785,92,19897,0,40469,1142,522,60,1168,1097,1020,182,30,013,000800
