NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 201, Hawaii County, Hawaii",1400000US15001020100,5608,43.1,1626,35,10,1751,753,55,2108,1922,1228,694,1951,139,25,34,289,370,1094,306400,71,5539,984,20656,29,40625,3420,1306,95,3550,2927,3053,849,15,001,020100
"Census Tract 202.02, Hawaii County, Hawaii",1400000US15001020202,2312,44.0,677,40,0,609,230,174,750,712,509,203,586,19,30,0,89,185,263,359500,37,2123,198,26873,61,41357,1498,526,29,1421,1243,1222,310,15,001,020202
"Census Tract 203, Hawaii County, Hawaii",1400000US15001020300,4414,31.9,1527,48,2,1101,403,50,2098,1720,566,1154,2657,33,0,14,147,449,2014,256400,0,4082,1768,19044,26,22724,2296,1674,21,2864,2429,2067,796,15,001,020300
"Census Tract 204, Hawaii County, Hawaii",1400000US15001020400,4078,36.3,928,46,34,986,492,11,1564,1478,600,878,2716,28,0,92,168,373,2055,273000,8,4061,1190,20777,47,34100,2995,654,110,2212,1632,1951,651,15,001,020400
"Census Tract 205, Hawaii County, Hawaii",1400000US15001020500,6478,27.6,1298,70,10,2034,1185,0,2665,2332,835,1497,3392,11,12,208,298,731,2132,297900,28,5396,1680,16018,43,28770,4235,1330,128,4527,3444,2582,502,15,001,020500
"Census Tract 206, Hawaii County, Hawaii",1400000US15001020600,5539,40.2,760,49,4,976,1727,22,2258,1744,1304,440,964,24,63,100,77,163,537,231700,39,5519,543,23061,63,54470,4403,708,110,3412,2794,2890,615,15,001,020600
"Census Tract 207.01, Hawaii County, Hawaii",1400000US15001020701,4565,46.4,466,0,0,2402,434,28,1908,1744,1205,539,1351,8,8,16,454,186,679,314200,17,4536,518,31023,64,66518,3655,459,22,2774,2461,2463,819,15,001,020701
"Census Tract 207.02, Hawaii County, Hawaii",1400000US15001020702,5175,49.3,590,10,0,2743,513,14,1838,1693,1526,167,449,0,41,18,0,112,278,325900,24,5173,150,28595,56,73948,4069,542,133,3309,2779,2898,1145,15,001,020702
"Census Tract 208.01, Hawaii County, Hawaii",1400000US15001020801,4377,47.8,972,0,0,1542,822,14,1560,1456,1135,321,1151,22,0,0,238,141,750,329200,18,4095,145,28866,56,71944,3448,547,50,2549,2280,2157,777,15,001,020801
"Census Tract 208.02, Hawaii County, Hawaii",1400000US15001020802,6501,47.6,1530,0,0,2617,459,14,2552,2374,1998,376,1000,0,46,19,0,61,874,341900,82,6293,885,29687,112,58793,4674,1231,14,3810,3312,3405,1412,15,001,020802
