NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,state,county,tract
"Census Tract 9601, Acadia Parish, Louisiana",1400000US22001960100,6284,35.5,3767,2330,1,2,0,19,2598,2318,1197,1121,3371,2398,86300,1197,0,6155,2360,14662,2318,0,29338,6284,5959,278,0,3412,2803,3371,82,0,172,390,329,2398,22,001,960100
"Census Tract 9602, Acadia Parish, Louisiana",1400000US22001960200,5324,38.7,4814,465,0,4,0,1,2218,1923,1495,428,1029,669,108600,1495,0,5323,733,23468,1923,22,50032,5324,4761,545,0,3400,2969,1029,58,47,82,153,20,669,22,001,960200
"Census Tract 9603, Acadia Parish, Louisiana",1400000US22001960300,3934,39.0,3661,197,7,0,0,64,1417,1368,1228,140,247,247,81700,1228,0,3890,565,19737,1368,15,48281,3934,3610,263,0,2547,2113,247,0,0,0,0,0,247,22,001,960300
"Census Tract 9604, Acadia Parish, Louisiana",1400000US22001960400,6494,33.9,6226,203,9,0,0,0,2569,2261,1880,381,836,371,95800,1880,0,6494,1013,18746,2261,18,41618,6494,6047,441,6,3730,3500,836,4,0,28,195,238,371,22,001,960400
"Census Tract 9605, Acadia Parish, Louisiana",1400000US22001960500,6406,31.8,5652,584,0,0,0,21,2395,2090,1875,215,888,541,104600,1875,12,6387,556,25276,2090,42,59519,6406,5750,618,0,4109,3617,888,19,0,142,0,186,541,22,001,960500
"Census Tract 9606, Acadia Parish, Louisiana",1400000US22001960600,6086,36.7,4983,722,0,157,0,63,2626,2380,1619,761,1419,979,106800,1619,0,5983,673,20946,2380,29,40111,6086,5453,440,15,3752,3059,1419,0,0,14,164,262,979,22,001,960600
"Census Tract 9607, Acadia Parish, Louisiana",1400000US22001960700,3961,39.1,2104,1857,0,0,0,0,2043,1673,874,799,1777,1137,85300,874,9,3931,1036,17002,1673,12,21901,3961,3740,201,10,2451,2160,1777,0,104,108,228,200,1137,22,001,960700
"Census Tract 9608, Acadia Parish, Louisiana",1400000US22001960800,5653,30.6,4172,947,97,59,41,213,2176,1940,1079,861,2348,1717,123800,1079,0,5325,1200,19395,1940,60,36271,5653,4936,666,4,3214,2898,2348,9,22,12,132,456,1717,22,001,960800
"Census Tract 9609, Acadia Parish, Louisiana",1400000US22001960900,4489,35.3,1938,2367,17,0,0,136,2065,1673,972,701,1925,1268,104900,972,0,4370,1301,18169,1673,22,27383,4489,4046,347,0,2585,2371,1925,69,7,54,249,278,1268,22,001,960900
"Census Tract 9610, Acadia Parish, Louisiana",1400000US22001961000,5776,31.0,4443,1131,0,0,0,106,2302,1963,1088,875,2756,1600,64800,1088,0,5647,2068,12023,1963,0,26422,5776,5472,244,0,3276,2755,2756,0,101,51,212,792,1600,22,001,961000
"Census Tract 9611, Acadia Parish, Louisiana",1400000US22001961100,3362,35.1,3198,83,15,38,0,0,1428,1212,926,286,855,590,80600,926,0,3362,395,17691,1212,0,37898,3362,3087,245,3,1968,1568,855,19,0,10,32,204,590,22,001,961100
"Census Tract 9612, Acadia Parish, Louisiana",1400000US22001961200,3661,37.5,3547,54,0,11,0,12,1424,1282,1003,279,824,582,76000,1003,0,3661,343,20628,1282,11,47708,3661,3339,299,0,2428,2116,824,0,0,79,138,25,582,22,001,961200
"Census Tract 9501, Allen Parish, Louisiana",1400000US22003950100,5205,34.6,4949,65,48,0,0,98,2179,1738,1525,213,703,415,77200,1525,0,5182,408,20870,1738,0,48509,5205,4370,826,3,3077,2965,703,4,36,48,111,89,415,22,003,950100
"Census Tract 9502, Allen Parish, Louisiana",1400000US22003950200,5539,38.9,3473,1563,29,92,0,198,1390,1220,802,418,1137,726,77900,802,0,3148,802,15755,1220,14,30991,5539,3274,1473,58,4221,3348,1137,13,0,43,57,298,726,22,003,950200
"Census Tract 9503, Allen Parish, Louisiana",1400000US22003950300,2997,42.4,2045,893,40,0,0,0,1582,1334,686,648,1325,908,62400,686,0,2897,747,17642,1334,21,24091,2997,2631,347,5,1791,1725,1325,53,8,26,96,234,908,22,003,950300
"Census Tract 9504, Allen Parish, Louisiana",1400000US22003950400,4444,39.5,3215,1045,64,73,0,34,1879,1630,1315,315,1039,645,74400,1315,0,4295,701,20384,1630,8,39231,4444,4017,371,13,2447,2194,1039,0,30,36,96,232,645,22,003,950400
"Census Tract 9505, Allen Parish, Louisiana",1400000US22003950500,7645,35.7,4927,2010,375,38,0,70,2675,2335,1759,576,1390,1275,84400,1759,0,5997,956,17398,2335,6,44151,7645,6369,1088,15,5142,4625,1390,33,43,0,0,39,1275,22,003,950500
"Census Tract 301.01, Ascension Parish, Louisiana",1400000US22005030101,6184,37.3,5750,320,0,0,0,56,2394,2146,2038,108,333,250,182400,2038,0,6184,501,29447,2146,106,75625,6184,4877,1282,25,4119,4005,333,0,0,16,0,67,250,22,005,030101
"Census Tract 301.02, Ascension Parish, Louisiana",1400000US22005030102,4834,37.1,4625,192,0,0,0,9,1929,1765,1426,339,1011,804,131900,1426,0,4817,509,24110,1765,6,53985,4834,3884,656,0,3075,2734,1011,0,11,32,129,35,804,22,005,030102
