NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 301, Bristol County, Rhode Island",1400000US44001030100,5154,39.8,4780,76,0,129,0,24,1824,1697,1435,262,326,150,369100,38,4862,95,34507,143,86599,2637,2311,30,3015,2892,2353,1481,44,001,030100
"Census Tract 302, Bristol County, Rhode Island",1400000US44001030200,3089,44.5,2939,60,0,51,0,0,1221,1221,1032,189,349,205,372900,37,3089,76,39254,124,82019,1889,947,54,1776,1562,1558,1056,44,001,030200
"Census Tract 303, Bristol County, Rhode Island",1400000US44001030300,4546,42.6,4091,0,0,202,0,14,1697,1591,1459,132,398,311,421900,58,4546,144,42255,248,100944,2383,1736,65,2663,2384,2283,1583,44,001,030300
"Census Tract 304, Bristol County, Rhode Island",1400000US44001030400,3626,45.6,3530,2,0,58,0,14,1363,1294,1228,66,100,44,671800,306,3626,76,76572,470,144792,1386,1794,217,2032,1862,1873,1596,44,001,030400
"Census Tract 305, Bristol County, Rhode Island",1400000US44001030500,3153,39.7,3064,0,0,0,0,16,1715,1531,529,1002,1939,1383,280900,9,3152,534,27397,46,38750,1632,1121,70,2294,1852,2047,549,44,001,030500
"Census Tract 306.01, Bristol County, Rhode Island",1400000US44001030601,3500,43.7,3496,2,0,0,0,0,1472,1351,1080,271,527,410,297100,46,3424,135,36471,105,77813,1953,1201,122,2148,1809,1874,696,44,001,030601
"Census Tract 306.02, Bristol County, Rhode Island",1400000US44001030602,4080,46.3,3955,9,0,0,0,8,1857,1668,1098,570,1065,688,288900,8,3893,346,29074,50,50139,2575,1276,16,2409,2166,1995,627,44,001,030602
"Census Tract 307, Bristol County, Rhode Island",1400000US44001030700,3893,38.5,3760,0,0,13,0,0,2255,2020,669,1351,2213,1199,308300,0,3889,857,26173,73,33182,1674,1578,39,2820,2247,2067,669,44,001,030700
"Census Tract 308, Bristol County, Rhode Island",1400000US44001030800,5297,29.8,5044,19,4,180,0,1,1822,1733,1051,682,1240,907,323000,0,3714,426,25737,107,56411,1864,2696,64,3876,3395,2053,814,44,001,030800
"Census Tract 309.01, Bristol County, Rhode Island",1400000US44001030901,6843,39.9,6626,0,18,141,0,0,2378,2233,2079,154,359,219,346700,16,6627,247,33393,148,90690,3819,2208,66,4304,3450,3769,1316,44,001,030901
"Census Tract 309.02, Bristol County, Rhode Island",1400000US44001030902,7083,49.0,6972,0,40,0,0,67,3203,2950,2289,661,1312,614,352800,47,6776,451,36777,121,68211,4145,2275,88,4237,3725,3580,1444,44,001,030902
"Census Tract 201.01, Kent County, Rhode Island",1400000US44003020101,6432,41.8,6003,195,0,177,0,0,2952,2853,2172,681,1200,901,227700,0,6432,218,34272,48,68525,4868,1043,81,4338,3945,3801,1610,44,003,020101
