NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,state,county,tract
"Census Tract 9651, Belknap County, New Hampshire",1400000US33001965100,3247,45.6,3150,0,0,34,0,0,1950,1295,1096,199,438,241,251100,1096,9,3212,336,26686,1295,17,59872,3247,1733,1414,18,2067,2001,438,4,13,49,62,69,241,33,001,965100
"Census Tract 9652, Belknap County, New Hampshire",1400000US33001965200,2512,49.8,2503,0,0,9,0,0,2737,1308,856,452,806,527,288600,856,98,2512,357,36049,1308,63,50217,2512,1175,1284,4,1422,1388,806,0,0,14,90,175,527,33,001,965200
"Census Tract 9653, Belknap County, New Hampshire",1400000US33001965300,3744,44.1,3686,18,0,40,0,0,2181,1552,1074,478,787,477,280300,1074,52,3650,263,34571,1552,47,71445,3744,1943,1682,22,2258,2176,787,0,9,28,79,194,477,33,001,965300
"Census Tract 9654, Belknap County, New Hampshire",1400000US33001965400,2939,46.1,2921,0,18,0,0,0,1647,1153,1079,74,165,115,248300,1079,9,2939,34,29919,1153,29,61542,2939,1319,1475,57,1877,1790,165,0,23,0,0,27,115,33,001,965400
"Census Tract 9655.98, Belknap County, New Hampshire",1400000US33001965598,3581,46.8,3517,0,0,25,0,0,1822,1422,988,434,843,542,188800,988,0,3416,326,24894,1422,0,53590,3581,2020,1454,0,2362,2247,843,17,26,0,76,182,542,33,001,965598
"Census Tract 9656, Belknap County, New Hampshire",1400000US33001965600,3739,39.6,3527,0,0,72,20,0,2031,1354,1273,81,200,148,250500,1273,33,3683,293,28679,1354,53,63947,3739,1975,1607,22,2307,2212,200,16,0,0,36,0,148,33,001,965600
"Census Tract 9657, Belknap County, New Hampshire",1400000US33001965700,4564,38.4,4436,0,0,0,0,0,2344,1677,1586,91,185,73,205500,1586,0,4564,134,26267,1677,14,65221,4564,2247,2225,20,2835,2764,185,12,0,34,56,10,73,33,001,965700
"Census Tract 9658, Belknap County, New Hampshire",1400000US33001965800,7350,41.1,6960,207,10,59,0,28,3640,2888,2397,491,1226,1073,184900,2397,0,7315,502,25471,2888,67,58561,7350,4334,2807,29,4622,4490,1226,69,0,0,58,26,1073,33,001,965800
"Census Tract 9659, Belknap County, New Hampshire",1400000US33001965900,3283,45.7,3069,0,21,46,0,0,1912,1603,907,696,1241,837,178900,907,18,3279,340,27270,1603,17,41691,3283,2064,1057,18,2170,2053,1241,0,13,47,135,209,837,33,001,965900
"Census Tract 9660, Belknap County, New Hampshire",1400000US33001966000,5348,40.8,5175,19,0,25,0,42,2350,2083,1107,976,1916,1273,228100,1107,9,4707,525,25073,2083,25,46850,5348,3221,1976,53,3396,3275,1916,0,37,32,103,471,1273,33,001,966000
