NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9601, Adair County, Iowa",1400000US19001960100,2952,40.0,2875,2,4,2,0,0,1356,1222,940,282,640,13,0,28,77,190,332,100800,0,2862,408,23716,30,44922,2536,395,7,1686,1674,1495,228,19,001,960100
"Census Tract 9602, Adair County, Iowa",1400000US19001960200,1703,47.5,1703,0,0,0,0,0,904,758,595,163,347,2,7,29,63,99,147,103600,9,1703,109,27118,18,51196,1431,251,14,1022,1013,953,205,19,001,960200
"Census Tract 9603, Adair County, Iowa",1400000US19001960300,3044,46.0,2959,38,4,17,0,0,1513,1343,1009,334,744,6,6,45,100,108,479,77600,0,2975,348,23307,8,47250,2666,330,22,1624,1613,1411,237,19,001,960300
"Census Tract 9501, Adams County, Iowa",1400000US19003950100,1767,45.4,1708,1,10,0,0,7,764,679,581,98,191,28,0,7,55,25,76,89500,0,1767,103,25507,31,48208,1437,326,4,993,982,870,176,19,003,950100
"Census Tract 9502, Adams County, Iowa",1400000US19003950200,2318,46.5,2241,9,7,0,0,8,1199,1027,809,218,453,0,0,31,63,78,281,73700,0,2211,324,23037,7,37072,1654,642,4,1303,1289,1117,218,19,003,950200
"Census Tract 9601, Allamakee County, Iowa",1400000US19005960100,1990,48.3,1920,2,8,12,0,18,1370,905,773,132,199,0,7,4,17,63,108,111800,0,1935,152,23080,12,40917,1269,691,7,1116,1093,966,231,19,005,960100
"Census Tract 9602, Allamakee County, Iowa",1400000US19005960200,2414,43.2,2332,5,61,0,0,0,1180,936,799,137,369,48,36,0,2,59,224,127600,18,2408,169,24258,12,52935,1349,1001,0,1452,1350,1261,210,19,005,960200
"Census Tract 9603, Allamakee County, Iowa",1400000US19005960300,4211,45.0,4152,0,0,0,0,5,2048,1849,1372,477,935,0,15,49,56,133,682,89400,21,4058,618,20792,0,38866,3147,1007,0,2344,2289,2062,258,19,005,960300
"Census Tract 9604, Allamakee County, Iowa",1400000US19005960400,2382,46.2,2324,19,8,0,0,0,1775,1034,878,156,339,27,0,8,0,47,257,121600,12,2313,146,24941,5,49143,1688,671,0,1414,1376,1270,212,19,005,960400
"Census Tract 9605, Allamakee County, Iowa",1400000US19005960500,3312,36.5,2964,23,69,108,0,52,1256,1136,882,254,765,8,0,0,42,254,461,107800,0,3228,457,20904,18,52951,2060,602,21,1915,1354,1693,312,19,005,960500
