NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B03003_003E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 106, Benton County, Washington",1400000US53005010600,3981,30.5,3302,104,63,78,0,591,245,1739,1513,821,692,1931,0,12,49,95,257,1518,142300,0,3833,708,25987,38,49557,1879,1855,45,2415,2099,1912,450,53,005,010600
"Census Tract 107.01, Benton County, Washington",1400000US53005010701,1960,41.8,1612,83,0,28,0,240,96,781,700,668,32,187,0,0,0,0,0,187,176300,0,1960,16,28150,0,75603,989,744,107,1306,1269,1214,192,53,005,010701
"Census Tract 107.03, Benton County, Washington",1400000US53005010703,2737,43.5,2498,0,124,32,0,155,17,1227,1154,923,231,351,0,0,0,62,27,262,108600,0,2737,957,21726,0,38822,1199,1469,20,1826,1764,1582,387,53,005,010703
"Census Tract 107.05, Benton County, Washington",1400000US53005010705,5141,35.8,4961,10,0,2,0,285,56,1722,1635,1495,140,354,0,0,0,67,95,192,192900,0,5075,130,35260,142,102932,2718,2352,42,3247,3076,2852,980,53,005,010705
"Census Tract 107.07, Benton County, Washington",1400000US53005010707,2518,30.5,2492,0,0,0,0,149,0,860,860,824,36,50,0,0,0,0,10,40,212800,0,2518,189,29985,27,81284,1436,1033,20,1561,1481,1329,555,53,005,010707
"Census Tract 107.08, Benton County, Washington",1400000US53005010708,2220,43.5,1953,0,13,53,0,293,115,928,796,628,168,473,0,0,0,195,17,261,221300,0,2220,120,31293,0,74333,958,1081,0,1462,1308,1324,406,53,005,010708
"Census Tract 108.03, Benton County, Washington",1400000US53005010803,6624,42.5,6091,25,0,341,0,538,126,2509,2458,2147,311,674,0,0,0,0,164,510,250200,49,6603,138,42025,278,101610,2616,3313,100,3956,3587,3388,1610,53,005,010803
"Census Tract 108.05, Benton County, Washington",1400000US53005010805,5639,42.8,4840,105,68,409,0,363,107,2540,2182,1698,484,781,0,0,11,0,56,714,225900,0,5639,388,37599,193,85898,2054,2958,31,3625,3134,3134,1716,53,005,010805
"Census Tract 108.07, Benton County, Washington",1400000US53005010807,1222,35.9,1222,0,0,0,0,115,0,375,375,334,41,123,0,0,0,0,0,123,225000,0,1222,52,30905,13,63551,610,612,0,610,584,592,415,53,005,010807
"Census Tract 108.09, Benton County, Washington",1400000US53005010809,5871,33.7,5038,62,29,258,0,531,146,2560,2417,1420,997,1948,0,15,0,92,149,1692,171300,20,5826,678,32120,134,62317,2624,2770,74,3849,3297,3293,1002,53,005,010809
"Census Tract 108.10, Benton County, Washington",1400000US53005010810,4772,37.3,4650,21,22,11,0,141,0,2009,1832,1258,574,1079,0,0,0,0,51,1028,248500,0,4762,232,45093,222,102902,2051,2489,16,2964,2866,2660,1455,53,005,010810
"Census Tract 108.11, Benton County, Washington",1400000US53005010811,3381,42.0,3183,0,0,92,6,58,24,1157,1141,1119,22,87,0,0,0,0,0,87,288500,0,3381,16,47175,135,122529,1411,1832,43,2194,1968,2017,1183,53,005,010811
"Census Tract 108.13, Benton County, Washington",1400000US53005010813,9032,37.2,7878,2,165,287,14,924,492,3473,3146,2585,561,1662,0,0,0,0,286,1376,205800,0,9003,86,31789,181,80758,4030,4349,85,5196,4521,4622,1765,53,005,010813
"Census Tract 108.14, Benton County, Washington",1400000US53005010814,2492,36.9,2189,0,81,85,0,56,31,873,873,792,81,196,0,0,0,0,0,196,340400,0,2492,90,42703,134,105640,1124,1297,0,1559,1505,1466,700,53,005,010814
"Census Tract 109.01, Benton County, Washington",1400000US53005010901,6638,29.0,4590,196,66,151,0,2034,1277,2449,2301,939,1362,3088,0,0,0,156,177,2755,156100,13,5913,1157,18212,17,39434,3424,2340,12,4218,2962,3398,397,53,005,010901
"Census Tract 109.02, Benton County, Washington",1400000US53005010902,4754,28.7,3367,99,291,113,0,1519,810,1925,1780,914,866,2159,0,0,0,87,230,1842,143900,0,4742,1136,19025,10,37355,2592,1621,11,2756,2134,2244,330,53,005,010902
"Census Tract 110.01, Benton County, Washington",1400000US53005011001,4853,37.2,3060,42,60,271,0,1553,1357,2231,2056,1135,921,2327,0,0,0,204,151,1972,136200,0,4772,1481,20254,12,37560,2425,1603,114,2800,1946,2629,369,53,005,011001
"Census Tract 110.02, Benton County, Washington",1400000US53005011002,4302,28.6,3373,222,18,55,0,868,581,1895,1683,767,916,2007,0,0,25,127,223,1632,132000,0,4252,824,20114,0,41982,2176,1695,0,2724,2206,1916,348,53,005,011002
"Census Tract 111, Benton County, Washington",1400000US53005011100,7817,31.5,6114,201,64,170,0,1478,1090,2709,2663,1758,905,2897,0,0,0,78,390,2429,151400,0,7782,280,21069,0,51442,4207,2947,80,4722,3910,3826,483,53,005,011100
"Census Tract 112, Benton County, Washington",1400000US53005011200,6898,27.6,3650,247,66,202,0,3695,2588,2848,2550,629,1921,5275,0,76,373,60,581,4185,98200,0,6790,2945,11468,0,23180,2714,2267,28,4003,2022,3178,162,53,005,011200
"Census Tract 113, Benton County, Washington",1400000US53005011300,5058,28.7,3086,115,54,47,28,2245,1566,1934,1725,1109,616,1665,12,0,25,30,475,1123,98000,0,4934,1393,14210,12,28058,2481,1512,22,3079,1923,2739,125,53,005,011300
"Census Tract 114.01, Benton County, Washington",1400000US53005011401,4000,30.3,3163,51,0,0,0,1127,702,1434,1434,993,441,1041,7,0,0,65,297,672,125400,6,3988,546,18242,12,38636,2129,1446,10,2491,1962,2013,250,53,005,011401
"Census Tract 114.02, Benton County, Washington",1400000US53005011402,5267,42.5,4605,142,37,11,0,697,371,1873,1845,1730,115,365,38,0,0,24,102,201,174500,0,5234,165,31208,73,84199,2859,2039,56,3211,2773,2795,561,53,005,011402
"Census Tract 115.01, Benton County, Washington",1400000US53005011501,6810,39.4,5319,45,79,53,0,1883,1075,2426,2231,1725,506,1445,0,0,323,36,87,999,144100,0,6623,407,22954,0,60673,3733,2324,94,4598,3442,3746,402,53,005,011501
"Census Tract 115.03, Benton County, Washington",1400000US53005011503,8726,41.5,7180,49,15,799,0,789,290,3395,3274,2790,484,1168,0,0,0,111,131,926,201200,34,8647,534,32423,127,78566,4301,3580,63,5230,4566,4761,1718,53,005,011503
"Census Tract 115.04, Benton County, Washington",1400000US53005011504,2938,37.5,2688,60,7,18,16,262,68,988,971,918,53,170,0,0,0,67,103,0,184600,14,2938,220,26668,16,75710,1497,1313,0,1816,1651,1561,361,53,005,011504
"Census Tract 116, Benton County, Washington",1400000US53005011600,1004,28.0,532,0,174,0,0,348,298,309,283,211,72,323,0,0,0,26,128,169,87300,0,981,433,26989,15,47614,489,319,0,495,364,422,75,53,005,011600
"Census Tract 117, Benton County, Washington",1400000US53005011700,6528,39.0,5526,0,0,132,13,1955,595,2747,2500,1640,860,1785,0,50,96,284,230,1125,152100,0,6501,789,23764,74,50982,4015,1927,16,3862,2750,3303,661,53,005,011700
"Census Tract 118, Benton County, Washington",1400000US53005011800,6579,33.9,5447,45,2,0,1,2788,1081,2080,1953,1584,369,1524,0,88,20,96,570,750,182100,69,6556,1285,20989,40,54624,3717,1611,0,3789,2184,2986,510,53,005,011800
"Census Tract 119, Benton County, Washington",1400000US53005011900,5569,39.4,4382,21,46,23,14,1229,923,2287,2083,1680,403,1074,0,13,0,75,19,967,127600,0,5531,759,22690,22,47043,2377,2443,24,3621,2728,2911,383,53,005,011900
"Census Tract 120, Benton County, Washington",1400000US53005012000,43,43.9,43,0,0,0,0,0,0,23,23,23,0,0,0,0,0,0,0,0,-666666666,0,43,0,,0,-666666666,20,23,0,43,43,43,0,53,005,012000
"Census Tract 9601, Chelan County, Washington",1400000US53007960100,2373,42.4,2208,0,13,0,0,478,134,1344,897,597,300,810,0,0,20,54,191,545,180200,7,2325,397,22305,0,51117,1475,741,9,1430,1217,1291,185,53,007,960100
"Census Tract 9602, Chelan County, Washington",1400000US53007960200,5789,49.5,5194,0,354,50,8,331,104,5196,2411,1876,535,1214,0,0,0,133,268,813,297900,19,5752,829,26085,147,46250,3069,2311,40,3210,2987,2855,1074,53,007,960200
"Census Tract 9603, Chelan County, Washington",1400000US53007960300,7299,40.7,6444,0,25,0,0,2215,781,4666,2651,1735,916,3149,14,193,0,318,1008,1616,372400,120,7246,1425,24271,92,49661,4055,2417,25,4302,3164,3381,653,53,007,960300
"Census Tract 9604, Chelan County, Washington",1400000US53007960400,3706,33.5,3234,16,0,17,8,1574,420,1892,1139,684,455,1787,30,0,0,419,499,839,315100,49,3706,645,19220,13,44144,2373,582,41,2048,1234,1843,342,53,007,960400
"Census Tract 9605, Chelan County, Washington",1400000US53007960500,6559,38.7,6021,21,0,31,11,1432,396,2906,2283,1828,455,1461,15,0,110,178,413,745,265000,0,6392,660,25538,82,60331,4040,1747,66,3795,2951,3333,668,53,007,960500
"Census Tract 9606, Chelan County, Washington",1400000US53007960600,4061,38.8,3532,20,54,35,9,1245,289,1531,1431,884,547,1639,23,40,72,24,188,1292,236300,0,3972,459,20795,8,45637,2173,1316,49,2282,1581,1949,364,53,007,960600
"Census Tract 9607, Chelan County, Washington",1400000US53007960700,3698,45.0,3285,22,25,225,0,399,6,1432,1296,1122,174,367,0,0,21,22,159,165,374100,17,3698,189,42074,120,88782,1823,1589,8,2310,1944,2043,738,53,007,960700
"Census Tract 9608.01, Chelan County, Washington",1400000US53007960801,3243,45.1,2835,0,55,0,0,498,353,1166,1166,1081,85,176,0,0,0,0,32,144,311800,20,3234,160,32436,57,71121,1705,1376,18,1879,1523,1544,687,53,007,960801
"Census Tract 9608.02, Chelan County, Washington",1400000US53007960802,7256,40.4,6336,0,14,6,0,1778,606,3198,2970,1579,1391,3500,38,0,20,268,585,2589,201800,0,7220,1332,20507,19,43097,4572,1990,86,4304,3602,3468,587,53,007,960802
"Census Tract 9610, Chelan County, Washington",1400000US53007961000,6100,32.5,5591,60,56,69,0,2424,150,2705,2254,1069,1185,2293,0,12,93,98,376,1714,177800,0,5786,620,20646,48,40065,3162,1822,9,4190,2639,3443,613,53,007,961000
"Census Tract 9611, Chelan County, Washington",1400000US53007961100,8785,31.1,7759,14,110,0,22,3933,694,3363,3012,1675,1337,3794,0,31,0,631,597,2535,176000,0,8652,1392,18398,11,43731,4813,2210,55,5306,3159,4458,605,53,007,961100
"Census Tract 9612, Chelan County, Washington",1400000US53007961200,3849,39.2,3610,0,145,0,0,588,57,1644,1391,1049,342,1001,0,18,0,77,233,673,294600,0,3813,365,27790,29,64172,2380,1197,7,2465,2143,2231,394,53,007,961200
"Census Tract 9613.01, Chelan County, Washington",1400000US53007961301,1313,49.7,1183,130,0,0,0,0,0,618,618,491,127,236,0,0,0,0,44,192,294800,0,1313,2,39393,40,67234,775,395,0,752,706,752,339,53,007,961301
"Census Tract 9613.02, Chelan County, Washington",1400000US53007961302,7756,44.6,6787,0,0,104,0,1117,535,3454,3343,2181,1162,2388,29,0,0,45,567,1747,254600,0,7706,443,29725,155,48613,4024,3111,27,4533,3738,4033,1309,53,007,961302
"Census Tract 2, Clallam County, Washington",1400000US53009000200,1937,33.5,1466,198,28,30,0,326,79,692,429,367,62,131,0,0,0,9,13,109,209000,0,1071,81,15237,10,51281,956,873,28,1509,1339,1149,225,53,009,000200
"Census Tract 3, Clallam County, Washington",1400000US53009000300,4493,35.1,3367,46,198,119,0,1016,475,1887,1712,1110,602,1576,0,0,0,48,562,966,142800,5,4454,950,19885,0,45441,2297,1562,146,2758,2244,2286,293,53,009,000300
"Census Tract 4, Clallam County, Washington",1400000US53009000400,1611,48.0,1078,0,442,25,2,63,11,947,631,447,184,449,0,0,10,64,83,292,157600,0,1558,263,23412,24,39848,914,647,24,1071,1026,998,107,53,009,000400
"Census Tract 6, Clallam County, Washington",1400000US53009000600,3278,50.7,2809,0,363,29,3,68,1,2013,1448,1240,208,460,0,0,0,130,122,208,254700,43,3253,500,30986,67,48571,1746,1428,12,2086,1964,1923,491,53,009,000600
"Census Tract 7, Clallam County, Washington",1400000US53009000700,3609,43.2,3431,56,30,76,0,25,1,1529,1458,1107,351,847,0,0,0,275,125,447,223300,0,3496,508,29577,45,56875,1946,1543,0,2197,2044,1845,447,53,009,000700
"Census Tract 8, Clallam County, Washington",1400000US53009000800,4546,34.0,4033,176,44,1,0,192,13,2044,1897,942,955,2165,0,0,30,93,322,1720,192300,0,4489,713,21371,24,38853,2311,2081,85,2854,2801,2454,462,53,009,000800
"Census Tract 9, Clallam County, Washington",1400000US53009000900,2775,39.7,2395,18,194,85,0,117,35,1521,1335,661,674,1123,0,0,46,56,355,666,201500,0,2735,734,20575,0,33574,1558,1012,27,1883,1733,1615,478,53,009,000900
"Census Tract 10, Clallam County, Washington",1400000US53009001000,2404,39.4,2159,26,78,46,0,89,9,1287,1091,553,538,1097,10,0,10,248,134,695,199800,0,2297,296,23150,12,38250,1190,1066,9,1652,1560,1308,266,53,009,001000
"Census Tract 11, Clallam County, Washington",1400000US53009001100,3011,44.0,2619,39,65,28,0,68,23,1384,1301,917,384,999,0,0,64,17,119,799,251200,0,3011,524,25174,12,53319,1361,1469,28,1629,1544,1459,316,53,009,001100
"Census Tract 12, Clallam County, Washington",1400000US53009001200,3719,48.6,3367,11,224,0,13,33,13,1916,1735,920,815,1312,0,0,0,171,251,890,245800,0,3561,621,23239,21,38018,1960,1554,22,2179,1997,1820,593,53,009,001200
"Census Tract 13, Clallam County, Washington",1400000US53009001300,3247,49.6,3074,0,67,0,0,258,43,1598,1519,1267,252,597,0,0,32,58,149,358,197500,46,3247,359,26659,30,44450,1599,1514,54,1946,1769,1699,439,53,009,001300
"Census Tract 14, Clallam County, Washington",1400000US53009001400,4240,49.6,3963,0,152,52,0,107,10,2103,1846,1645,201,522,0,0,0,9,26,487,298800,0,4240,380,29057,65,61500,2500,1532,58,2635,2535,2478,473,53,009,001400
"Census Tract 15, Clallam County, Washington",1400000US53009001500,2062,46.7,1557,0,383,6,0,25,0,895,827,678,149,354,0,0,27,205,49,73,291900,12,2054,325,31495,32,58304,1319,676,0,1341,1324,1229,242,53,009,001500
"Census Tract 16, Clallam County, Washington",1400000US53009001600,2986,54.9,2892,0,8,73,0,49,0,1553,1467,1159,308,538,0,0,33,18,132,355,258800,10,2976,316,28298,20,44848,1163,1634,34,1630,1602,1499,316,53,009,001600
"Census Tract 17, Clallam County, Washington",1400000US53009001700,4465,58.2,4142,43,38,77,0,155,109,2427,2112,1715,397,962,0,0,13,111,118,720,259500,10,4464,473,26115,50,42423,1586,2492,156,2180,1920,2081,410,53,009,001700
"Census Tract 18, Clallam County, Washington",1400000US53009001800,2689,55.2,2576,0,55,10,0,53,0,1254,1187,948,239,569,10,0,23,0,79,457,339800,21,2689,447,25953,12,49205,900,1706,10,1549,1447,1432,441,53,009,001800
"Census Tract 19, Clallam County, Washington",1400000US53009001900,5948,58.8,5706,31,25,45,0,228,28,2958,2734,2127,607,1511,0,15,0,88,273,1135,311400,25,5948,246,30144,26,57568,2149,3363,50,2903,2643,2453,768,53,009,001900
"Census Tract 20, Clallam County, Washington",1400000US53009002000,5259,59.8,4782,0,116,124,0,191,64,2747,2474,1759,715,1426,0,0,57,67,81,1221,262200,13,5152,592,27056,39,46188,1896,2833,93,2221,1961,2013,625,53,009,002000
"Census Tract 21, Clallam County, Washington",1400000US53009002100,3368,47.4,2900,0,136,139,0,261,0,1881,1636,691,945,1599,0,0,0,70,185,1344,195300,16,3275,514,23428,0,37857,1261,1815,29,1875,1631,1552,193,53,009,002100
"Census Tract 23, Clallam County, Washington",1400000US53009002300,3976,54.9,3864,18,0,49,0,99,11,2108,1745,1538,207,374,0,0,0,70,75,229,325200,16,3976,216,29236,46,50677,1352,2328,34,2224,2087,2072,590,53,009,002300
"Census Tract 9400, Clallam County, Washington",1400000US53009940000,1454,30.6,200,28,929,72,28,180,23,571,472,296,176,454,0,3,10,44,73,324,124200,0,1414,355,17439,7,35625,1086,279,23,900,810,708,105,53,009,940000
"Census Tract 9901, Clallam County, Washington",1400000US53009990100,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,-666666666,0,-666666666,0,0,0,0,0,0,0,53,009,990100
"Census Tract 401.01, Clark County, Washington",1400000US53011040101,4147,34.2,4031,0,44,0,0,55,0,1546,1434,1132,302,950,0,0,57,101,118,674,247900,2,4147,241,26564,46,70543,1827,2203,33,2517,2404,2208,270,53,011,040101
"Census Tract 401.02, Clark County, Washington",1400000US53011040102,3124,30.8,2962,0,11,0,0,156,0,1074,1041,900,141,445,0,0,67,42,34,302,326700,39,3124,198,23548,36,56220,1514,1544,13,1739,1719,1442,291,53,011,040102
"Census Tract 402.01, Clark County, Washington",1400000US53011040201,5244,43.1,4863,50,37,26,7,129,78,2056,2029,1669,360,791,0,31,58,58,112,532,320200,30,5240,316,28741,14,68542,2094,2849,120,3205,3033,2719,777,53,011,040201
"Census Tract 402.02, Clark County, Washington",1400000US53011040202,3888,35.1,3518,161,11,7,8,193,25,1401,1287,1094,193,556,3,0,0,0,140,413,335300,0,3815,294,28386,83,66028,1612,2202,24,2441,2397,2143,383,53,011,040202
"Census Tract 402.03, Clark County, Washington",1400000US53011040203,4911,40.7,4691,0,7,53,0,111,29,1813,1639,1439,200,407,0,0,0,34,44,329,333100,11,4901,122,30384,104,78224,1951,2759,78,3008,2874,2655,616,53,011,040203
"Census Tract 403.01, Clark County, Washington",1400000US53011040301,1443,42.4,1293,0,0,23,0,95,17,543,543,451,92,318,0,0,0,0,0,318,416800,0,1443,182,26740,0,53558,629,685,26,896,763,871,247,53,011,040301
"Census Tract 403.02, Clark County, Washington",1400000US53011040302,5807,36.2,5491,0,11,125,0,177,23,1879,1801,1524,277,1027,0,23,0,48,29,927,346000,45,5673,601,29596,115,88373,1812,3509,60,3377,3138,3183,1013,53,011,040302
"Census Tract 404.03, Clark County, Washington",1400000US53011040403,3909,46.8,3902,0,7,0,0,133,0,1438,1413,1278,135,383,0,0,0,47,33,303,425400,23,3888,146,38297,82,77944,1483,2249,15,2556,2420,2218,766,53,011,040403
"Census Tract 404.07, Clark County, Washington",1400000US53011040407,5043,27.7,4633,143,2,21,0,328,143,1752,1645,1040,605,1542,0,0,0,53,177,1312,209700,0,5017,756,19532,0,47416,2232,2267,25,3003,2634,2432,316,53,011,040407
"Census Tract 404.08, Clark County, Washington",1400000US53011040408,3563,42.2,3378,0,0,115,0,144,13,1166,1166,1083,83,299,24,11,0,153,43,68,415000,8,3477,264,35629,90,74189,1063,2107,74,2032,1640,1761,549,53,011,040408
"Census Tract 404.09, Clark County, Washington",1400000US53011040409,1723,48.0,1663,42,0,18,0,204,0,736,690,576,114,209,0,0,0,16,157,36,320000,20,1723,25,45877,72,79286,230,1313,0,1073,922,934,322,53,011,040409
"Census Tract 404.11, Clark County, Washington",1400000US53011040411,1620,27.7,1494,0,0,85,0,271,0,900,774,337,437,958,0,0,0,0,103,855,288700,0,1618,90,35418,14,66298,469,1109,0,1085,1042,967,302,53,011,040411
"Census Tract 404.12, Clark County, Washington",1400000US53011040412,3944,35.7,3572,29,0,284,0,225,0,1674,1565,1228,337,898,0,0,0,0,221,677,292400,0,3940,240,36313,115,74350,1343,2338,0,2481,2265,2186,1056,53,011,040412
"Census Tract 404.13, Clark County, Washington",1400000US53011040413,2841,29.0,2703,0,13,0,18,147,49,883,883,678,205,626,0,0,0,0,0,626,227200,8,2841,304,22686,14,60089,1174,1480,0,1579,1349,1254,171,53,011,040413
"Census Tract 404.14, Clark County, Washington",1400000US53011040414,5522,29.7,4833,149,41,258,0,258,108,1694,1650,1415,235,809,0,0,0,0,73,736,264300,0,5503,262,21296,16,64070,1861,2614,0,3252,2517,2741,494,53,011,040414
"Census Tract 404.15, Clark County, Washington",1400000US53011040415,3713,33.3,3547,16,0,21,25,379,0,1244,1176,854,322,834,0,0,0,30,61,743,254500,0,3675,507,18898,0,58560,1154,2334,59,2173,2023,1694,263,53,011,040415
"Census Tract 404.16, Clark County, Washington",1400000US53011040416,3325,36.4,3067,0,0,197,0,67,18,1091,1038,1024,14,27,0,0,0,0,27,0,375800,15,3325,133,33147,80,100845,1453,1618,17,1939,1711,1682,522,53,011,040416
"Census Tract 405.04, Clark County, Washington",1400000US53011040504,5163,39.0,4875,13,9,81,18,155,10,1523,1523,1375,148,459,0,0,31,0,43,385,346300,9,4834,375,25780,58,77117,1991,2965,49,3067,2913,2763,556,53,011,040504
"Census Tract 405.05, Clark County, Washington",1400000US53011040505,5746,41.2,5507,0,12,45,0,92,30,1910,1864,1736,128,340,0,0,78,117,47,98,383000,28,5733,411,30547,129,77164,2453,2997,79,3431,3303,2939,884,53,011,040505
"Census Tract 405.07, Clark County, Washington",1400000US53011040507,2327,40.1,2142,0,23,8,0,189,139,844,818,595,223,409,0,0,0,6,62,341,184700,11,2327,400,23187,38,50688,893,1335,11,1599,1521,1245,205,53,011,040507
"Census Tract 405.08, Clark County, Washington",1400000US53011040508,6225,37.1,5868,0,32,195,11,145,0,2469,2320,1898,422,980,0,0,0,0,222,758,266600,0,6225,468,31663,101,76477,2110,3600,149,3921,3669,3612,1068,53,011,040508
"Census Tract 405.09, Clark County, Washington",1400000US53011040509,2799,40.6,2629,12,16,11,0,266,60,1325,1185,625,560,1423,0,0,48,59,381,935,174000,14,2777,794,24009,14,42772,1118,1638,9,1830,1810,1489,202,53,011,040509
"Census Tract 405.10, Clark County, Washington",1400000US53011040510,4794,42.2,4509,31,0,47,0,77,30,1884,1707,1518,189,553,0,0,0,0,70,483,399400,58,4794,213,38122,145,93159,1348,3354,0,3263,3200,2923,1093,53,011,040510
"Census Tract 405.11, Clark County, Washington",1400000US53011040511,2271,41.2,1985,0,70,35,0,0,30,754,724,674,50,284,0,0,0,0,128,156,468100,0,2271,103,32007,57,73269,527,1537,39,1456,1367,1318,538,53,011,040511
"Census Tract 406.03, Clark County, Washington",1400000US53011040603,4687,41.9,4294,50,8,109,42,176,0,1653,1519,1406,113,252,0,0,0,0,21,231,427600,47,4626,195,35004,115,87298,1618,2815,131,3042,2863,2550,853,53,011,040603
"Census Tract 406.04, Clark County, Washington",1400000US53011040604,5638,31.4,5037,64,30,178,0,658,53,1775,1751,1454,297,1280,42,0,0,60,691,487,225000,0,5558,307,27059,148,73028,1628,3408,19,3583,3084,2866,775,53,011,040604
"Census Tract 406.05, Clark County, Washington",1400000US53011040605,4062,39.0,3749,47,0,119,41,98,0,1731,1574,1235,339,806,0,0,0,10,86,710,312500,0,4062,137,33726,76,63924,1916,1924,33,2506,2313,2258,905,53,011,040605
"Census Tract 406.08, Clark County, Washington",1400000US53011040608,3911,39.1,3311,113,0,446,0,88,0,1299,1248,1202,46,96,0,0,0,13,0,83,432600,110,3911,11,50115,209,120000,838,2475,101,2413,1946,2165,1380,53,011,040608
