NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B03003_003E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9501, Adams County, Washington",1400000US53001950100,2554,42.7,2376,34,14,4,5,85,37,1132,965,656,309,741,0,53,44,29,39,576,120500,5,2397,439,20641,3,43575,1669,763,23,1607,1509,1386,204,53,001,950100
"Census Tract 9502, Adams County, Washington",1400000US53001950200,1644,44.0,1385,0,6,7,8,212,199,828,670,470,200,486,20,12,9,47,155,243,90000,2,1644,346,21032,11,40395,1001,512,15,919,812,832,229,53,001,950200
"Census Tract 9503, Adams County, Washington",1400000US53001950300,6704,26.1,3376,0,0,84,0,4699,3107,1854,1743,1189,554,2163,0,24,1,350,145,1643,115200,0,6657,1453,15414,24,42393,3091,1231,23,3622,1185,2894,282,53,001,950300
"Census Tract 9504, Adams County, Washington",1400000US53001950400,2839,27.9,1829,0,0,18,0,1996,950,870,858,360,498,1651,20,0,0,125,110,1396,146000,0,2792,894,15828,13,41821,1219,719,3,1476,425,1141,202,53,001,950400
"Census Tract 9505, Adams County, Washington",1400000US53001950500,4548,26.3,2350,15,200,26,0,3521,1625,1526,1430,891,539,1656,0,45,0,167,294,1150,146500,0,4531,1289,14363,8,35305,2455,885,30,2393,870,1935,187,53,001,950500
"Census Tract 9601, Asotin County, Washington",1400000US53003960100,4074,45.4,3851,0,70,16,38,37,11,1897,1583,1393,190,702,0,14,25,106,55,502,247600,31,4050,348,30863,80,56969,1253,2696,38,2296,2203,2085,527,53,003,960100
"Census Tract 9602, Asotin County, Washington",1400000US53003960200,4283,51.6,4237,1,0,14,0,54,11,2002,1950,1619,331,573,0,0,13,0,155,405,187200,0,4245,272,31456,53,48333,1049,3185,10,2434,2375,2090,514,53,003,960200
"Census Tract 9603, Asotin County, Washington",1400000US53003960300,3633,39.6,3267,70,40,25,0,106,40,1847,1603,936,667,1318,0,0,9,174,191,944,93200,0,3496,780,17967,28,29375,1098,2481,19,2318,2176,2060,136,53,003,960300
"Census Tract 9604, Asotin County, Washington",1400000US53003960400,2423,39.2,2244,16,6,0,0,137,0,1016,938,579,359,1104,0,0,88,70,167,779,156900,8,2407,477,17244,0,40054,669,1726,0,1506,1467,1300,218,53,003,960400
"Census Tract 9605, Asotin County, Washington",1400000US53003960500,3551,37.1,3259,4,44,0,0,217,131,1540,1456,832,624,1301,0,0,32,113,227,929,141300,0,3353,891,17583,6,35287,872,2596,7,1977,1814,1629,246,53,003,960500
"Census Tract 9606, Asotin County, Washington",1400000US53003960600,3562,40.8,3406,1,88,18,0,96,0,1514,1350,976,374,920,0,16,0,83,88,733,187900,0,3549,323,23578,5,58305,1246,2256,8,2221,2186,1850,245,53,003,960600
"Census Tract 101, Benton County, Washington",1400000US53005010100,4315,48.1,3831,40,43,298,0,150,0,1835,1803,1552,251,474,14,0,0,29,34,397,233000,0,4291,259,48323,209,102011,1577,2218,35,2476,2122,2279,1534,53,005,010100
"Census Tract 102.01, Benton County, Washington",1400000US53005010201,3903,42.3,3377,43,49,221,0,233,44,1740,1662,1288,374,669,0,0,0,15,187,467,201900,11,3893,197,36255,89,60208,1671,1883,57,2454,2118,2173,1011,53,005,010201
"Census Tract 102.02, Benton County, Washington",1400000US53005010202,5918,32.3,4952,87,59,521,62,352,0,3006,2717,1224,1493,2934,0,0,61,189,155,2529,149800,0,5876,893,28584,39,50938,2549,2494,126,3912,3261,3177,1249,53,005,010202
"Census Tract 103, Benton County, Washington",1400000US53005010300,5517,37.2,4796,140,0,112,0,490,173,2346,2276,1352,924,2200,19,0,0,73,110,1998,141900,0,5517,446,27512,0,55931,2760,2528,73,3222,2960,2929,796,53,005,010300
"Census Tract 104, Benton County, Washington",1400000US53005010400,3719,32.0,3273,125,47,22,0,313,195,1563,1463,953,510,1477,0,0,155,47,224,1051,109100,0,3719,548,19778,15,41113,2180,1408,9,2133,1930,1800,255,53,005,010400
"Census Tract 105, Benton County, Washington",1400000US53005010500,2557,30.8,2192,1,6,0,23,360,147,1106,882,359,523,1508,8,0,27,196,311,966,143900,0,2547,116,19985,0,52154,1353,1019,10,1401,1222,1175,255,53,005,010500
