NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B03003_003E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 401, Kent County, Delaware",1400000US10001040100,6706,40.3,6107,358,0,0,0,341,26,2408,2255,1946,309,1104,0,14,228,288,64,510,237900,36,6692,338,25826,0,70055,4221,2311,51,4412,4244,3815,541,10,001,040100
"Census Tract 402.01, Kent County, Delaware",1400000US10001040201,5262,33.4,3874,1109,0,37,18,479,43,1913,1775,1291,484,1244,10,0,0,123,372,739,212500,0,5235,525,23476,33,54770,2701,2136,275,3225,3025,2694,473,10,001,040201
"Census Tract 402.02, Kent County, Delaware",1400000US10001040202,11871,38.3,8455,2679,178,139,0,425,130,4634,4122,3600,522,1502,0,0,121,25,290,1066,251900,0,11535,782,28409,103,67655,5129,6088,221,6924,6440,6094,1460,10,001,040202
"Census Tract 402.03, Kent County, Delaware",1400000US10001040203,4775,33.3,2833,1715,0,61,0,146,47,1920,1799,1251,548,1384,0,0,93,166,191,934,186200,0,4742,443,23942,17,54124,2565,1950,133,2859,2725,2418,347,10,001,040203
"Census Tract 405.01, Kent County, Delaware",1400000US10001040501,5173,30.7,2205,2497,0,71,0,111,70,1960,1736,1214,522,1675,0,0,9,63,46,1557,195700,0,5128,1364,19672,21,47616,1955,2962,30,2672,2533,2325,451,10,001,040501
"Census Tract 405.02, Kent County, Delaware",1400000US10001040502,2210,43.4,1604,429,0,121,0,223,38,1008,996,695,301,947,0,83,0,27,218,619,162200,0,2210,60,24629,0,45336,910,1150,18,1092,922,1033,143,10,001,040502
"Census Tract 407, Kent County, Delaware",1400000US10001040700,4959,35.8,2555,1953,27,134,0,152,72,1971,1718,1250,468,1561,0,0,0,148,21,1392,238000,9,4744,864,29526,127,69125,1839,2802,26,2827,2666,2456,1114,10,001,040700
"Census Tract 409, Kent County, Delaware",1400000US10001040900,2611,31.3,1794,808,0,0,0,51,5,1141,943,352,591,818,0,0,0,127,298,393,215300,0,1746,315,21158,10,27708,699,1776,39,1906,1821,928,400,10,001,040900
"Census Tract 410, Kent County, Delaware",1400000US10001041000,5824,31.7,3828,1634,0,102,0,1593,55,2567,2362,1360,1002,2376,0,39,14,279,487,1557,127800,0,5753,822,22424,0,46570,2280,2513,344,3692,2862,3102,534,10,001,041000
"Census Tract 411, Kent County, Delaware",1400000US10001041100,3247,20.8,2319,497,45,81,0,258,26,863,813,0,813,2898,0,0,0,0,184,2714,-666666666,0,2898,365,15612,0,46892,312,2553,165,1885,1643,1219,140,10,001,041100
"Census Tract 412, Kent County, Delaware",1400000US10001041200,4375,41.1,2044,1382,0,645,7,445,144,1832,1668,1100,568,880,0,0,0,106,204,570,174300,0,4361,398,23165,33,44803,1825,1726,54,2605,1970,2355,631,10,001,041200
"Census Tract 413, Kent County, Delaware",1400000US10001041300,2098,31.0,1182,844,0,6,0,19,0,1015,879,392,487,1141,0,0,8,8,201,924,167900,0,2059,739,20945,0,38403,1138,893,44,1326,1303,1007,229,10,001,041300
"Census Tract 414, Kent County, Delaware",1400000US10001041400,3420,28.4,1193,2088,0,13,9,235,28,1635,1298,429,869,1994,22,0,56,225,125,1566,200200,0,3187,1051,19811,31,30238,1641,1564,41,2001,1824,1560,357,10,001,041400
"Census Tract 415, Kent County, Delaware",1400000US10001041500,3683,40.2,1983,1435,33,156,0,46,0,1629,1409,1028,381,806,0,10,14,13,18,751,179100,0,3683,317,30099,23,66250,1292,1881,81,2392,2144,2128,546,10,001,041500
"Census Tract 416, Kent County, Delaware",1400000US10001041600,2021,48.9,1774,95,34,82,0,30,0,892,808,659,149,328,5,0,0,94,87,142,234800,0,2021,97,33583,30,77550,829,1056,12,1162,1080,1005,306,10,001,041600
"Census Tract 417.01, Kent County, Delaware",1400000US10001041701,5522,40.7,3960,1150,9,116,0,423,165,2358,2041,1734,307,819,0,10,18,41,245,505,192700,19,5491,434,27092,55,58708,2288,2761,113,3197,2643,2821,827,10,001,041701
"Census Tract 417.02, Kent County, Delaware",1400000US10001041702,4606,37.3,2859,1339,8,279,0,215,35,1519,1460,1177,283,835,0,0,24,102,82,627,258900,0,4606,732,27315,78,74013,2037,2130,153,2720,2434,2226,733,10,001,041702
"Census Tract 418.01, Kent County, Delaware",1400000US10001041801,9517,35.8,6132,2375,247,355,0,435,213,3750,3421,2824,597,1529,0,13,27,68,417,1004,204400,22,9481,1006,23872,46,53886,4947,3859,150,5853,5009,4822,1184,10,001,041801
"Census Tract 418.02, Kent County, Delaware",1400000US10001041802,4532,31.2,3319,825,0,231,0,87,57,2029,1567,1287,280,683,0,9,23,124,17,510,257700,11,4520,668,30601,91,63008,1769,2494,30,2777,2266,2272,612,10,001,041802
"Census Tract 419, Kent County, Delaware",1400000US10001041900,4758,42.1,4425,196,0,57,0,59,0,1986,1822,1647,175,430,0,0,16,93,85,236,191900,0,4732,591,23365,21,49467,2728,1839,23,2970,2559,2600,331,10,001,041900
"Census Tract 420, Kent County, Delaware",1400000US10001042000,3056,40.4,2878,63,15,0,0,55,12,1241,1160,958,202,438,33,8,0,58,164,175,175300,22,3056,305,23623,46,46607,1823,1127,47,2009,1912,1744,268,10,001,042000
"Census Tract 421, Kent County, Delaware",1400000US10001042100,4004,37.2,3221,668,0,52,0,137,0,1635,1505,1205,300,691,0,54,0,24,97,516,221800,30,3999,485,24469,14,60609,2273,1610,25,2425,2325,2096,363,10,001,042100
"Census Tract 422.01, Kent County, Delaware",1400000US10001042201,9097,35.1,6287,1915,13,185,13,296,22,3790,3197,2257,940,2450,0,0,45,42,370,1993,246800,10,9097,972,26046,103,61976,3684,4759,325,5605,5320,4701,1462,10,001,042201
"Census Tract 422.02, Kent County, Delaware",1400000US10001042202,9436,38.8,7455,1499,3,124,24,412,87,3432,3203,2648,555,1754,0,14,0,22,443,1275,221000,17,9436,994,26610,66,65778,3927,4693,554,6263,5686,5122,1153,10,001,042202
"Census Tract 425, Kent County, Delaware",1400000US10001042500,3516,40.3,2223,877,0,22,37,653,339,1746,1515,603,912,2031,0,14,58,79,640,1240,175100,8,3417,584,18371,0,32301,1489,1417,267,2435,1772,2091,241,10,001,042500
"Census Tract 428, Kent County, Delaware",1400000US10001042800,7109,41.6,5304,1075,148,341,0,348,50,2993,2830,2206,624,1208,0,0,40,76,301,791,201000,29,6968,987,23848,2,47778,3700,3187,53,4391,4153,3938,586,10,001,042800
"Census Tract 429, Kent County, Delaware",1400000US10001042900,5169,39.2,4389,693,0,20,0,239,61,1835,1723,1541,182,521,0,0,0,251,12,258,209800,10,5136,346,23566,9,59075,2979,2100,32,3156,3003,2754,551,10,001,042900
"Census Tract 430, Kent County, Delaware",1400000US10001043000,5267,36.1,4213,792,0,30,0,314,63,2326,2175,1359,816,1716,0,0,13,242,277,1184,177600,0,5267,783,20671,6,38290,2780,2308,59,3244,3018,2696,295,10,001,043000
"Census Tract 431, Kent County, Delaware",1400000US10001043100,2142,46.6,1955,133,0,0,0,12,0,1012,840,731,109,304,0,0,77,107,51,69,212800,6,2133,141,25442,0,59211,1260,852,14,1330,1304,1180,86,10,001,043100
"Census Tract 432.02, Kent County, Delaware",1400000US10001043202,3797,39.6,3550,153,0,9,0,241,38,1917,1406,1006,400,1170,1,2,24,137,159,847,175200,2,3797,643,22341,4,49853,2066,1544,38,2406,2290,2079,273,10,001,043202
"Census Tract 433, Kent County, Delaware",1400000US10001043300,6094,22.7,1963,3743,0,98,59,316,65,1816,1508,709,799,1862,16,6,70,25,209,1536,190000,14,3963,656,15369,7,47972,1476,3992,101,4436,3911,1830,390,10,001,043300
"Census Tract 434, Kent County, Delaware",1400000US10001043400,4079,45.5,3334,540,8,28,0,179,59,1843,1675,1254,421,915,0,0,0,45,151,719,239600,13,4050,468,27113,33,49120,1981,1879,60,2345,2255,2075,375,10,001,043400
"Census Tract 9900, Kent County, Delaware",1400000US10001990000,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,-666666666,0,-666666666,0,0,0,0,0,0,0,10,001,990000
"Census Tract 2, New Castle County, Delaware",1400000US10003000200,5413,42.2,903,4311,29,18,0,108,108,2542,2340,1616,724,1622,0,48,124,63,294,1093,184800,18,5338,652,28919,36,50923,3400,1900,59,3416,3289,3232,697,10,003,000200
"Census Tract 3, New Castle County, Delaware",1400000US10003000300,3323,40.5,482,2664,0,18,0,260,62,1391,1255,681,574,1624,19,0,84,11,649,861,171500,0,3307,325,21487,0,47560,1830,1313,37,2208,2158,1937,450,10,003,000300
"Census Tract 4, New Castle County, Delaware",1400000US10003000400,3057,42.2,1514,1486,0,36,0,167,0,1672,1537,697,840,1448,0,0,15,102,462,869,259800,10,3005,567,35477,120,39375,1263,1623,29,1981,1791,1869,980,10,003,000400
"Census Tract 5, New Castle County, Delaware",1400000US10003000500,3599,33.2,444,2998,45,0,0,135,60,1475,1226,851,375,992,0,0,0,77,339,576,138000,0,3599,473,20130,23,52203,2494,970,52,2273,2083,1836,288,10,003,000500
"Census Tract 6.01, New Castle County, Delaware",1400000US10003000601,3451,29.7,152,3256,0,0,0,19,3,1091,1027,584,443,1386,0,0,28,267,309,782,113500,0,3192,1089,13054,0,37847,2266,1059,37,2096,2022,1780,129,10,003,000601
"Census Tract 6.02, New Castle County, Delaware",1400000US10003000602,2855,34.7,343,2336,0,0,0,178,87,1516,1061,427,634,1948,0,0,174,74,356,1344,93500,7,2824,993,14865,17,27204,1965,773,40,1648,1408,1373,139,10,003,000602
"Census Tract 9, New Castle County, Delaware",1400000US10003000900,1996,37.2,133,1738,0,0,0,125,125,1012,773,246,527,1423,28,0,0,236,96,1063,95300,0,1964,623,15105,0,31698,1310,563,25,1352,1147,1145,73,10,003,000900
"Census Tract 11, New Castle County, Delaware",1400000US10003001100,3321,45.3,2652,466,0,99,0,123,0,2549,2226,679,1547,2096,0,0,32,175,362,1527,224600,0,3231,294,41965,44,48833,1221,1700,106,2266,2001,2041,1105,10,003,001100
"Census Tract 12, New Castle County, Delaware",1400000US10003001200,1352,41.6,1183,135,0,16,0,37,7,894,790,540,250,419,0,0,10,63,0,346,269600,0,1249,90,51104,47,65789,622,668,3,1081,945,972,607,10,003,001200
"Census Tract 13, New Castle County, Delaware",1400000US10003001300,3719,48.6,3567,47,0,16,0,42,16,1936,1841,1653,188,381,0,25,0,79,0,277,390700,214,3719,218,88909,564,128080,1567,1973,84,2424,2167,2270,1804,10,003,001300
"Census Tract 14, New Castle County, Delaware",1400000US10003001400,1893,34.2,1323,542,9,7,0,354,8,1056,913,439,474,872,0,0,0,85,93,694,235100,0,1791,259,29214,10,38179,999,744,125,1213,997,1068,389,10,003,001400
"Census Tract 15, New Castle County, Delaware",1400000US10003001500,2425,40.8,1364,1045,0,0,7,78,0,1299,1097,402,695,1131,9,54,0,25,251,792,221000,0,2411,398,27452,50,31815,1210,1044,42,1565,1357,1418,547,10,003,001500
"Census Tract 16, New Castle County, Delaware",1400000US10003001600,2675,29.7,657,1962,0,0,0,357,17,1219,1094,201,893,2070,0,0,0,89,660,1321,123400,0,2675,1045,15863,0,25848,1626,836,2,1788,1410,1520,275,10,003,001600
"Census Tract 19.02, New Castle County, Delaware",1400000US10003001902,2036,32.9,335,1576,0,24,0,15,0,1188,963,314,649,1308,0,26,63,94,408,717,137500,0,2036,670,28118,74,25664,1195,737,0,1336,1203,1051,320,10,003,001902
"Census Tract 21, New Castle County, Delaware",1400000US10003002100,1919,40.3,263,1424,0,49,0,207,151,1026,814,236,578,1435,0,0,87,213,191,944,148800,0,1911,707,13707,0,24079,1048,610,119,1171,1015,1052,231,10,003,002100
"Census Tract 22, New Castle County, Delaware",1400000US10003002200,3500,24.1,1528,1513,163,24,0,1694,129,1157,942,351,591,2343,0,0,0,115,323,1905,97400,0,3460,1635,10499,0,22500,1805,896,392,1815,1152,1484,129,10,003,002200
"Census Tract 23, New Castle County, Delaware",1400000US10003002300,3277,28.1,1291,1602,156,10,0,1172,16,1245,1014,348,666,2359,22,0,0,223,587,1527,147000,0,3242,1083,14017,0,31212,1714,862,92,2031,1246,1575,115,10,003,002300
"Census Tract 24, New Castle County, Delaware",1400000US10003002400,4780,35.8,2725,1771,66,20,0,440,166,2308,2051,1021,1030,2410,0,151,96,76,204,1883,212900,0,4626,549,27469,28,49529,2896,1524,38,3269,2719,2833,739,10,003,002400
"Census Tract 25, New Castle County, Delaware",1400000US10003002500,3558,34.6,2431,690,66,0,0,1010,96,1452,1289,967,322,1084,0,24,8,49,422,581,169000,0,3450,398,22641,14,53481,1919,866,102,2363,1636,1964,391,10,003,002500
"Census Tract 26, New Castle County, Delaware",1400000US10003002600,3587,28.4,1408,1638,0,82,0,1058,314,1547,1206,667,539,1906,10,11,0,0,342,1543,137800,0,3478,850,14259,0,32995,1899,1082,238,1903,1204,1610,270,10,003,002600
"Census Tract 27, New Castle County, Delaware",1400000US10003002700,1809,28.4,842,845,0,7,0,385,72,961,756,365,391,876,23,0,0,16,61,776,147100,0,1809,196,23437,6,50255,927,672,22,1247,946,1057,184,10,003,002700
"Census Tract 28, New Castle County, Delaware",1400000US10003002800,1804,32.5,889,717,0,166,0,45,13,1133,957,301,656,1014,0,0,10,5,173,826,300400,0,1804,361,36937,37,40817,841,696,35,1502,1272,1285,603,10,003,002800
"Census Tract 29, New Castle County, Delaware",1400000US10003002900,3071,33.8,161,2812,0,0,0,62,7,1814,1480,136,1344,2686,50,22,43,211,736,1624,132100,0,3071,1733,10330,0,11946,2021,893,50,1759,1614,1534,134,10,003,002900
"Census Tract 30.02, New Castle County, Delaware",1400000US10003003002,2872,25.2,434,2330,0,23,0,160,74,816,641,228,413,1178,0,0,20,95,267,796,152100,0,1852,919,8515,0,23260,1988,791,29,1926,1584,1299,28,10,003,003002
