NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 4801, Arkansas County, Arkansas",1400000US05001480100,1500,40.9,1355,145,0,0,0,0,834,577,444,133,380,26,0,2,77,10,265,51200,0,1482,158,19772,3,38920,1339,156,5,893,893,829,50,05,001,480100
"Census Tract 4802, Arkansas County, Arkansas",1400000US05001480200,1579,43.2,1423,147,0,0,0,0,876,664,545,119,230,0,2,16,18,29,165,62900,10,1579,163,21554,3,41346,1468,111,0,1010,993,886,113,05,001,480200
"Census Tract 4803, Arkansas County, Arkansas",1400000US05001480300,3197,41.3,1977,1129,0,67,0,9,1461,1394,909,485,976,0,0,45,147,68,716,86600,11,3127,739,24736,16,31154,2508,514,0,2008,1869,1832,315,05,001,480300
"Census Tract 4804, Arkansas County, Arkansas",1400000US05001480400,2701,29.6,801,1846,0,13,0,0,1233,1019,567,452,1166,0,0,14,68,166,918,72400,0,2612,827,15308,14,31597,2315,373,0,1468,1449,1221,84,05,001,480400
"Census Tract 4805, Arkansas County, Arkansas",1400000US05001480500,3963,42.5,3101,635,0,86,6,109,1944,1765,1166,599,1235,0,16,8,51,89,1071,91200,0,3842,471,28595,42,48605,3095,660,13,2540,2297,2021,305,05,001,480500
"Census Tract 4806, Arkansas County, Arkansas",1400000US05001480600,1537,45.8,1414,90,7,0,0,26,746,675,495,180,375,8,0,16,25,87,239,70500,0,1367,123,26085,14,44097,1345,181,0,934,923,776,150,05,001,480600
"Census Tract 4807, Arkansas County, Arkansas",1400000US05001480700,3211,43.9,2418,614,84,0,0,0,1434,1359,795,564,1422,19,0,3,42,123,1235,63600,0,3161,756,17093,8,29738,2644,463,44,1777,1679,1551,163,05,001,480700
"Census Tract 4808, Arkansas County, Arkansas",1400000US05001480800,1458,46.0,1352,58,0,0,0,45,963,636,467,169,377,5,0,0,58,62,252,80200,0,1458,158,22636,0,45714,1158,278,0,934,912,872,250,05,001,480800
"Census Tract 9601, Ashley County, Arkansas",1400000US05003960100,2062,40.2,1211,725,0,0,0,82,891,780,640,140,393,8,27,8,55,96,199,50600,9,2055,422,20301,25,33548,1543,498,0,1351,1301,1161,160,05,003,960100
"Census Tract 9602, Ashley County, Arkansas",1400000US05003960200,2585,40.1,2157,203,41,0,0,23,1286,1037,799,238,621,56,0,10,147,0,408,57500,0,2585,441,16587,0,35903,2015,523,2,1489,1444,1330,170,05,003,960200
"Census Tract 9603, Ashley County, Arkansas",1400000US05003960300,5081,36.1,3675,928,7,0,0,444,2018,1912,1529,383,1081,0,0,36,16,319,710,65100,0,4981,996,19044,40,36442,3695,1166,11,2796,2515,2435,392,05,003,960300
"Census Tract 9604, Ashley County, Arkansas",1400000US05003960400,1821,48.1,1181,599,0,0,0,0,972,731,598,133,317,31,0,0,71,51,164,54800,0,1770,294,22389,10,36985,1300,512,9,1217,1213,1029,122,05,003,960400
"Census Tract 9605, Ashley County, Arkansas",1400000US05003960500,2900,38.9,2253,393,0,24,0,179,1328,1204,883,321,670,0,0,0,15,0,655,59100,0,2885,659,18298,0,34524,1676,1093,36,1814,1650,1529,131,05,003,960500
"Census Tract 9606, Ashley County, Arkansas",1400000US05003960600,5442,37.6,3370,2051,0,0,0,0,2698,2310,1416,894,1764,0,0,0,163,208,1393,73000,0,5342,904,18845,26,30813,3615,1775,11,3039,2998,2611,403,05,003,960600
"Census Tract 9607, Ashley County, Arkansas",1400000US05003960700,2075,40.9,1300,759,0,16,0,0,1000,854,664,190,449,22,21,0,19,177,210,61000,6,2075,158,21817,0,49259,1393,662,8,1345,1315,1255,142,05,003,960700
"Census Tract 9501, Baxter County, Arkansas",1400000US05005950100,4470,49.6,4332,15,31,29,0,63,2399,2133,1405,728,1324,10,0,59,113,216,926,119900,11,4400,625,25566,16,34982,1317,3084,33,2510,2454,2016,325,05,005,950100
"Census Tract 9502, Baxter County, Arkansas",1400000US05005950200,4962,45.7,4882,14,22,0,5,0,2384,2222,1643,579,1428,0,0,20,50,118,1240,122000,29,4915,942,22889,42,34297,2143,2651,47,2542,2473,2296,571,05,005,950200
"Census Tract 9503, Baxter County, Arkansas",1400000US05005950300,4924,49.9,4836,0,10,15,0,12,2593,2460,1489,971,1963,0,0,47,77,293,1546,117500,0,4880,909,21632,30,32991,1431,3312,23,2522,2422,2231,151,05,005,950300
"Census Tract 9504, Baxter County, Arkansas",1400000US05005950400,3079,51.4,2899,58,0,58,0,4,1396,1274,808,466,1080,0,0,0,0,37,1043,131700,0,2757,632,21404,26,36563,1039,1906,0,1367,1322,1234,259,05,005,950400
"Census Tract 9505, Baxter County, Arkansas",1400000US05005950500,4544,49.6,4253,0,44,19,0,64,2609,1935,1808,127,306,0,0,3,0,67,236,116100,0,4394,557,19158,18,34703,1954,2483,18,2558,2494,2359,297,05,005,950500
"Census Tract 9506, Baxter County, Arkansas",1400000US05005950600,4305,50.2,4251,0,7,0,0,0,2556,1922,1739,183,466,0,13,11,10,31,401,152700,0,4305,565,22107,18,38424,1381,2862,44,2258,2210,2042,349,05,005,950600
"Census Tract 9507, Baxter County, Arkansas",1400000US05005950700,3487,55.3,3352,0,10,13,0,0,2414,1525,1331,194,470,0,0,0,65,92,313,116600,9,3453,665,19354,18,32472,943,2456,28,1845,1829,1675,220,05,005,950700
"Census Tract 9508, Baxter County, Arkansas",1400000US05005950800,5909,56.8,5773,27,17,24,0,0,3308,2776,2447,329,595,29,0,18,15,82,451,138300,8,5909,653,25713,90,38415,1721,4073,31,3338,3301,3079,538,05,005,950800
"Census Tract 9509, Baxter County, Arkansas",1400000US05005950900,5847,42.1,5742,0,48,5,0,2,2792,2334,1704,630,1447,0,0,28,101,140,1178,92600,11,5737,985,18874,25,36236,2273,3440,34,3543,3491,2980,337,05,005,950900
"Census Tract 201.01, Benton County, Arkansas",1400000US05007020101,5447,34.4,5121,40,15,0,39,8,2092,1860,1451,409,1532,0,0,29,18,6,1479,120600,12,5396,502,18051,7,50331,3352,1962,7,3121,2934,2777,285,05,007,020101
"Census Tract 201.02, Benton County, Arkansas",1400000US05007020102,5348,36.2,4743,73,19,31,0,298,2132,1852,1621,231,580,11,0,78,15,120,356,165700,13,5348,531,29273,97,60000,2353,2753,0,3119,2849,2873,775,05,007,020102
"Census Tract 202.01, Benton County, Arkansas",1400000US05007020201,4121,32.5,2898,33,0,53,0,780,1879,1517,843,674,1825,0,15,0,301,126,1383,152000,0,4057,833,18296,48,36481,1314,1771,12,2702,1758,2038,205,05,007,020201
"Census Tract 202.03, Benton County, Arkansas",1400000US05007020203,2928,50.1,2594,5,37,0,0,142,1333,1235,1097,138,227,38,0,20,0,22,147,155200,0,2928,189,30451,52,44343,1187,1597,2,1611,1513,1519,627,05,007,020203
"Census Tract 202.05, Benton County, Arkansas",1400000US05007020205,5227,29.7,3328,0,105,0,0,1711,2053,1774,1226,548,1669,0,0,0,0,565,1104,126200,0,5227,964,17078,22,36972,1921,1863,75,3215,1910,2690,466,05,007,020205
"Census Tract 202.06, Benton County, Arkansas",1400000US05007020206,5457,26.6,3514,0,61,131,0,1704,1876,1597,892,705,2258,0,0,0,169,281,1808,136000,0,5457,880,16125,14,47985,2225,1369,137,3329,1756,2763,229,05,007,020206
"Census Tract 203.01, Benton County, Arkansas",1400000US05007020301,3898,30.6,2265,83,153,0,0,1252,1721,1507,553,954,2268,0,0,8,238,442,1580,107200,0,3853,1549,11870,0,20625,1514,1103,53,2425,1230,1883,220,05,007,020301
"Census Tract 203.02, Benton County, Arkansas",1400000US05007020302,3569,31.2,2823,11,76,98,0,506,1628,1428,683,745,1987,0,0,0,85,428,1474,140400,0,3530,240,22153,14,43117,1078,1784,57,2330,1620,2018,354,05,007,020302
