NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9501, Appling County, Georgia",1400000US13001950100,3073,35.4,2871,42,0,0,0,160,1415,1168,953,215,684,6,23,0,19,236,400,58400,0,3041,300,20090,0,39881,2326,587,0,1677,1561,1510,141,13,001,950100
"Census Tract 9502, Appling County, Georgia",1400000US13001950200,4579,34.5,2317,2170,0,0,0,49,2053,1687,1114,573,1500,8,60,38,81,232,1081,51600,0,4520,1472,14137,0,28510,3992,543,0,2796,2691,2372,71,13,001,950200
"Census Tract 9503, Appling County, Georgia",1400000US13001950300,5053,33.4,3510,456,9,138,0,940,2307,1943,1096,847,2119,10,0,23,244,914,928,105200,15,4909,1412,19447,0,39046,3326,1012,0,2998,2121,2453,466,13,001,950300
"Census Tract 9504, Appling County, Georgia",1400000US13001950400,1397,50.9,1065,332,0,0,0,0,839,682,547,135,203,14,14,19,75,33,48,74200,0,1397,220,21465,0,38173,1227,170,0,1010,1010,918,69,13,001,950400
"Census Tract 9505, Appling County, Georgia",1400000US13001950500,4100,42.6,3450,574,0,0,11,31,1861,1582,1302,280,829,0,4,75,31,122,597,88500,6,3996,742,21774,13,36731,3112,864,0,2640,2518,2383,192,13,001,950500
"Census Tract 9601, Atkinson County, Georgia",1400000US13003960100,2117,35.8,1269,575,2,0,0,207,1065,748,547,201,496,2,0,30,23,24,417,69200,3,2117,576,18993,34,26111,1609,335,10,1230,1083,1058,94,13,003,960100
"Census Tract 9602, Atkinson County, Georgia",1400000US13003960200,4973,31.7,3016,895,0,0,0,978,1995,1655,1074,581,1767,24,21,26,36,415,1245,58800,12,4930,1535,14207,0,33356,3228,1000,56,3107,2323,2544,221,13,003,960200
"Census Tract 9603, Atkinson County, Georgia",1400000US13003960300,1285,33.5,1181,65,0,0,0,39,447,342,277,65,334,49,0,0,0,42,243,58300,0,1285,516,12612,0,33991,1058,157,9,712,596,642,52,13,003,960300
"Census Tract 9701, Bacon County, Georgia",1400000US13005970100,2739,37.5,2507,5,0,20,0,207,1260,973,698,275,672,42,0,56,230,33,311,113700,0,2709,414,21680,11,41339,2168,321,0,1639,1464,1482,100,13,005,970100
"Census Tract 9702.01, Bacon County, Georgia",1400000US13005970201,3775,35.2,2607,1161,0,0,0,7,1873,1438,798,640,1496,11,0,0,142,279,1064,66300,0,3642,884,16984,12,29610,2713,1040,0,2235,2209,1999,330,13,005,970201
"Census Tract 9702.02, Bacon County, Georgia",1400000US13005970202,4561,35.3,3468,734,0,0,0,339,1663,1498,1083,415,1268,0,29,80,96,36,1027,50400,0,4313,844,13137,0,31652,3134,1145,3,2858,2680,2398,106,13,005,970202
"Census Tract 9601, Baker County, Georgia",1400000US13007960100,2543,26.8,1221,1322,0,0,0,0,952,799,559,240,836,91,0,6,35,49,655,62100,0,2503,1027,16991,24,27420,2252,291,0,1199,1190,965,116,13,007,960100
"Census Tract 9602, Baker County, Georgia",1400000US13007960200,951,41.6,443,508,0,0,0,0,568,463,291,172,264,0,0,14,0,92,158,76800,0,951,214,20101,6,27083,863,75,0,564,564,501,20,13,007,960200
"Census Tract 9701, Baldwin County, Georgia",1400000US13009970100,5081,45.4,3199,1832,0,0,0,0,2300,2051,1667,384,997,0,31,0,110,112,744,97600,0,5081,619,21597,29,42383,4013,960,16,3404,3360,2992,613,13,009,970100
"Census Tract 9702, Baldwin County, Georgia",1400000US13009970200,7807,28.9,4809,2585,18,209,0,174,3422,2977,1462,1515,3973,60,0,293,235,498,2887,217800,10,7704,2457,20645,31,38542,5837,1466,152,4863,4368,3468,813,13,009,970200
"Census Tract 9703, Baldwin County, Georgia",1400000US13009970300,5337,44.7,3443,1675,0,174,0,0,2798,2282,1789,493,1083,0,88,0,80,154,761,179800,23,5296,1122,28223,83,49076,3757,1314,44,3178,3033,2765,915,13,009,970300
"Census Tract 9704, Baldwin County, Georgia",1400000US13009970400,4671,22.7,3147,1421,0,75,0,0,2257,1751,913,838,2128,11,10,12,7,91,1997,131100,0,4261,1354,16514,15,29718,3310,1232,13,3618,3436,1587,543,13,009,970400
"Census Tract 9705, Baldwin County, Georgia",1400000US13009970500,4893,22.9,2822,1952,0,74,0,3,2051,1668,802,866,2219,0,27,137,293,330,1432,96100,0,3862,1647,13683,0,25750,3885,834,80,3682,3592,1899,485,13,009,970500
"Census Tract 9706, Baldwin County, Georgia",1400000US13009970600,4342,37.4,1340,2902,0,72,0,0,2095,1657,1027,630,1489,0,19,0,147,160,1163,62800,7,4140,1426,16780,0,32075,3943,296,30,2967,2885,2258,192,13,009,970600
"Census Tract 9707.01, Baldwin County, Georgia",1400000US13009970701,2946,25.4,662,2255,8,21,0,0,1170,844,159,685,1815,0,0,63,270,100,1382,47400,0,2233,891,11770,24,21554,2532,349,34,1938,1902,1144,115,13,009,970701
"Census Tract 9707.02, Baldwin County, Georgia",1400000US13009970702,4208,39.1,1529,2603,0,37,0,28,1095,720,334,386,1369,0,9,0,14,174,1172,62300,0,2140,665,7526,0,32500,3504,620,19,3143,2938,2553,161,13,009,970702
"Census Tract 9708, Baldwin County, Georgia",1400000US13009970800,7060,35.6,4643,2370,17,0,0,30,2782,2367,1692,675,1404,0,0,21,77,349,957,91700,0,6099,935,18019,14,41645,6057,911,0,4690,4542,4018,484,13,009,970800
"Census Tract 9701, Banks County, Georgia",1400000US13011970100,5318,36.0,5077,0,0,4,0,178,2164,1935,1440,495,1465,14,0,74,130,288,959,153800,0,5318,857,20811,54,39263,4230,839,10,3087,2775,2869,471,13,011,970100
"Census Tract 9702, Banks County, Georgia",1400000US13011970200,5295,36.8,4660,402,0,179,0,7,2147,1868,1462,406,1174,81,27,15,24,192,835,134600,0,5295,805,19931,28,44559,4184,1006,16,3386,3250,2955,327,13,011,970200
"Census Tract 9703, Banks County, Georgia",1400000US13011970300,4072,37.7,3828,10,17,0,0,217,1719,1487,1188,299,743,0,0,0,55,344,344,154400,0,4069,795,19285,31,39857,3037,800,7,2477,2402,2025,213,13,011,970300
