NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B03003_003E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9501, Churchill County, Nevada",1400000US32001950100,3006,35.3,2699,50,57,6,0,647,102,1049,877,635,242,1281,0,0,0,170,208,903,178200,0,2964,239,22021,11,51658,947,1740,35,1825,1576,1446,165,32,001,950100
"Census Tract 9503.01, Churchill County, Nevada",1400000US32001950301,3790,36.0,2905,116,385,170,0,407,35,1845,1532,645,887,1968,0,0,8,135,573,1252,126700,0,3729,494,22717,11,48357,1346,2134,61,2165,1838,1958,430,32,001,950301
"Census Tract 9503.02, Churchill County, Nevada",1400000US32001950302,5278,33.1,4237,227,124,411,13,554,180,2433,1842,840,1002,2812,0,0,0,78,352,2382,159600,11,5078,691,21043,44,48324,1933,2722,79,2871,2518,2466,410,32,001,950302
"Census Tract 9504, Churchill County, Nevada",1400000US32001950400,722,22.1,552,57,5,33,0,41,4,317,166,13,153,565,0,0,0,0,0,565,-666666666,0,578,11,16984,0,38571,99,589,23,441,419,245,72,32,001,950400
"Census Tract 9505, Churchill County, Nevada",1400000US32001950500,1314,34.9,984,3,264,0,5,74,7,595,441,311,130,271,2,0,2,54,96,117,122400,0,1313,204,20146,0,53750,794,515,3,786,758,710,140,32,001,950500
"Census Tract 9506, Churchill County, Nevada",1400000US32001950600,5095,41.4,4661,4,52,55,9,709,186,2173,1891,1627,264,764,10,41,0,43,102,568,170300,21,5092,247,27008,28,66651,1550,3264,90,2975,2712,2558,635,32,001,950600
"Census Tract 9507, Churchill County, Nevada",1400000US32001950700,5699,46.7,5260,14,160,32,142,522,46,2417,2100,1685,415,976,10,20,0,78,248,620,209000,13,5628,686,30733,57,57059,1851,3512,96,3738,3410,3299,690,32,001,950700
"Census Tract 1.01, Clark County, Nevada",1400000US32003000101,5874,36.1,3440,804,118,219,0,3101,1099,1932,1750,1369,381,1234,0,0,0,50,54,1130,176500,0,5867,877,18320,36,49576,1327,2109,79,3809,1563,3276,255,32,003,000101
"Census Tract 1.03, Clark County, Nevada",1400000US32003000103,5286,29.9,3759,170,0,227,0,3269,669,2046,1618,682,936,3145,20,0,0,229,447,2449,122200,0,5286,967,15759,8,40907,1222,1971,44,3407,1332,2716,236,32,003,000103
"Census Tract 1.05, Clark County, Nevada",1400000US32003000105,3398,36.8,2660,351,5,107,0,1483,180,1264,1039,690,349,1311,0,19,0,0,169,1123,165900,0,3398,687,18546,0,55793,1002,1440,43,2193,1296,1846,90,32,003,000105
"Census Tract 1.06, Clark County, Nevada",1400000US32003000106,4532,43.3,3018,345,161,566,0,1488,360,2115,1994,919,1075,2507,0,0,0,180,256,2071,124700,0,4522,704,19785,0,40242,862,2219,131,2384,1177,2038,177,32,003,000106
"Census Tract 1.07, Clark County, Nevada",1400000US32003000107,3690,35.9,2262,218,0,546,52,1425,330,1660,1476,488,988,2058,0,0,57,204,357,1440,182400,0,3690,227,19866,0,37924,526,1915,45,2177,835,1628,52,32,003,000107
"Census Tract 1.08, Clark County, Nevada",1400000US32003000108,3646,31.7,2731,69,16,0,0,2838,830,1063,1046,582,464,1671,78,0,0,55,230,1308,163100,0,3646,1011,14207,11,38846,1202,882,0,2052,610,1763,184,32,003,000108
"Census Tract 1.09, Clark County, Nevada",1400000US32003000109,3520,33.2,2649,127,148,111,76,1446,167,1344,1090,823,267,1093,0,33,0,7,434,619,147900,0,3520,643,19983,0,51512,852,1541,124,2174,1164,1818,251,32,003,000109
"Census Tract 2.01, Clark County, Nevada",1400000US32003000201,3847,34.6,1924,1346,23,214,2,1728,331,1604,1318,625,693,2131,22,72,22,28,442,1545,143800,15,3847,1331,19758,21,33971,1246,1441,18,2294,1340,2020,182,32,003,000201
"Census Tract 2.03, Clark County, Nevada",1400000US32003000203,4602,31.1,3165,496,36,254,0,1950,556,2017,1544,465,1079,2983,47,16,142,95,529,2154,104500,0,4372,1145,21083,55,42308,1037,2614,33,2952,1822,2293,317,32,003,000203
"Census Tract 2.04, Clark County, Nevada",1400000US32003000204,1191,52.4,1000,53,61,18,0,92,59,453,409,333,76,208,0,0,8,0,0,200,225900,21,1148,93,33947,10,69509,248,857,9,598,522,555,43,32,003,000204
"Census Tract 3.01, Clark County, Nevada",1400000US32003000301,2501,40.4,659,1508,0,0,0,749,231,1228,943,417,526,1298,48,0,0,26,119,1105,89800,0,2501,1080,11744,0,22072,830,1110,49,1673,1207,1280,90,32,003,000301
"Census Tract 3.02, Clark County, Nevada",1400000US32003000302,5019,24.5,1042,3328,27,74,11,1411,395,1927,1661,570,1091,3262,0,0,24,425,165,2648,148300,0,4957,2444,9967,6,20559,2256,1995,0,2590,1770,2021,23,32,003,000302
"Census Tract 4.01, Clark County, Nevada",1400000US32003000401,1886,40.4,1014,273,112,163,22,664,187,568,534,52,482,992,0,0,0,185,316,491,165000,0,1886,816,15996,0,31875,279,1029,52,1553,971,1196,61,32,003,000401
"Census Tract 4.02, Clark County, Nevada",1400000US32003000402,3626,29.6,1564,265,169,299,0,2530,1251,1461,1208,121,1087,2975,0,0,0,282,793,1900,84400,0,3626,1896,10985,0,27632,903,945,50,2250,719,1849,115,32,003,000402
"Census Tract 4.03, Clark County, Nevada",1400000US32003000403,2503,44.4,1576,397,27,104,0,1278,336,1451,1267,132,1135,2145,0,0,14,59,245,1827,89300,0,2459,807,13959,0,17381,508,1074,23,1581,726,1364,66,32,003,000403
"Census Tract 5.10, Clark County, Nevada",1400000US32003000510,5366,25.4,3976,219,0,4,0,4765,1092,1434,1267,662,605,2610,0,40,8,33,519,2010,110900,0,5354,1064,12504,0,44938,1448,1592,7,3109,660,2379,109,32,003,000510
"Census Tract 5.13, Clark County, Nevada",1400000US32003000513,4631,33.0,3216,625,0,71,119,2719,577,1400,1239,621,618,2553,0,24,0,376,238,1915,54500,0,4631,660,15669,0,49547,923,1898,142,2911,1322,2321,101,32,003,000513
"Census Tract 5.14, Clark County, Nevada",1400000US32003000514,6129,27.2,3970,866,0,162,68,3741,930,2182,1861,509,1352,4526,0,0,13,94,660,3759,34100,0,5860,1900,12703,0,29981,1727,2060,83,3340,1193,2717,221,32,003,000514
"Census Tract 5.15, Clark County, Nevada",1400000US32003000515,5260,29.7,3927,369,0,432,0,3294,308,1628,1513,876,637,2272,0,0,0,140,309,1823,109700,0,5213,870,15085,19,42764,1280,1665,32,3178,982,2510,198,32,003,000515
"Census Tract 5.16, Clark County, Nevada",1400000US32003000516,5218,30.1,3410,846,37,248,0,2712,433,1458,1264,703,561,2205,0,0,0,306,737,1162,79400,0,4342,1282,12212,0,36097,1315,2451,117,3410,1838,2791,220,32,003,000516
"Census Tract 5.17, Clark County, Nevada",1400000US32003000517,5328,25.0,3784,413,0,284,59,3530,676,1740,1550,568,982,3348,0,0,69,130,279,2870,138600,0,5328,953,13476,0,38302,1506,1633,106,3249,979,2421,196,32,003,000517
"Census Tract 5.18, Clark County, Nevada",1400000US32003000518,6372,29.0,4633,650,12,205,21,3837,686,1963,1705,700,1005,3620,0,0,0,387,360,2873,89200,0,5990,944,14848,33,38750,1787,1988,206,3915,1610,3095,349,32,003,000518
"Census Tract 5.19, Clark County, Nevada",1400000US32003000519,5301,27.2,3153,337,0,347,127,3565,1228,1487,1406,692,714,2692,0,0,13,62,343,2274,110000,0,5289,1445,15394,18,41959,1530,1648,78,3098,975,2471,106,32,003,000519
