NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,state,county,tract
"Census Tract 1, Alcona County, Michigan",1400000US26001000100,1826,60.6,1817,3,1,5,0,0,2330,879,833,46,108,90,151000,833,3,1821,144,28453,879,25,43401,1826,1575,228,0,897,895,108,0,0,3,7,8,90,26,001,000100
"Census Tract 9701, Alcona County, Michigan",1400000US26001970100,2611,53.9,2557,22,8,16,0,2,2034,1059,931,128,303,218,132000,931,5,2533,327,21084,1059,13,36571,2611,2134,407,15,1414,1381,303,3,4,10,32,36,218,26,001,970100
"Census Tract 9704, Alcona County, Michigan",1400000US26001970400,2928,47.9,2894,0,12,6,2,4,2068,1112,962,150,315,187,106400,962,3,2883,477,17889,1112,7,35147,2928,2596,297,19,1692,1672,315,12,12,24,21,59,187,26,001,970400
"Census Tract 9705, Alcona County, Michigan",1400000US26001970500,2256,55.3,2202,1,9,0,0,9,3092,961,866,95,192,121,86500,866,7,2242,478,17814,961,2,30219,2256,1876,298,14,1181,1159,192,0,0,16,49,6,121,26,001,970500
"Census Tract 9706, Alcona County, Michigan",1400000US26001970600,1481,56.2,1398,18,0,0,0,3,1560,632,596,36,90,64,113200,596,0,1477,250,22688,632,21,37000,1481,1210,241,5,805,785,90,3,0,3,10,10,64,26,001,970600
"Census Tract 9900, Alcona County, Michigan",1400000US26001990000,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,-666666666,0,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,26,001,990000
"Census Tract 1, Alger County, Michigan",1400000US26003000100,4084,46.4,3653,206,100,22,0,18,2489,1555,1140,415,874,597,105000,1140,3,3768,628,18908,1555,10,37261,4084,3383,633,12,2442,2373,874,0,17,25,100,135,597,26,003,000100
"Census Tract 2, Alger County, Michigan",1400000US26003000200,3010,50.2,2791,50,86,5,0,0,2080,1235,1105,130,270,176,119300,1105,16,2895,331,22895,1235,16,40175,3010,2399,483,25,1782,1650,270,0,0,0,72,22,176,26,003,000200
"Census Tract 3, Alger County, Michigan",1400000US26003000300,2477,42.5,1893,524,42,9,0,4,1966,816,725,91,185,44,119500,725,0,1787,222,17736,816,15,37857,2477,2063,370,2,1780,1736,185,10,5,3,19,104,44,26,003,000300
"Census Tract 9900, Alger County, Michigan",1400000US26003990000,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,-666666666,0,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,26,003,990000
"Census Tract 302, Allegan County, Michigan",1400000US26005030200,3538,42.7,3347,7,51,120,0,13,1556,1260,1123,137,380,380,223400,1123,40,3538,20,34649,1260,123,84598,3538,2853,540,0,2277,2120,380,0,0,0,0,0,380,26,005,030200
"Census Tract 303, Allegan County, Michigan",1400000US26005030300,7189,36.4,7002,12,0,144,0,15,2740,2516,2456,60,143,110,168600,2456,0,7189,600,22460,2516,18,61017,7189,6496,621,0,4583,4421,143,0,0,0,33,0,110,26,005,030300
"Census Tract 304.01, Allegan County, Michigan",1400000US26005030401,7399,34.7,7027,210,20,8,0,106,2541,2408,2284,124,292,187,159500,2284,0,7365,346,24193,2408,25,68424,7399,6718,441,37,4553,4390,292,0,0,0,20,85,187,26,005,030401
"Census Tract 304.02, Allegan County, Michigan",1400000US26005030402,4767,34.8,4649,0,40,34,0,0,1862,1681,1564,117,395,374,165900,1564,0,4760,555,23481,1681,29,61801,4767,4221,467,33,3060,2990,395,0,0,21,0,0,374,26,005,030402
"Census Tract 305, Allegan County, Michigan",1400000US26005030500,7241,36.1,6773,20,106,14,0,80,3093,2856,2114,742,1672,1303,119000,2114,25,7134,753,21634,2856,34,46402,7241,6329,734,29,4426,4316,1672,0,0,15,87,267,1303,26,005,030500
"Census Tract 306, Allegan County, Michigan",1400000US26005030600,5026,40.0,4794,8,46,12,0,66,1984,1865,1638,227,546,337,148200,1638,16,5026,670,22234,1865,19,55093,5026,4326,643,0,3126,2994,546,0,0,37,35,137,337,26,005,030600
"Census Tract 307.02, Allegan County, Michigan",1400000US26005030702,4796,39.4,4687,0,39,0,0,1,2003,1757,1569,188,455,348,158400,1569,7,4772,362,24045,1757,35,56175,4796,3910,823,26,3075,3019,455,0,0,11,34,62,348,26,005,030702
"Census Tract 307.03, Allegan County, Michigan",1400000US26005030703,2422,39.9,2149,21,7,6,0,127,1159,905,791,114,377,328,107600,791,0,2380,431,17088,905,3,37893,2422,1630,519,37,1445,1106,377,0,0,0,23,26,328,26,005,030703
"Census Tract 307.04, Allegan County, Michigan",1400000US26005030704,4628,37.6,4136,56,9,42,0,309,1857,1736,1565,171,346,269,157400,1565,9,4612,367,23321,1736,3,51250,4628,3512,867,32,2899,2529,346,0,12,9,30,26,269,26,005,030704
"Census Tract 308, Allegan County, Michigan",1400000US26005030800,4612,50.0,4452,6,12,24,0,84,3464,2069,1798,271,407,296,276100,1798,38,4558,524,34712,2069,77,53877,4612,3269,1199,38,2797,2572,407,0,0,5,32,74,296,26,005,030800
"Census Tract 309.01, Allegan County, Michigan",1400000US26005030901,2912,40.4,2674,41,0,14,0,175,1824,1000,856,144,401,285,211800,856,48,2871,1000,25855,1000,33,52279,2912,1916,683,31,1728,1494,401,0,0,0,66,50,285,26,005,030901
"Census Tract 309.02, Allegan County, Michigan",1400000US26005030902,2545,46.4,2099,15,0,9,0,278,1661,1048,902,146,391,326,167600,902,24,2500,296,25990,1048,27,48036,2545,1586,700,18,1589,1322,391,0,0,10,29,26,326,26,005,030902
"Census Tract 310, Allegan County, Michigan",1400000US26005031000,6275,35.8,5074,299,112,0,0,685,3234,2202,1720,482,1388,1148,105600,1720,7,6193,1734,17914,2202,35,42500,6275,4524,1260,0,3816,3303,1388,6,25,0,46,163,1148,26,005,031000
"Census Tract 311, Allegan County, Michigan",1400000US26005031100,6563,42.1,6180,194,0,42,0,28,2869,2510,2173,337,745,568,129400,2173,0,6354,749,23024,2510,39,47990,6563,5303,1121,49,3814,3726,745,0,0,47,12,118,568,26,005,031100
"Census Tract 312, Allegan County, Michigan",1400000US26005031200,5392,35.6,5109,147,15,72,0,5,2498,2150,1250,900,1944,1542,91700,1250,9,5192,1153,19272,2150,3,42500,5392,4601,703,29,3265,3166,1944,0,0,0,11,391,1542,26,005,031200
"Census Tract 313, Allegan County, Michigan",1400000US26005031300,5006,36.0,4791,30,42,15,0,30,1859,1723,1520,203,680,472,137400,1520,0,4975,645,20694,1723,42,48628,5006,4201,587,41,3099,2914,680,0,6,14,85,103,472,26,005,031300
"Census Tract 318, Allegan County, Michigan",1400000US26005031800,4702,37.0,4520,0,10,0,0,78,1936,1856,1422,434,926,683,122800,1422,0,4675,573,26389,1856,34,48520,4702,3864,781,0,2910,2845,926,0,0,14,71,158,683,26,005,031800
"Census Tract 319, Allegan County, Michigan",1400000US26005031900,4710,37.3,4520,33,0,16,0,0,1972,1834,1266,568,1230,775,120900,1266,16,4710,617,19585,1834,16,42273,4710,3882,779,0,2760,2721,1230,0,0,21,134,300,775,26,005,031900
"Census Tract 320, Allegan County, Michigan",1400000US26005032000,5060,38.0,4934,10,0,0,0,38,2110,1991,1487,504,1295,987,124200,1487,14,4958,570,22259,1991,21,51293,5060,4158,861,19,3176,3103,1295,0,0,0,37,271,987,26,005,032000
"Census Tract 321, Allegan County, Michigan",1400000US26005032100,4794,40.9,4591,37,19,0,0,147,1948,1873,1598,275,748,661,162000,1598,0,4782,231,27586,1873,62,62454,4794,3889,794,0,2851,2729,748,0,0,0,0,87,661,26,005,032100
"Census Tract 322, Allegan County, Michigan",1400000US26005032200,5311,35.8,4351,138,118,103,0,376,2295,2179,1571,608,1330,1170,143000,1571,0,5163,1113,21951,2179,25,36058,5311,4006,943,35,2926,2508,1330,0,0,0,119,41,1170,26,005,032200
"Census Tract 324.01, Allegan County, Michigan",1400000US26005032401,1504,33.9,850,47,0,0,0,495,608,536,323,213,632,299,58600,323,0,1493,258,13424,536,0,32564,1504,720,374,0,847,497,632,0,0,0,34,299,299,26,005,032401
"Census Tract 324.02, Allegan County, Michigan",1400000US26005032402,3677,40.2,3460,49,0,0,0,118,1448,1305,1160,145,417,379,173900,1160,8,3677,345,24642,1305,20,58836,3677,2947,644,35,2193,2142,417,0,0,0,25,13,379,26,005,032402
"Census Tract 326, Allegan County, Michigan",1400000US26005032600,1336,59.0,1268,0,0,39,0,29,729,654,548,106,168,126,148400,548,0,1336,23,27783,654,0,51429,1336,989,298,0,598,574,168,0,0,0,27,15,126,26,005,032600
"Census Tract 9900, Allegan County, Michigan",1400000US26005990000,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,-666666666,0,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,26,005,990000
"Census Tract 1, Alpena County, Michigan",1400000US26007000100,4748,46.9,4664,9,10,21,0,20,2977,2007,1780,227,576,428,115000,1780,3,4730,633,19997,2007,16,40179,4748,4186,463,13,2772,2718,576,18,3,13,54,60,428,26,007,000100
"Census Tract 2, Alpena County, Michigan",1400000US26007000200,4293,45.7,4224,24,0,19,0,0,2316,1848,1628,220,529,371,111800,1628,2,4276,569,22299,1848,8,43810,4293,3729,473,28,2788,2701,529,35,3,0,0,120,371,26,007,000200
"Census Tract 3, Alpena County, Michigan",1400000US26007000300,3310,47.9,3259,27,0,9,0,1,1898,1398,1246,152,286,267,141800,1246,0,3138,253,29025,1398,37,54194,3310,2829,440,1,2012,1989,286,0,0,10,0,9,267,26,007,000300
"Census Tract 4, Alpena County, Michigan",1400000US26007000400,3039,34.6,2943,41,12,23,0,0,1445,1329,846,483,992,843,66200,846,24,3008,1084,13646,1329,0,23633,3039,2749,260,7,1890,1826,992,0,0,0,130,19,843,26,007,000400
"Census Tract 5, Alpena County, Michigan",1400000US26007000500,2387,33.1,2295,0,58,0,0,16,945,913,661,252,731,526,79200,661,0,2324,830,15837,913,0,31215,2387,1816,512,0,1394,1281,731,0,0,0,6,199,526,26,007,000500
"Census Tract 6, Alpena County, Michigan",1400000US26007000600,3091,46.2,2890,29,44,67,0,13,1634,1406,856,550,839,604,144100,856,0,2935,546,22535,1406,38,31419,3091,2567,395,12,1718,1594,839,0,4,8,91,132,604,26,007,000600
"Census Tract 7, Alpena County, Michigan",1400000US26007000700,2611,52.3,2580,2,0,0,0,17,1455,1381,1152,229,332,250,103400,1152,0,2607,321,25015,1381,17,36050,2611,2341,245,0,1481,1441,332,0,0,0,47,35,250,26,007,000700
"Census Tract 8, Alpena County, Michigan",1400000US26007000800,3311,42.9,3253,9,0,0,0,0,1670,1516,1210,306,593,507,88400,1210,0,3276,430,23461,1516,8,47000,3311,2854,448,0,1936,1925,593,8,0,20,10,48,507,26,007,000800
"Census Tract 9, Alpena County, Michigan",1400000US26007000900,3007,50.4,2896,10,14,30,0,33,1676,1436,1142,294,516,476,109900,1142,14,3007,336,24249,1436,33,39884,3007,2486,444,0,1853,1763,516,0,0,0,22,18,476,26,007,000900
"Census Tract 9900, Alpena County, Michigan",1400000US26007990000,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,-666666666,0,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,26,007,990000
"Census Tract 9601, Antrim County, Michigan",1400000US26009960100,2601,49.4,2524,0,3,9,0,38,2237,1113,1033,80,224,133,157400,1033,49,2597,185,28334,1113,47,44798,2601,2114,408,9,1555,1485,224,11,0,3,11,66,133,26,009,960100
"Census Tract 9602, Antrim County, Michigan",1400000US26009960200,3278,43.5,3210,23,3,0,4,8,2058,1253,1128,125,363,348,129700,1128,10,3263,351,20763,1253,8,46380,3278,2774,434,24,1966,1927,363,0,0,0,7,8,348,26,009,960200
"Census Tract 9603, Antrim County, Michigan",1400000US26009960300,2931,51.0,2775,0,15,11,0,5,2405,1246,997,249,682,488,156500,997,39,2931,421,29541,1246,42,42924,2931,2388,516,13,1650,1622,682,0,0,72,31,91,488,26,009,960300
"Census Tract 9604, Antrim County, Michigan",1400000US26009960400,3403,51.4,3236,13,27,22,0,23,2814,1398,1228,170,488,273,166400,1228,13,3229,343,25116,1398,17,42794,3403,2699,618,29,1852,1819,488,0,0,0,3,212,273,26,009,960400
"Census Tract 9605, Antrim County, Michigan",1400000US26009960500,3443,51.7,3338,15,13,4,0,28,2789,1470,1338,132,411,254,219200,1338,110,3443,387,27341,1470,30,50000,3443,2751,590,6,2025,1926,411,0,12,0,6,139,254,26,009,960500
"Census Tract 9606, Antrim County, Michigan",1400000US26009960600,3216,51.3,3110,0,27,19,0,36,2363,1362,1082,280,738,648,242400,1082,19,3185,644,28931,1362,56,48611,3216,2620,514,23,1645,1553,738,18,0,12,5,55,648,26,009,960600
"Census Tract 9607, Antrim County, Michigan",1400000US26009960700,4915,34.5,4777,20,15,3,0,9,3055,1878,1438,440,941,774,98800,1438,8,4889,1601,13938,1878,3,26000,4915,4286,567,20,2972,2940,941,0,0,0,81,86,774,26,009,960700
"Census Tract 9900, Antrim County, Michigan",1400000US26009990000,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,-666666666,0,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,26,009,990000
"Census Tract 9701, Arenac County, Michigan",1400000US26011970100,2512,48.7,2465,0,12,0,0,4,1706,1006,905,101,254,175,90400,905,5,2509,433,20413,1006,6,36691,2512,2189,306,7,1455,1447,254,0,6,3,0,70,175,26,011,970100
"Census Tract 9702, Arenac County, Michigan",1400000US26011970200,3054,47.9,2971,9,29,5,0,2,1961,1234,1089,145,291,201,98500,1089,13,2973,407,20315,1234,14,41450,3054,2724,305,5,1795,1765,291,0,7,24,25,34,201,26,011,970200
"Census Tract 9703, Arenac County, Michigan",1400000US26011970300,2742,45.3,2616,13,28,2,0,30,1471,1145,1014,131,326,285,88000,1014,0,2721,363,19396,1145,13,36553,2742,2375,305,28,1613,1550,326,0,0,0,11,30,285,26,011,970300
"Census Tract 9704, Arenac County, Michigan",1400000US26011970400,2788,53.1,2704,20,26,0,0,8,2529,1309,1054,255,487,390,118300,1054,0,2784,555,23969,1309,36,35815,2788,2446,310,6,1537,1514,487,0,3,0,28,66,390,26,011,970400
"Census Tract 9705, Arenac County, Michigan",1400000US26011970500,5130,40.2,4536,289,114,22,0,46,2140,1832,1336,496,1079,785,86500,1336,5,4416,993,15835,1832,17,32742,5130,4527,523,16,3270,3141,1079,36,13,9,86,150,785,26,011,970500
"Census Tract 9900, Arenac County, Michigan",1400000US26011990000,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,-666666666,0,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,26,011,990000
"Census Tract 9901, Arenac County, Michigan",1400000US26011990100,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,-666666666,0,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,26,011,990100
"Census Tract 1, Baraga County, Michigan",1400000US26013000100,4138,44.3,3552,17,322,86,0,19,2984,1769,1328,441,896,527,82100,1328,4,4004,601,20526,1769,21,41505,4138,3548,444,27,2336,2245,896,9,78,33,107,142,527,26,013,000100
"Census Tract 2, Baraga County, Michigan",1400000US26013000200,4716,44.4,3137,780,488,81,6,21,2376,1539,1188,351,683,443,88600,1188,2,3533,382,17804,1539,5,39410,4716,3968,650,20,3317,3212,683,2,0,17,40,181,443,26,013,000200
"Census Tract 9901, Baraga County, Michigan",1400000US26013990100,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,-666666666,0,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,26,013,990100
"Census Tract 101, Barry County, Michigan",1400000US26015010100,5964,38.5,5882,25,14,7,0,15,2709,2319,1842,477,1158,767,101200,1842,0,5942,1080,23119,2319,43,42909,5964,5286,587,36,3496,3441,1158,0,12,8,210,161,767,26,015,010100
"Census Tract 102, Barry County, Michigan",1400000US26015010200,5685,39.6,5522,17,0,38,0,27,2101,1997,1820,177,525,435,157200,1820,7,5675,249,25482,1997,50,62284,5685,4779,804,27,3495,3377,525,6,0,16,61,7,435,26,015,010200
"Census Tract 103, Barry County, Michigan",1400000US26015010300,7832,34.6,7531,17,1,112,0,26,2902,2733,2333,400,964,705,152500,2333,0,7818,614,23476,2733,12,65292,7832,7014,639,89,4805,4675,964,0,0,0,99,160,705,26,015,010300
"Census Tract 104.01, Barry County, Michigan",1400000US26015010401,3341,39.7,3341,0,0,0,0,0,1711,1390,1084,306,795,467,147000,1084,0,3310,446,31166,1390,94,48299,3341,2648,662,0,2023,1994,795,0,23,0,93,212,467,26,015,010401
"Census Tract 104.02, Barry County, Michigan",1400000US26015010402,4117,43.8,4027,3,0,0,22,14,2253,1565,1480,85,230,175,168500,1480,0,4102,133,29075,1565,37,68050,4117,3446,640,20,2462,2452,230,20,0,17,0,18,175,26,015,010402
"Census Tract 105, Barry County, Michigan",1400000US26015010500,3419,45.5,3352,15,2,0,0,12,1650,1334,1169,165,427,192,166100,1169,8,3303,230,31772,1334,35,57200,3419,2740,534,10,2231,2064,427,0,0,24,46,165,192,26,015,010500
"Census Tract 106, Barry County, Michigan",1400000US26015010600,6682,44.5,6655,4,0,0,0,2,3540,2725,2504,221,496,415,127900,2504,22,6682,1032,23802,2725,38,48509,6682,5518,1034,65,4270,4238,496,0,0,0,0,81,415,26,015,010600
"Census Tract 107, Barry County, Michigan",1400000US26015010700,4826,47.5,4672,18,13,12,0,4,2349,1960,1729,231,548,346,160800,1729,25,4816,246,26652,1960,10,54304,4826,4110,642,40,3077,2989,548,5,18,4,38,137,346,26,015,010700
"Census Tract 108, Barry County, Michigan",1400000US26015010800,3222,41.3,3154,7,17,12,0,3,1313,1187,1085,102,336,221,143400,1085,2,3196,387,24493,1187,16,57396,3222,2764,414,15,2122,2077,336,0,0,12,53,50,221,26,015,010800
"Census Tract 113, Barry County, Michigan",1400000US26015011300,7811,39.5,7635,38,31,31,0,0,3597,3105,2176,929,1822,1478,106700,2176,0,7608,1116,19960,3105,24,43125,7811,6708,953,35,4625,4469,1822,18,6,0,167,153,1478,26,015,011300
"Census Tract 114, Barry County, Michigan",1400000US26015011400,6523,41.6,6028,155,88,52,0,140,2810,2516,2114,402,992,535,154000,2114,0,6440,416,25040,2516,92,49669,6523,5193,1078,61,3691,3540,992,51,0,34,37,335,535,26,015,011400
"Census Tract 2803, Bay County, Michigan",1400000US26017280300,1382,25.2,1070,67,0,31,0,51,660,558,256,302,597,543,71800,256,0,1347,515,13716,558,0,16250,1382,1183,123,10,884,787,597,0,0,9,19,26,543,26,017,280300
"Census Tract 2804, Bay County, Michigan",1400000US26017280400,2750,29.8,2259,126,55,0,0,0,1521,1250,548,702,1426,1365,71900,548,0,2723,834,17318,1250,0,28000,2750,2266,431,42,1814,1774,1426,0,0,0,32,29,1365,26,017,280400
