NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,state,county,tract
"Census Tract 9736, Aurora County, South Dakota",1400000US46003973600,2722,42.4,2640,18,33,0,0,1,1267,1060,840,220,553,341,65500,840,21,2611,205,21974,1060,18,46205,2722,2262,424,16,1473,1417,553,20,14,2,92,84,341,46,003,973600
"Census Tract 9566, Beadle County, South Dakota",1400000US46005956600,1742,42.5,1738,0,2,0,0,0,911,653,520,133,389,147,113300,520,6,1729,121,23465,653,9,52055,1742,1374,359,0,1065,965,389,33,0,19,117,73,147,46,005,956600
"Census Tract 9567, Beadle County, South Dakota",1400000US46005956700,1777,47.1,1768,0,3,0,0,6,904,782,579,203,413,232,83900,579,4,1769,132,27245,782,32,43750,1777,1421,327,5,1042,1016,413,28,8,47,48,50,232,46,005,956700
"Census Tract 9568, Beadle County, South Dakota",1400000US46005956800,1864,43.2,1464,234,6,61,0,86,911,857,503,354,563,452,62300,503,0,1864,206,30697,857,30,36985,1864,1206,476,0,1304,1192,563,0,0,85,9,17,452,46,005,956800
"Census Tract 9569, Beadle County, South Dakota",1400000US46005956900,2800,37.7,2515,25,73,0,38,140,1508,1251,598,653,1128,981,62600,598,0,2626,429,18608,1251,0,33466,2800,1548,986,50,1768,1423,1128,0,0,11,29,107,981,46,005,956900
"Census Tract 9570, Beadle County, South Dakota",1400000US46005957000,5843,39.9,5333,0,28,286,0,1,2564,2363,1481,882,1950,1479,84300,1481,0,5692,1073,24672,2363,55,39758,5843,4206,1103,50,3287,3101,1950,0,15,0,161,295,1479,46,005,957000
"Census Tract 9571, Beadle County, South Dakota",1400000US46005957100,3085,39.3,2930,0,0,155,0,0,1505,1392,1116,276,424,237,94100,1116,0,3024,185,25152,1392,9,50145,3085,2312,699,0,1690,1505,424,0,0,0,62,125,237,46,005,957100
"Census Tract 9410, Bennett County, South Dakota",1400000US46007941000,1477,36.1,444,0,953,0,0,0,694,578,263,315,816,351,46900,263,0,1404,505,15255,578,6,31176,1477,1124,353,0,751,607,816,8,61,135,204,57,351,46,007,941000
"Census Tract 9412, Bennett County, South Dakota",1400000US46007941200,1958,26.5,737,0,1208,9,0,0,612,560,410,150,977,253,52500,410,13,1958,688,18817,560,16,40333,1958,1408,522,8,1070,832,977,0,11,65,454,194,253,46,007,941200
"Census Tract 9676, Bon Homme County, South Dakota",1400000US46009967600,3507,47.6,3350,8,76,23,0,0,1665,1409,1157,252,573,407,61000,1157,3,3366,390,23923,1409,37,45387,3507,2734,711,14,1900,1735,573,46,6,6,30,78,407,46,009,967600
"Census Tract 9677, Bon Homme County, South Dakota",1400000US46009967700,3532,41.6,3023,51,335,0,0,75,1278,1138,900,238,474,348,81300,900,3,2499,318,18049,1138,25,38621,3532,2499,989,7,2323,2143,474,11,3,7,20,85,348,46,009,967700
"Census Tract 9586, Brookings County, South Dakota",1400000US46011958600,3810,36.0,3652,0,19,0,0,84,1645,1432,1143,289,675,443,112200,1143,6,3776,322,24406,1432,9,56184,3810,2384,1292,5,2336,2177,675,3,66,24,54,85,443,46,011,958600
"Census Tract 9587, Brookings County, South Dakota",1400000US46011958700,4982,41.9,4806,15,7,8,0,114,2385,2031,1570,461,910,683,147000,1570,15,4948,451,25105,2031,17,53820,4982,3699,1106,6,3060,2869,910,42,15,10,130,30,683,46,011,958700
"Census Tract 9588.02, Brookings County, South Dakota",1400000US46011958802,6466,23.4,6155,11,73,108,32,59,2890,2506,898,1608,3443,3025,93800,898,0,5458,1555,20078,2506,58,31981,6466,3405,2883,26,5273,5014,3443,13,20,48,65,272,3025,46,011,958802
"Census Tract 9588.03, Brookings County, South Dakota",1400000US46011958803,4225,31.8,3746,88,47,211,0,0,1596,1558,1223,335,760,467,166700,1223,0,4225,255,27564,1558,79,63052,4225,2623,1327,64,2692,2550,760,0,0,0,0,293,467,46,011,958803
"Census Tract 9589, Brookings County, South Dakota",1400000US46011958900,7590,21.1,7018,117,131,221,0,0,2385,2117,1003,1114,2657,2580,135400,1003,17,5150,1985,15730,2117,21,36563,7590,4142,3122,23,6199,5791,2657,0,0,0,29,48,2580,46,011,958900
"Census Tract 9590, Brookings County, South Dakota",1400000US46011959000,4566,30.0,4195,10,2,215,0,20,2082,1953,1073,880,1500,1325,155800,1073,0,4566,721,24853,1953,24,42083,4566,2859,1391,3,2872,2604,1500,0,15,0,60,100,1325,46,011,959000
"Census Tract 9513, Brown County, South Dakota",1400000US46013951300,5844,44.5,5364,42,151,139,0,0,2614,2523,1829,694,990,702,120000,1829,8,5532,357,28062,2523,79,47832,5844,4168,1505,15,3458,3321,990,0,10,14,33,231,702,46,013,951300
"Census Tract 9514, Brown County, South Dakota",1400000US46013951400,6032,39.6,5549,1,424,0,0,0,2788,2598,1916,682,1237,1053,146700,1916,0,6020,430,27217,2598,90,50500,6032,4792,1240,0,3795,3734,1237,31,27,13,84,29,1053,46,013,951400
"Census Tract 9515, Brown County, South Dakota",1400000US46013951500,2549,30.3,2334,0,153,52,0,0,1314,1111,354,757,1510,1178,90000,354,0,2442,599,14554,1111,0,24640,2549,1952,582,0,1581,1492,1510,0,0,15,66,251,1178,46,013,951500
"Census Tract 9516, Brown County, South Dakota",1400000US46013951600,4525,27.5,4145,21,104,145,0,0,2007,1690,1167,523,906,595,115400,1167,0,3741,420,21103,1690,23,47183,4525,2901,1414,71,3152,2932,906,0,29,20,89,173,595,46,013,951600
"Census Tract 9517, Brown County, South Dakota",1400000US46013951700,4401,32.6,4119,44,213,0,0,0,1848,1770,1412,358,814,714,114400,1412,0,4401,455,22173,1770,0,51759,4401,3276,1034,47,2675,2630,814,0,0,9,19,72,714,46,013,951700
"Census Tract 9518, Brown County, South Dakota",1400000US46013951800,5058,45.1,4891,90,51,0,0,0,2629,2388,1330,1058,1525,968,145900,1330,12,4982,718,22887,2388,27,37642,5058,4107,899,39,2706,2676,1525,0,0,59,212,286,968,46,013,951800
"Census Tract 9519, Brown County, South Dakota",1400000US46013951900,3408,40.9,3311,50,27,0,0,15,1364,1296,1066,230,456,161,115800,1066,0,3350,146,28112,1296,21,60714,3408,2697,683,25,1948,1922,456,10,24,42,62,157,161,46,013,951900
"Census Tract 9520, Brown County, South Dakota",1400000US46013952000,4448,45.8,4364,0,56,0,0,3,2063,1825,1532,293,642,271,112600,1532,0,4445,270,28058,1825,44,51648,4448,3588,821,13,2563,2530,642,51,8,104,96,112,271,46,013,952000
"Census Tract 9731, Brule County, South Dakota",1400000US46015973100,2222,44.3,2119,0,69,0,0,1,1133,942,765,177,417,207,86300,765,0,2218,215,21381,942,3,52557,2222,1952,270,0,1033,995,417,25,0,4,71,110,207,46,015,973100
"Census Tract 9732, Brule County, South Dakota",1400000US46015973200,2965,36.9,2534,5,377,0,0,0,1198,1083,677,406,735,561,99000,677,0,2775,255,21985,1083,25,46080,2965,2157,796,12,1914,1828,735,0,0,7,112,55,561,46,015,973200
"Census Tract 9402, Buffalo County, South Dakota",1400000US46017940200,1936,25.3,264,8,1595,10,0,0,625,551,169,382,1407,410,67000,169,0,1934,789,11162,551,0,28493,1936,1748,155,0,1053,922,1407,23,25,51,514,384,410,46,017,940200
"Census Tract 9676, Butte County, South Dakota",1400000US46019967600,2812,42.4,2678,15,68,0,0,9,1393,1135,866,269,757,588,89600,866,12,2761,571,18741,1135,14,34731,2812,1998,791,20,1627,1604,757,20,0,0,50,99,588,46,019,967600
"Census Tract 9677, Butte County, South Dakota",1400000US46019967700,7225,39.5,6879,7,98,46,0,22,3196,2854,2116,738,1364,962,121000,2116,55,7072,900,21770,2854,65,46216,7225,4207,2908,43,4257,4115,1364,14,69,0,188,131,962,46,019,967700
"Census Tract 9641, Campbell County, South Dakota",1400000US46021964100,1407,49.1,1372,0,25,10,0,0,869,622,533,89,175,59,41300,533,14,1398,157,22679,622,5,40385,1407,865,525,0,770,735,175,17,0,4,54,41,59,46,021,964100
"Census Tract 9402, Charles Mix County, South Dakota",1400000US46023940200,2690,36.5,1227,0,1324,0,0,10,1238,914,637,277,759,439,54200,637,5,2591,815,18504,914,36,32813,2690,2168,504,3,1508,1335,759,12,55,21,143,89,439,46,023,940200
"Census Tract 9403, Charles Mix County, South Dakota",1400000US46023940300,3874,35.0,2235,13,1506,3,0,0,1386,1254,795,459,1609,854,68400,795,5,3815,1082,14475,1254,0,32813,3874,3208,645,0,2016,1743,1609,9,3,22,309,412,854,46,023,940300
"Census Tract 9701, Charles Mix County, South Dakota",1400000US46023970100,2531,46.4,2487,0,14,0,0,0,1236,1070,856,214,465,269,83300,856,11,2430,229,23397,1070,40,43413,2531,2109,422,0,1300,1286,465,72,4,13,16,91,269,46,023,970100
"Census Tract 9558, Clark County, South Dakota",1400000US46025955800,3687,45.3,3559,6,39,26,0,21,1718,1375,1083,292,748,345,62800,1083,13,3629,571,26644,1375,34,45844,3687,2879,746,4,2017,1806,748,77,9,38,52,227,345,46,025,955800
"Census Tract 9657, Clay County, South Dakota",1400000US46027965700,5224,29.3,4553,5,361,176,0,21,2334,2140,1281,859,1793,1657,140100,1281,0,5094,1288,22211,2140,12,37277,5224,2782,2215,67,3480,3307,1793,34,0,15,0,87,1657,46,027,965700
"Census Tract 9658, Clay County, South Dakota",1400000US46027965800,2881,44.1,2796,2,47,17,0,12,1370,1122,1007,115,256,90,112500,1007,7,2805,111,29708,1122,26,64412,2881,1844,1017,3,1704,1675,256,14,40,5,23,84,90,46,027,965800
"Census Tract 9659, Clay County, South Dakota",1400000US46027965900,5797,21.0,5258,103,144,32,0,195,1930,1750,532,1218,2267,1876,99700,532,0,3462,1365,13964,1750,19,22717,5797,3097,2476,13,4882,4563,2267,0,0,0,149,242,1876,46,027,965900
"Census Tract 9541, Codington County, South Dakota",1400000US46029954100,3258,38.0,3221,11,4,4,0,4,1273,1217,1040,177,434,223,147100,1040,3,3255,341,25946,1217,33,53819,3258,2427,754,33,1959,1905,434,29,0,7,99,76,223,46,029,954100
"Census Tract 9543.01, Codington County, South Dakota",1400000US46029954301,4407,31.0,4172,11,179,29,0,16,1974,1826,1064,762,1667,1337,135000,1064,0,4367,631,22885,1826,41,44701,4407,3767,600,0,2757,2690,1667,0,14,62,70,184,1337,46,029,954301
"Census Tract 9543.02, Codington County, South Dakota",1400000US46029954302,4784,43.0,4751,6,0,0,0,0,2033,2033,1754,279,392,279,154400,1754,0,4743,92,30476,2033,47,65881,4784,3392,1321,0,2923,2796,392,0,0,0,0,113,279,46,029,954302
"Census Tract 9544, Codington County, South Dakota",1400000US46029954400,5474,32.1,4843,24,484,0,0,55,2613,2523,1259,1264,2415,1625,93500,1259,0,5279,1416,16978,2523,0,28806,5474,3824,1624,0,3083,3042,2415,15,0,148,104,523,1625,46,029,954400
"Census Tract 9545.01, Codington County, South Dakota",1400000US46029954501,2040,39.6,1883,0,16,61,0,0,991,855,590,265,578,349,27600,590,0,2040,321,21121,855,17,34567,2040,1355,662,0,1156,1106,578,0,0,0,229,0,349,46,029,954501
