NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B03003_003E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 1, Aleutians East Borough, Alaska",1400000US02013000100,3084,39.3,689,486,474,1250,26,494,51,535,336,173,163,373,0,0,46,40,37,250,121700,0,3080,603,24387,8,57083,538,448,144,2750,622,2352,402,02,013,000100
"Census Tract 1, Aleutians West Census Area, Alaska",1400000US02016000100,1331,41.6,411,47,683,30,41,67,29,1293,421,220,201,394,4,18,36,13,102,221,86300,0,1043,128,34197,12,43821,743,522,11,1007,783,893,113,02,016,000100
"Census Tract 2, Aleutians West Census Area, Alaska",1400000US02016000200,4157,41.5,1642,314,238,1343,90,574,280,975,834,261,573,1355,0,0,0,33,335,987,301700,2,4150,478,30224,17,85455,462,1702,257,3373,1492,3060,341,02,016,000200
"Census Tract 1.01, Anchorage Municipality, Alaska",1400000US02020000101,5753,36.6,4990,20,411,28,0,350,45,1986,1845,1485,360,1082,0,0,56,30,278,718,327800,31,5742,96,36450,132,109052,2202,3376,102,3688,3410,3262,1019,02,020,000101
"Census Tract 1.02, Anchorage Municipality, Alaska",1400000US02020000102,4359,42.2,3737,2,319,20,0,512,38,1975,1760,1232,528,1110,0,164,0,22,250,674,304600,0,4358,71,36532,153,79000,1350,2839,81,3016,2808,2575,851,02,020,000102
"Census Tract 2.01, Anchorage Municipality, Alaska",1400000US02020000201,4074,32.1,3491,66,122,107,70,98,38,1590,1581,1024,557,1316,0,8,39,15,225,1029,233800,0,4074,135,35650,78,81484,787,2945,76,2798,2635,2342,698,02,020,000201
"Census Tract 2.02, Anchorage Municipality, Alaska",1400000US02020000202,5700,36.8,4841,23,299,109,10,345,76,2220,2141,1580,561,1223,0,0,29,0,122,1072,283700,0,5685,436,33739,97,79458,1710,3642,196,3836,3298,3134,1169,02,020,000202
"Census Tract 2.03, Anchorage Municipality, Alaska",1400000US02020000203,11237,34.0,9414,582,36,326,0,907,67,3559,3450,3011,439,1549,0,0,0,0,0,1549,328400,41,11237,155,40842,357,112500,2193,8105,597,7346,6919,6470,2915,02,020,000203
"Census Tract 2.04, Anchorage Municipality, Alaska",1400000US02020000204,3630,40.4,2941,36,187,85,9,119,33,1207,1122,1017,105,230,0,0,0,0,21,209,424300,0,3215,89,46960,313,128357,1055,2398,65,2684,2561,2403,1155,02,020,000204
"Census Tract 3, Anchorage Municipality, Alaska",1400000US02020000300,8221,21.7,5722,1027,135,250,20,1000,299,1919,1795,9,1786,6529,0,0,0,55,177,6297,-666666666,0,6561,293,19167,44,52824,937,6593,434,4977,4234,2908,518,02,020,000300
"Census Tract 4, Anchorage Municipality, Alaska",1400000US02020000400,5293,20.9,3950,664,39,210,0,811,219,1475,1342,9,1333,4829,0,0,0,0,595,4234,-666666666,0,4866,323,17335,0,58100,442,4475,183,3044,2676,2055,481,02,020,000400
"Census Tract 5, Anchorage Municipality, Alaska",1400000US02020000500,2068,29.4,855,358,85,358,0,496,177,1019,996,185,811,1665,0,0,50,84,489,1042,262900,0,2068,173,25756,0,42763,481,1155,79,1294,940,1004,230,02,020,000500
"Census Tract 6, Anchorage Municipality, Alaska",1400000US02020000600,6503,25.5,1858,831,566,1019,641,508,396,2464,2224,339,1885,5435,0,0,0,121,814,4500,173800,0,6485,1658,15093,0,39709,2594,2741,248,3948,2667,3046,248,02,020,000600
"Census Tract 7.01, Anchorage Municipality, Alaska",1400000US02020000701,5641,30.0,2735,604,663,319,0,756,160,2195,2075,1097,978,2446,0,0,22,320,336,1768,228400,0,5517,474,27233,41,65280,2090,2943,28,3743,2928,3109,682,02,020,000701
"Census Tract 7.02, Anchorage Municipality, Alaska",1400000US02020000702,5217,26.2,3148,993,164,398,107,218,20,1914,1825,824,1001,2971,26,9,0,176,252,2508,273000,0,5116,841,27181,35,77042,2305,2396,59,3485,2974,2543,438,02,020,000702
"Census Tract 7.03, Anchorage Municipality, Alaska",1400000US02020000703,5045,32.7,2701,485,407,506,255,383,51,2275,1986,822,1164,2663,0,0,38,128,384,2113,147300,0,4898,816,23165,43,46842,1518,2737,250,3335,2621,2854,347,02,020,000703
"Census Tract 8.01, Anchorage Municipality, Alaska",1400000US02020000801,7342,26.3,3086,744,732,1602,163,919,284,2614,2351,1002,1349,4282,0,0,109,219,141,3813,219400,0,7270,1374,20279,0,51250,2396,3528,292,4569,3101,3480,544,02,020,000801
"Census Tract 8.02, Anchorage Municipality, Alaska",1400000US02020000802,4589,27.7,2578,524,146,388,292,249,55,1968,1875,890,985,2222,0,0,0,86,562,1574,130400,0,4586,942,26405,52,47524,1489,2228,249,3094,2464,2407,466,02,020,000802
"Census Tract 9.01, Anchorage Municipality, Alaska",1400000US02020000901,5890,31.9,1922,431,1286,821,180,699,96,1802,1729,585,1144,3246,16,77,37,279,663,2174,35100,0,5063,1111,19325,39,43358,2785,2284,213,4251,3135,3528,351,02,020,000901
"Census Tract 9.02, Anchorage Municipality, Alaska",1400000US02020000902,2847,38.4,1478,334,98,424,212,356,0,1486,1359,517,842,1857,0,0,15,232,167,1443,219500,0,2836,330,28174,0,47694,685,1504,119,1778,1227,1414,438,02,020,000902
"Census Tract 10, Anchorage Municipality, Alaska",1400000US02020001000,3736,33.7,2099,437,444,71,95,271,97,2248,1922,421,1501,2847,0,0,40,167,423,2217,171100,0,3704,733,27750,3,43840,1094,2233,170,2854,2345,2319,674,02,020,001000
"Census Tract 11, Anchorage Municipality, Alaska",1400000US02020001100,878,46.4,593,38,96,57,16,20,2,494,398,126,272,290,0,0,0,11,24,255,161500,0,587,118,30929,3,56750,251,565,9,792,709,664,160,02,020,001100
"Census Tract 12, Anchorage Municipality, Alaska",1400000US02020001200,3758,48.1,3206,55,164,120,0,173,84,2116,1861,938,923,1499,26,13,45,98,99,1218,406300,36,3666,64,69983,276,86725,1022,2486,23,2628,2342,2266,1613,02,020,001200
"Census Tract 13, Anchorage Municipality, Alaska",1400000US02020001300,3066,47.0,2851,0,63,44,0,85,0,1331,1293,1142,151,340,0,0,29,0,34,277,396100,13,3057,144,75513,263,113304,1010,1890,46,1955,1864,1787,1185,02,020,001300
"Census Tract 14, Anchorage Municipality, Alaska",1400000US02020001400,5017,35.6,3009,188,345,542,345,388,0,2629,2352,571,1781,3581,19,0,197,171,265,2929,176900,0,4933,549,28297,63,41385,1635,2308,215,3785,2975,2927,779,02,020,001400
"Census Tract 15, Anchorage Municipality, Alaska",1400000US02020001500,5094,39.9,3519,82,217,664,0,272,0,2162,2080,1430,650,1382,0,0,56,110,131,1085,323700,0,5056,406,49010,293,87759,1480,3044,147,3127,2599,2965,1342,02,020,001500
"Census Tract 16.01, Anchorage Municipality, Alaska",1400000US02020001601,3904,36.4,2496,246,153,261,119,382,103,1537,1470,1144,326,759,0,0,0,10,185,564,209700,0,3825,258,30462,30,70431,1406,2044,75,2569,2168,2185,784,02,020,001601
"Census Tract 16.02, Anchorage Municipality, Alaska",1400000US02020001602,4234,26.9,2889,207,454,128,137,161,21,1529,1385,771,614,1698,0,0,0,89,230,1379,304200,0,3631,242,36521,145,77057,1502,2283,129,3018,2625,1901,861,02,020,001602
