NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 1001, Beaver County, Utah",1400000US49001100100,3686,32.1,3501,13,31,0,105,5,1644,1121,838,283,843,632,166100,7,3443,914,15311,0,39115,2422,905,31,2013,1805,1697,192,49,001,100100
"Census Tract 1002, Beaver County, Utah",1400000US49001100200,2809,30.8,2789,3,4,0,0,13,1241,940,740,200,600,532,131000,12,2792,263,21416,33,47418,2181,548,6,1483,1402,1293,116,49,001,100200
"Census Tract 9601, Box Elder County, Utah",1400000US49003960100,3049,29.6,2997,0,2,5,0,45,1174,895,775,120,357,193,155200,4,3049,313,20894,25,56107,2331,674,4,1647,1553,1493,308,49,003,960100
"Census Tract 9602, Box Elder County, Utah",1400000US49003960200,6692,31.4,6389,0,8,34,0,133,2300,2164,1790,374,1149,928,171400,3,6690,625,19661,10,54018,5067,1492,0,3574,3380,3123,598,49,003,960200
"Census Tract 9603, Box Elder County, Utah",1400000US49003960300,7563,27.5,6688,0,3,24,0,772,2600,2418,1690,728,2136,2081,150800,3,7515,886,18885,44,52852,5005,2174,22,4129,3558,3403,580,49,003,960300
"Census Tract 9604, Box Elder County, Utah",1400000US49003960400,4944,31.0,4471,0,14,134,6,226,1610,1527,1288,239,893,661,182500,28,4939,573,22655,45,58419,3867,770,72,2595,2318,2204,579,49,003,960400
"Census Tract 9605, Box Elder County, Utah",1400000US49003960500,5004,30.5,4624,0,103,71,12,86,1755,1685,1282,403,748,585,165900,0,4869,310,20691,11,52792,3535,1219,24,3095,2772,2491,389,49,003,960500
"Census Tract 9606.01, Box Elder County, Utah",1400000US49003960601,3678,31.6,3532,0,0,109,0,19,1463,1372,1197,175,384,384,140500,0,3678,566,20296,0,48444,2677,831,22,1978,1805,1643,231,49,003,960601
"Census Tract 9606.02, Box Elder County, Utah",1400000US49003960602,2546,37.5,2486,14,11,0,5,8,778,752,692,60,108,97,196700,0,2361,130,24778,12,65714,1963,469,3,1553,1445,1245,550,49,003,960602
"Census Tract 9607.01, Box Elder County, Utah",1400000US49003960701,4593,31.4,4074,30,63,0,4,237,1675,1531,1109,422,1231,1104,143900,0,4536,279,20079,10,54727,3038,1332,33,2409,2158,1992,456,49,003,960701
"Census Tract 9607.02, Box Elder County, Utah",1400000US49003960702,2458,27.5,2348,0,41,0,0,17,954,900,628,272,624,531,148400,0,2429,203,18026,3,47696,1753,604,5,1412,1234,1175,219,49,003,960702
"Census Tract 9608.01, Box Elder County, Utah",1400000US49003960801,4318,34.0,3903,41,10,0,0,230,1371,1276,1176,100,415,203,193200,0,4296,440,22295,39,59345,3209,997,13,2365,2222,2070,584,49,003,960801
"Census Tract 9608.02, Box Elder County, Utah",1400000US49003960802,4248,33.8,3835,11,35,19,27,87,1457,1371,1251,120,307,274,233900,0,4248,121,25494,10,75156,3126,1051,20,2195,2082,1972,701,49,003,960802
"Census Tract 1.01, Cache County, Utah",1400000US49005000101,4464,29.2,4212,10,1,0,0,161,1445,1388,1139,249,911,644,168500,0,4456,572,20280,12,53726,3077,1243,30,2373,2209,2007,610,49,005,000101
"Census Tract 1.02, Cache County, Utah",1400000US49005000102,1769,29.2,1680,2,0,2,0,14,557,534,469,65,198,127,157000,3,1769,194,18965,13,51458,1322,409,0,1006,928,835,168,49,005,000102
"Census Tract 2.01, Cache County, Utah",1400000US49005000201,3322,27.5,3079,0,0,0,17,114,1102,1046,899,147,439,407,168900,0,3310,511,16574,0,44340,2354,770,0,1851,1524,1499,511,49,005,000201
"Census Tract 2.02, Cache County, Utah",1400000US49005000202,6473,29.6,6020,69,0,124,9,118,2111,1936,1668,268,969,840,191900,0,6386,315,20804,50,59824,4522,1572,76,3552,3350,2974,949,49,005,000202
"Census Tract 3, Cache County, Utah",1400000US49005000300,6854,27.8,6343,23,1,180,0,194,2085,1988,1432,556,1649,1578,174700,5,6749,925,17288,18,50489,4391,1839,39,3959,3078,3303,731,49,005,000300
"Census Tract 4.01, Cache County, Utah",1400000US49005000401,3257,25.8,3096,5,0,102,0,12,1087,1010,403,607,1572,1336,235300,0,3140,392,19005,14,42045,1842,1305,17,1772,1401,1283,331,49,005,000401
"Census Tract 4.02, Cache County, Utah",1400000US49005000402,2992,34.3,2860,0,0,86,0,0,960,873,827,46,164,153,309200,31,2992,156,33966,81,92128,1785,1056,22,1653,1471,1371,804,49,005,000402
"Census Tract 4.03, Cache County, Utah",1400000US49005000403,5420,27.8,5155,14,49,98,0,11,1567,1529,1370,159,588,580,195900,9,5420,231,22388,65,67682,3740,1420,46,2939,2704,2498,1128,49,005,000403
"Census Tract 5.01, Cache County, Utah",1400000US49005000501,5057,26.2,4634,41,44,112,25,161,2028,1898,725,1173,2757,2214,143000,0,4905,927,15486,0,31946,3136,1554,0,3316,2765,2138,596,49,005,000501
"Census Tract 5.02, Cache County, Utah",1400000US49005000502,5120,23.6,4532,37,151,21,19,256,1895,1850,444,1406,4233,3710,125400,0,5096,1424,15208,0,35809,2616,1917,54,3549,2716,1953,648,49,005,000502
"Census Tract 6, Cache County, Utah",1400000US49005000600,6885,22.1,6197,65,0,257,0,191,2456,2323,559,1764,5106,4592,163500,0,6538,3384,13457,0,28495,4300,1843,95,5654,4516,1998,813,49,005,000600
"Census Tract 7.01, Cache County, Utah",1400000US49005000701,4781,26.4,4544,113,13,21,22,34,1383,1353,1196,157,340,263,213800,14,3926,174,33810,118,82956,2886,1649,14,3121,2815,1897,1250,49,005,000701
"Census Tract 7.02, Cache County, Utah",1400000US49005000702,3292,20.0,2621,90,0,241,5,201,552,496,0,496,1413,1413,-666666666,0,1413,607,6013,0,21846,1712,875,13,3080,2399,399,248,49,005,000702
"Census Tract 8, Cache County, Utah",1400000US49005000800,5017,23.7,4540,75,57,272,29,12,2335,2163,397,1766,4089,3968,154800,0,4987,2184,15406,0,24482,2939,1617,39,4166,3169,1706,763,49,005,000800
"Census Tract 9, Cache County, Utah",1400000US49005000900,2838,27.1,2676,23,10,16,0,92,1374,1280,485,795,1791,1619,139600,0,2838,427,17382,0,34286,1885,807,36,1951,1712,1349,494,49,005,000900
"Census Tract 10.01, Cache County, Utah",1400000US49005001001,3166,25.9,2272,0,153,75,0,199,889,889,610,279,1014,946,149100,0,3166,615,15307,0,51264,1641,1104,54,1728,1138,1550,460,49,005,001001
"Census Tract 10.02, Cache County, Utah",1400000US49005001002,4668,27.3,3949,0,176,133,20,123,1822,1794,639,1155,2932,2470,143500,0,4604,1357,14877,0,32603,2475,1481,77,2748,2009,2195,609,49,005,001002
