NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,state,county,tract
"Census Tract 9627, Albany County, Wyoming",1400000US56001962700,3608,31.4,3227,0,109,21,0,200,1514,1403,1154,249,707,519,190300,1154,0,3594,669,28859,1403,53,57019,3608,1749,1744,18,2296,2135,707,0,26,47,12,103,519,56,001,962700
"Census Tract 9628, Albany County, Wyoming",1400000US56001962800,3469,26.6,2880,0,32,19,0,361,1498,1273,833,440,1337,1337,175400,833,0,3446,638,25056,1273,60,51202,3469,1446,1656,38,2229,1959,1337,0,0,0,0,0,1337,56,001,962800
"Census Tract 9629, Albany County, Wyoming",1400000US56001962900,1699,32.9,1416,0,0,32,0,132,1037,871,665,206,383,333,89400,665,43,1607,217,23969,871,0,37352,1699,924,704,0,1214,1007,383,4,0,0,0,46,333,56,001,962900
"Census Tract 9630, Albany County, Wyoming",1400000US56001963000,2093,24.0,1692,0,51,44,0,226,1334,1074,358,716,1345,1250,119500,358,0,2073,677,18280,1074,0,29508,2093,1006,996,11,1707,1455,1345,18,0,0,38,39,1250,56,001,963000
"Census Tract 9631, Albany County, Wyoming",1400000US56001963100,6499,28.1,5847,26,0,249,12,178,3103,2681,1514,1167,2564,2266,246400,1514,11,6499,1378,30248,2681,77,58068,6499,2758,3394,53,4619,4238,2564,0,0,35,142,121,2266,56,001,963100
"Census Tract 9634, Albany County, Wyoming",1400000US56001963400,3914,24.4,3434,77,1,171,1,132,2156,1977,437,1540,2959,2679,170100,437,0,3860,1547,20279,1977,0,27694,3914,1512,2065,9,3500,3075,2959,61,35,21,64,99,2679,56,001,963400
"Census Tract 9635, Albany County, Wyoming",1400000US56001963500,2903,19.5,2618,17,26,166,9,29,398,293,9,284,568,539,-666666666,9,0,577,458,4630,293,0,14120,2903,971,1617,63,2756,2403,568,0,0,0,29,0,539,56,001,963500
"Census Tract 9636, Albany County, Wyoming",1400000US56001963600,4258,30.8,3953,82,1,60,0,92,2400,2022,1044,978,1883,1676,197100,1044,0,4154,574,28855,2022,12,58457,4258,1446,2656,0,3140,2808,1883,0,0,34,0,173,1676,56,001,963600
"Census Tract 9637, Albany County, Wyoming",1400000US56001963700,5016,28.0,4443,207,11,221,11,51,2410,2168,1115,1053,2254,1983,226400,1115,0,5016,1456,26931,2168,74,40776,5016,2050,2579,7,3699,3260,2254,0,0,0,50,221,1983,56,001,963700
"Census Tract 9639, Albany County, Wyoming",1400000US56001963900,2056,53.4,1898,23,10,0,0,42,1959,921,757,164,442,387,284000,757,82,2056,51,50319,921,93,63307,2056,546,1369,76,1396,1350,442,0,9,25,2,19,387,56,001,963900
"Census Tract 9626, Big Horn County, Wyoming",1400000US56003962600,2301,47.0,2198,2,46,0,0,21,1283,960,703,257,573,407,126800,703,15,2164,99,28952,960,31,50341,2301,1165,1076,3,1184,1131,573,7,6,21,69,63,407,56,003,962600
"Census Tract 9627, Big Horn County, Wyoming",1400000US56003962700,3492,43.6,3209,0,171,0,4,10,1664,1472,1155,317,719,406,113300,1155,0,3481,452,25191,1472,3,54661,3492,1747,1531,19,2061,1842,719,5,0,17,56,235,406,56,003,962700
"Census Tract 9628, Big Horn County, Wyoming",1400000US56003962800,5760,38.3,5499,0,56,39,0,114,2413,2180,1648,532,1317,977,122400,1648,0,5709,489,24212,2180,35,51122,5760,3111,2572,35,3272,3135,1317,18,4,6,101,211,977,56,003,962800
"Census Tract 1, Campbell County, Wyoming",1400000US56005000100,7546,35.6,6924,14,99,195,0,133,3131,2681,2117,564,1833,1424,224800,2117,7,7454,365,38403,2681,154,92757,7546,2596,4602,67,5141,4728,1833,0,41,34,166,168,1424,56,005,000100
"Census Tract 2, Campbell County, Wyoming",1400000US56005000200,6231,31.1,5881,46,26,0,24,194,2406,2223,1808,415,1572,1461,212100,1808,0,6128,544,30008,2223,78,69354,6231,2211,3806,51,4078,3898,1572,0,0,58,36,17,1461,56,005,000200
"Census Tract 3, Campbell County, Wyoming",1400000US56005000300,5357,32.4,4871,36,163,0,16,224,2305,2071,1550,521,1251,967,162000,1550,12,5357,544,30736,2071,72,76940,5357,2203,2835,0,3681,3400,1251,0,0,13,241,30,967,56,005,000300
"Census Tract 4, Campbell County, Wyoming",1400000US56005000400,4576,37.5,3967,4,0,58,0,547,2134,1887,1185,702,1903,1644,180500,1185,0,4576,279,37164,1887,79,67193,4576,1361,2835,0,3142,2669,1903,0,0,54,24,181,1644,56,005,000400
"Census Tract 5, Campbell County, Wyoming",1400000US56005000500,6625,30.1,6355,16,46,6,0,91,2301,2140,1974,166,397,373,232200,1974,0,6412,203,37413,2140,144,103488,6625,2723,3865,7,4262,4131,397,0,0,0,0,24,373,56,005,000500
"Census Tract 6, Campbell County, Wyoming",1400000US56005000600,5706,29.4,5221,7,139,0,0,213,2614,2190,1215,975,2095,2036,143700,1215,0,5476,233,26782,2190,30,60238,5706,2195,3304,90,3603,3325,2095,0,0,0,26,33,2036,56,005,000600
"Census Tract 7, Campbell County, Wyoming",1400000US56005000700,8558,31.1,8158,112,11,21,0,165,3447,3280,2742,538,1355,984,178700,2742,67,8509,616,30812,3280,58,74583,8558,4545,3979,0,5603,5388,1355,0,29,0,19,323,984,56,005,000700
"Census Tract 9676, Carbon County, Wyoming",1400000US56007967600,2613,35.2,2398,57,50,10,7,0,966,664,548,116,253,211,136000,548,0,1649,195,21952,664,32,68750,2613,826,1661,60,1880,1786,253,3,9,0,7,23,211,56,007,967600
"Census Tract 9677, Carbon County, Wyoming",1400000US56007967700,4143,31.7,3732,0,16,120,0,236,1888,1703,1189,514,1430,1074,160200,1189,0,4127,505,26414,1703,8,56116,4143,1838,1962,56,2654,2184,1430,0,9,0,0,347,1074,56,007,967700
"Census Tract 9678, Carbon County, Wyoming",1400000US56007967800,4276,40.8,3850,55,61,0,0,167,2137,1717,1301,416,842,644,145800,1301,9,4101,158,35080,1717,80,71273,4276,1754,2216,18,2719,2155,842,0,8,38,36,116,644,56,007,967800
"Census Tract 9680, Carbon County, Wyoming",1400000US56007968000,3266,48.7,3220,0,32,0,8,0,2286,1471,1111,360,803,390,152400,1111,6,3229,206,28365,1471,8,56319,3266,1150,2019,52,2025,2017,803,26,3,42,39,303,390,56,007,968000
"Census Tract 9681, Carbon County, Wyoming",1400000US56007968100,1452,42.2,1371,8,0,8,0,15,1269,662,473,189,433,308,89300,473,8,1452,216,21329,662,0,40938,1452,574,855,13,879,839,433,0,0,62,27,36,308,56,007,968100
"Census Tract 9564, Converse County, Wyoming",1400000US56009956400,4945,40.5,4768,0,48,0,8,54,2368,2181,1588,593,1158,932,170200,1588,0,4864,248,30363,2181,44,56215,4945,1971,2925,0,3031,2979,1158,0,0,0,101,125,932,56,009,956400
"Census Tract 9565, Converse County, Wyoming",1400000US56009956500,2752,33.0,2413,0,82,19,0,75,1188,1137,673,464,849,413,212000,673,6,2731,336,25624,1137,9,47847,2752,950,1783,0,1746,1730,849,0,0,0,84,352,413,56,009,956500
"Census Tract 9566, Converse County, Wyoming",1400000US56009956600,2966,42.5,2872,1,0,0,2,38,1572,1169,984,185,402,236,204900,984,41,2961,240,30277,1169,83,58347,2966,1547,1397,2,1776,1705,402,0,27,53,12,74,236,56,009,956600
"Census Tract 9567, Converse County, Wyoming",1400000US56009956700,2933,38.0,2894,12,0,0,0,23,1198,1148,740,408,971,730,160100,740,0,2933,327,26339,1148,5,65000,2933,1262,1570,0,1823,1729,971,0,14,0,100,127,730,56,009,956700
"Census Tract 9502, Crook County, Wyoming",1400000US56011950200,4446,41.9,4416,0,13,0,4,9,2236,1794,1293,501,1257,787,171900,1293,25,4442,402,26711,1794,35,60755,4446,1784,2627,7,2771,2735,1257,27,0,6,75,362,787,56,011,950200
"Census Tract 9503, Crook County, Wyoming",1400000US56011950300,2480,45.1,2456,5,0,7,0,0,1327,1100,873,227,529,330,138300,873,0,2394,130,23757,1100,0,44357,2480,621,1818,14,1423,1389,529,0,0,0,25,174,330,56,011,950300
