NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9526, Allen County, Kansas",1400000US20001952600,2095,43.3,2068,0,7,0,0,7,1041,865,695,170,390,220,82900,6,2082,320,23590,23,46392,1597,486,9,1150,1147,1025,190,20,001,952600
"Census Tract 9527, Allen County, Kansas",1400000US20001952700,2065,47.3,1983,0,4,0,0,0,941,874,764,110,305,194,58500,0,2065,456,18846,0,38026,1438,624,3,1227,1213,1094,144,20,001,952700
"Census Tract 9528, Allen County, Kansas",1400000US20001952800,4017,33.9,3553,219,44,37,0,26,1654,1551,1171,380,818,748,69200,0,3676,526,18280,0,36023,3069,886,19,2229,2198,1755,402,20,001,952800
"Census Tract 9529, Allen County, Kansas",1400000US20001952900,2426,39.4,2348,19,14,11,0,4,1234,1123,760,363,604,516,54500,0,2400,445,20314,0,35864,1639,744,0,1525,1508,1245,282,20,001,952900
"Census Tract 9530, Allen County, Kansas",1400000US20001953000,2808,42.9,2622,0,3,4,0,57,1375,1185,951,234,496,401,66900,0,2774,253,22110,19,43730,2042,761,5,1661,1651,1394,212,20,001,953000
"Census Tract 9536, Anderson County, Kansas",1400000US20003953600,5016,44.6,4726,19,8,0,0,0,2428,2067,1681,386,905,786,77100,17,4871,730,20198,1,37951,3808,1190,0,2701,2629,2407,382,20,003,953600
"Census Tract 9537, Anderson County, Kansas",1400000US20003953700,3077,37.1,3043,0,5,3,0,0,1298,1134,927,207,602,279,95800,4,3071,287,22366,50,51087,2440,625,3,1700,1640,1478,254,20,003,953700
"Census Tract 816, Atchison County, Kansas",1400000US20005081600,4323,40.9,4210,41,25,10,0,0,1846,1638,1393,245,569,399,87000,3,4323,435,21673,12,47708,3349,938,26,2447,2430,2149,416,20,005,081600
"Census Tract 817, Atchison County, Kansas",1400000US20005081700,6399,30.3,5577,508,31,24,0,43,2243,2011,1475,536,1324,858,115700,0,5458,516,23024,70,52766,3864,2486,20,4034,3906,2702,783,20,005,081700
"Census Tract 818, Atchison County, Kansas",1400000US20005081800,2893,40.4,2728,149,0,0,0,12,1276,1112,747,365,794,737,76500,0,2849,396,20081,0,40701,2055,838,0,1766,1728,1361,160,20,005,081800
"Census Tract 819, Atchison County, Kansas",1400000US20005081900,3252,35.8,2905,241,0,0,0,0,1629,1335,595,740,1620,1158,74600,0,3221,721,19333,14,36375,2129,1052,35,1923,1887,1533,434,20,005,081900
"Census Tract 9681, Barber County, Kansas",1400000US20007968100,3056,45.4,2971,17,0,11,0,11,1729,1452,1066,386,694,470,51900,0,3037,342,24534,29,40601,2306,734,10,1736,1691,1507,321,20,007,968100
"Census Tract 9682, Barber County, Kansas",1400000US20007968200,1821,46.7,1725,6,11,0,0,11,1042,853,655,198,433,226,56900,12,1784,188,26001,14,43849,1119,674,7,1083,1067,988,262,20,007,968200
"Census Tract 9711, Barton County, Kansas",1400000US20009971100,3627,45.6,3489,16,6,25,9,29,1795,1558,1266,292,492,379,62300,0,3545,461,24501,17,46686,2891,656,15,2134,2080,1798,352,20,009,971100
"Census Tract 9712, Barton County, Kansas",1400000US20009971200,1873,42.8,1820,24,0,0,5,8,828,715,603,112,349,281,61100,2,1860,84,22544,0,50598,1364,487,14,1142,1124,940,145,20,009,971200
"Census Tract 9713, Barton County, Kansas",1400000US20009971300,3241,35.5,2958,5,9,22,0,185,1446,1285,985,300,972,557,53900,0,3159,451,22105,6,49181,2394,734,48,1784,1720,1575,347,20,009,971300
"Census Tract 9714, Barton County, Kansas",1400000US20009971400,2542,40.6,2287,137,9,16,0,61,1335,1171,788,383,858,589,60700,0,2485,337,33854,36,42971,1741,748,0,1549,1498,1294,361,20,009,971400
"Census Tract 9715, Barton County, Kansas",1400000US20009971500,3817,43.0,3667,41,0,0,0,0,1760,1622,1048,574,1333,814,100000,0,3702,400,29968,70,57759,2950,842,0,2197,2105,1853,450,20,009,971500
"Census Tract 9716, Barton County, Kansas",1400000US20009971600,4140,46.6,3835,86,17,13,0,163,2102,1935,1296,639,1142,728,90300,6,4095,475,28831,26,45817,3076,842,13,2320,2131,2080,462,20,009,971600
"Census Tract 9717, Barton County, Kansas",1400000US20009971700,3146,33.2,2460,95,11,0,0,361,1352,1196,621,575,1144,905,47400,0,3083,486,17775,45,36381,1880,845,0,1893,1492,1552,266,20,009,971700
"Census Tract 9718, Barton County, Kansas",1400000US20009971800,5186,34.9,4982,29,65,0,0,60,2103,1759,1509,250,639,352,78300,10,5108,742,19455,25,43544,3283,913,3,3130,2162,2523,502,20,009,971800
"Census Tract 9556, Bourbon County, Kansas",1400000US20011955600,2450,40.9,2320,26,7,51,0,5,1297,932,784,148,413,260,83300,0,2450,270,18252,0,43140,1860,561,7,1389,1355,1185,229,20,011,955600
"Census Tract 9557, Bourbon County, Kansas",1400000US20011955700,2476,39.9,2383,6,18,11,0,0,1222,920,779,141,330,270,88900,0,2460,265,20791,10,43616,1838,630,0,1460,1460,1283,276,20,011,955700
"Census Tract 9558, Bourbon County, Kansas",1400000US20011955800,3633,42.3,3410,172,2,46,0,0,1647,1358,1020,338,711,616,80000,0,3368,501,21019,23,42308,2343,1250,20,1847,1807,1481,559,20,011,955800
"Census Tract 9559, Bourbon County, Kansas",1400000US20011955900,3667,35.4,3268,118,43,0,0,0,1516,1332,893,439,1310,879,81500,0,3656,757,15610,5,36202,2757,910,0,2094,2077,1781,264,20,011,955900
"Census Tract 9560, Bourbon County, Kansas",1400000US20011956000,2869,35.1,2737,42,0,4,0,0,1503,1185,753,432,1096,704,65900,0,2837,550,18478,14,36122,2024,845,0,1676,1661,1402,428,20,011,956000
"Census Tract 4806, Brown County, Kansas",1400000US20013480600,2835,40.3,2045,25,665,0,0,0,1312,1143,918,225,506,368,74700,20,2829,556,20600,23,40142,2040,758,3,1680,1640,1474,287,20,013,480600
"Census Tract 4807, Brown County, Kansas",1400000US20013480700,3536,43.8,3258,68,61,72,0,8,1826,1601,891,710,1434,1254,86100,0,3364,795,19626,14,30160,2312,1076,47,2047,1960,1805,309,20,013,480700
"Census Tract 4808, Brown County, Kansas",1400000US20013480800,3629,40.2,3331,41,188,5,0,7,1654,1389,974,415,939,739,64400,0,3557,616,19405,17,40080,2520,1069,0,1926,1866,1676,315,20,013,480800
"Census Tract 201, Butler County, Kansas",1400000US20015020100,6021,38.5,5450,299,66,15,0,51,2192,1978,1576,402,973,778,95900,6,5112,346,23573,22,57606,4349,1540,17,3956,3703,3220,443,20,015,020100
"Census Tract 202.01, Butler County, Kansas",1400000US20015020201,6854,37.9,6488,97,8,10,0,67,2525,2418,1978,440,1046,775,133900,51,6418,437,24288,13,59725,4567,2176,107,4343,4281,3697,1062,20,015,020201
"Census Tract 202.02, Butler County, Kansas",1400000US20015020202,8274,34.5,7749,261,0,0,0,39,3134,2981,2496,485,1112,964,161200,17,8121,219,30491,84,77701,4799,3260,88,5005,4717,4413,2217,20,015,020202
"Census Tract 202.03, Butler County, Kansas",1400000US20015020203,5409,39.4,5139,0,0,137,0,80,2064,1943,1693,250,480,430,167800,22,5399,118,35174,101,75675,3476,1735,15,3357,3147,2961,1212,20,015,020203
"Census Tract 203, Butler County, Kansas",1400000US20015020300,3731,40.6,3442,58,43,0,0,33,1736,1572,1210,362,1060,922,98700,13,3677,239,25168,44,44091,2420,1262,30,2212,2193,1815,543,20,015,020300
"Census Tract 204, Butler County, Kansas",1400000US20015020400,2667,39.4,2428,92,0,0,0,78,1300,1213,597,616,1167,773,68000,0,2597,393,22867,41,36176,1934,602,10,1691,1514,1350,220,20,015,020400
"Census Tract 205, Butler County, Kansas",1400000US20015020500,5551,30.5,5187,0,93,38,6,155,2456,2159,1263,896,2330,1952,85800,0,5417,969,19957,0,43019,4220,1218,6,3056,2958,2605,352,20,015,020500
"Census Tract 206, Butler County, Kansas",1400000US20015020600,7626,42.1,7235,75,25,0,0,35,2969,2733,2348,385,988,748,118800,0,7561,424,28782,84,67541,5736,1743,37,4651,4592,4060,932,20,015,020600
"Census Tract 207, Butler County, Kansas",1400000US20015020700,4048,34.9,3657,0,46,45,0,107,1741,1741,1202,539,1176,1072,89600,0,3993,549,22692,21,40287,2822,1138,32,2232,2097,1945,459,20,015,020700
"Census Tract 208, Butler County, Kansas",1400000US20015020800,3156,27.3,2561,97,36,25,0,132,1221,1070,622,448,1348,1139,85100,0,3079,643,16588,0,37643,2499,554,43,1861,1792,1460,209,20,015,020800
"Census Tract 209.01, Butler County, Kansas",1400000US20015020901,3944,44.8,3660,0,56,54,0,27,1728,1489,1371,118,275,275,160900,45,3944,155,38617,133,78750,2580,1180,87,2494,2342,2235,713,20,015,020901
"Census Tract 209.02, Butler County, Kansas",1400000US20015020902,4122,34.0,3900,23,23,62,0,10,1365,1305,1114,191,631,482,129500,0,4070,20,27548,45,72781,2614,1441,29,2363,2302,2032,670,20,015,020902
"Census Tract 209.03, Butler County, Kansas",1400000US20015020903,3904,40.0,3793,0,20,28,0,0,1493,1437,1192,245,655,530,130900,3,3834,283,25148,23,55139,2899,934,12,2226,2131,1841,351,20,015,020903
"Census Tract 9606, Chase County, Kansas",1400000US20017960600,2808,45.2,2706,28,5,4,0,13,1508,1151,880,271,554,383,82000,0,2653,352,20530,5,39095,2162,579,18,1580,1521,1411,227,20,017,960600
"Census Tract 9646, Chautauqua County, Kansas",1400000US20019964600,3685,48.1,3351,59,133,0,0,46,2158,1545,1191,354,808,613,46000,1,3558,523,20836,17,35791,2082,1530,11,2051,1949,1808,317,20,019,964600
"Census Tract 9581, Cherokee County, Kansas",1400000US20021958100,3158,39.9,2949,12,140,0,0,2,1518,1278,1105,173,424,268,64400,2,3125,330,17472,0,37012,1930,1209,7,1917,1908,1648,262,20,021,958100
"Census Tract 9582, Cherokee County, Kansas",1400000US20021958200,2268,48.1,2154,0,36,0,0,0,1122,952,718,234,563,306,73600,0,2267,446,22222,18,45542,1121,1135,12,1377,1367,1333,213,20,021,958200
"Census Tract 9583, Cherokee County, Kansas",1400000US20021958300,3856,38.0,3392,22,255,0,7,0,1675,1455,1034,421,1046,846,71200,0,3657,634,21065,17,43835,2106,1711,10,2145,2101,1825,365,20,021,958300
"Census Tract 9584, Cherokee County, Kansas",1400000US20021958400,3857,38.2,3590,0,87,36,0,11,1546,1306,1152,154,481,310,93800,0,3778,454,21165,15,53632,1276,2534,0,2287,2221,2019,265,20,021,958400
