NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,state,county,tract
"Census Tract 301, Adams County, Indiana",1400000US18001030100,4467,42.3,4244,48,25,15,0,63,1842,1755,1552,203,463,359,133500,1552,39,4422,429,25605,1755,28,56685,4467,3703,708,0,2852,2728,463,10,0,0,46,48,359,18,001,030100
"Census Tract 302, Adams County, Indiana",1400000US18001030200,4842,43.6,4598,17,46,12,0,56,2402,2225,1635,590,1183,754,100700,1635,15,4842,719,22624,2225,14,42986,4842,3709,1106,0,3026,2727,1183,0,0,0,190,239,754,18,001,030200
"Census Tract 303, Adams County, Indiana",1400000US18001030300,5855,32.9,5597,3,0,0,0,0,2422,2207,1585,622,1467,927,88800,1585,0,5539,993,18948,2207,23,45747,5855,4661,1051,0,3268,3076,1467,0,0,0,56,484,927,18,001,030300
"Census Tract 304, Adams County, Indiana",1400000US18001030400,2986,40.8,2936,10,0,0,0,16,1100,1089,1053,36,51,17,166300,1053,0,2986,206,22420,1089,0,56123,2986,2686,284,0,1788,1626,51,0,21,0,13,0,17,18,001,030400
"Census Tract 305, Adams County, Indiana",1400000US18001030500,6044,22.1,6027,0,3,5,0,0,1612,1558,1458,100,254,140,156600,1458,13,6044,1381,14081,1558,12,43198,6044,5704,306,5,2815,1615,254,0,0,4,51,59,140,18,001,030500
"Census Tract 306, Adams County, Indiana",1400000US18001030600,3444,37.6,3304,20,0,24,0,0,1469,1410,897,513,1118,736,92200,897,12,3385,500,19087,1410,12,37273,3444,2778,586,50,1869,1854,1118,0,0,23,98,261,736,18,001,030600
"Census Tract 307, Adams County, Indiana",1400000US18001030700,6625,27.7,6587,35,0,0,0,0,2140,1976,1544,432,818,581,122500,1544,0,6477,1005,18119,1976,37,47862,6625,5583,966,41,3309,2578,818,0,0,17,41,179,581,18,001,030700
"Census Tract 1, Allen County, Indiana",1400000US18003000100,2649,37.1,2283,229,16,27,0,24,1157,1128,857,271,814,793,76600,857,0,2628,388,19613,1128,8,40000,2649,1976,538,17,1579,1434,814,0,0,0,21,0,793,18,003,000100
"Census Tract 3, Allen County, Indiana",1400000US18003000300,3428,32.8,3156,113,13,48,0,24,1487,1302,1025,277,694,445,84900,1025,0,3428,525,23004,1302,37,51250,3428,2596,684,0,2194,2067,694,10,0,45,134,60,445,18,003,000300
"Census Tract 4, Allen County, Indiana",1400000US18003000400,2568,30.5,2251,219,6,0,0,10,1469,1159,571,588,1205,1077,80600,571,0,2568,377,20456,1159,0,38801,2568,1875,657,7,1751,1731,1205,9,0,16,0,103,1077,18,003,000400
"Census Tract 5, Allen County, Indiana",1400000US18003000500,2939,32.9,2227,383,0,163,9,29,1797,1313,616,697,1551,1404,74900,616,0,2766,922,15960,1313,0,27816,2939,1993,638,0,1832,1609,1551,0,0,0,20,127,1404,18,003,000500
"Census Tract 6, Allen County, Indiana",1400000US18003000600,2577,26.7,2011,200,24,0,0,103,971,785,301,484,1610,1441,62500,301,0,2562,933,10803,785,0,28393,2577,1871,670,17,1621,1577,1610,13,0,41,64,51,1441,18,003,000600
"Census Tract 7.01, Allen County, Indiana",1400000US18003000701,3343,29.6,2589,96,7,163,0,206,1522,1259,773,486,1459,1156,64000,773,0,3342,931,15772,1259,0,37050,3343,2437,669,13,1914,1719,1459,0,18,25,29,231,1156,18,003,000701
"Census Tract 7.04, Allen County, Indiana",1400000US18003000704,2751,30.1,1835,286,0,421,0,157,1389,1183,491,692,1215,1086,96100,491,0,2587,356,23579,1183,9,45141,2751,1766,396,6,1910,1401,1215,0,0,0,30,99,1086,18,003,000704
"Census Tract 8, Allen County, Indiana",1400000US18003000800,4228,35.1,3819,156,42,126,0,0,2063,1877,1359,518,1215,749,77100,1359,0,4191,771,19713,1877,0,39335,4228,3429,655,0,2672,2477,1215,0,27,0,45,394,749,18,003,000800
"Census Tract 9, Allen County, Indiana",1400000US18003000900,2793,35.4,2497,113,20,33,0,18,1409,1168,659,509,1205,653,71300,659,0,2556,472,17008,1168,0,36011,2793,2129,604,12,1937,1906,1205,25,0,101,83,343,653,18,003,000900
"Census Tract 10, Allen County, Indiana",1400000US18003001000,1400,29.2,1337,0,0,0,0,63,663,498,283,215,696,521,61700,283,0,1400,479,14914,498,0,35938,1400,927,439,34,865,827,696,0,0,0,6,169,521,18,003,001000
"Census Tract 11, Allen County, Indiana",1400000US18003001100,1736,36.0,1523,146,0,58,0,0,1253,1018,326,692,1014,810,114100,326,0,1724,295,28356,1018,22,31181,1736,1222,459,7,1407,1347,1014,0,0,31,16,157,810,18,003,001100
"Census Tract 12, Allen County, Indiana",1400000US18003001200,920,44.5,686,102,9,0,0,0,694,510,96,414,584,310,120000,96,0,824,452,17326,510,0,12781,920,545,332,0,572,503,584,9,0,42,48,175,310,18,003,001200
"Census Tract 13, Allen County, Indiana",1400000US18003001300,1645,30.6,641,750,22,10,0,41,704,508,76,432,671,504,64700,76,0,887,181,14920,508,0,29268,1645,1101,432,24,1287,1152,671,17,8,13,59,70,504,18,003,001300
"Census Tract 16, Allen County, Indiana",1400000US18003001600,1669,26.5,923,437,0,0,0,109,939,733,339,394,948,533,40100,339,0,1669,852,10100,733,0,20047,1669,1123,465,0,927,826,948,0,0,0,17,398,533,18,003,001600
"Census Tract 17, Allen County, Indiana",1400000US18003001700,1648,26.5,509,881,0,0,0,248,829,605,165,440,1044,973,61800,165,0,1609,635,11214,605,0,21602,1648,1002,380,0,894,607,1044,0,0,0,7,64,973,18,003,001700
"Census Tract 20, Allen County, Indiana",1400000US18003002000,2778,31.9,1798,509,17,59,0,245,1806,1141,421,720,1640,1082,54200,421,0,2741,934,15278,1141,0,29837,2778,1814,675,0,1907,1562,1640,0,0,18,133,407,1082,18,003,002000
"Census Tract 21, Allen County, Indiana",1400000US18003002100,2585,28.4,1449,455,33,0,0,571,1214,908,487,421,1140,987,46100,487,0,2555,1037,11971,908,0,29605,2585,1552,567,20,1578,1212,1140,51,0,9,26,67,987,18,003,002100
"Census Tract 22, Allen County, Indiana",1400000US18003002200,4505,38.0,3179,815,14,0,0,336,2082,1767,1164,603,1330,882,72000,1164,0,4459,996,16626,1767,9,32384,4505,3224,1069,60,2564,2306,1330,0,25,17,36,370,882,18,003,002200
"Census Tract 23, Allen County, Indiana",1400000US18003002300,5226,23.8,2019,2668,13,178,0,195,2278,1922,724,1198,3763,2339,45400,724,0,5191,2066,13282,1922,36,25293,5226,3460,1198,27,2987,2575,3763,0,13,35,221,1155,2339,18,003,002300
"Census Tract 25, Allen County, Indiana",1400000US18003002500,3829,26.9,2879,507,0,22,0,280,1519,1368,1063,305,803,782,77400,1063,0,3613,577,18148,1368,13,42371,3829,2417,1093,18,2447,2211,803,0,10,0,11,0,782,18,003,002500
"Census Tract 26, Allen County, Indiana",1400000US18003002600,3579,28.3,2172,508,0,15,0,773,1492,1179,757,422,1428,1159,69800,757,0,3574,965,15916,1179,0,40839,3579,1840,1320,54,2273,1679,1428,0,0,0,78,191,1159,18,003,002600
"Census Tract 28, Allen County, Indiana",1400000US18003002800,2410,27.9,777,1389,8,0,0,194,1020,790,376,414,1277,1204,38500,376,0,2346,1029,10120,790,0,22589,2410,1313,561,0,1426,1019,1277,11,0,0,27,35,1204,18,003,002800
"Census Tract 29, Allen County, Indiana",1400000US18003002900,2204,28.9,789,988,10,0,0,322,1056,723,345,378,1283,1061,49500,345,0,2179,1144,9445,723,0,22538,2204,1376,562,13,1271,1019,1283,0,44,0,0,178,1061,18,003,002900
"Census Tract 30, Allen County, Indiana",1400000US18003003000,4132,21.6,907,2833,55,0,29,275,1606,1378,789,589,2008,1657,43300,789,0,4132,2049,11273,1378,0,24111,4132,2650,1035,58,2156,1832,2008,0,0,17,19,315,1657,18,003,003000
"Census Tract 31, Allen County, Indiana",1400000US18003003100,2479,26.0,1239,1147,0,0,0,12,1269,946,544,402,1029,830,59500,544,0,2473,1103,12070,946,0,22692,2479,1770,497,0,1415,1243,1029,0,0,9,0,190,830,18,003,003100
"Census Tract 32, Allen County, Indiana",1400000US18003003200,5509,36.7,4284,737,0,212,0,0,2289,2168,1863,305,796,686,89800,1863,0,5509,699,22673,2168,38,46394,5509,3713,1445,43,3060,2738,796,0,12,13,0,85,686,18,003,003200
"Census Tract 33.01, Allen County, Indiana",1400000US18003003301,2990,32.9,2662,85,21,53,0,95,1172,1124,813,311,764,468,84300,813,0,2990,372,18125,1124,0,44071,2990,2025,700,25,1859,1722,764,0,0,0,175,121,468,18,003,003301
"Census Tract 33.04, Allen County, Indiana",1400000US18003003304,4242,29.6,3291,496,5,221,0,77,2076,1907,633,1274,2687,2054,81100,633,7,4113,663,18023,1907,2,33254,4242,2275,1012,23,2831,2134,2687,0,19,134,85,395,2054,18,003,003304
"Census Tract 34, Allen County, Indiana",1400000US18003003400,4214,35.1,3713,260,10,21,0,26,2070,1821,1446,375,879,716,85500,1446,0,4170,489,24053,1821,0,46422,4214,3254,880,0,2711,2642,879,0,0,27,22,114,716,18,003,003400
"Census Tract 35, Allen County, Indiana",1400000US18003003500,4328,43.0,3068,684,8,378,0,62,1890,1635,622,1013,2034,1391,85100,622,0,3709,827,16230,1635,0,29639,4328,2913,1002,26,2018,1586,2034,0,61,64,179,339,1391,18,003,003500
"Census Tract 36, Allen County, Indiana",1400000US18003003600,5886,32.0,2216,3142,7,0,13,191,3052,2689,729,1960,3542,2809,68700,729,0,5886,773,16811,2689,0,30870,5886,3920,1680,34,3637,3165,3542,0,0,64,154,515,2809,18,003,003600
"Census Tract 37, Allen County, Indiana",1400000US18003003700,2510,39.2,2267,51,0,0,0,94,1215,1102,859,243,508,431,79000,859,0,2470,336,19997,1102,0,40288,2510,2001,380,17,1590,1464,508,0,0,0,22,55,431,18,003,003700
"Census Tract 38, Allen County, Indiana",1400000US18003003800,3114,41.5,2703,233,0,0,0,86,1794,1606,822,784,1034,787,79600,822,0,3114,701,19618,1606,0,32795,3114,2333,658,0,1976,1823,1034,0,0,33,98,116,787,18,003,003800
"Census Tract 39.01, Allen County, Indiana",1400000US18003003901,3426,44.1,3167,123,5,24,0,59,1586,1468,1137,331,715,670,94300,1137,0,3426,520,21533,1468,10,39583,3426,2560,720,8,1921,1812,715,11,0,0,13,21,670,18,003,003901
