NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9501, Adair County, Missouri",1400000US29001950100,3638,40.8,3565,3,51,2,0,9,1749,1388,1184,204,450,4,8,9,6,50,373,138500,0,3630,633,22055,14,46512,2893,730,7,2126,2087,1917,422,29,001,950100
"Census Tract 9502, Adair County, Missouri",1400000US29001950200,3166,43.6,2970,42,0,22,60,0,1583,1233,1098,135,342,13,15,31,32,26,225,102200,13,3162,310,21311,0,41881,2041,1089,8,1863,1838,1660,379,29,001,950200
"Census Tract 9503, Adair County, Missouri",1400000US29001950300,2729,27.6,2624,57,0,0,0,18,1595,1363,527,836,1532,0,0,0,65,85,1382,63800,0,2604,1036,13940,9,17059,1689,907,15,1967,1864,1103,324,29,001,950300
"Census Tract 9504, Adair County, Missouri",1400000US29001950400,4053,33.2,3910,37,15,73,10,0,1813,1760,1128,632,1251,0,0,21,32,57,1141,114700,0,4009,659,23041,34,39855,2372,1528,55,2487,2434,2045,841,29,001,950400
"Census Tract 9505, Adair County, Missouri",1400000US29001950500,6886,32.8,6296,176,59,227,0,0,3304,2952,1552,1400,2842,0,13,13,109,204,2503,98800,0,6497,1888,20678,54,31573,4284,2362,43,4600,4236,3061,1005,29,001,950500
"Census Tract 9509, Adair County, Missouri",1400000US29001950900,2035,22.7,1977,25,15,6,0,6,1167,892,321,571,1195,10,0,15,28,93,1049,84700,0,2035,941,13400,0,23581,1287,711,4,1436,1380,707,196,29,001,950900
"Census Tract 9510, Adair County, Missouri",1400000US29001951000,2914,19.6,2670,153,0,62,0,20,48,48,0,48,139,0,0,0,0,0,139,-666666666,0,139,119,2987,0,9250,1523,1117,72,2885,2674,22,1,29,001,951000
"Census Tract 101, Andrew County, Missouri",1400000US29003010100,5941,40.5,5836,7,21,0,0,13,2316,2163,1807,356,933,6,0,38,140,65,684,169000,3,5941,442,28816,63,68839,4586,1306,27,3658,3598,3180,800,29,003,010100
"Census Tract 102, Andrew County, Missouri",1400000US29003010200,6623,41.8,6309,46,0,21,0,142,2778,2672,1807,865,1729,0,0,0,342,278,1109,118300,12,6243,437,22440,6,46078,4980,1520,14,3898,3787,3360,754,29,003,010200
"Census Tract 103, Andrew County, Missouri",1400000US29003010300,1729,42.3,1670,0,0,0,0,0,863,686,612,74,165,9,18,0,26,7,105,91000,3,1729,200,22789,8,45114,1421,304,3,1085,1085,993,101,29,003,010300
"Census Tract 104, Andrew County, Missouri",1400000US29003010400,2780,42.9,2697,7,10,0,0,20,1321,1113,982,131,309,0,0,0,82,89,138,105800,0,2689,239,26833,12,56742,2174,606,0,1645,1637,1466,328,29,003,010400
