NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,state,county,tract
"Census Tract 9655, Barbour County, West Virginia",1400000US54001965500,3923,43.8,3883,40,0,0,0,0,1904,1514,1230,284,859,311,79500,1230,0,3923,556,17936,1514,10,36678,3923,3210,687,13,2228,2220,859,22,48,130,151,197,311,54,001,965500
"Census Tract 9656, Barbour County, West Virginia",1400000US54001965600,3447,37.8,3308,16,94,28,0,0,1662,1360,838,522,1068,737,84800,838,10,3059,642,19897,1360,10,30291,3447,2657,772,1,2331,2321,1068,5,0,20,30,276,737,54,001,965600
"Census Tract 9657, Barbour County, West Virginia",1400000US54001965700,5243,42.1,5079,22,0,0,0,0,2646,2011,1580,431,1233,558,95200,1580,20,5196,958,18548,2011,28,35049,5243,4113,1121,0,3388,3344,1233,15,38,194,76,352,558,54,001,965700
"Census Tract 9658, Barbour County, West Virginia",1400000US54001965800,3760,36.7,3661,1,24,0,0,0,1617,1325,1089,236,507,292,76600,1089,0,3741,747,15112,1325,6,28672,3760,3163,593,0,2207,2196,507,8,0,87,72,48,292,54,001,965800
"Census Tract 9711.01, Berkeley County, West Virginia",1400000US54003971101,3924,39.8,3367,145,0,218,0,108,1762,1630,1442,188,475,451,175400,1442,0,3912,276,26662,1630,0,56691,3924,917,2485,82,2850,2490,475,0,0,0,0,24,451,54,003,971101
"Census Tract 9711.02, Berkeley County, West Virginia",1400000US54003971102,8597,39.2,8311,141,0,25,0,75,3499,3297,2734,563,1534,1418,209900,2734,16,8537,898,32994,3297,85,57926,8597,2853,5497,0,5287,5014,1534,0,0,4,0,112,1418,54,003,971102
"Census Tract 9712.01, Berkeley County, West Virginia",1400000US54003971201,9516,36.9,8480,485,15,95,0,143,3634,3282,2844,438,1494,1331,223200,2844,12,9432,574,29999,3282,72,77609,9516,3448,5599,38,6103,5697,1494,70,0,24,65,4,1331,54,003,971201
"Census Tract 9712.02, Berkeley County, West Virginia",1400000US54003971202,6178,41.9,5998,42,21,0,0,0,3564,2482,2049,433,1165,406,198800,2049,57,6096,499,30592,2482,56,60941,6178,2118,4018,26,3932,3901,1165,14,0,0,301,444,406,54,003,971202
"Census Tract 9713, Berkeley County, West Virginia",1400000US54003971300,8678,37.6,7362,737,7,14,0,201,3790,3386,2011,1375,3289,2575,166300,2011,0,8456,1395,23401,3386,38,41572,8678,4094,4061,42,5343,5001,3289,0,0,31,148,535,2575,54,003,971300
"Census Tract 9714, Berkeley County, West Virginia",1400000US54003971400,9115,37.0,8217,618,38,117,0,37,3719,3403,2636,767,1909,1686,189000,2636,63,9102,479,26773,3403,61,57550,9115,3797,5076,46,5840,5687,1909,0,0,0,70,153,1686,54,003,971400
"Census Tract 9715, Berkeley County, West Virginia",1400000US54003971500,3811,40.2,2997,455,0,0,13,170,1997,1699,956,743,1656,1256,109700,956,0,3678,930,17203,1699,10,25293,3811,1752,1775,26,2267,2163,1656,31,0,0,38,331,1256,54,003,971500
"Census Tract 9716, Berkeley County, West Virginia",1400000US54003971600,4369,37.3,3590,711,0,5,0,0,2337,1862,1072,790,1581,1167,214400,1072,13,4356,590,30668,1862,45,45313,4369,1814,2151,30,2662,2517,1581,111,13,12,63,215,1167,54,003,971600
"Census Tract 9717, Berkeley County, West Virginia",1400000US54003971700,5484,38.3,4377,772,53,16,0,0,2758,2457,1091,1366,2851,2076,159600,1091,0,5440,1595,19000,2457,17,32803,5484,2737,2647,0,3424,3325,2851,12,29,95,378,261,2076,54,003,971700
"Census Tract 9718, Berkeley County, West Virginia",1400000US54003971800,8382,39.1,8201,57,0,0,0,0,3423,3153,2675,478,1208,1035,168600,2675,31,8324,1051,23403,3153,51,50802,8382,3377,4838,66,5556,5373,1208,0,31,16,11,115,1035,54,003,971800
"Census Tract 9719, Berkeley County, West Virginia",1400000US54003971900,8886,36.8,7794,614,11,142,0,96,3672,3411,2920,491,1380,929,199500,2920,27,8768,613,29156,3411,99,62719,8886,3556,5048,83,5701,5373,1380,0,0,28,162,261,929,54,003,971900
"Census Tract 9720, Berkeley County, West Virginia",1400000US54003972000,12191,32.7,9827,1579,73,73,0,149,4366,4027,2988,1039,2707,2101,174500,2988,56,11470,1845,22575,4027,80,53136,12191,5360,6309,183,7469,7082,2707,0,104,22,129,351,2101,54,003,972000
"Census Tract 9721.01, Berkeley County, West Virginia",1400000US54003972101,4755,41.3,4586,24,34,33,0,33,1994,1841,1655,186,325,244,195500,1655,0,4721,354,28073,1841,44,58375,4755,2221,2425,33,3153,3115,325,0,0,0,44,37,244,54,003,972101
"Census Tract 9721.02, Berkeley County, West Virginia",1400000US54003972102,8915,34.5,7804,722,8,86,0,23,3735,3373,2589,784,2605,2161,167800,2589,0,8872,909,24012,3373,17,57530,8915,4159,4469,39,5801,5630,2605,0,0,20,188,236,2161,54,003,972102
"Census Tract 9582, Boone County, West Virginia",1400000US54005958200,3987,43.8,3987,0,0,0,0,0,1863,1643,1398,245,522,282,66500,1398,9,3972,782,22811,1643,40,40486,3987,3629,358,0,2767,2767,522,0,0,0,89,151,282,54,005,958200
"Census Tract 9583, Boone County, West Virginia",1400000US54005958300,3977,46.1,3969,8,0,0,0,0,1880,1651,1205,446,909,619,74700,1205,0,3861,898,19145,1651,20,31849,3977,3350,612,15,2431,2422,909,53,0,35,120,82,619,54,005,958300
"Census Tract 9584, Boone County, West Virginia",1400000US54005958400,2090,43.4,2079,3,0,4,0,0,905,818,652,166,397,319,95600,652,22,2065,543,22200,818,0,45114,2090,1785,279,0,1348,1337,397,9,5,24,4,36,319,54,005,958400
"Census Tract 9585.01, Boone County, West Virginia",1400000US54005958501,3509,35.6,3419,90,0,0,0,0,1579,1340,1105,235,598,416,66600,1105,0,3509,652,21800,1340,15,43636,3509,3128,369,12,2122,2122,598,0,0,2,5,175,416,54,005,958501
"Census Tract 9585.02, Boone County, West Virginia",1400000US54005958502,3570,41.7,3417,98,0,0,0,0,1594,1464,1047,417,951,457,85800,1047,0,3538,446,24525,1464,11,47076,3570,3084,461,12,2510,2485,951,0,21,84,108,281,457,54,005,958502
"Census Tract 9586, Boone County, West Virginia",1400000US54005958600,2505,37.0,2495,0,0,0,0,0,1059,941,782,159,403,239,97300,782,0,2505,436,20167,941,0,46838,2505,2255,250,0,1412,1394,403,0,0,0,30,134,239,54,005,958600
"Census Tract 9587, Boone County, West Virginia",1400000US54005958700,1999,38.7,1999,0,0,0,0,0,953,746,526,220,607,539,75400,526,13,1999,216,20584,746,10,41793,1999,1573,426,0,1167,1167,607,0,47,0,21,0,539,54,005,958700
"Census Tract 9588, Boone County, West Virginia",1400000US54005958800,3109,39.1,3055,9,0,0,0,0,1313,1152,833,319,753,475,59800,833,0,3109,668,19055,1152,12,38265,3109,2787,322,0,1878,1878,753,0,27,0,237,14,475,54,005,958800
"Census Tract 9679, Braxton County, West Virginia",1400000US54007967900,5490,41.2,5315,142,0,0,0,8,2668,2055,1577,478,1100,626,78500,1577,17,4647,821,17205,2055,19,32798,5490,4449,1013,5,3446,3391,1100,14,13,0,278,169,626,54,007,967900
