NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,state,county,tract
"Census Tract 1.07, Bernalillo County, New Mexico",1400000US35001000107,2734,50.7,2299,64,0,26,0,250,1294,1238,840,398,736,565,326500,840,7,2734,153,48736,1238,166,70750,2734,946,1597,45,1630,1389,736,0,0,29,20,122,565,35,001,000107
"Census Tract 1.08, Bernalillo County, New Mexico",1400000US35001000108,2874,43.0,2395,97,91,96,0,108,1307,1274,703,571,1007,834,215100,703,0,2837,155,29664,1274,14,51884,2874,1255,1445,84,1929,1650,1007,0,0,0,62,111,834,35,001,000108
"Census Tract 1.09, Bernalillo County, New Mexico",1400000US35001000109,2523,40.7,2016,85,178,63,0,72,1018,968,791,177,420,327,212600,791,0,2506,139,31211,968,4,64554,2523,1195,1252,28,1447,1267,420,0,0,56,10,27,327,35,001,000109
"Census Tract 1.10, Bernalillo County, New Mexico",1400000US35001000110,3557,41.4,2841,146,92,18,0,359,1824,1745,886,859,1618,1362,181600,886,0,3551,704,24551,1745,0,39639,3557,1424,1895,91,2319,1941,1618,0,0,14,140,102,1362,35,001,000110
"Census Tract 1.11, Bernalillo County, New Mexico",1400000US35001000111,2976,41.3,2418,39,59,267,0,101,1177,1128,1046,82,276,108,228200,1046,0,2958,213,29913,1128,44,69722,2976,1235,1360,81,1873,1591,276,0,0,42,0,126,108,35,001,000111
"Census Tract 1.12, Bernalillo County, New Mexico",1400000US35001000112,2043,45.7,1639,55,58,110,0,116,956,891,700,191,394,351,290200,700,0,2011,63,41674,891,52,83942,2043,520,1357,48,1327,1086,394,0,0,12,19,12,351,35,001,000112
"Census Tract 1.13, Bernalillo County, New Mexico",1400000US35001000113,3000,39.6,1923,199,145,120,0,504,1441,1325,836,489,1056,905,192400,836,0,3000,401,28998,1325,12,55034,3000,1498,1288,42,2052,1756,1056,0,0,0,8,143,905,35,001,000113
"Census Tract 1.14, Bernalillo County, New Mexico",1400000US35001000114,3301,37.1,2616,33,262,0,0,217,1364,1249,923,326,734,451,158700,923,0,3300,223,25204,1249,29,49886,3301,1754,1359,59,2250,1834,734,0,0,0,59,224,451,35,001,000114
"Census Tract 1.15, Bernalillo County, New Mexico",1400000US35001000115,3190,34.7,2544,107,140,84,0,214,1583,1491,758,733,1475,1250,167200,758,0,3190,682,21301,1491,0,35035,3190,1448,1259,39,2045,1479,1475,0,0,0,41,184,1250,35,001,000115
"Census Tract 1.16, Bernalillo County, New Mexico",1400000US35001000116,3162,42.3,2507,65,13,79,0,260,1306,1282,917,365,930,792,195000,917,0,3162,199,30065,1282,44,50284,3162,1490,1525,44,1941,1623,930,0,24,0,86,28,792,35,001,000116
