NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B03003_003E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9654, Adams County, Nebraska",1400000US31001965400,4032,41.6,3975,31,11,0,5,15,0,1662,1475,1298,177,430,3,0,20,45,66,296,130200,0,3959,273,32735,88,69226,3285,704,16,2298,2265,2059,639,31,001,965400
"Census Tract 9655, Adams County, Nebraska",1400000US31001965500,3964,41.3,3698,0,43,48,0,287,157,1729,1616,1341,275,741,10,0,0,155,85,491,95200,0,3946,404,28350,42,61522,2711,1077,51,2521,2338,2168,681,31,001,965500
"Census Tract 9656, Adams County, Nebraska",1400000US31001965600,5268,33.5,5158,43,33,34,0,159,0,2138,2031,1529,502,1070,28,0,0,136,55,851,92200,0,4488,437,27237,123,49926,3852,1302,21,3632,3516,2472,675,31,001,965600
"Census Tract 9657, Adams County, Nebraska",1400000US31001965700,1250,30.7,1185,19,1,20,0,313,3,651,523,266,257,334,0,0,0,5,67,262,97600,0,1183,293,17100,0,27326,802,173,33,842,705,739,144,31,001,965700
"Census Tract 9658, Adams County, Nebraska",1400000US31001965800,2994,28.7,2618,0,41,44,0,400,220,1113,1093,746,347,976,0,0,13,40,178,745,80500,0,2994,449,17087,0,41619,2181,652,19,1867,1650,1385,260,31,001,965800
"Census Tract 9659, Adams County, Nebraska",1400000US31001965900,4391,43.9,4161,1,2,144,1,118,60,1862,1755,1509,246,656,0,0,7,328,98,223,115100,0,4359,223,27140,53,59861,3430,818,23,2415,2348,2185,713,31,001,965900
"Census Tract 9660, Adams County, Nebraska",1400000US31001966000,4568,33.5,4072,109,30,140,0,491,53,2015,1945,1040,905,1953,0,23,52,33,116,1729,85200,0,4568,1077,18917,4,37303,3070,980,23,2839,2335,2265,276,31,001,966000
"Census Tract 9661, Adams County, Nebraska",1400000US31001966100,2464,40.9,2434,16,0,0,0,547,5,1222,1085,340,745,991,0,0,11,146,115,719,44300,7,1990,671,14710,0,22797,1636,535,2,1178,938,850,67,31,001,966100
"Census Tract 9662, Adams County, Nebraska",1400000US31001966200,2250,41.4,2204,9,0,12,0,29,14,992,918,726,192,466,13,3,1,11,88,350,121600,3,2249,86,25910,27,59700,1980,248,6,1319,1305,1117,296,31,001,966200
"Census Tract 9796, Antelope County, Nebraska",1400000US31003979600,2176,46.4,2164,0,3,0,0,12,6,1104,876,658,218,452,63,15,44,59,42,229,89700,0,2167,243,24349,24,42311,1865,302,3,1217,1185,1085,168,31,003,979600
"Census Tract 9797, Antelope County, Nebraska",1400000US31003979700,1714,49.2,1662,10,0,0,0,72,1,858,781,580,201,355,0,4,6,15,46,284,68700,0,1640,255,23346,3,40598,1341,338,6,989,964,845,185,31,003,979700
"Census Tract 9798, Antelope County, Nebraska",1400000US31003979800,2807,42.5,2768,21,0,0,0,80,0,1326,1147,826,321,767,10,51,5,32,272,397,62300,2,2790,302,19314,5,36853,2330,426,11,1506,1443,1372,241,31,003,979800
"Census Tract 9583, Arthur County, Nebraska",1400000US31005958300,448,37.7,441,0,0,0,0,5,0,222,177,115,62,154,13,4,0,20,6,111,78300,0,448,23,20071,1,43194,338,108,0,230,218,216,51,31,005,958300
"Census Tract 9540, Banner County, Nebraska",1400000US31007954000,703,48.3,693,0,0,0,0,11,3,383,316,192,124,300,4,0,6,50,51,189,79200,4,703,125,21552,4,27167,436,241,7,425,406,390,114,31,007,954000
"Census Tract 9724, Blaine County, Nebraska",1400000US31009972400,585,45.2,553,0,0,0,0,0,0,346,247,157,90,191,0,6,30,13,6,136,48300,0,585,100,17677,0,39688,500,81,4,337,337,312,51,31,009,972400
"Census Tract 9601, Boone County, Nebraska",1400000US31011960100,3455,44.5,3435,0,0,3,0,56,0,1710,1487,1096,391,805,8,19,64,72,207,435,62500,1,3377,282,23653,50,42017,3100,336,0,1962,1938,1773,208,31,011,960100
"Census Tract 9602, Boone County, Nebraska",1400000US31011960200,2057,46.1,2039,2,1,15,0,23,0,963,887,706,181,274,0,0,10,49,55,160,88500,0,1992,148,25920,23,41291,1822,210,0,1082,1056,897,175,31,011,960200
"Census Tract 9511, Box Butte County, Nebraska",1400000US31013951100,2170,43.2,2122,4,13,3,0,26,3,1080,876,724,152,336,16,0,15,50,44,211,103300,0,2140,213,27718,29,48056,1640,516,7,1286,1262,1206,305,31,013,951100
"Census Tract 9512, Box Butte County, Nebraska",1400000US31013951200,4703,44.3,4358,1,147,17,0,156,115,2197,2023,1358,665,1163,0,0,13,144,155,851,107300,0,4583,511,27779,46,56302,3095,1523,68,2733,2691,2526,803,31,013,951200
"Census Tract 9513, Box Butte County, Nebraska",1400000US31013951300,4510,34.4,3730,10,261,23,0,942,278,2188,1904,1175,729,1898,13,24,0,285,242,1334,59200,0,4435,1127,19751,6,38152,2760,1538,36,2756,2305,2173,311,31,013,951300
"Census Tract 9758, Boyd County, Nebraska",1400000US31015975800,2095,49.0,2025,0,7,0,0,71,63,1406,909,720,189,404,21,29,13,21,64,256,53700,0,2022,139,21353,11,37375,1404,685,3,1141,1133,1017,141,31,015,975800
"Census Tract 9750, Brown County, Nebraska",1400000US31017975000,3153,46.9,3100,5,3,4,0,2,0,1837,1395,991,404,748,0,21,32,112,117,466,57100,8,3106,438,18881,8,29856,2224,868,14,1627,1603,1460,268,31,017,975000
"Census Tract 9689, Buffalo County, Nebraska",1400000US31019968900,3438,44.0,3378,0,4,18,0,55,10,1659,1421,1094,327,671,18,22,82,61,93,395,103300,2,3378,282,23674,32,44821,2969,435,11,1912,1886,1718,374,31,019,968900
"Census Tract 9690, Buffalo County, Nebraska",1400000US31019969000,3934,38.5,3883,3,2,10,0,69,4,1599,1480,1195,285,710,6,22,30,56,197,399,134200,0,3911,252,25860,35,57151,3307,558,4,2464,2364,2173,578,31,019,969000
"Census Tract 9691, Buffalo County, Nebraska",1400000US31019969100,4428,37.2,4053,24,0,1,0,555,307,1828,1670,1250,420,924,3,38,29,122,158,574,115500,15,4349,296,22505,38,49934,3410,721,6,2560,2190,2251,547,31,019,969100
"Census Tract 9692.02, Buffalo County, Nebraska",1400000US31019969202,3760,31.9,3514,87,0,37,0,126,0,1457,1448,887,561,1181,0,0,0,8,124,1049,170600,0,3675,461,34925,128,59457,2862,766,18,2366,2261,1684,935,31,019,969202
"Census Tract 9692.03, Buffalo County, Nebraska",1400000US31019969203,5068,39.1,4953,0,10,0,0,147,99,2214,1971,1483,488,1137,0,0,0,82,85,970,173300,0,5062,416,31862,80,74139,3698,1286,13,3111,2975,2519,1289,31,019,969203
"Census Tract 9692.04, Buffalo County, Nebraska",1400000US31019969204,4984,38.8,4616,114,10,26,0,136,72,1995,1856,1323,533,913,0,0,0,54,40,819,186900,0,4777,313,30182,40,73028,3723,1157,12,2900,2795,2594,1429,31,019,969204
"Census Tract 9693, Buffalo County, Nebraska",1400000US31019969300,2264,29.3,1768,0,1,0,0,679,459,1066,890,640,250,593,0,0,0,16,47,530,19000,0,2220,404,17181,0,36424,1339,660,0,1406,1117,1018,130,31,019,969300
"Census Tract 9694, Buffalo County, Nebraska",1400000US31019969400,3938,33.6,3809,12,14,26,0,362,52,1967,1782,1039,743,1438,0,0,14,85,154,1185,115100,0,3843,497,21092,0,41320,3176,586,5,2554,2365,2024,700,31,019,969400
"Census Tract 9695, Buffalo County, Nebraska",1400000US31019969500,2264,29.7,2180,14,0,0,0,166,17,1016,953,306,647,1295,0,16,52,25,175,1027,99500,0,2133,195,20103,0,35236,1786,425,11,1482,1468,1032,291,31,019,969500
"Census Tract 9696, Buffalo County, Nebraska",1400000US31019969600,6137,21.3,5613,53,9,358,0,382,18,1814,1685,695,990,2216,0,0,38,21,129,2028,103000,0,4167,1254,13419,0,34122,4130,1479,0,5010,4568,1770,555,31,019,969600
"Census Tract 9697, Buffalo County, Nebraska",1400000US31019969700,5627,31.5,5022,56,15,0,0,599,361,2358,2184,1400,784,2051,13,54,0,58,343,1583,120100,0,5556,1079,20314,0,48871,3984,1452,28,3673,3449,3007,830,31,019,969700
"Census Tract 9632, Burt County, Nebraska",1400000US31021963200,2259,45.4,2172,19,11,35,0,9,5,1023,909,732,177,435,0,0,14,48,124,249,83500,0,2224,162,24335,17,49089,1820,398,3,1163,1135,1081,311,31,021,963200
"Census Tract 9633, Burt County, Nebraska",1400000US31021963300,2539,45.1,2484,36,0,0,0,28,13,1337,1048,803,245,492,0,0,45,72,40,335,97500,0,2496,275,26383,39,47292,1937,593,0,1415,1397,1256,277,31,021,963300
"Census Tract 9634, Burt County, Nebraska",1400000US31021963400,2103,51.4,2005,0,73,0,0,84,4,1134,952,710,242,521,49,9,17,37,119,290,64200,2,2093,227,24652,17,41204,1477,589,6,1186,1139,1023,187,31,021,963400
"Census Tract 9676, Butler County, Nebraska",1400000US31023967600,3244,45.1,3191,25,0,0,0,94,13,1780,1378,1107,271,535,0,10,42,59,183,241,88200,0,3213,224,25148,8,51324,2722,487,8,1953,1857,1713,299,31,023,967600
"Census Tract 9677, Butler County, Nebraska",1400000US31023967700,3047,40.1,2921,43,8,0,0,98,68,1231,1178,822,356,785,0,0,0,12,118,655,85500,0,2967,323,29594,41,44571,2631,367,15,1617,1544,1407,296,31,023,967700
"Census Tract 9678, Butler County, Nebraska",1400000US31023967800,2069,46.6,2069,0,0,0,0,0,0,1054,917,714,203,373,25,0,0,62,83,203,103400,0,2069,183,25155,15,50245,1911,156,0,1158,1132,1090,160,31,023,967800
"Census Tract 9656, Cass County, Nebraska",1400000US31025965600,3402,47.2,3252,27,0,31,0,57,1,1587,1412,1035,377,697,0,26,19,29,78,545,121400,0,3212,202,27614,60,50556,1992,1331,18,1995,1950,1674,357,31,025,965600
"Census Tract 9657, Cass County, Nebraska",1400000US31025965700,4703,43.5,4659,4,0,3,0,121,29,2075,1830,1531,299,670,0,33,13,70,97,457,202200,0,4651,206,32841,83,74280,3332,1304,16,2829,2770,2589,823,31,025,965700
