NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B03003_003E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 3766, Adair County, Oklahoma",1400000US40001376600,2955,38.8,1774,49,582,0,0,138,59,1209,1027,852,175,429,10,0,0,13,71,335,77500,0,2775,445,17138,14,34455,1320,1615,0,1637,1569,1505,202,40,001,376600
"Census Tract 3767, Adair County, Oklahoma",1400000US40001376700,5631,37.1,2957,0,1111,84,0,174,23,2356,1977,1252,725,2061,3,59,7,158,430,1404,80000,0,5546,1288,15661,2,35786,3045,2503,10,3115,2956,2787,358,40,001,376700
"Census Tract 3768, Adair County, Oklahoma",1400000US40001376800,4959,39.4,1988,0,2153,6,0,118,36,1963,1793,1457,336,875,16,33,22,194,190,420,76600,4,4920,829,16199,4,34438,4010,918,6,3049,2838,2593,317,40,001,376800
"Census Tract 3769, Adair County, Oklahoma",1400000US40001376900,4078,31.4,1782,41,1628,0,0,609,140,1789,1489,694,795,1976,6,23,51,152,148,1596,67900,30,3989,1693,11508,0,22034,2826,963,8,2378,2113,2119,270,40,001,376900
"Census Tract 3770, Adair County, Oklahoma",1400000US40001377000,4883,35.3,1807,0,2134,59,0,144,28,1777,1623,1387,236,913,11,34,37,99,295,437,77700,2,4881,1223,12557,2,28538,3352,1448,0,3064,2782,2351,211,40,001,377000
"Census Tract 9556, Alfalfa County, Oklahoma",1400000US40003955600,1446,47.8,1371,0,3,0,0,37,27,999,608,457,151,431,2,9,30,13,106,271,53800,6,1425,205,30492,18,42778,917,481,0,763,686,636,102,40,003,955600
"Census Tract 9557, Alfalfa County, Oklahoma",1400000US40003955700,1387,46.7,1372,0,4,0,0,48,0,748,612,513,99,165,4,0,0,9,14,138,63100,3,1358,113,23954,13,46429,988,395,2,747,728,683,248,40,003,955700
"Census Tract 9560, Alfalfa County, Oklahoma",1400000US40003956000,2792,43.9,2141,168,75,1,0,133,123,1022,813,666,147,316,6,7,14,28,7,254,45400,0,1743,191,20822,43,41434,1943,740,2,1994,1832,1863,264,40,003,956000
"Census Tract 5876, Atoka County, Oklahoma",1400000US40005587600,1955,36.7,1443,251,147,17,4,63,7,794,588,503,85,219,0,13,0,10,130,66,66700,23,1264,347,13694,13,31250,1358,584,0,1446,1374,1180,172,40,005,587600
"Census Tract 5877, Atoka County, Oklahoma",1400000US40005587700,3823,34.6,2804,206,484,67,0,218,8,1762,1577,966,611,1416,0,0,28,64,292,1032,69000,0,3689,1112,14835,0,30168,2369,1370,22,2229,2136,1849,355,40,005,587700
"Census Tract 5878, Atoka County, Oklahoma",1400000US40005587800,3912,45.6,3106,0,397,0,0,17,14,1947,1656,1424,232,510,11,15,18,53,43,370,73200,0,3905,584,19305,31,39937,2762,1121,10,2262,2253,2059,252,40,005,587800
"Census Tract 5879, Atoka County, Oklahoma",1400000US40005587900,4493,39.7,3352,117,403,5,0,134,40,1765,1546,1251,295,784,11,6,16,40,60,651,65800,11,3861,828,15420,20,30297,3090,1373,6,2682,2558,2385,331,40,005,587900
"Census Tract 9516, Beaver County, Oklahoma",1400000US40007951600,2699,37.4,2339,26,29,8,0,717,213,1168,941,683,258,852,16,0,64,59,96,617,83000,0,2665,363,21152,20,45924,888,1407,0,1613,1254,1393,250,40,007,951600
"Census Tract 9517, Beaver County, Oklahoma",1400000US40007951700,1138,53.2,1123,0,8,0,0,9,0,713,529,403,126,276,4,31,13,123,9,96,67200,0,1138,90,29397,8,52768,603,514,12,648,640,575,151,40,007,951700
"Census Tract 9518, Beaver County, Oklahoma",1400000US40007951800,1749,35.6,1597,21,20,2,0,304,68,796,680,460,220,513,0,0,3,42,161,307,78400,8,1655,266,21697,12,43088,754,831,7,1019,850,904,119,40,007,951800
