NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9636, Rutland County, Vermont",1400000US50021963600,4691,34.4,4516,42,32,60,0,0,2317,1802,1254,548,1166,949,194800,7,3951,848,25052,66,39483,2568,1942,23,3529,3357,2163,650,50,021,963600
"Census Tract 9637, Rutland County, Vermont",1400000US50021963700,2766,37.6,2528,4,0,0,0,206,1173,1049,659,390,969,383,153500,14,2744,332,19977,0,47560,1769,947,40,1755,1618,1569,306,50,021,963700
"Census Tract 9638, Rutland County, Vermont",1400000US50021963800,4701,39.5,4571,26,10,12,0,0,2598,1800,1340,460,1023,677,165400,12,4126,553,23355,43,45955,2239,2378,17,3091,2977,2199,695,50,021,963800
"Census Tract 9640, Rutland County, Vermont",1400000US50021964000,3357,46.4,3322,0,2,0,0,8,2117,1435,1257,178,335,235,198500,6,3283,266,26718,28,53140,1991,1318,8,2057,2026,1769,494,50,021,964000
"Census Tract 9642, Rutland County, Vermont",1400000US50021964200,1629,40.4,1597,0,0,4,0,1,817,625,481,144,349,208,218300,12,1616,241,27667,27,55809,1032,526,20,984,958,905,211,50,021,964200
"Census Tract 9643, Rutland County, Vermont",1400000US50021964300,1705,42.1,1642,2,0,0,0,0,791,649,482,167,477,263,240800,0,1702,269,26914,32,52813,715,961,10,975,956,876,320,50,021,964300
"Census Tract 9540, Washington County, Vermont",1400000US50023954000,4714,42.2,4495,63,20,45,0,29,2152,1771,1538,233,468,300,188100,8,4490,464,24641,40,53329,2634,1880,51,2947,2851,2463,958,50,023,954000
"Census Tract 9541, Washington County, Vermont",1400000US50023954100,2499,41.7,2433,3,0,15,0,4,1594,1080,967,113,183,136,224100,3,2490,235,27992,23,51959,1407,1002,33,1741,1709,1625,715,50,023,954100
"Census Tract 9542, Washington County, Vermont",1400000US50023954200,2803,43.9,2699,22,6,23,0,9,1264,1131,1056,75,181,140,224000,3,2800,226,30283,22,65337,1557,1191,21,1873,1846,1700,850,50,023,954200
"Census Tract 9543, Washington County, Vermont",1400000US50023954300,5061,40.9,4988,28,0,34,0,0,2366,2203,1481,722,1321,1031,272800,22,4926,209,32947,99,61006,2660,2163,31,3361,3147,3029,1406,50,023,954300
