NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9501, Abbeville County, South Carolina",1400000US45001950100,3135,45.8,2478,496,15,0,0,29,1497,1272,1011,261,732,0,14,23,207,438,50,77600,0,0,6,3135,505,18270,5,33621,2603,530,0,1747,1703,1503,208,45,001,950100
"Census Tract 9502, Abbeville County, South Carolina",1400000US45001950200,4044,36.4,3026,698,23,77,0,40,1581,1201,991,210,606,142,2,4,93,297,68,88800,0,0,0,3516,549,18135,19,49391,2605,1196,37,2541,2353,1697,406,45,001,950200
"Census Tract 9503, Abbeville County, South Carolina",1400000US45001950300,3137,48.9,2998,138,0,0,0,0,2072,1376,1169,207,498,3,9,8,317,91,70,107300,8,9,0,3136,463,23361,16,35975,2039,1094,4,1975,1973,1809,260,45,001,950300
"Census Tract 9504, Abbeville County, South Carolina",1400000US45001950400,6195,39.7,4395,1763,0,0,0,0,2678,2316,1815,501,1213,47,26,39,307,711,83,119800,0,0,0,6111,1496,18877,14,34838,4709,1430,24,3351,3286,2842,646,45,001,950400
"Census Tract 9505, Abbeville County, South Carolina",1400000US45001950500,5368,48.3,2906,2428,0,0,0,5,2782,2279,1662,617,1332,51,0,91,183,839,168,80100,0,0,0,5277,1280,17930,19,29278,4424,938,0,3245,3223,2664,217,45,001,950500
"Census Tract 9506, Abbeville County, South Carolina",1400000US45001950600,3072,41.0,1637,1254,0,0,0,0,1404,1055,724,331,905,31,16,160,142,377,179,55300,0,0,0,3072,937,14164,0,30727,2500,548,24,1862,1847,1680,84,45,001,950600
"Census Tract 201, Aiken County, South Carolina",1400000US45003020100,4950,40.6,3225,1588,38,5,0,61,2307,1927,1505,422,1242,205,51,79,184,664,59,84500,0,0,0,4950,1162,21391,17,39043,3089,1633,84,3078,2789,2490,316,45,003,020100
"Census Tract 202, Aiken County, South Carolina",1400000US45003020200,5438,44.0,3736,1502,100,0,0,100,2405,2096,1827,269,693,67,45,49,176,243,113,122300,0,0,0,5414,476,25438,16,50844,3064,2266,1,3458,3375,3003,501,45,003,020200
"Census Tract 203.01, Aiken County, South Carolina",1400000US45003020301,2336,40.7,2067,174,0,14,7,48,1031,869,739,130,487,15,0,29,166,221,56,98600,6,0,0,2336,388,23849,15,47171,848,1342,0,1376,1274,1251,144,45,003,020301
"Census Tract 203.02, Aiken County, South Carolina",1400000US45003020302,6281,34.0,3049,2962,0,218,0,0,2873,2393,1317,1076,2741,0,0,0,330,1996,415,114600,0,0,0,6249,909,18938,27,36290,2859,2907,220,4065,3709,3082,665,45,003,020302
"Census Tract 204, Aiken County, South Carolina",1400000US45003020400,8459,32.5,6413,1920,0,47,0,17,3130,2822,2013,809,2570,0,49,0,628,1770,123,139800,13,0,0,8437,1646,21472,35,51937,3493,4116,67,5316,4472,4606,823,45,003,020400
"Census Tract 205, Aiken County, South Carolina",1400000US45003020500,8366,39.5,6802,1180,9,27,0,260,3310,3006,2615,391,1046,0,0,0,384,650,12,172600,0,0,29,8148,655,33556,138,74535,2074,6057,85,5383,5050,4824,1706,45,003,020500
"Census Tract 206.01, Aiken County, South Carolina",1400000US45003020601,3759,38.1,2818,805,0,64,0,12,1504,1400,1350,50,177,0,0,36,49,18,74,157000,0,0,0,3759,70,34404,28,81860,1027,2615,25,2548,2467,2228,825,45,003,020601
"Census Tract 206.02, Aiken County, South Carolina",1400000US45003020602,6304,36.5,3018,2172,0,50,1,555,2660,2350,1681,669,1632,0,40,37,314,961,280,88300,0,0,0,6298,1742,15612,0,33232,1655,4112,142,3792,3541,3385,365,45,003,020602
"Census Tract 207.01, Aiken County, South Carolina",1400000US45003020701,5800,42.0,4260,1213,0,52,0,0,2541,2367,1709,658,1811,34,0,63,631,1074,9,140700,0,0,0,5800,1040,22137,16,48147,1233,4315,113,3490,3361,3062,643,45,003,020701
"Census Tract 207.02, Aiken County, South Carolina",1400000US45003020702,5378,33.6,3020,1867,0,9,0,138,2152,1952,768,1184,3263,0,21,0,681,2095,466,80400,0,0,0,5252,1457,15761,0,31551,1283,3091,66,3402,2524,2867,508,45,003,020702
"Census Tract 208.01, Aiken County, South Carolina",1400000US45003020801,2787,46.1,2508,219,6,43,0,0,1253,1121,947,174,460,10,0,22,76,272,80,168700,0,0,0,2787,92,41731,91,79602,655,1995,18,1777,1703,1650,849,45,003,020801
"Census Tract 208.02, Aiken County, South Carolina",1400000US45003020802,5270,39.8,3966,1050,0,0,0,28,2599,2387,1125,1262,2729,0,0,141,638,1777,173,181500,13,0,0,5255,673,29271,70,44638,1103,4005,39,3176,3010,2709,839,45,003,020802
"Census Tract 209.01, Aiken County, South Carolina",1400000US45003020901,2612,37.9,1892,627,0,0,0,0,1153,1046,745,301,755,14,36,3,87,600,15,83900,0,0,0,2604,395,21082,0,40826,618,1934,5,1718,1605,1429,120,45,003,020901
"Census Tract 209.02, Aiken County, South Carolina",1400000US45003020902,5720,45.6,4056,1414,20,26,0,97,2590,2168,1831,337,993,0,9,15,362,574,33,111300,17,48,0,5720,1120,25503,109,46250,2415,3165,49,3668,3527,3175,655,45,003,020902
