NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9526, Allen County, Kansas",1400000US20001952600,2039,42.7,2018,2,1,0,0,2,941,782,668,114,292,15,0,11,59,169,38,58300,0,0,3,1995,175,24821,9,48646,1680,357,2,1089,1078,918,168,20,001,952600
"Census Tract 9527, Allen County, Kansas",1400000US20001952700,2000,48.0,1891,0,8,21,0,0,969,846,728,118,300,0,2,3,90,162,43,65300,0,0,0,1993,233,19837,9,39821,1577,389,14,1226,1204,1078,161,20,001,952700
"Census Tract 9528, Allen County, Kansas",1400000US20001952800,3793,41.3,3505,165,4,0,11,11,1815,1517,889,628,1544,8,34,10,198,1112,182,81700,0,0,0,3489,643,21470,27,42708,2857,887,35,2238,2216,1706,271,20,001,952800
"Census Tract 9529, Allen County, Kansas",1400000US20001952900,2612,35.4,2434,50,0,0,3,0,1222,1083,715,368,816,0,7,22,154,594,39,74400,0,0,0,2477,622,18729,0,38306,1758,771,83,1417,1417,1239,273,20,001,952900
"Census Tract 9530, Allen County, Kansas",1400000US20001953000,2507,46.1,2269,28,22,0,0,52,1321,1075,822,253,538,19,0,17,283,166,53,71800,0,0,0,2476,243,23454,12,41302,1955,513,10,1440,1416,1295,186,20,001,953000
"Census Tract 9536, Anderson County, Kansas",1400000US20003953600,4917,42.3,4627,0,158,0,0,0,2394,2141,1404,737,1671,0,0,34,282,1183,172,89000,0,0,0,4812,842,21389,0,38368,3772,1114,0,2635,2591,2323,509,20,003,953600
"Census Tract 9537, Anderson County, Kansas",1400000US20003953700,2941,41.6,2877,10,18,0,0,0,1319,1073,883,190,473,2,18,67,82,185,119,100900,0,0,0,2939,329,22623,11,49854,2246,661,26,1624,1540,1407,177,20,003,953700
"Census Tract 816, Atchison County, Kansas",1400000US20005081600,4210,46.0,4050,31,36,0,0,4,2060,1754,1400,354,1013,28,0,55,239,588,103,111000,0,0,5,4203,524,26871,14,54362,3285,893,16,2469,2450,2207,355,20,005,081600
"Census Tract 817, Atchison County, Kansas",1400000US20005081700,5844,32.6,5163,324,9,37,10,31,2188,1954,1511,443,835,0,0,36,271,501,27,115100,0,0,0,4639,711,24774,80,44147,3633,2062,19,3846,3758,2486,463,20,005,081700
"Census Tract 818, Atchison County, Kansas",1400000US20005081800,2967,37.3,2768,100,24,0,0,6,1141,1035,682,353,1133,0,0,0,288,681,164,81500,0,0,0,2957,775,20666,0,49350,2094,868,0,1665,1665,1315,389,20,005,081800
"Census Tract 819, Atchison County, Kansas",1400000US20005081900,3536,33.1,3042,197,14,0,0,0,1558,1314,708,606,1600,0,68,0,240,1148,144,74500,0,0,0,3498,931,18125,0,37439,2191,1262,40,2035,2027,1603,384,20,005,081900
"Census Tract 9681, Barber County, Kansas",1400000US20007968100,3127,43.4,3013,14,0,27,0,2,1786,1277,860,417,924,65,0,32,290,420,117,74800,0,0,8,3081,527,25076,36,48893,2463,623,17,1776,1716,1518,237,20,007,968100
"Census Tract 9682, Barber County, Kansas",1400000US20007968200,1704,46.5,1610,21,18,0,0,7,1008,683,528,155,396,16,24,37,144,173,2,80400,0,0,3,1670,147,27808,20,50236,1069,578,4,927,889,853,169,20,007,968200
"Census Tract 9711, Barton County, Kansas",1400000US20009971100,3986,43.4,3857,21,13,0,0,10,1952,1672,1269,403,826,48,13,10,132,468,155,79200,0,0,0,3906,374,33635,69,57837,3168,727,8,2323,2229,2055,426,20,009,971100
"Census Tract 9712, Barton County, Kansas",1400000US20009971200,1742,46.6,1720,1,0,0,0,7,844,739,603,136,394,31,0,14,45,239,65,78200,0,0,0,1735,220,26791,7,52625,1456,267,6,1054,1044,940,164,20,009,971200
"Census Tract 9713, Barton County, Kansas",1400000US20009971300,2878,35.2,2723,45,32,0,0,27,1291,1128,724,404,1136,12,0,51,268,709,96,80100,0,0,0,2840,473,20562,3,47424,2233,598,5,1506,1466,1287,227,20,009,971300
"Census Tract 9714, Barton County, Kansas",1400000US20009971400,2697,35.4,2413,85,4,0,0,39,1258,1146,653,493,1341,0,0,0,651,588,102,76800,0,0,0,2697,186,25379,22,37763,2259,406,13,1534,1513,1287,74,20,009,971400
"Census Tract 9715, Barton County, Kansas",1400000US20009971500,3678,42.6,3367,116,3,40,57,60,1682,1646,959,687,1359,0,25,11,206,905,212,119200,0,0,10,3565,585,27135,47,44248,2546,1043,16,1939,1763,1706,512,20,009,971500
"Census Tract 9716, Barton County, Kansas",1400000US20009971600,3791,43.7,3597,80,5,0,0,31,1907,1670,1222,448,852,105,0,26,159,463,99,86900,0,0,0,3789,413,30163,33,47857,2837,664,0,2258,1938,1971,365,20,009,971600
"Census Tract 9717, Barton County, Kansas",1400000US20009971700,3243,30.7,2661,8,20,1,0,468,1250,1095,546,549,1455,0,0,187,233,862,173,41000,0,0,0,3126,800,16212,0,41192,1758,895,59,1925,1275,1498,160,20,009,971700
"Census Tract 9718, Barton County, Kansas",1400000US20009971800,5199,43.1,4768,1,0,10,0,341,2445,2159,1713,446,885,0,32,0,80,658,115,91500,0,0,0,5064,1086,22726,36,42070,3741,1012,38,3265,2632,2660,329,20,009,971800
"Census Tract 9556, Bourbon County, Kansas",1400000US20011955600,2734,34.7,2639,4,16,3,0,3,1325,979,818,161,546,17,0,2,82,372,73,68500,0,0,0,2730,538,20838,16,50938,1938,760,1,1610,1558,1329,258,20,011,955600
"Census Tract 9557, Bourbon County, Kansas",1400000US20011955700,2090,39.0,1947,0,70,5,0,2,1025,753,637,116,253,5,6,26,76,98,42,104600,7,0,0,2090,257,25811,7,57188,1613,460,6,1095,1095,987,262,20,011,955700
"Census Tract 9558, Bourbon County, Kansas",1400000US20011955800,3626,46.1,3461,134,0,16,0,0,1720,1377,957,420,828,0,0,25,143,555,105,104500,0,0,0,3246,406,25364,56,46269,2236,1328,0,2106,2049,1604,521,20,011,955800
"Census Tract 9559, Bourbon County, Kansas",1400000US20011955900,3729,32.7,3292,294,44,6,0,23,1563,1358,792,566,1396,0,14,8,382,879,113,82400,0,0,0,3723,903,16051,12,30333,2617,1049,5,2090,2072,1716,212,20,011,955900
"Census Tract 9560, Bourbon County, Kansas",1400000US20011956000,2572,41.0,2362,84,6,92,0,0,1486,1161,692,469,854,0,0,0,172,558,124,56400,0,0,0,2520,385,19190,0,33255,1647,820,9,1458,1389,1253,264,20,011,956000
"Census Tract 4806, Brown County, Kansas",1400000US20013480600,3143,39.6,2399,65,549,48,2,5,1274,1174,906,268,788,24,26,28,301,333,76,95400,9,0,0,3140,492,22132,32,50682,2101,976,18,1780,1728,1590,317,20,013,480600
"Census Tract 4807, Brown County, Kansas",1400000US20013480700,3443,45.2,3094,68,109,6,0,0,1795,1503,945,558,1230,13,0,22,622,555,18,95300,0,0,0,3410,474,24214,31,41887,2122,1300,15,1902,1893,1682,418,20,013,480700
"Census Tract 4808, Brown County, Kansas",1400000US20013480800,3224,43.3,2915,19,156,11,9,17,1687,1348,953,395,837,4,15,6,183,557,72,70400,0,0,19,3154,442,23301,17,44091,2359,803,17,1806,1767,1539,269,20,013,480800
