NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9736, Aurora County, South Dakota",1400000US46003973600,2732,41.4,2512,41,91,6,0,60,1327,1143,902,241,518,10,9,32,107,359,1,69000,0,0,5,2594,161,28385,43,52620,2168,435,10,1485,1380,1287,317,46,003,973600
"Census Tract 9566, Beadle County, South Dakota",1400000US46005956600,1801,49.5,1700,16,70,15,0,0,866,682,601,81,142,10,6,0,45,68,13,158600,0,0,0,1723,288,27955,26,58438,1363,404,6,1027,994,926,146,46,005,956600
"Census Tract 9567, Beadle County, South Dakota",1400000US46005956700,2076,39.4,2052,0,0,0,0,24,985,878,686,192,464,10,0,14,81,338,21,98000,0,0,7,2076,270,29153,21,58438,1685,361,7,1218,1176,1114,251,46,005,956700
"Census Tract 9568, Beadle County, South Dakota",1400000US46005956800,1829,44.2,1514,2,28,38,0,158,883,797,491,306,604,6,0,23,103,334,138,88300,0,0,0,1829,174,29942,12,50361,1306,312,8,1216,1020,1048,209,46,005,956800
"Census Tract 9569, Beadle County, South Dakota",1400000US46005956900,3106,30.2,2549,26,102,316,5,13,1438,1228,619,609,1509,0,0,23,156,1073,257,63100,0,0,0,2989,983,16882,0,33045,1695,926,56,1809,1464,1570,212,46,005,956900
"Census Tract 9570, Beadle County, South Dakota",1400000US46005957000,6096,38.6,5379,7,56,536,0,112,2747,2633,1585,1048,2344,13,87,44,650,1397,153,126500,0,0,0,5944,1487,23697,36,47052,3831,1457,38,3351,2658,2898,732,46,005,957000
"Census Tract 9571, Beadle County, South Dakota",1400000US46005957100,3247,36.6,2586,0,0,596,0,65,1457,1295,927,368,910,0,61,28,65,665,91,101500,0,0,0,3247,610,25518,26,55884,2041,631,57,1857,1373,1568,338,46,005,957100
"Census Tract 9410, Bennett County, South Dakota",1400000US46007941000,1436,36.6,492,11,634,2,0,0,580,499,315,184,718,0,42,121,161,380,14,53600,0,0,0,1395,403,17608,0,42411,1035,392,0,799,709,689,141,46,007,941000
"Census Tract 9412, Bennett County, South Dakota",1400000US46007941200,2009,25.3,590,23,1097,0,0,0,577,476,282,194,1153,20,78,476,367,156,56,72900,0,0,0,1971,883,13156,0,47315,1569,440,0,1059,959,838,142,46,007,941200
"Census Tract 9676, Bon Homme County, South Dakota",1400000US46009967600,3257,49.9,3082,1,17,44,0,52,1674,1480,1061,419,832,0,44,92,285,368,43,76400,0,0,0,3111,389,29798,35,46603,2557,627,4,1750,1650,1494,306,46,009,967600
"Census Tract 9677, Bon Homme County, South Dakota",1400000US46009967700,3744,40.1,3160,94,333,44,0,16,1269,1027,820,207,401,0,0,8,131,219,43,75600,0,0,0,2432,212,17758,13,50764,2491,1156,27,2534,2339,2196,384,46,009,967700
"Census Tract 9586, Brookings County, South Dakota",1400000US46011958600,3994,34.7,3681,25,98,28,0,47,1665,1487,1198,289,775,2,0,23,267,394,89,138200,3,0,3,3967,537,28121,41,63750,2550,1221,15,2393,2101,2038,600,46,011,958600
"Census Tract 9587, Brookings County, South Dakota",1400000US46011958700,5153,40.8,5027,41,13,13,0,22,2364,2032,1628,404,912,9,28,46,27,756,46,158700,0,0,0,5147,366,31903,60,63659,3465,1601,2,3102,3052,2594,858,46,011,958700
"Census Tract 9588.02, Brookings County, South Dakota",1400000US46011958802,5570,24.1,5122,37,171,162,5,5,2807,2236,907,1329,2661,0,29,20,150,1690,772,138400,15,0,0,4702,1384,19744,14,33125,3014,2307,6,4635,4304,2185,919,46,011,958802
"Census Tract 9588.03, Brookings County, South Dakota",1400000US46011958803,5393,31.0,5055,17,26,221,0,22,1977,1872,1506,366,835,0,0,9,109,644,73,196400,13,0,0,5393,514,29063,73,78071,3307,1828,26,3208,3044,2638,1386,46,011,958803
"Census Tract 9589, Brookings County, South Dakota",1400000US46011958900,7789,21.4,7089,124,62,371,5,98,2459,2286,907,1379,3137,0,13,0,212,2112,800,146800,0,0,0,5220,1717,20578,90,45263,4008,3100,37,6645,6008,1794,822,46,011,958900
"Census Tract 9590, Brookings County, South Dakota",1400000US46011959000,5536,30.3,5051,248,0,143,0,16,2554,2448,1190,1258,2313,0,29,102,179,1594,409,179500,0,0,0,5536,431,33473,77,49423,3409,1603,0,3386,3077,2806,1512,46,011,959000
