NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 1001, Beaver County, Utah",1400000US49001100100,3517,32.9,3503,9,5,0,0,0,1733,1277,861,416,989,0,0,108,210,469,202,159500,0,6,0,3464,398,21170,14,46045,2519,876,9,1826,1724,1578,261,49,001,100100
"Census Tract 1002, Beaver County, Utah",1400000US49001100200,2920,33.2,2715,0,0,15,0,176,1209,984,767,217,553,0,3,0,84,389,77,130700,2,0,0,2889,345,21663,25,52321,2101,601,10,1670,1478,1299,313,49,001,100200
"Census Tract 9601, Box Elder County, Utah",1400000US49003960100,2879,33.9,2807,26,0,22,0,24,1290,927,817,110,312,5,2,0,144,160,1,167000,5,0,2,2879,299,24878,30,60181,2199,650,8,1568,1481,1372,231,49,003,960100
"Census Tract 9602, Box Elder County, Utah",1400000US49003960200,7167,31.5,6903,4,130,73,10,21,2405,2262,1743,519,1985,0,1,61,752,1115,56,172900,0,3,0,7167,667,21968,42,61372,5655,1308,64,4055,3790,3362,645,49,003,960200
"Census Tract 9603, Box Elder County, Utah",1400000US49003960300,8905,24.5,8045,0,21,174,0,588,2733,2594,1911,683,2512,0,0,6,344,1754,408,155900,0,0,0,8846,1607,17810,18,49053,6574,1825,39,4526,3871,3608,557,49,003,960300
"Census Tract 9604, Box Elder County, Utah",1400000US49003960400,4628,35.6,4504,0,5,38,0,20,1647,1518,1263,255,732,61,4,67,98,430,72,174500,7,0,0,4608,237,24286,27,61797,3664,884,13,2564,2413,2261,456,49,003,960400
"Census Tract 9605, Box Elder County, Utah",1400000US49003960500,5077,33.1,4578,60,92,20,0,129,1854,1695,1191,504,1055,9,0,0,219,707,120,153200,0,0,0,4852,350,20513,18,54646,3668,1283,18,2928,2703,2464,537,49,003,960500
"Census Tract 9606.01, Box Elder County, Utah",1400000US49003960601,3570,37.0,3335,68,0,0,0,167,1432,1372,980,392,871,0,0,68,201,573,29,142600,11,0,0,3570,151,19453,7,40625,2246,1219,31,1915,1797,1705,269,49,003,960601
"Census Tract 9606.02, Box Elder County, Utah",1400000US49003960602,2427,39.5,2226,0,58,0,0,82,900,851,712,139,459,15,0,0,36,404,4,182700,4,0,0,2385,237,28726,42,63906,1760,613,2,1382,1304,1147,438,49,003,960602
"Census Tract 9607.01, Box Elder County, Utah",1400000US49003960701,5216,29.3,4935,0,43,16,7,30,1812,1661,1066,595,1878,0,0,41,494,1290,53,153200,0,0,0,5121,495,18248,5,47646,3554,1361,63,2735,2395,2188,360,49,003,960701
"Census Tract 9607.02, Box Elder County, Utah",1400000US49003960702,2663,32.6,2388,0,97,8,20,62,979,959,515,444,1152,0,0,90,121,781,160,149600,13,0,0,2663,489,18955,0,39688,1793,781,18,1616,1495,1287,235,49,003,960702
"Census Tract 9608.01, Box Elder County, Utah",1400000US49003960801,4461,36.3,4146,19,107,60,4,45,1566,1430,1249,181,575,3,3,8,200,328,33,229900,0,0,0,4447,415,26263,33,71731,3348,992,37,2583,2505,2238,511,49,003,960801
"Census Tract 9608.02, Box Elder County, Utah",1400000US49003960802,4535,34.6,4286,8,0,55,0,41,1479,1386,1251,135,471,0,0,0,150,247,74,220300,0,0,0,4526,303,26441,36,82656,3315,1031,60,2318,2205,2038,680,49,003,960802
"Census Tract 1.01, Cache County, Utah",1400000US49005000101,5062,31.3,4818,9,12,25,35,81,1654,1543,1299,244,705,7,0,91,106,366,135,177900,0,0,0,5049,496,19465,23,50638,3386,1457,48,2739,2522,2239,587,49,005,000101
