NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 1, Alcona County, Michigan",1400000US26001000100,1799,62.7,1766,0,0,11,4,4,2290,910,861,49,129,0,11,3,18,82,15,151600,3,0,6,1782,219,29636,15,48043,1444,316,9,776,759,738,163,26,001,000100
"Census Tract 9701, Alcona County, Michigan",1400000US26001970100,2306,58.6,2237,19,3,17,0,11,1993,1099,970,129,296,14,0,27,81,158,16,113800,0,0,3,2244,283,24827,8,42860,1861,390,6,1207,1161,1107,163,26,001,970100
"Census Tract 9704, Alcona County, Michigan",1400000US26001970400,2858,50.9,2763,5,26,3,0,0,2020,1243,1049,194,453,14,6,0,103,314,16,84900,2,0,2,2799,544,19346,6,35889,2448,372,15,1660,1634,1440,115,26,001,970400
"Census Tract 9705, Alcona County, Michigan",1400000US26001970500,2018,59.5,1960,0,19,12,0,0,3188,1024,899,125,285,0,14,65,51,126,29,81400,0,0,3,1983,336,21223,8,33258,1649,304,11,1058,1037,975,82,26,001,970500
"Census Tract 9706, Alcona County, Michigan",1400000US26001970600,1480,57.5,1458,2,4,0,0,0,1540,697,618,79,193,2,0,9,75,107,0,98900,0,0,0,1480,154,24253,16,39531,1263,193,0,776,749,686,83,26,001,970600
"Census Tract 9900, Alcona County, Michigan",1400000US26001990000,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,0,-666666666,0,-666666666,0,0,0,0,0,0,0,26,001,990000
"Census Tract 1, Alger County, Michigan",1400000US26003000100,3767,49.6,3408,3,114,26,0,0,2392,1423,1179,244,505,3,3,7,197,283,12,108600,0,0,0,3671,467,20308,9,36304,3289,437,5,2202,2162,1946,417,26,003,000100
"Census Tract 2, Alger County, Michigan",1400000US26003000200,2759,51.7,2477,28,128,0,0,0,2145,1165,1008,157,363,7,27,4,145,162,18,122300,0,0,9,2738,422,26529,11,44188,2330,401,2,1553,1524,1438,297,26,003,000200
"Census Tract 3, Alger County, Michigan",1400000US26003000300,2870,45.4,2147,657,11,0,0,9,2061,845,780,65,173,0,0,14,3,156,0,131200,0,0,0,1987,207,16571,5,46523,2338,472,35,1980,1964,1658,204,26,003,000300
"Census Tract 9900, Alger County, Michigan",1400000US26003990000,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,0,-666666666,0,-666666666,0,0,0,0,0,0,0,26,003,990000
