NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B25075_026E,B25075_027E,B15003_001E,B15003_022E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,state,county,tract
"Census Tract 9426, Apache County, Arizona",1400000US04001942600,1534,30.7,0,0,1520,0,0,0,655,392,378,14,14,14,56300,378,0,0,0,883,21,1534,606,9118,392,0,21800,1534,1072,462,0,879,87,04,001,942600
"Census Tract 9427, Apache County, Arizona",1400000US04001942700,4663,36.1,44,0,4600,4,0,0,2388,1219,1006,213,744,41,68500,1006,2,0,0,2818,99,4660,1717,11749,1219,3,26910,4663,2012,2639,3,2670,304,04,001,942700
"Census Tract 9440, Apache County, Arizona",1400000US04001944000,6186,33.4,234,149,5628,5,0,23,2272,1524,982,542,2164,173,40000,982,0,0,17,3743,173,6183,2706,12074,1524,12,27439,6186,4974,1077,16,3719,1527,04,001,944000
"Census Tract 9441, Apache County, Arizona",1400000US04001944100,5915,24.9,281,33,5450,51,0,18,2453,1227,999,228,941,48,61800,999,0,0,0,2952,141,5621,2593,8888,1227,6,28260,5915,5294,608,3,3470,628,04,001,944100
"Census Tract 9442.01, Apache County, Arizona",1400000US04001944201,4524,21.6,377,18,3907,0,0,0,1551,1119,406,713,3007,188,38300,406,0,0,8,2109,149,4471,1942,10360,1119,0,28634,4524,3898,604,0,2207,849,04,001,944201
"Census Tract 9442.02, Apache County, Arizona",1400000US04001944202,4592,27.0,105,18,4365,28,0,27,1555,1068,914,154,450,36,42200,914,12,0,0,2403,119,4578,2366,10053,1068,0,27877,4592,4320,114,28,2717,968,04,001,944202
"Census Tract 9443, Apache County, Arizona",1400000US04001944300,7307,28.5,73,6,7149,2,42,4,3174,1924,1566,358,1312,10,63600,1566,4,0,15,4033,182,7292,3151,9980,1924,2,23323,7307,6800,477,8,4041,853,04,001,944300
"Census Tract 9449.01, Apache County, Arizona",1400000US04001944901,3948,33.7,166,18,3664,20,10,4,1783,953,801,152,627,38,47800,801,7,0,8,2462,121,3948,1558,10494,953,3,21860,3948,3353,515,5,2362,540,04,001,944901
"Census Tract 9449.02, Apache County, Arizona",1400000US04001944902,4816,35.1,74,11,4626,0,0,20,2152,1276,1106,170,637,66,51100,1106,5,0,18,2894,132,4794,2428,9333,1276,0,17593,4816,4324,481,4,2717,486,04,001,944902
"Census Tract 9450.01, Apache County, Arizona",1400000US04001945001,5082,37.9,149,10,4788,58,0,50,1748,1253,772,481,1722,139,73000,772,0,0,0,3456,242,5049,1649,13837,1253,0,37614,5082,3553,1469,0,3299,1085,04,001,945001
"Census Tract 9450.02, Apache County, Arizona",1400000US04001945002,3950,34.4,54,6,3762,0,0,0,1643,989,896,93,379,71,58200,896,7,0,5,2409,66,3950,1389,11685,989,6,25033,3950,2502,1437,9,2594,718,04,001,945002
"Census Tract 9451, Apache County, Arizona",1400000US04001945100,2433,28.2,76,10,2197,63,0,58,799,578,382,196,955,33,82100,382,0,0,0,1374,77,2423,1000,9853,578,0,25000,2433,1639,693,0,1341,405,04,001,945100
"Census Tract 9702, Apache County, Arizona",1400000US04001970200,4511,50.7,3889,20,176,26,0,65,3140,1718,1533,185,594,12,113000,1533,0,0,0,3277,279,4336,470,22963,1718,10,40540,4511,2027,2427,0,2168,1964,04,001,970200
"Census Tract 9703, Apache County, Arizona",1400000US04001970300,3959,43.6,3180,26,144,2,17,282,1433,1026,748,278,674,147,81600,748,0,0,0,2918,344,3172,639,17121,1026,6,41100,3959,2183,1351,0,2649,1964,04,001,970300
"Census Tract 9705.01, Apache County, Arizona",1400000US04001970501,5067,32.1,4392,26,420,0,0,84,2065,1582,1139,443,1581,147,149400,1139,13,0,0,3057,463,5004,754,20547,1582,2,51357,5067,3294,1634,20,2478,2135,04,001,970501
"Census Tract 9705.02, Apache County, Arizona",1400000US04001970502,3859,50.8,3213,10,582,0,12,12,3914,1503,1254,249,842,139,188900,1254,3,0,0,2869,521,3859,690,27771,1503,45,55792,3859,2193,1558,22,2206,1878,04,001,970502
"Census Tract 1, Cochise County, Arizona",1400000US04003000100,1483,57.7,1235,7,15,4,0,86,1211,729,564,165,338,46,86500,564,5,2,0,1168,153,1483,269,21676,729,7,33098,1483,610,688,11,811,605,04,003,000100
"Census Tract 2.01, Cochise County, Arizona",1400000US04003000201,3238,39.1,2594,0,34,11,0,541,1665,1305,892,413,976,119,105100,892,0,0,0,2228,330,3238,370,23080,1305,71,49362,3238,1115,1413,32,1779,999,04,003,000201
"Census Tract 2.02, Cochise County, Arizona",1400000US04003000202,3972,37.8,3398,24,1,0,0,369,1951,1548,1012,536,1188,207,93700,1012,7,0,13,2498,112,3928,757,19174,1548,22,43159,3972,2143,1062,234,2239,1306,04,003,000202
"Census Tract 2.03, Cochise County, Arizona",1400000US04003000203,2701,59.0,2313,0,108,24,0,29,1824,1371,1116,255,380,41,114600,1116,0,0,0,2215,274,2695,480,24368,1371,32,40536,2701,631,1784,45,1232,988,04,003,000203
"Census Tract 3.01, Cochise County, Arizona",1400000US04003000301,3982,50.9,3615,42,72,10,0,191,2329,1862,1151,711,1650,248,86300,1151,0,0,0,2892,256,3933,1088,16941,1862,0,25532,3982,1627,2221,40,1804,1551,04,003,000301
"Census Tract 3.02, Cochise County, Arizona",1400000US04003000302,4744,54.0,4545,4,95,35,0,15,2642,2119,1832,287,821,29,156200,1832,18,0,0,3604,456,4744,335,26873,2119,45,47359,4744,1948,2650,97,2297,2111,04,003,000302
"Census Tract 3.03, Cochise County, Arizona",1400000US04003000303,3277,51.4,3129,0,6,0,110,0,1681,1445,1134,311,939,59,98000,1134,0,0,0,2497,376,3276,623,25033,1445,11,52771,3277,1330,1823,69,1754,1554,04,003,000303
"Census Tract 4, Cochise County, Arizona",1400000US04003000400,2055,55.4,1869,0,0,4,0,37,1416,1037,802,235,426,38,117200,802,0,0,0,1591,154,2055,473,19671,1037,11,29201,2055,713,1270,13,1005,890,04,003,000400
"Census Tract 5, Cochise County, Arizona",1400000US04003000500,9867,37.5,8087,1144,299,9,12,102,2050,1437,1159,278,550,50,136600,1159,7,0,4,8299,422,2951,540,18988,1437,4,40208,9867,3665,4569,60,8404,4986,04,003,000500
"Census Tract 6, Cochise County, Arizona",1400000US04003000600,3380,35.7,2684,62,44,0,0,394,1292,987,816,171,513,0,78800,816,0,0,0,2217,111,2825,737,14119,987,4,29375,3380,1830,732,22,2310,800,04,003,000600
"Census Tract 7, Cochise County, Arizona",1400000US04003000700,4129,24.5,3581,37,12,19,0,457,1355,1147,857,290,1103,90,116300,857,0,0,0,2020,250,4109,1721,11588,1147,0,31607,4129,2520,341,125,2031,201,04,003,000700
"Census Tract 8, Cochise County, Arizona",1400000US04003000800,3465,33.3,2501,20,0,221,0,479,1472,1288,849,439,1106,159,83000,849,0,0,0,2192,328,3398,875,13980,1288,0,32333,3465,2013,419,11,2018,505,04,003,000800
"Census Tract 9.01, Cochise County, Arizona",1400000US04003000901,2200,33.1,1519,0,20,0,0,565,1099,788,380,408,1239,97,81100,380,0,0,0,1244,62,2200,1093,10405,788,0,20568,2200,1332,143,32,1046,71,04,003,000901
"Census Tract 9.02, Cochise County, Arizona",1400000US04003000902,1598,36.8,1155,5,33,3,0,357,890,616,343,273,617,149,66400,343,0,0,0,987,94,1591,549,15430,616,19,25882,1598,880,189,36,729,184,04,003,000902
"Census Tract 10, Cochise County, Arizona",1400000US04003001000,1465,56.5,1322,34,12,23,0,36,1287,806,569,237,382,0,161500,569,0,0,0,1221,270,1223,372,24055,806,13,28583,1465,512,813,25,877,726,04,003,001000
"Census Tract 11, Cochise County, Arizona",1400000US04003001100,3536,50.3,2981,8,16,2,0,382,2120,1622,1062,560,1306,107,106700,1062,0,0,0,2523,396,3494,1159,18493,1622,6,32018,3536,1592,1333,47,1853,1182,04,003,001100
"Census Tract 12, Cochise County, Arizona",1400000US04003001200,2798,49.0,2292,11,7,7,0,376,1615,1245,885,360,899,101,135100,885,8,0,15,1956,360,2798,694,25963,1245,21,35184,2798,1406,1073,75,1553,960,04,003,001200
"Census Tract 13, Cochise County, Arizona",1400000US04003001300,5427,43.0,4395,166,86,81,0,234,2733,2389,1649,740,1573,218,116900,1649,0,0,0,3840,530,5424,1186,22003,2389,4,41448,5427,1826,3088,58,3264,2797,04,003,001300
"Census Tract 14.01, Cochise County, Arizona",1400000US04003001401,4959,22.1,3805,501,119,143,43,0,740,676,5,671,2506,318,-666666666,5,0,0,0,1759,354,2515,293,20096,676,0,52143,4959,229,4285,195,3768,3135,04,003,001401
"Census Tract 14.02, Cochise County, Arizona",1400000US04003001402,1028,21.9,684,65,0,101,0,81,254,234,0,234,877,188,-666666666,0,0,0,0,479,190,863,21,21986,234,0,71630,1028,129,752,35,609,453,04,003,001402
"Census Tract 15.01, Cochise County, Arizona",1400000US04003001501,3155,34.3,2390,275,29,181,21,86,1989,1439,602,837,1665,250,127700,602,0,0,0,2133,232,3141,723,21885,1439,26,34063,3155,1065,1466,157,1934,1368,04,003,001501
"Census Tract 15.02, Cochise County, Arizona",1400000US04003001502,4024,31.3,2870,229,177,75,106,343,1928,1578,767,811,2132,104,101600,767,0,0,0,2429,186,3968,1005,19741,1578,14,40150,4024,1370,2015,180,2358,1557,04,003,001502
"Census Tract 16.01, Cochise County, Arizona",1400000US04003001601,5341,27.6,4324,341,23,83,0,47,2315,1998,889,1109,2929,867,165200,889,0,0,0,3091,520,5341,1110,22089,1998,16,52308,5341,1712,2678,433,3052,2306,04,003,001601
"Census Tract 16.02, Cochise County, Arizona",1400000US04003001602,3090,42.4,2321,340,90,124,0,48,1815,1502,559,943,1695,246,120500,559,0,0,0,2122,271,2899,829,21050,1502,2,31636,3090,1154,1480,215,1755,1359,04,003,001602
"Census Tract 17.01, Cochise County, Arizona",1400000US04003001701,3631,33.6,2474,208,85,165,0,303,2239,1643,670,973,2007,255,149700,670,0,0,0,2542,683,3631,742,26583,1643,0,53628,3631,929,2348,104,2121,1600,04,003,001701
"Census Tract 17.02, Cochise County, Arizona",1400000US04003001702,3958,39.2,2855,254,0,136,107,110,1797,1694,854,840,2191,79,144600,854,0,0,0,2483,455,3958,931,24508,1694,45,46000,3958,1392,1879,306,2017,1484,04,003,001702
"Census Tract 17.03, Cochise County, Arizona",1400000US04003001703,4879,35.0,3849,297,23,136,0,83,2330,2062,1376,686,1705,174,170300,1376,0,0,0,3364,532,4850,330,26916,2062,43,58172,4879,900,3321,201,2692,2068,04,003,001703
"Census Tract 18, Cochise County, Arizona",1400000US04003001800,8888,52.3,7477,595,15,393,0,252,4330,3810,3048,762,2044,497,227300,3048,0,0,0,6932,1626,8870,524,37390,3810,275,72567,8888,1739,5717,465,4364,3516,04,003,001800
"Census Tract 19, Cochise County, Arizona",1400000US04003001900,6733,46.4,5864,272,0,194,0,271,2991,2650,2284,366,1410,550,246600,2284,0,0,0,4774,1126,6733,192,43019,2650,348,98721,6733,1361,4373,522,3917,3329,04,003,001900
"Census Tract 20.01, Cochise County, Arizona",1400000US04003002001,5383,45.0,4714,35,1,32,0,262,2477,2201,1684,517,1415,147,93200,1684,0,0,0,3537,657,5369,1375,19296,2201,20,37793,5383,1547,3385,128,3018,2364,04,003,002001
"Census Tract 20.02, Cochise County, Arizona",1400000US04003002002,4921,44.1,4665,61,30,34,0,21,1987,1806,1590,216,601,15,166800,1590,0,0,0,3358,472,4854,382,28471,1806,139,59274,4921,1495,2938,211,2837,2288,04,003,002002
"Census Tract 21, Cochise County, Arizona",1400000US04003002100,4870,56.3,4629,39,44,0,0,20,2577,2196,1980,216,444,85,200000,1980,23,0,18,3976,798,4855,406,33396,2196,118,52801,4870,1197,2979,167,2832,2078,04,003,002100
"Census Tract 1, Coconino County, Arizona",1400000US04005000100,3524,43.7,2956,16,223,71,0,119,1465,1356,1051,305,717,92,336200,1051,7,0,10,2534,840,3524,243,44169,1356,139,92500,3524,1469,1834,30,2098,1885,04,005,000100
