NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9656, Adams County, North Dakota",1400000US38001965600,2348,45.1,2203,24,53,38,0,15,1369,1030,776,254,513,105,124000,4,0,0,2292,241,32594,58,53295,1394,896,13,1346,1273,1159,374,38,001,965600
"Census Tract 9679, Barnes County, North Dakota",1400000US38003967900,1658,46.8,1621,0,5,0,0,0,960,750,639,111,233,0,115300,0,0,0,1658,137,36840,24,60673,1284,364,0,972,964,848,233,38,003,967900
"Census Tract 9680, Barnes County, North Dakota",1400000US38003968000,2800,44.0,2653,0,95,4,0,43,1526,1180,1008,172,379,34,126800,2,0,7,2800,277,33040,81,64438,2111,636,16,1626,1587,1541,320,38,003,968000
"Census Tract 9682, Barnes County, North Dakota",1400000US38003968200,2884,33.5,2685,66,8,36,14,43,1440,1340,699,641,943,108,80800,0,0,0,2534,297,29936,21,48016,1908,882,75,1939,1837,1354,251,38,003,968200
"Census Tract 9683, Barnes County, North Dakota",1400000US38003968300,3691,49.6,3446,22,109,0,0,0,1828,1800,1087,713,1096,143,106900,0,0,0,3503,314,37356,85,57344,2835,807,8,1990,1990,1720,625,38,003,968300
"Census Tract 9401, Benson County, North Dakota",1400000US38005940100,2530,23.5,404,0,2105,0,0,0,866,682,280,402,1503,37,52200,0,3,0,2513,1287,13090,12,29643,2291,218,8,1278,1229,1021,145,38,005,940100
"Census Tract 9402, Benson County, North Dakota",1400000US38005940200,2139,27.4,389,0,1634,6,4,0,843,617,369,248,970,25,55400,3,0,0,2134,775,16706,11,41016,1961,168,7,1163,1134,952,119,38,005,940200
"Census Tract 9565, Benson County, North Dakota",1400000US38005956500,1221,46.0,1187,0,11,1,0,0,680,528,428,100,158,0,86700,0,0,0,1216,128,32325,25,55714,1044,166,0,724,723,641,137,38,005,956500
"Census Tract 9566, Benson County, North Dakota",1400000US38005956600,912,54.0,905,0,6,0,0,0,600,430,342,88,145,33,67800,2,0,1,907,80,34574,16,46667,756,143,8,484,481,411,78,38,005,956600
"Census Tract 9631, Billings County, North Dakota",1400000US38007963100,936,45.8,891,8,11,0,0,8,524,405,280,125,207,11,167200,6,0,0,936,103,40549,31,67969,701,215,4,604,586,526,153,38,007,963100
"Census Tract 9523, Bottineau County, North Dakota",1400000US38009952300,2432,38.4,2127,47,141,8,0,17,1198,1092,673,419,690,31,128900,0,0,0,2136,172,29348,23,44167,1509,802,23,1476,1438,1099,243,38,009,952300
"Census Tract 9524, Bottineau County, North Dakota",1400000US38009952400,2298,50.8,2249,0,20,10,0,0,2147,1092,991,101,204,1,160700,0,0,0,2298,207,33280,46,60500,1920,352,0,1300,1280,1210,296,38,009,952400
"Census Tract 9525, Bottineau County, North Dakota",1400000US38009952500,1920,43.4,1863,9,26,0,0,12,1042,863,633,230,435,96,104000,1,0,0,1887,190,36117,53,62946,1216,665,8,1096,1056,927,197,38,009,952500
"Census Tract 9652, Bowman County, North Dakota",1400000US38011965200,1930,42.2,1832,1,27,0,0,68,1024,851,602,249,485,142,167000,0,0,0,1868,174,32753,42,60750,1109,799,8,1104,1040,919,233,38,011,965200
"Census Tract 9653, Bowman County, North Dakota",1400000US38011965300,1308,43.4,1258,3,14,0,0,8,706,553,462,91,208,1,118100,0,0,9,1299,68,36801,27,74485,1005,292,0,708,681,653,141,38,011,965300
"Census Tract 9533, Burke County, North Dakota",1400000US38013953300,2239,38.6,2166,10,34,1,0,7,1404,1001,716,285,612,27,116400,0,0,0,2239,265,35857,59,65521,1519,620,28,1295,1242,1124,253,38,013,953300
"Census Tract 101, Burleigh County, North Dakota",1400000US38015010100,3336,38.2,2917,64,219,43,0,10,2049,1886,566,1320,1952,167,174200,0,0,0,3182,533,27253,32,35132,2219,941,53,2122,1887,1758,689,38,015,010100
"Census Tract 102, Burleigh County, North Dakota",1400000US38015010200,5081,40.4,4674,102,276,25,0,0,2498,2409,998,1411,2548,325,137600,0,0,0,4758,598,27334,32,46325,3339,1632,39,3353,3225,2641,705,38,015,010200
"Census Tract 103, Burleigh County, North Dakota",1400000US38015010300,6606,33.3,6291,170,49,82,0,0,2987,2884,1421,1463,2835,561,217400,18,0,0,6454,497,35040,162,67333,4603,1798,28,4202,4054,3059,1202,38,015,010300
"Census Tract 104, Burleigh County, North Dakota",1400000US38015010400,3648,46.0,3519,51,11,0,0,10,1895,1786,1409,377,609,28,178400,0,0,0,3637,200,33693,8,60328,2852,730,0,2062,2011,1871,749,38,015,010400
"Census Tract 105, Burleigh County, North Dakota",1400000US38015010500,5181,34.9,4800,166,23,0,50,0,2244,2190,1432,758,1378,260,201700,0,0,0,4881,264,37901,185,62274,3343,1491,68,3272,3018,2519,1272,38,015,010500
"Census Tract 106, Burleigh County, North Dakota",1400000US38015010600,4680,37.4,3750,55,610,10,0,0,2255,2005,1378,627,1415,365,206100,12,0,0,4496,702,40886,180,62651,3307,1306,0,2966,2844,2646,1180,38,015,010600
"Census Tract 107, Burleigh County, North Dakota",1400000US38015010700,4246,39.3,4132,18,62,0,0,0,1885,1875,1345,530,943,40,201400,0,0,0,4236,318,31429,28,59855,3343,867,11,2801,2740,2244,665,38,015,010700
"Census Tract 108, Burleigh County, North Dakota",1400000US38015010800,4040,33.6,3555,10,347,11,0,0,1872,1788,1329,459,1168,9,40900,0,0,0,3765,474,25414,3,48780,3201,775,35,2804,2754,2187,213,38,015,010800
"Census Tract 109, Burleigh County, North Dakota",1400000US38015010900,4614,39.5,4157,137,196,0,0,39,2010,1887,1172,715,1210,249,217900,0,0,0,3891,285,32311,50,60738,3388,1102,33,3011,2854,2425,888,38,015,010900
"Census Tract 110.01, Burleigh County, North Dakota",1400000US38015011001,5458,36.8,4761,278,153,0,0,79,2563,2473,1479,994,1874,280,241300,0,0,0,5403,447,31953,61,64063,4046,1182,105,3297,3160,2873,814,38,015,011001
"Census Tract 110.02, Burleigh County, North Dakota",1400000US38015011002,6692,34.4,6496,18,0,13,0,53,2459,2412,2356,56,70,0,243000,25,0,1,6678,53,36308,148,89278,5607,1003,18,4076,4000,3777,1192,38,015,011002
"Census Tract 111.01, Burleigh County, North Dakota",1400000US38015011101,5413,41.3,4563,0,511,195,0,24,2878,2690,1449,1241,2428,190,201300,0,0,0,5385,954,32516,142,45194,4050,1108,37,3021,2829,2488,974,38,015,011101
"Census Tract 111.03, Burleigh County, North Dakota",1400000US38015011103,3215,44.1,3012,0,134,50,0,7,1552,1490,771,719,1369,300,246800,0,0,18,3208,151,33016,70,51859,2172,935,17,1856,1764,1518,645,38,015,011103
"Census Tract 111.04, Burleigh County, North Dakota",1400000US38015011104,5688,36.6,5364,0,51,233,0,20,1970,1920,1910,10,21,0,369800,0,0,11,5688,47,56202,383,136610,4183,1214,49,3336,3212,3177,2020,38,015,011104
"Census Tract 111.05, Burleigh County, North Dakota",1400000US38015011105,4966,35.5,4780,0,106,0,0,8,1795,1750,1581,169,581,130,310100,9,0,0,4928,81,47931,330,118533,3963,956,18,3187,3121,2918,1338,38,015,011105
"Census Tract 112, Burleigh County, North Dakota",1400000US38015011200,6591,33.8,6203,70,78,0,0,12,2488,2441,1905,536,1043,18,262700,0,16,13,5712,360,41508,286,74429,4391,2066,6,4662,4506,3601,1435,38,015,011200
"Census Tract 113, Burleigh County, North Dakota",1400000US38015011300,7041,31.5,6419,3,529,3,0,0,2463,2460,2266,194,641,67,229700,3,0,0,6814,468,33332,53,83984,5134,1851,21,4466,4381,3941,1244,38,015,011300
"Census Tract 114, Burleigh County, North Dakota",1400000US38015011400,2520,41.3,2401,0,37,21,1,6,1113,999,908,91,178,36,239300,7,0,12,2516,212,37645,78,76654,2060,426,1,1499,1467,1361,411,38,015,011400
"Census Tract 115, Burleigh County, North Dakota",1400000US38015011500,1544,45.4,1502,0,12,3,0,2,798,660,552,108,219,5,122000,0,0,4,1544,101,33104,35,63333,1291,246,2,939,920,835,173,38,015,011500
"Census Tract 1, Cass County, North Dakota",1400000US38017000100,4938,44.3,4778,0,104,0,0,0,1977,1944,1858,86,198,21,214400,8,0,0,4921,124,46398,177,94259,3328,1501,23,2773,2673,2579,1565,38,017,000100
"Census Tract 2.01, Cass County, North Dakota",1400000US38017000201,3378,42.5,3122,17,18,171,0,16,2019,1874,825,1049,1439,129,159700,0,0,0,3378,346,27519,10,38056,1994,1148,22,2101,1924,1640,663,38,017,000201
"Census Tract 2.02, Cass County, North Dakota",1400000US38017000202,3237,31.4,2866,88,77,49,0,71,1579,1531,810,721,1305,271,145100,0,0,0,3237,594,26641,28,41614,1781,1343,12,2211,2030,1637,561,38,017,000202
"Census Tract 3, Cass County, North Dakota",1400000US38017000300,5129,19.6,4401,195,11,440,8,39,732,705,344,361,839,106,299400,0,0,0,1988,583,15717,61,44018,1888,2576,35,4564,3929,884,568,38,017,000300
"Census Tract 4, Cass County, North Dakota",1400000US38017000400,3680,29.8,3486,23,29,93,0,4,1799,1532,921,611,1291,388,141600,9,0,0,3384,634,27803,36,51000,1985,1514,3,2786,2625,1733,795,38,017,000400
"Census Tract 5.01, Cass County, North Dakota",1400000US38017000501,3309,34.3,2953,104,120,0,0,0,2075,1729,836,893,1438,351,127000,0,0,0,3247,676,28088,36,44482,1733,1512,5,2480,2359,1858,645,38,017,000501
"Census Tract 5.02, Cass County, North Dakota",1400000US38017000502,3286,22.1,2900,131,38,56,0,24,1651,1382,258,1124,2415,660,139600,0,0,0,3163,1400,17292,0,30102,1232,1881,44,2922,2789,927,361,38,017,000502
"Census Tract 6, Cass County, North Dakota",1400000US38017000600,5406,27.7,4379,408,117,118,0,37,2586,2404,956,1448,2770,555,96600,14,0,0,5207,1417,20263,13,30556,2729,2234,57,3986,3695,2384,539,38,017,000600
"Census Tract 7, Cass County, North Dakota",1400000US38017000700,1951,36.6,1589,224,12,41,0,0,1543,1430,114,1316,1716,203,-666666666,11,0,0,1951,690,27034,18,18203,801,914,9,1670,1448,1293,493,38,017,000700
"Census Tract 8.01, Cass County, North Dakota",1400000US38017000801,3181,37.2,2911,0,59,17,0,67,1759,1591,735,856,1457,211,163600,17,0,0,3170,364,38394,114,54313,1678,1369,30,2292,2226,1928,856,38,017,000801
"Census Tract 8.02, Cass County, North Dakota",1400000US38017000802,4854,35.1,3989,292,28,361,0,0,2479,2261,1093,1168,2180,165,120200,0,0,0,4737,800,23731,0,41756,2477,1716,1,3304,2576,2738,760,38,017,000802
"Census Tract 9.01, Cass County, North Dakota",1400000US38017000901,5488,35.9,5026,183,181,40,0,0,2164,2104,1455,649,1687,213,145100,0,0,0,5380,602,25280,69,51210,3186,1960,14,3285,2953,2955,1159,38,017,000901
"Census Tract 9.03, Cass County, North Dakota",1400000US38017000903,3697,31.7,3175,146,12,27,0,0,2249,2118,287,1831,3206,191,129200,0,0,0,3697,949,26332,15,32312,2005,1500,15,2550,2386,1956,421,38,017,000903
"Census Tract 9.04, Cass County, North Dakota",1400000US38017000904,4086,35.3,3600,273,152,29,0,0,1985,1936,1100,836,1680,411,167400,0,0,0,4078,449,35252,113,55948,2330,1540,77,2705,2662,2014,658,38,017,000904
"Census Tract 10.01, Cass County, North Dakota",1400000US38017001001,5652,33.8,4996,82,9,315,0,58,2942,2828,1197,1631,2984,93,150100,0,0,0,5635,891,29808,76,41703,3386,1685,25,3673,3211,3026,1185,38,017,001001
"Census Tract 10.02, Cass County, North Dakota",1400000US38017001002,2780,39.8,2646,45,15,0,0,54,1457,1368,490,878,1364,435,203700,0,0,0,2642,499,29441,52,34352,1537,1104,27,1795,1695,1562,520,38,017,001002
"Census Tract 101.06, Cass County, North Dakota",1400000US38017010106,4989,25.9,3331,572,0,689,0,0,2562,2457,0,2457,4989,845,-666666666,0,0,0,4979,887,21543,17,35640,1792,1922,37,3931,2973,2605,648,38,017,010106
"Census Tract 101.07, Cass County, North Dakota",1400000US38017010107,3407,29.8,2281,549,86,239,0,120,1678,1649,304,1345,2461,307,23800,0,0,0,3391,985,19952,7,33925,1466,1148,24,2300,1647,1837,400,38,017,010107
"Census Tract 101.08, Cass County, North Dakota",1400000US38017010108,6244,28.7,5207,783,9,135,0,0,2799,2734,774,1960,4044,527,194300,0,0,0,6228,1224,25619,29,50514,3093,2446,57,4551,3862,3590,1042,38,017,010108
"Census Tract 101.09, Cass County, North Dakota",1400000US38017010109,4038,34.1,3500,81,117,257,0,0,1664,1664,1269,395,1008,36,137100,0,0,9,4028,592,29060,38,59375,2443,1181,25,2768,2448,2364,694,38,017,010109
"Census Tract 102.01, Cass County, North Dakota",1400000US38017010201,5371,41.3,5187,0,170,14,0,0,2310,2244,1896,348,706,186,164600,0,0,0,5351,123,33784,116,70000,3363,1955,35,3591,3524,3330,686,38,017,010201
"Census Tract 102.03, Cass County, North Dakota",1400000US38017010203,2903,37.9,2505,194,64,0,0,0,1478,1378,731,647,1418,237,137500,0,0,0,2895,479,28325,17,46346,1763,1065,8,1936,1890,1778,393,38,017,010203
"Census Tract 102.04, Cass County, North Dakota",1400000US38017010204,6660,40.3,5922,309,10,205,0,0,2718,2642,1729,913,1728,44,248800,0,0,0,6660,390,37406,259,76981,4068,2145,10,3940,3651,3514,1507,38,017,010204
"Census Tract 103.03, Cass County, North Dakota",1400000US38017010303,6032,33.1,5429,188,52,180,0,79,2868,2564,1409,1155,1995,192,226000,14,16,0,5966,285,42026,235,60120,3273,2513,19,3702,3486,3006,1583,38,017,010303
"Census Tract 103.05, Cass County, North Dakota",1400000US38017010305,7046,27.8,6007,641,0,293,0,0,2813,2685,1285,1400,3659,321,237300,0,0,0,6940,803,32051,161,56431,3592,2420,42,4480,3815,3281,1484,38,017,010305
"Census Tract 103.06, Cass County, North Dakota",1400000US38017010306,4144,37.7,3833,140,2,44,0,18,1983,1937,968,969,1435,251,217600,0,0,0,4009,296,39654,94,61339,2563,1430,0,2626,2444,2171,1045,38,017,010306
"Census Tract 103.07, Cass County, North Dakota",1400000US38017010307,2235,45.3,2138,13,26,36,0,11,796,793,721,72,122,5,268600,0,0,5,2230,45,61040,168,119375,1427,731,7,1382,1337,1231,818,38,017,010307
"Census Tract 401, Cass County, North Dakota",1400000US38017040100,2083,40.5,2079,0,3,0,0,0,948,833,708,125,221,12,122600,10,0,0,2083,98,32418,36,65677,1657,403,7,1256,1236,1099,301,38,017,040100
"Census Tract 402, Cass County, North Dakota",1400000US38017040200,2442,40.1,2374,15,8,0,0,2,1044,952,827,125,268,24,150500,0,0,0,2410,106,35628,43,72202,1859,569,10,1313,1296,1190,399,38,017,040200
"Census Tract 403, Cass County, North Dakota",1400000US38017040300,3348,35.5,3265,26,12,0,0,17,1388,1285,980,305,531,53,173000,0,0,0,3346,159,32640,82,69922,2676,634,26,1851,1823,1670,633,38,017,040300
"Census Tract 404, Cass County, North Dakota",1400000US38017040400,4124,38.5,3800,218,0,0,0,11,1439,1382,1337,45,153,43,195500,0,0,2,4118,320,36484,110,90000,2729,1293,11,2536,2414,2274,759,38,017,040400
"Census Tract 405, Cass County, North Dakota",1400000US38017040500,34726,30.2,32301,429,266,787,0,207,14716,13775,7510,6265,12545,2759,252200,5,0,4,34654,1152,39382,1178,75532,20969,12145,99,23086,21572,18307,9560,38,017,040500
"Census Tract 406, Cass County, North Dakota",1400000US38017040600,3008,39.3,2968,2,6,4,0,5,1200,1130,952,178,428,46,209700,6,4,0,3000,127,40462,105,77500,2114,871,7,1786,1757,1604,552,38,017,040600
"Census Tract 9509, Cavalier County, North Dakota",1400000US38019950900,1937,50.0,1845,0,29,10,0,50,1121,919,700,219,367,80,92200,0,0,0,1872,114,35823,36,65156,1569,304,45,1065,1026,871,208,38,019,950900
"Census Tract 9511, Cavalier County, North Dakota",1400000US38019951100,1930,50.6,1865,5,9,0,0,0,1195,869,781,88,155,15,87900,11,0,8,1892,84,43749,70,67321,1638,257,17,1006,975,934,203,38,019,951100
"Census Tract 9732, Dickey County, North Dakota",1400000US38021973200,2440,40.6,2400,18,8,12,0,2,1121,1018,700,318,558,44,119500,2,0,0,2359,158,29683,42,58859,1426,937,19,1423,1331,1267,342,38,021,973200
"Census Tract 9733, Dickey County, North Dakota",1400000US38021973300,1248,50.8,1242,2,4,0,0,0,765,557,501,56,127,0,112300,0,0,0,1248,102,35654,36,69875,672,576,0,659,619,639,191,38,021,973300
"Census Tract 9734, Dickey County, North Dakota",1400000US38021973400,1472,35.0,1348,56,32,9,0,0,769,617,381,236,392,74,79400,0,0,0,1264,157,21674,4,43201,527,901,11,808,780,505,223,38,021,973400
"Census Tract 9545, Divide County, North Dakota",1400000US38023954500,2369,50.3,2239,16,21,35,0,0,1467,1059,860,199,369,30,115800,0,0,0,2290,215,41063,87,62470,1708,533,28,1335,1275,1216,345,38,023,954500
"Census Tract 9622, Dunn County, North Dakota",1400000US38025962200,4284,39.9,3626,40,423,19,13,42,2450,1548,1206,342,904,159,162700,22,1,6,4177,490,40102,165,66964,2613,1581,3,2593,2400,2256,476,38,025,962200
"Census Tract 9592, Eddy County, North Dakota",1400000US38027959200,2370,46.6,2173,0,121,0,7,7,1320,1043,756,287,456,42,70900,0,0,0,2277,306,33785,45,55489,1831,507,0,1332,1289,1197,308,38,027,959200
"Census Tract 9665, Emmons County, North Dakota",1400000US38029966500,3426,51.1,3309,0,3,45,0,0,2083,1520,1276,244,412,26,84900,6,2,0,3371,403,29467,74,45472,2897,469,15,1744,1641,1543,326,38,029,966500
"Census Tract 9596, Foster County, North Dakota",1400000US38031959600,3345,46.7,3256,2,36,12,0,2,1809,1500,1064,436,734,99,110400,0,7,0,3272,306,30310,34,55625,2520,765,17,1887,1788,1648,404,38,031,959600
"Census Tract 9629, Golden Valley County, North Dakota",1400000US38033962900,1895,41.0,1819,0,9,0,0,1,1006,836,556,280,611,66,115700,0,0,6,1843,175,26536,27,37014,998,881,14,1070,1057,907,210,38,033,962900
"Census Tract 101, Grand Forks County, North Dakota",1400000US38035010100,3224,26.5,2822,164,112,0,0,21,1812,1574,541,1033,1759,194,124400,0,0,0,3207,924,22283,11,34975,1783,1426,7,2417,2238,1594,387,38,035,010100
"Census Tract 102, Grand Forks County, North Dakota",1400000US38035010200,4435,32.0,4080,50,151,20,0,56,2003,1886,1033,853,2057,192,147300,0,0,0,4435,842,28248,31,52500,2342,1918,89,3185,2955,2253,587,38,035,010200
"Census Tract 103, Grand Forks County, North Dakota",1400000US38035010300,5548,20.0,4549,462,73,324,25,4,1295,1142,97,1045,2130,552,158000,0,0,0,2325,1296,10184,9,16117,1532,3263,71,5165,4585,822,423,38,035,010300
"Census Tract 104, Grand Forks County, North Dakota",1400000US38035010400,5563,25.0,4571,123,272,225,13,0,2814,2625,948,1677,3105,452,160400,0,0,0,5563,1659,24210,26,42392,2913,2262,161,4290,4057,2483,862,38,035,010400
"Census Tract 106, Grand Forks County, North Dakota",1400000US38035010600,2055,32.1,1875,88,53,0,0,0,1129,1052,286,766,1178,224,166400,0,0,0,2025,398,28081,36,38571,1244,772,27,1406,1374,1162,376,38,035,010600
"Census Tract 107, Grand Forks County, North Dakota",1400000US38035010700,2065,29.9,2025,10,1,0,0,21,916,916,528,388,776,128,124100,0,0,0,2034,288,24283,0,51722,1257,747,29,1489,1433,1076,227,38,035,010700
"Census Tract 108.01, Grand Forks County, North Dakota",1400000US38035010801,4780,33.5,4336,72,63,159,0,68,2130,2071,933,1138,2139,404,227300,0,0,0,4558,994,34257,125,50760,2929,1540,49,3021,2800,1866,887,38,035,010801
"Census Tract 108.03, Grand Forks County, North Dakota",1400000US38035010803,5879,29.3,4771,451,20,124,0,26,3219,2949,937,2012,3988,364,149700,0,0,0,5830,1511,27228,45,41493,3440,2094,67,3821,3436,2784,744,38,035,010803
