NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B25075_026E,B25075_027E,B15003_001E,B15003_022E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,state,county,tract
"Census Tract 1, Aleutians East Borough, Alaska",1400000US02013000100,3299,42.8,630,231,1119,974,36,134,1005,788,443,345,703,33,124500,443,0,0,0,2545,250,3291,510,31025,788,33,65926,3299,1215,647,95,2672,1279,02,013,000100
"Census Tract 1, Aleutians West Census Area, Alaska",1400000US02016000100,1004,38.3,275,34,539,48,37,33,791,248,137,111,298,29,82500,137,0,0,0,710,58,851,122,34065,248,7,59167,1004,576,345,13,757,607,02,016,000100
"Census Tract 2, Aleutians West Census Area, Alaska",1400000US02016000200,4710,37.5,1488,281,206,2038,106,313,1167,938,199,739,2578,299,339900,199,0,0,0,3443,421,4693,304,35299,938,90,92083,4710,544,1856,275,3732,1469,02,016,000200
"Census Tract 1.01, Anchorage Municipality, Alaska",1400000US02020000101,5947,33.5,4927,0,239,76,0,74,2041,1927,1414,513,1791,43,338300,1414,0,0,0,3912,805,5938,549,43224,1927,173,101420,5947,2213,3592,111,3796,3577,02,020,000101
"Census Tract 1.02, Anchorage Municipality, Alaska",1400000US02020000102,5146,37.0,3931,71,207,381,0,33,2075,1925,1519,406,841,163,323500,1519,0,0,14,3503,730,5141,366,37824,1925,117,76690,5146,1963,2883,193,3425,3294,02,020,000102
"Census Tract 2.01, Anchorage Municipality, Alaska",1400000US02020000201,4860,26.6,3628,164,81,444,0,10,1698,1578,960,618,1832,242,278500,960,0,0,0,2620,595,4860,223,35058,1578,73,93636,4860,1733,2677,43,2911,2535,02,020,000201
"Census Tract 2.02, Anchorage Municipality, Alaska",1400000US02020000202,6395,34.9,5461,0,375,103,151,16,2359,2212,1670,542,1343,308,313200,1670,0,0,16,4187,1048,6359,247,40624,2212,199,98477,6395,2140,4078,57,3893,3433,02,020,000202
"Census Tract 2.03, Anchorage Municipality, Alaska",1400000US02020000203,11970,30.4,10083,142,221,324,0,53,3721,3650,2763,887,3149,432,342700,2763,15,0,0,6922,2068,11970,305,37019,3650,322,111148,11970,3809,7294,366,7594,7144,02,020,000203
"Census Tract 2.04, Anchorage Municipality, Alaska",1400000US02020000204,3650,40.1,3127,39,250,30,7,4,1168,1091,966,125,485,191,367400,966,0,0,0,2643,808,3140,79,43509,1091,173,118575,3650,1182,2124,199,2568,2407,02,020,000204
"Census Tract 3, Anchorage Municipality, Alaska",1400000US02020000300,8648,22.3,6338,869,160,110,65,563,2072,1992,30,1962,6509,597,-666666666,30,0,0,0,3165,525,6559,360,20503,1992,9,53788,8648,1087,6851,336,5771,4983,02,020,000300
"Census Tract 4, Anchorage Municipality, Alaska",1400000US02020000400,5163,22.4,3237,962,16,251,112,168,1493,1387,0,1387,4329,294,-666666666,0,0,0,0,2012,400,4329,235,21268,1387,7,59072,5163,544,3866,525,3442,3037,02,020,000400
"Census Tract 5, Anchorage Municipality, Alaska",1400000US02020000500,1869,34.3,1079,140,238,167,60,16,1049,907,200,707,1470,125,355600,200,0,0,0,1226,243,1869,182,35348,907,30,53233,1869,727,834,33,1283,1072,02,020,000500
"Census Tract 6, Anchorage Municipality, Alaska",1400000US02020000600,5948,28.3,1731,594,537,626,1122,208,2544,2239,572,1667,4606,686,193300,572,0,0,0,3416,373,5838,1564,20269,2239,13,36797,5948,2583,2227,231,3616,2087,02,020,000600
"Census Tract 7.01, Anchorage Municipality, Alaska",1400000US02020000701,6157,28.9,3384,580,702,527,315,5,2229,2018,1103,915,2775,339,253100,1103,0,0,17,3876,505,6070,290,31907,2018,156,72714,6157,2213,3250,159,3981,3281,02,020,000701
"Census Tract 7.02, Anchorage Municipality, Alaska",1400000US02020000702,5616,25.8,2962,811,400,764,214,35,1902,1772,796,976,3063,859,275600,796,0,0,0,2928,375,5559,955,28930,1772,123,69115,5616,2167,2794,144,3770,2993,02,020,000702
"Census Tract 7.03, Anchorage Municipality, Alaska",1400000US02020000703,5459,26.9,1702,448,568,1514,425,3,1955,1659,581,1078,3296,685,224100,581,0,0,0,3189,191,5376,903,20582,1659,35,58328,5459,1820,2297,330,3270,2444,02,020,000703
"Census Tract 8.01, Anchorage Municipality, Alaska",1400000US02020000801,7000,30.1,2148,675,1066,771,652,414,2548,2377,1245,1132,2864,333,230400,1245,0,0,0,3869,493,6950,1155,24418,2377,56,53917,7000,2727,3025,387,4394,3088,02,020,000801
"Census Tract 8.02, Anchorage Municipality, Alaska",1400000US02020000802,4757,29.2,2366,473,889,406,237,110,1958,1731,855,876,2135,261,122300,855,0,0,0,2932,483,4745,580,26506,1731,37,55164,4757,1957,2081,107,3428,2794,02,020,000802
"Census Tract 9.01, Anchorage Municipality, Alaska",1400000US02020000901,5401,28.1,1634,809,1054,473,397,217,1625,1457,387,1070,3283,538,118800,387,0,0,0,3150,222,4562,1137,22212,1457,46,38943,5401,2558,1799,291,3559,2333,02,020,000901
"Census Tract 9.02, Anchorage Municipality, Alaska",1400000US02020000902,2913,35.4,1354,348,147,350,246,109,1534,1338,511,827,1765,326,250400,511,0,0,0,2044,344,2913,598,29200,1338,18,47808,2913,1003,1391,135,1630,1319,02,020,000902
"Census Tract 10, Anchorage Municipality, Alaska",1400000US02020001000,3332,43.1,2175,324,567,26,1,47,2174,1865,242,1623,2648,339,251800,242,0,0,0,2537,658,3313,650,40909,1865,86,44250,3332,1215,1784,108,2577,2238,02,020,001000
"Census Tract 11, Anchorage Municipality, Alaska",1400000US02020001100,924,37.7,507,90,196,40,0,1,450,381,79,302,421,101,428800,79,0,5,0,783,134,619,96,42600,381,44,36438,924,368,461,13,810,636,02,020,001100
"Census Tract 12, Anchorage Municipality, Alaska",1400000US02020001200,3947,44.3,3500,124,91,136,0,10,2138,1934,1097,837,1530,204,443300,1097,33,10,0,3177,1018,3803,214,61912,1934,279,88375,3947,1260,2306,31,2683,2406,02,020,001200
"Census Tract 13, Anchorage Municipality, Alaska",1400000US02020001300,3119,46.2,2752,10,127,53,0,1,1323,1172,1053,119,327,46,402600,1053,19,0,0,2311,740,3092,130,56707,1172,251,121417,3119,1243,1705,52,1896,1788,02,020,001300
"Census Tract 14, Anchorage Municipality, Alaska",1400000US02020001400,5127,35.0,2738,855,415,508,106,65,2604,2506,611,1895,3509,334,241800,611,0,0,0,3708,648,5079,987,34488,2506,62,49141,5127,1689,2717,69,3731,2959,02,020,001400
"Census Tract 15, Anchorage Municipality, Alaska",1400000US02020001500,5201,43.4,3544,121,117,405,288,86,2156,2047,1495,552,1306,13,343100,1495,0,0,0,3816,799,5142,204,48582,2047,274,91412,5201,1708,2699,178,3516,2877,02,020,001500
