NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B25075_026E,B25075_027E,B15003_001E,B15003_022E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,state,county,tract
"Census Tract 101, Barnstable County, Massachusetts",1400000US25001010100,2962,57.0,2517,88,10,88,0,45,4507,1802,1203,599,955,70,490400,1203,102,23,14,2702,745,2953,391,43984,1802,103,42228,2962,1289,1338,70,1893,1647,25,001,010100
"Census Tract 102.06, Barnstable County, Massachusetts",1400000US25001010206,3168,58.3,2940,78,0,58,0,1,4497,1562,1312,250,415,100,485300,1312,101,31,17,2605,670,3150,207,35042,1562,46,48452,3168,1506,1421,26,1564,1492,25,001,010206
"Census Tract 102.08, Barnstable County, Massachusetts",1400000US25001010208,1589,57.9,1563,11,9,0,0,0,3279,820,680,140,316,0,540500,680,14,0,29,1308,362,1589,172,36833,820,32,62051,1589,805,629,0,870,797,25,001,010208
"Census Tract 103.04, Barnstable County, Massachusetts",1400000US25001010304,2107,61.0,2072,0,0,35,0,0,2716,1085,881,204,351,38,480500,881,43,16,0,1771,536,2082,90,40259,1085,35,61138,2107,1075,932,11,1012,979,25,001,010304
"Census Tract 103.06, Barnstable County, Massachusetts",1400000US25001010306,2817,56.4,2636,71,0,21,0,42,3308,1326,1161,165,351,59,422300,1161,39,0,13,2252,632,2817,194,33373,1326,28,55455,2817,1479,1190,0,1632,1525,25,001,010306
"Census Tract 104, Barnstable County, Massachusetts",1400000US25001010400,3081,58.4,2906,158,0,17,0,0,2466,1514,1113,401,653,18,465700,1113,25,10,8,2589,754,3029,169,33054,1514,62,46741,3081,1652,1136,35,1748,1571,25,001,010400
"Census Tract 105, Barnstable County, Massachusetts",1400000US25001010500,2766,62.7,2705,8,0,23,0,30,2901,1357,1091,266,349,0,767500,1091,131,163,45,2270,749,2766,273,46926,1357,98,68508,2766,1450,1114,30,1151,1090,25,001,010500
"Census Tract 106, Barnstable County, Massachusetts",1400000US25001010600,3238,60.1,2975,221,0,21,0,0,2803,1434,1090,344,761,117,602600,1090,80,64,84,2587,871,3108,342,40391,1434,93,66852,3238,1635,1305,0,1507,1337,25,001,010600
"Census Tract 107, Barnstable County, Massachusetts",1400000US25001010700,2904,57.4,2752,64,0,22,0,0,4262,1338,1123,215,567,0,556300,1123,112,54,54,2339,675,2894,418,58127,1338,111,64375,2904,1806,925,25,1403,1344,25,001,010700
"Census Tract 108, Barnstable County, Massachusetts",1400000US25001010800,4860,55.9,4773,32,0,0,0,0,3663,2186,1951,235,513,0,452900,1951,0,26,51,3935,1531,4674,276,47463,2186,287,76768,4860,2980,1768,13,2713,2653,25,001,010800
"Census Tract 109, Barnstable County, Massachusetts",1400000US25001010900,5019,52.7,4808,59,0,56,30,6,4045,2094,1660,434,806,130,397400,1660,72,0,12,3751,930,4860,189,38453,2094,149,65231,5019,3041,1700,37,2622,2456,25,001,010900
"Census Tract 110.02, Barnstable County, Massachusetts",1400000US25001011002,4192,49.3,4060,14,0,0,0,44,3407,1728,1404,324,599,39,384000,1404,0,7,20,3125,688,4016,256,35682,1728,96,60044,4192,2984,1020,16,2239,2154,25,001,011002
"Census Tract 111, Barnstable County, Massachusetts",1400000US25001011100,4525,52.6,4328,13,14,157,13,0,3066,2105,1825,280,498,119,382200,1825,50,0,14,3532,938,4525,247,45052,2105,105,79766,4525,2894,1395,16,2495,2434,25,001,011100
"Census Tract 112, Barnstable County, Massachusetts",1400000US25001011200,3450,58.2,3215,163,0,0,0,24,3645,1643,1413,230,401,12,353900,1413,40,8,15,2733,668,3395,371,43284,1643,103,68617,3450,2160,943,57,1835,1744,25,001,011200
"Census Tract 113, Barnstable County, Massachusetts",1400000US25001011300,2804,61.8,2701,0,30,15,0,58,2830,1277,1159,118,159,0,543500,1159,47,36,8,2416,600,2804,145,43213,1277,140,69148,2804,1959,686,33,1296,1168,25,001,011300
"Census Tract 114, Barnstable County, Massachusetts",1400000US25001011400,3148,64.4,3053,0,0,0,0,82,2841,1553,1343,210,432,26,423500,1343,0,0,8,2647,723,3135,432,42570,1553,76,61108,3148,2176,871,11,1318,1184,25,001,011400
"Census Tract 115, Barnstable County, Massachusetts",1400000US25001011500,3912,54.4,3505,232,0,89,0,29,2923,1865,1339,526,951,19,286100,1339,10,0,0,3125,561,3773,429,31619,1865,46,49335,3912,2699,841,43,2206,1968,25,001,011500
"Census Tract 116, Barnstable County, Massachusetts",1400000US25001011600,2313,54.1,2082,167,0,0,0,12,4921,1293,875,418,781,119,314800,875,0,0,10,1958,359,2313,182,35368,1293,29,46813,2313,1545,479,19,1354,1161,25,001,011600
"Census Tract 117, Barnstable County, Massachusetts",1400000US25001011700,1890,56.1,1820,5,0,10,0,0,2770,945,738,207,428,0,413900,738,63,10,6,1567,422,1890,219,48683,945,98,60903,1890,1327,482,9,1026,924,25,001,011700
"Census Tract 118.01, Barnstable County, Massachusetts",1400000US25001011801,2439,67.6,2235,11,0,193,0,0,1662,1325,1179,146,293,12,376400,1179,42,0,0,2204,537,2439,119,47332,1325,101,55507,2439,1350,844,52,932,790,25,001,011801
"Census Tract 118.02, Barnstable County, Massachusetts",1400000US25001011802,4028,51.6,3792,62,0,41,0,6,2344,1753,1599,154,407,20,334900,1599,0,7,0,3056,839,4028,287,36595,1753,56,65806,4028,2708,1076,53,2042,1874,25,001,011802
"Census Tract 120.01, Barnstable County, Massachusetts",1400000US25001012001,5767,52.7,5632,7,0,33,0,15,3481,2672,2230,442,639,54,291200,2230,27,12,22,4618,804,5664,391,31477,2672,64,53739,5767,3726,1548,0,3115,2791,25,001,012001
"Census Tract 120.02, Barnstable County, Massachusetts",1400000US25001012002,2743,50.8,2364,27,0,198,0,114,3111,1346,698,648,1378,127,326900,698,6,19,16,2048,336,2731,468,31181,1346,53,44835,2743,1841,554,24,1573,1300,25,001,012002
