NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 1, Atlantic County, New Jersey",1400000US34001000100,2323,31.1,1033,613,5,429,0,148,951,815,276,539,1483,25,4,156,458,702,138,187500,9,0,5,2323,875,15390,9,34779,1242,201,67,1455,756,1151,150,34,001,000100
"Census Tract 2, Atlantic County, New Jersey",1400000US34001000200,3065,45.4,1909,282,0,638,0,121,1854,1375,659,716,1636,7,88,121,456,919,45,230800,19,19,10,3065,421,37627,72,42031,1023,849,80,2052,866,1717,486,34,001,000200
"Census Tract 3, Atlantic County, New Jersey",1400000US34001000300,4297,31.7,1878,458,53,1437,0,353,1655,1301,262,1039,3629,0,0,127,1150,2001,351,183300,5,0,0,4275,1372,15248,26,36991,1344,312,30,2861,504,2449,595,34,001,000300
"Census Tract 4, Atlantic County, New Jersey",1400000US34001000400,2903,46.9,1710,178,4,677,0,237,2189,1243,395,848,2072,0,27,94,763,908,280,169600,10,0,0,2877,890,27139,96,26720,877,702,31,1988,724,1775,310,34,001,000400
"Census Tract 5, Atlantic County, New Jersey",1400000US34001000500,3381,30.8,1314,140,0,1300,0,481,1054,914,411,503,1806,27,0,143,336,1132,168,154400,6,0,0,3368,1204,13306,12,35255,1251,247,65,2154,462,1727,202,34,001,000500
"Census Tract 11, Atlantic County, New Jersey",1400000US34001001100,1884,36.2,165,1630,8,16,0,9,1093,974,119,855,1681,15,4,89,520,824,229,217400,0,0,0,1871,837,15929,5,16300,1431,345,21,1060,944,894,77,34,001,001100
"Census Tract 12, Atlantic County, New Jersey",1400000US34001001200,3193,34.9,401,2438,18,52,0,89,1498,1197,446,751,1814,24,58,93,774,797,68,170000,0,0,0,3170,1163,14368,7,23005,2182,685,20,1925,1672,1341,104,34,001,001200
"Census Tract 13, Atlantic County, New Jersey",1400000US34001001300,1653,35.9,108,1269,12,91,0,105,927,683,358,325,687,5,37,30,210,375,30,204500,0,5,12,1649,348,23846,8,35944,1068,371,20,1069,899,845,127,34,001,001300
"Census Tract 14, Atlantic County, New Jersey",1400000US34001001400,3890,25.8,805,2726,27,38,0,106,1701,1492,296,1196,3436,49,59,416,1146,1434,332,202000,0,7,0,3881,2173,13651,15,19072,2482,618,343,1940,1297,1677,232,34,001,001400
"Census Tract 15, Atlantic County, New Jersey",1400000US34001001500,1772,35.2,161,1431,17,44,0,18,863,756,99,657,1413,26,57,40,360,908,22,138700,0,0,0,1758,699,12274,0,18424,1141,431,46,942,817,726,78,34,001,001500
