NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9655, Barbour County, West Virginia",1400000US54001965500,4269,43.5,4256,13,0,0,0,0,1831,1406,1153,253,848,0,161,34,211,442,0,110900,0,0,0,4238,402,20093,15,41026,3435,828,6,2629,2597,2284,291,54,001,965500
"Census Tract 9656, Barbour County, West Virginia",1400000US54001965600,3912,34.8,3564,100,0,41,0,5,1835,1577,735,842,1686,57,6,60,489,939,135,92600,0,0,0,3451,1412,15387,0,21571,2543,1316,13,2566,2508,1736,313,54,001,965600
"Census Tract 9657, Barbour County, West Virginia",1400000US54001965700,4878,45.4,4738,0,116,24,0,0,2521,1834,1569,265,780,0,135,11,248,355,31,141500,0,0,0,4878,950,20900,10,39236,3881,961,36,2898,2875,2395,361,54,001,965700
"Census Tract 9658, Barbour County, West Virginia",1400000US54001965800,3833,39.4,3750,5,0,0,0,0,1656,1352,938,414,1118,68,21,36,239,578,176,69100,0,0,0,3747,893,17299,5,35455,3049,764,12,2221,2212,1865,207,54,001,965800
"Census Tract 9711.01, Berkeley County, West Virginia",1400000US54003971101,6351,34.9,5799,433,0,0,0,15,2439,2334,1859,475,1567,0,0,29,274,1157,107,184900,0,0,0,6317,689,28655,61,66393,1357,4636,77,3684,3368,3374,844,54,003,971101
"Census Tract 9711.02, Berkeley County, West Virginia",1400000US54003971102,8702,44.1,7970,445,0,36,0,74,3712,3396,2714,682,1841,0,0,0,786,993,62,187500,0,0,0,8654,1006,29393,89,67443,2049,6229,89,5643,5466,4918,998,54,003,971102
"Census Tract 9712.01, Berkeley County, West Virginia",1400000US54003971201,9961,38.4,8984,530,17,163,0,118,3905,3612,2999,613,1971,0,0,10,445,1184,332,206300,0,0,0,9888,816,32212,161,70038,2798,6399,222,5973,5737,5205,1738,54,003,971201
"Census Tract 9712.02, Berkeley County, West Virginia",1400000US54003971202,4677,48.0,4631,0,23,0,0,0,3199,2072,1763,309,593,0,0,9,259,325,0,170500,0,0,0,4677,228,32634,59,57500,1618,3030,22,3117,3012,2792,552,54,003,971202
"Census Tract 9713, Berkeley County, West Virginia",1400000US54003971300,9850,36.6,8149,936,0,167,0,241,3862,3731,2089,1642,3809,117,0,98,1046,1937,611,152500,0,0,0,9748,1939,22097,41,43693,3819,5657,96,6063,5700,5207,758,54,003,971300
"Census Tract 9714, Berkeley County, West Virginia",1400000US54003971400,10024,34.9,8636,637,9,178,0,201,3954,3609,2776,833,2411,0,179,0,167,1216,849,152200,0,11,0,9900,721,27716,69,62388,3975,5459,328,6081,5650,5437,1218,54,003,971400
