NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B25075_026E,B25075_027E,B15003_001E,B15003_022E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,state,county,tract
"Census Tract 3766, Adair County, Oklahoma",1400000US40001376600,2461,45.4,1537,0,616,20,0,65,1142,961,716,245,615,26,83200,716,4,0,0,1710,131,2454,564,17959,961,8,37344,2461,885,1515,16,1477,1390,40,001,376600
"Census Tract 3767, Adair County, Oklahoma",1400000US40001376700,5176,38.3,2675,40,1790,36,14,39,2297,1929,1385,544,1587,272,75700,1385,0,0,18,3301,347,5088,1553,17715,1929,26,33586,5176,2399,2698,21,2957,2835,40,001,376700
"Census Tract 3768, Adair County, Oklahoma",1400000US40001376800,4724,39.8,1864,24,2365,20,0,45,1952,1685,1377,308,853,27,80800,1377,7,0,0,3167,389,4713,1137,17527,1685,9,35199,4724,3549,1118,8,2788,2456,40,001,376800
"Census Tract 3769, Adair County, Oklahoma",1400000US40001376900,4630,32.0,1555,1,2270,48,8,85,1910,1628,722,906,2577,281,75300,722,0,0,0,2846,275,4521,1696,13302,1628,0,25139,4630,3130,1230,31,2614,2100,40,001,376900
"Census Tract 3770, Adair County, Oklahoma",1400000US40001377000,5170,34.7,1987,14,2611,12,0,42,1946,1673,1310,363,1307,48,72600,1310,0,7,0,3215,274,5130,1645,14448,1673,6,33944,5170,3628,1434,10,3207,2710,40,001,377000
"Census Tract 9556, Alfalfa County, Oklahoma",1400000US40003955600,1485,42.2,1236,0,16,0,0,21,987,605,450,155,463,30,73300,450,0,0,0,1044,166,1439,156,39040,605,50,55125,1485,887,541,4,862,813,40,003,955600
"Census Tract 9557, Alfalfa County, Oklahoma",1400000US40003955700,1359,47.5,1138,0,3,0,0,15,728,608,438,170,282,55,68500,438,0,0,0,977,207,1317,204,36753,608,20,50625,1359,883,464,12,846,823,40,003,955700
"Census Tract 9560, Alfalfa County, Oklahoma",1400000US40003956000,2940,43.4,2026,125,66,0,0,74,1027,815,611,204,475,26,62300,611,0,2,0,2265,277,1973,229,17999,815,10,52321,2940,1945,884,9,1880,1672,40,003,956000
"Census Tract 5876, Atoka County, Oklahoma",1400000US40005587600,1792,40.0,1206,121,295,0,0,14,737,522,428,94,243,20,87200,428,8,2,8,1365,102,1277,132,16889,522,14,43333,1792,1232,552,4,1199,1136,40,005,587600
"Census Tract 5877, Atoka County, Oklahoma",1400000US40005587700,3856,41.1,2800,214,483,76,0,93,2017,1696,992,704,1455,191,85000,992,0,0,0,2523,282,3757,1214,18363,1696,46,29595,3856,2731,987,30,2221,2130,40,005,587700
"Census Tract 5878, Atoka County, Oklahoma",1400000US40005587800,3505,42.8,2654,4,537,0,0,7,1694,1457,1156,301,779,105,98300,1156,29,6,0,2377,310,3505,673,20886,1457,13,39225,3505,2347,1122,9,1913,1848,40,005,587800
"Census Tract 5879, Atoka County, Oklahoma",1400000US40005587900,4694,39.3,3514,198,576,8,12,33,1891,1523,1203,320,799,38,103600,1203,15,0,0,3310,285,3690,671,19389,1523,48,40095,4694,3054,1574,6,2943,2818,40,005,587900
"Census Tract 9516, Beaver County, Oklahoma",1400000US40007951600,2469,40.1,1936,0,12,0,0,505,1134,890,702,188,615,82,101300,702,5,0,0,1571,191,2469,249,24815,890,26,54107,2469,923,1249,26,1500,1170,40,007,951600
"Census Tract 9517, Beaver County, Oklahoma",1400000US40007951700,1332,41.4,1268,0,5,0,0,54,711,547,454,93,301,11,114100,454,5,4,0,952,257,1325,170,29423,547,16,53603,1332,693,613,0,735,699,40,007,951700
"Census Tract 9518, Beaver County, Oklahoma",1400000US40007951800,1678,42.1,1300,9,10,0,0,343,821,650,456,194,375,84,82100,456,0,0,0,1113,165,1599,128,27436,650,21,52031,1678,693,702,42,900,624,40,007,951800
"Census Tract 9661, Beckham County, Oklahoma",1400000US40009966100,8563,31.8,7222,211,51,10,0,332,3431,2681,1688,993,3144,726,137900,1688,0,0,0,5451,674,8460,1541,22183,2681,117,46306,8563,5291,3114,96,5295,4825,40,009,966100
"Census Tract 9662, Beckham County, Oklahoma",1400000US40009966200,6325,35.4,5444,48,101,156,11,94,3005,2240,1497,743,1697,111,152000,1497,0,0,17,4008,601,6125,259,35811,2240,208,65272,6325,4222,1783,0,3455,3113,40,009,966200
"Census Tract 9665, Beckham County, Oklahoma",1400000US40009966500,2205,37.8,2062,0,0,1,0,12,947,722,486,236,942,67,76700,486,0,0,0,1445,172,2172,575,20179,722,18,39667,2205,1432,745,0,1170,1113,40,009,966500
"Census Tract 9668, Beckham County, Oklahoma",1400000US40009966800,6197,37.2,4795,551,110,31,8,298,2522,1865,1117,748,1804,22,81700,1117,0,0,10,4411,388,4829,655,20584,1865,60,42207,6197,3317,2569,11,4470,3772,40,009,966800
"Census Tract 9586, Blaine County, Oklahoma",1400000US40011958600,1446,40.6,1304,4,42,0,0,31,730,619,502,117,221,3,75400,502,0,0,0,894,147,1402,160,20600,619,0,41639,1446,1185,221,0,698,640,40,011,958600
"Census Tract 9587, Blaine County, Oklahoma",1400000US40011958700,1305,45.7,1163,0,45,9,0,0,1052,613,486,127,260,1,67700,486,0,0,0,930,125,1305,162,25108,613,10,43550,1305,981,309,1,674,662,40,011,958700
"Census Tract 9588, Blaine County, Oklahoma",1400000US40011958800,1106,48.8,1014,0,7,0,0,6,614,488,443,45,139,2,78200,443,5,19,7,777,92,1102,220,29462,488,36,51250,1106,899,178,5,588,577,40,011,958800
"Census Tract 9589, Blaine County, Oklahoma",1400000US40011958900,4177,39.7,2760,470,224,17,0,442,1604,1303,896,407,747,63,86600,896,0,0,0,3271,273,2625,399,16590,1303,0,50328,4177,2234,1551,16,2955,2401,40,011,958900
"Census Tract 9590, Blaine County, Oklahoma",1400000US40011959000,1743,37.7,1377,36,212,3,0,15,834,686,461,225,557,25,95000,461,0,0,0,1093,227,1671,203,22600,686,24,41351,1743,1301,409,4,912,876,40,011,959000
"Census Tract 7956, Bryan County, Oklahoma",1400000US40013795600,2560,44.8,1940,0,449,6,0,40,1250,981,741,240,611,14,89000,741,3,0,0,1769,216,2534,438,24656,981,35,44489,2560,1264,1235,18,1396,1364,40,013,795600
"Census Tract 7957, Bryan County, Oklahoma",1400000US40013795700,3794,39.0,2886,40,690,5,0,36,1673,1438,1051,387,1118,254,77500,1051,0,0,0,2600,392,3728,580,19783,1438,15,38720,3794,2186,1517,36,2126,2060,40,013,795700
"Census Tract 7959, Bryan County, Oklahoma",1400000US40013795900,1529,48.2,1174,85,226,0,0,1,788,654,546,108,268,6,77800,546,0,0,0,1143,168,1528,204,23969,654,4,37763,1529,583,941,2,951,942,40,013,795900
"Census Tract 7960.01, Bryan County, Oklahoma",1400000US40013796001,6133,42.3,4833,7,1180,0,0,17,2899,2248,1837,411,1158,220,105800,1837,0,0,0,4280,598,6127,746,24102,2248,64,48550,6133,3582,2455,63,3650,3596,40,013,796001
"Census Tract 7960.02, Bryan County, Oklahoma",1400000US40013796002,4746,36.8,3415,45,935,34,0,56,1907,1727,1254,473,1265,204,93300,1254,0,0,0,3239,568,4671,551,24502,1727,45,44792,4746,2596,2070,35,2820,2657,40,013,796002
"Census Tract 7961, Bryan County, Oklahoma",1400000US40013796100,8850,35.0,6708,112,1032,148,0,228,3968,3523,2128,1395,3460,453,143400,2128,0,0,27,5689,1182,8778,1607,24340,3523,107,44503,8850,5002,3584,38,5094,4746,40,013,796100
"Census Tract 7962, Bryan County, Oklahoma",1400000US40013796200,4535,25.8,3192,221,700,18,0,239,1950,1575,439,1136,2627,269,94700,439,6,10,0,2359,406,3613,1020,14133,1575,0,31023,4535,2440,1852,36,3083,2689,40,013,796200
"Census Tract 7963, Bryan County, Oklahoma",1400000US40013796300,2020,30.3,1388,47,329,0,0,81,818,689,308,381,1125,191,78500,308,0,0,0,1298,185,1877,421,17076,689,10,36442,2020,1016,882,11,1344,1218,40,013,796300
"Census Tract 7964, Bryan County, Oklahoma",1400000US40013796400,2245,29.5,1340,22,480,6,0,193,918,764,222,542,1647,258,51700,222,0,0,0,1316,78,2230,811,12283,764,7,27240,2245,1232,895,0,1525,1362,40,013,796400
"Census Tract 7965, Bryan County, Oklahoma",1400000US40013796500,2290,42.4,1615,8,451,0,11,78,1085,922,604,318,846,170,82600,604,0,0,0,1659,118,2285,475,17853,922,0,33684,2290,1107,1104,12,1426,1308,40,013,796500
"Census Tract 7966, Bryan County, Oklahoma",1400000US40013796600,5827,44.0,4756,254,551,18,0,116,2655,2112,1611,501,1564,84,80600,1611,0,0,2,4136,289,5716,698,21607,2112,9,38707,5827,2649,3123,22,3161,3072,40,013,796600
"Census Tract 1616, Caddo County, Oklahoma",1400000US40015161600,6582,36.4,5247,239,387,24,0,362,2430,2065,1521,544,1620,148,99000,1521,8,3,3,4473,428,5726,738,21432,2065,36,51597,6582,4534,1437,57,4129,3417,40,015,161600
"Census Tract 1617, Caddo County, Oklahoma",1400000US40015161700,1783,41.9,1563,0,62,0,0,49,881,684,460,224,576,38,73800,460,4,0,0,1225,176,1783,289,22893,684,13,43382,1783,1252,421,15,1055,918,40,015,161700
"Census Tract 1618, Caddo County, Oklahoma",1400000US40015161800,3478,38.3,2136,26,714,0,0,301,1961,1310,914,396,1021,110,66500,914,0,0,0,2333,215,3409,849,17463,1310,0,30694,3478,2612,673,6,2009,1691,40,015,161800
"Census Tract 1619, Caddo County, Oklahoma",1400000US40015161900,1517,42.1,1106,34,277,0,0,18,839,590,453,137,369,42,74400,453,2,0,0,1018,122,1494,340,20989,590,10,35625,1517,1224,269,0,857,816,40,015,161900
"Census Tract 1620, Caddo County, Oklahoma",1400000US40015162000,3273,43.3,2160,39,906,0,0,26,1585,1224,1034,190,515,82,88800,1034,5,0,0,2256,280,3270,412,24389,1224,32,47961,3273,2858,396,2,1900,1807,40,015,162000
"Census Tract 1621, Caddo County, Oklahoma",1400000US40015162100,7502,33.2,2586,350,3425,85,0,237,2904,2373,1321,1052,3121,201,65200,1321,0,0,0,4605,582,7315,2406,19032,2373,79,31019,7502,5682,1594,43,4328,3829,40,015,162100
"Census Tract 1622, Caddo County, Oklahoma",1400000US40015162200,2520,43.5,1464,24,905,0,12,32,1240,1025,763,262,661,46,80600,763,0,16,0,1650,244,2502,414,21296,1025,14,38713,2520,2063,386,20,1454,1336,40,015,162200
"Census Tract 1623, Caddo County, Oklahoma",1400000US40015162300,2855,37.3,2281,38,426,4,11,7,1368,1097,766,331,853,92,80100,766,0,0,0,1913,222,2828,435,18982,1097,8,41384,2855,2184,615,33,1730,1618,40,015,162300
"Census Tract 3001, Canadian County, Oklahoma",1400000US40017300100,2841,40.9,2367,37,312,7,4,39,1555,995,794,201,610,61,98300,794,0,0,5,1952,229,2841,546,26501,995,30,58021,2841,2089,671,8,1661,1596,40,017,300100
"Census Tract 3002.01, Canadian County, Oklahoma",1400000US40017300201,6018,34.9,5371,73,85,26,0,236,2019,1870,1694,176,581,57,185600,1694,5,0,0,3545,801,5991,245,33259,1870,123,76688,6018,4044,1792,39,3512,3313,40,017,300201
"Census Tract 3002.02, Canadian County, Oklahoma",1400000US40017300202,5014,40.0,4292,94,272,5,2,51,1865,1632,1359,273,975,191,135500,1359,14,0,0,3311,415,4951,542,26348,1632,53,60804,5014,3744,1192,5,3058,2929,40,017,300202
"Census Tract 3003, Canadian County, Oklahoma",1400000US40017300300,4001,28.9,2897,73,293,0,0,671,1390,1176,627,549,2220,268,86600,627,0,0,0,2471,145,3931,681,18074,1176,0,44441,4001,2407,1097,26,2458,1903,40,017,300300
"Census Tract 3004, Canadian County, Oklahoma",1400000US40017300400,1111,36.0,360,382,68,29,0,198,492,384,207,177,371,94,71200,207,0,0,0,740,30,1042,291,16736,384,0,35081,1111,704,364,0,687,587,40,017,300400
"Census Tract 3005, Canadian County, Oklahoma",1400000US40017300500,3806,30.9,2413,208,406,16,0,377,1495,1267,633,634,2152,154,70800,633,0,0,0,2267,145,3806,1063,17816,1267,25,41707,3806,2593,944,0,2219,1925,40,017,300500
"Census Tract 3006, Canadian County, Oklahoma",1400000US40017300600,3321,36.4,2669,0,360,98,6,44,1482,1302,908,394,735,177,103000,908,0,0,0,2236,356,3321,173,31520,1302,47,53125,3321,2129,1077,23,1898,1709,40,017,300600
"Census Tract 3007, Canadian County, Oklahoma",1400000US40017300700,6036,41.6,4408,548,549,17,0,255,1806,1628,1263,365,894,112,140600,1263,0,0,0,4521,583,4648,457,24069,1628,59,60321,6036,3577,2247,40,3894,3363,40,017,300700
