NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B25075_026E,B25075_027E,B15003_001E,B15003_022E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,state,county,tract
"Census Tract 9601, Adair County, Iowa",1400000US19001960100,2847,42.8,2802,20,1,4,0,3,1297,1191,911,280,750,85,112700,911,3,0,0,1976,243,2684,202,26008,1191,36,47375,2847,2505,309,1,1563,1530,19,001,960100
"Census Tract 9602, Adair County, Iowa",1400000US19001960200,1557,49.5,1506,0,0,10,0,0,843,698,588,110,198,9,104200,588,0,0,0,1187,233,1557,135,30654,698,11,57667,1557,1303,231,13,903,892,19,001,960200
"Census Tract 9603, Adair County, Iowa",1400000US19001960300,2926,47.4,2880,1,0,21,0,5,1531,1339,983,356,682,43,84200,983,0,0,0,2112,215,2849,350,26918,1339,29,44034,2926,2535,337,5,1624,1570,19,001,960300
"Census Tract 9501, Adams County, Iowa",1400000US19003950100,1656,46.8,1611,0,4,21,0,0,845,726,530,196,479,42,107000,530,0,0,6,1164,138,1656,79,29052,726,17,50526,1656,1364,271,0,915,911,19,003,950100
"Census Tract 9502, Adams County, Iowa",1400000US19003950200,2166,47.6,2109,19,0,12,0,3,1159,955,713,242,447,21,79900,713,0,0,4,1584,188,2096,289,25416,955,12,46736,2166,1678,473,0,1260,1241,19,003,950200
"Census Tract 9601, Allamakee County, Iowa",1400000US19005960100,1900,50.5,1861,2,3,15,0,0,1320,854,689,165,344,34,135700,689,3,0,0,1469,182,1847,107,29390,854,29,51226,1900,1020,859,3,1064,1012,19,005,960100
"Census Tract 9602, Allamakee County, Iowa",1400000US19005960200,2641,43.3,2592,0,0,13,0,0,1236,1140,912,228,482,57,136500,912,8,0,0,1904,312,2624,218,27655,1140,17,52628,2641,1432,1193,0,1462,1460,19,005,960200
"Census Tract 9603, Allamakee County, Iowa",1400000US19005960300,3906,46.2,3790,0,0,0,0,20,1976,1845,1394,451,709,81,94000,1394,0,0,9,2789,355,3773,336,26234,1845,37,41577,3906,2858,1048,0,2208,2182,19,005,960300
"Census Tract 9604, Allamakee County, Iowa",1400000US19005960400,2313,51.0,2274,23,2,3,0,3,1798,989,905,84,187,26,146600,905,6,0,5,1729,176,2232,188,31646,989,55,55404,2313,1662,622,1,1402,1257,19,005,960400
"Census Tract 9605, Allamakee County, Iowa",1400000US19005960500,3241,35.3,2980,93,27,30,2,41,1310,1207,824,383,1074,215,102100,824,7,0,0,1963,180,3163,539,22792,1207,10,47344,3241,1912,734,19,1762,1177,19,005,960500
