NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B25075_026E,B25075_027E,B15003_001E,B15003_022E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,state,county,tract
"Census Tract 9501, Churchill County, Nevada",1400000US32001950100,2416,45.5,2156,36,23,62,7,107,1020,869,622,247,746,34,151300,622,19,0,0,1693,204,2237,223,24034,869,6,58155,2416,601,1686,16,1494,1314,32,001,950100
"Census Tract 9503.01, Churchill County, Nevada",1400000US32001950301,3889,32.8,2928,88,222,190,0,55,1881,1673,549,1124,2517,669,100900,549,0,0,0,2469,192,3800,1225,17986,1673,0,29258,3889,1342,2312,7,2358,2114,32,001,950301
"Census Tract 9503.02, Churchill County, Nevada",1400000US32001950302,5039,36.5,4199,328,58,105,38,116,2407,2142,885,1257,3301,435,142600,885,0,0,0,3527,454,4976,940,23533,2142,0,40556,5039,1452,3207,19,3227,2680,32,001,950302
"Census Tract 9504, Churchill County, Nevada",1400000US32001950400,794,24.2,574,103,0,40,0,27,265,244,12,232,726,97,-666666666,12,0,0,0,376,64,745,24,15113,244,0,38333,794,121,602,0,491,383,32,001,950400
"Census Tract 9505, Churchill County, Nevada",1400000US32001950500,1696,34.8,822,1,716,20,13,55,710,656,434,222,580,35,88900,434,6,0,0,1051,112,1686,517,17461,656,0,36625,1696,946,692,8,1014,914,32,001,950500
"Census Tract 9506, Churchill County, Nevada",1400000US32001950600,4610,45.6,3778,14,67,165,0,396,2048,1748,1437,311,944,227,178300,1437,0,0,0,3254,402,4538,530,29234,1748,23,59927,4610,1429,2679,33,2620,2244,32,001,950600
"Census Tract 9507, Churchill County, Nevada",1400000US32001950700,5704,45.5,5249,0,93,12,0,195,2352,2159,1820,339,767,178,170600,1820,17,0,0,3976,490,5704,392,27241,2159,80,52829,5704,1794,3621,101,3105,2901,32,001,950700
"Census Tract 1.01, Clark County, Nevada",1400000US32003000101,7306,33.7,4122,639,104,191,232,1828,2074,1861,1370,491,2309,137,124200,1370,0,0,0,4370,320,7262,1281,18409,1861,65,47018,7306,2134,2887,78,4423,1928,32,003,000101
"Census Tract 1.03, Clark County, Nevada",1400000US32003000103,5843,29.6,2893,621,183,122,0,1837,1988,1841,673,1168,3866,339,107900,673,0,7,0,3413,177,5836,1213,15914,1841,19,31985,5843,1968,2110,64,3666,1488,32,003,000103
"Census Tract 1.05, Clark County, Nevada",1400000US32003000105,3944,35.7,2362,67,100,64,0,903,1337,1123,813,310,1256,28,95900,813,0,0,0,2558,129,3944,532,20059,1123,0,57589,3944,896,1698,20,2536,1199,32,003,000105
"Census Tract 1.06, Clark County, Nevada",1400000US32003000106,4617,44.6,2936,506,83,216,210,554,2152,1976,573,1403,3170,450,128100,573,0,0,0,3449,397,4617,1467,16076,1976,0,28214,4617,703,2536,73,2622,1229,32,003,000106
"Census Tract 1.07, Clark County, Nevada",1400000US32003000107,3553,38.4,2074,481,1,372,97,495,1615,1319,416,903,2212,394,99000,416,0,0,0,2488,158,3553,616,18959,1319,10,37165,3553,910,1592,17,2253,1188,32,003,000107
"Census Tract 1.08, Clark County, Nevada",1400000US32003000108,3891,31.5,2244,390,31,27,14,1179,1182,1084,529,555,2351,666,84400,529,0,0,0,2235,63,3788,833,13385,1084,0,39583,3891,1414,1090,0,2205,841,32,003,000108
"Census Tract 1.09, Clark County, Nevada",1400000US32003000109,4052,36.5,2212,396,66,68,8,1139,1422,1235,660,575,1929,74,107700,660,0,0,0,2566,204,4052,820,17649,1235,0,47528,4052,983,1797,68,2674,1184,32,003,000109
"Census Tract 2.01, Clark County, Nevada",1400000US32003000201,4205,36.4,1150,1544,0,248,0,906,1793,1521,504,1017,2847,194,109300,504,0,0,0,2933,180,4191,1310,20111,1521,38,30917,4205,1347,1583,80,2464,1543,32,003,000201
"Census Tract 2.03, Clark County, Nevada",1400000US32003000203,4065,37.0,2188,734,18,341,20,612,1906,1454,352,1102,2973,251,165800,352,0,0,0,2744,341,3912,1413,19895,1454,56,32415,4065,1136,2014,72,2584,1559,32,003,000203
"Census Tract 2.04, Clark County, Nevada",1400000US32003000204,1157,44.7,761,42,2,194,10,86,401,370,321,49,214,0,244800,321,9,0,6,835,198,1031,145,44268,370,33,69643,1157,244,683,2,671,451,32,003,000204
"Census Tract 3.01, Clark County, Nevada",1400000US32003000301,2535,44.4,798,1222,0,64,15,378,1173,818,300,518,1335,77,88200,300,0,0,0,1882,83,2535,1011,13573,818,0,26447,2535,848,1182,27,1852,1238,32,003,000301
"Census Tract 3.02, Clark County, Nevada",1400000US32003000302,4887,28.5,1068,2868,17,70,183,516,1698,1547,393,1154,3255,177,105000,393,0,0,0,2758,124,4887,2236,11971,1547,0,20970,4887,2248,1800,108,2873,2118,32,003,000302
