NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9601, Addison County, Vermont",1400000US50001960100,3854,42.3,3720,15,12,34,0,24,1653,1472,1269,203,556,13,2,36,126,324,55,241400,17,7,0,3835,269,33507,67,73056,2293,1369,51,2529,2477,2263,984,50,001,960100
"Census Tract 9602, Addison County, Vermont",1400000US50001960200,2750,44.1,2703,6,2,0,0,0,1548,1155,920,235,489,0,0,37,126,247,79,273500,9,0,0,2750,109,39289,73,65956,1625,1049,5,1786,1684,1502,601,50,001,960200
"Census Tract 9603, Addison County, Vermont",1400000US50001960300,2631,44.5,2489,45,27,36,0,4,1211,1165,726,439,843,0,56,25,242,374,146,205900,0,0,13,2578,297,26109,0,53080,1656,858,16,1716,1644,1474,501,50,001,960300
"Census Tract 9604, Addison County, Vermont",1400000US50001960400,5004,45.6,4923,7,24,3,0,0,2301,2056,1720,336,774,20,14,21,240,433,46,246300,7,0,9,4969,264,35031,113,70729,3101,1637,36,3124,2962,2799,1012,50,001,960400
"Census Tract 9605, Addison County, Vermont",1400000US50001960500,3907,44.4,3819,43,0,31,0,0,1603,1541,1024,517,1295,0,13,37,463,721,61,217200,0,0,0,3880,274,25847,38,53662,2691,1119,3,2385,2364,2113,539,50,001,960500
"Census Tract 9606, Addison County, Vermont",1400000US50001960600,2623,48.2,2541,0,18,20,0,16,1548,1152,947,205,420,10,21,15,170,178,26,219700,0,4,0,2603,257,32195,40,59150,1387,1157,37,1691,1649,1533,671,50,001,960600
"Census Tract 9607, Addison County, Vermont",1400000US50001960700,3916,48.6,3508,124,0,177,0,11,1880,1812,1078,734,1424,27,57,47,261,900,132,233400,9,0,0,3897,541,32264,93,48269,1856,1803,47,2318,2165,2100,849,50,001,960700
"Census Tract 9608, Addison County, Vermont",1400000US50001960800,4625,21.4,3952,84,0,341,0,50,1241,974,388,586,1125,0,15,98,214,652,146,310900,0,0,0,2044,335,18399,32,57083,1035,3159,72,3699,3044,1121,487,50,001,960800
"Census Tract 9609, Addison County, Vermont",1400000US50001960900,5270,46.0,5027,76,18,53,0,20,2632,2153,1725,428,1049,35,59,29,255,594,77,237400,35,2,5,5262,440,32184,90,62686,3010,1916,41,3201,2990,2794,938,50,001,960900
"Census Tract 9610, Addison County, Vermont",1400000US50001961000,2346,47.2,2280,11,11,12,0,0,1354,949,774,175,401,21,0,3,126,215,36,234200,0,0,3,2301,169,28050,11,59663,1527,744,6,1486,1455,1272,304,50,001,961000
"Census Tract 9702, Bennington County, Vermont",1400000US50003970200,2055,52.8,2040,0,0,12,0,0,1479,936,809,127,230,6,6,69,52,91,6,350000,40,6,5,2055,85,41799,73,74615,665,1290,53,1087,1079,970,490,50,003,970200
"Census Tract 9703, Bennington County, Vermont",1400000US50003970300,1000,53.4,965,5,0,8,0,4,806,455,386,69,162,0,25,20,63,42,12,237500,2,0,2,989,94,30747,15,55694,422,549,4,584,557,521,167,50,003,970300
"Census Tract 9704, Bennington County, Vermont",1400000US50003970400,4331,47.0,4269,6,10,15,0,0,2715,1963,1353,610,1354,0,11,6,129,1193,15,281700,14,27,0,4283,246,36655,167,44794,1814,2415,14,2440,2222,2029,726,50,003,970400
"Census Tract 9705, Bennington County, Vermont",1400000US50003970500,1040,56.3,1028,5,0,1,0,0,2684,537,462,75,116,0,0,18,23,75,0,337100,19,3,0,1030,61,43808,32,58438,274,690,17,525,493,486,176,50,003,970500
"Census Tract 9706, Bennington County, Vermont",1400000US50003970600,3057,51.6,3005,2,1,2,0,0,2008,1391,1187,204,377,23,7,8,49,264,26,198100,0,2,0,3050,330,31180,36,54453,928,2058,13,1885,1833,1688,525,50,003,970600
"Census Tract 9707, Bennington County, Vermont",1400000US50003970700,2572,48.9,2503,3,0,8,0,21,1411,1129,879,250,593,0,0,0,155,311,127,261200,0,0,0,2566,228,33933,64,51417,1139,1307,45,1401,1321,1349,442,50,003,970700
"Census Tract 9708, Bennington County, Vermont",1400000US50003970800,3533,43.3,3504,0,0,4,0,0,1578,1441,1224,217,607,0,6,135,64,372,30,225700,0,0,3,3530,440,31565,53,63986,2056,1358,28,1890,1733,1662,571,50,003,970800
"Census Tract 9709, Bennington County, Vermont",1400000US50003970900,1996,43.6,1925,8,4,0,0,20,899,867,616,251,642,0,0,0,138,465,39,151100,0,0,0,1993,352,24599,21,44438,1231,736,0,1275,1254,1098,220,50,003,970900
"Census Tract 9710, Bennington County, Vermont",1400000US50003971000,3825,40.5,3425,101,0,50,0,49,1447,1284,883,401,631,0,4,18,227,317,65,226200,2,0,0,2965,278,29793,27,68188,1255,2291,26,2408,2184,1450,635,50,003,971000
