NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B03003_003E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9701, Adair County, Kentucky",1400000US21001970100,1538,45.7,1490,0,0,0,0,22,10,704,575,539,36,84,0,16,0,27,41,0,62800,0,0,0,1531,364,17248,0,31125,1105,423,0,961,943,852,102,21,001,970100
"Census Tract 9702, Adair County, Kentucky",1400000US21001970200,1841,46.8,1768,52,0,0,0,10,0,967,742,618,124,261,0,0,15,105,113,28,107300,0,0,0,1811,238,20811,4,40403,1582,251,8,1175,1167,1059,204,21,001,970200
"Census Tract 9703, Adair County, Kentucky",1400000US21001970300,3032,41.2,2975,0,0,0,0,0,0,1402,1183,941,242,513,0,82,24,184,215,8,71800,0,0,0,3032,678,19191,12,30108,2415,598,0,1853,1845,1642,222,21,001,970300
"Census Tract 9704.01, Adair County, Kentucky",1400000US21001970401,4654,43.8,4262,309,0,0,0,85,73,2067,1930,1240,690,1320,217,0,41,264,774,24,95600,9,0,0,4495,994,19626,18,32108,3863,715,25,2747,2694,2257,435,21,001,970401
"Census Tract 9704.02, Adair County, Kentucky",1400000US21001970402,4408,28.3,4133,159,0,34,0,212,5,1600,1297,858,439,1321,0,0,12,344,837,128,93800,0,0,0,3272,646,16650,23,34656,3017,1276,12,3021,2865,1838,448,21,001,970402
"Census Tract 9705, Adair County, Kentucky",1400000US21001970500,2289,43.7,2152,63,26,14,0,0,0,1078,877,779,98,226,18,0,32,39,137,0,90800,0,0,0,2283,649,18777,0,38321,1778,463,29,1402,1379,1181,223,21,001,970500
"Census Tract 9706, Adair County, Kentucky",1400000US21001970600,1394,35.5,1384,10,0,0,0,24,0,687,522,406,116,322,0,0,0,76,246,0,72700,0,0,0,1394,577,16447,4,31143,960,434,0,882,882,720,107,21,001,970600
"Census Tract 9201, Allen County, Kentucky",1400000US21003920100,3120,46.7,2949,79,0,43,0,11,0,1827,1334,1121,213,496,20,0,9,42,425,0,118700,0,0,0,3092,285,29120,56,53047,2180,890,0,1942,1934,1681,361,21,003,920100
"Census Tract 9202, Allen County, Kentucky",1400000US21003920200,2965,33.1,2947,0,6,0,0,114,12,1051,975,804,171,408,8,0,20,90,278,12,133500,0,0,0,2952,471,19523,15,48657,1885,1027,6,1665,1284,1395,242,21,003,920200
"Census Tract 9203, Allen County, Kentucky",1400000US21003920300,4772,42.9,4675,97,0,0,0,7,0,2204,1865,1103,762,1917,37,0,14,612,1099,155,126400,0,0,0,4659,690,20785,21,44696,3657,1115,0,2950,2914,2645,480,21,003,920300
"Census Tract 9204, Allen County, Kentucky",1400000US21003920400,4526,38.4,4375,104,0,0,0,75,0,2083,1725,1114,611,1849,23,0,0,498,1208,120,77500,0,0,0,4416,1032,17121,0,33870,3181,1293,52,2663,2621,2343,211,21,003,920400
"Census Tract 9205, Allen County, Kentucky",1400000US21003920500,1606,40.3,1417,30,0,29,0,106,106,713,552,427,125,499,0,5,0,47,447,0,88700,0,0,0,1606,292,18168,0,39732,845,690,0,1003,888,827,66,21,003,920500
"Census Tract 9206, Allen County, Kentucky",1400000US21003920600,3432,35.1,3338,0,0,0,0,65,58,1448,1254,835,419,1110,43,0,33,247,603,184,74000,0,0,0,3420,650,19292,10,35972,1951,1170,271,2064,1802,1697,118,21,003,920600
"Census Tract 9501, Anderson County, Kentucky",1400000US21005950100,8441,37.5,8061,380,0,0,0,107,0,3572,3247,2346,901,2229,0,61,0,801,1218,149,129700,0,0,0,8407,1093,23474,56,51057,6768,1629,26,5234,5198,4755,817,21,005,950100
"Census Tract 9502.01, Anderson County, Kentucky",1400000US21005950201,5270,40.8,4957,98,0,84,0,29,29,2304,2145,1481,664,1390,0,0,12,317,797,264,129200,35,0,0,5119,467,27202,48,61078,4471,693,0,3186,3141,2693,608,21,005,950201
"Census Tract 9502.02, Anderson County, Kentucky",1400000US21005950202,3576,44.5,3459,0,0,0,0,70,0,1509,1439,1085,354,802,0,31,26,155,411,179,159700,12,0,0,3554,483,27252,37,54050,2846,689,0,2212,2134,1953,408,21,005,950202
"Census Tract 9503, Anderson County, Kentucky",1400000US21005950300,2209,44.4,2116,0,0,0,0,93,31,913,863,781,82,266,0,0,39,87,140,0,149900,0,0,0,2201,143,23372,0,49448,1786,392,0,1409,1355,1195,240,21,005,950300
"Census Tract 9504, Anderson County, Kentucky",1400000US21005950400,2371,45.1,2269,80,0,0,0,43,13,956,860,758,102,269,0,0,4,70,153,42,120900,0,0,0,2371,267,22656,9,44667,1913,426,8,1433,1415,1274,206,21,005,950400
"Census Tract 9501, Ballard County, Kentucky",1400000US21007950100,4546,43.7,4298,204,14,22,0,30,0,2036,1754,1440,314,927,0,0,10,313,599,5,115100,0,0,0,4394,672,24063,30,44744,2832,1557,51,2768,2616,2324,433,21,007,950100
"Census Tract 9502, Ballard County, Kentucky",1400000US21007950200,1484,42.3,1427,19,13,3,0,25,0,749,626,475,151,340,6,0,5,173,126,30,85400,0,0,2,1473,275,27398,22,47115,916,542,6,811,804,748,144,21,007,950200
