NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B25075_026E,B25075_027E,B15003_001E,B15003_022E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,state,county,tract
"Census Tract 1, Adams County, Illinois",1400000US17001000100,4569,49.7,4142,190,0,0,0,183,2271,2185,1805,380,757,40,101800,1805,0,0,0,3423,620,4569,177,30465,2185,37,54550,4569,3645,833,0,2496,2439,17,001,000100
"Census Tract 2.01, Adams County, Illinois",1400000US17001000201,1937,43.1,1767,63,9,62,0,30,986,858,675,183,400,19,88100,675,0,0,0,1373,202,1935,323,22267,858,5,41538,1937,1382,483,0,1141,1095,17,001,000201
"Census Tract 2.02, Adams County, Illinois",1400000US17001000202,2563,33.2,2261,120,18,21,0,41,1156,991,720,271,566,18,92900,720,18,0,0,1616,141,2548,435,21367,991,18,40018,2563,2098,434,0,1608,1577,17,001,000202
"Census Tract 4, Adams County, Illinois",1400000US17001000400,3403,41.9,2818,471,0,37,0,0,1831,1390,678,712,1493,126,74100,678,0,0,0,2380,144,3185,1008,18268,1390,8,28819,3403,2800,565,0,2064,2043,17,001,000400
"Census Tract 5, Adams County, Illinois",1400000US17001000500,2298,39.1,1864,400,0,0,0,8,948,861,464,397,826,21,74300,464,0,0,0,1510,95,1988,500,14527,861,0,32313,2298,1724,528,4,1323,1276,17,001,000500
"Census Tract 6, Adams County, Illinois",1400000US17001000600,3764,41.3,3431,172,0,25,51,78,1874,1644,992,652,1219,221,151500,992,10,0,0,2631,645,3633,546,29072,1644,39,44324,3764,2691,1006,39,2287,2261,17,001,000600
"Census Tract 7, Adams County, Illinois",1400000US17001000700,1259,35.7,985,181,16,9,0,0,898,738,74,664,962,73,63600,74,0,0,0,888,62,1126,415,17410,738,0,17850,1259,818,406,1,874,807,17,001,000700
"Census Tract 8, Adams County, Illinois",1400000US17001000800,2700,34.3,2271,267,21,0,0,25,1315,1155,384,771,1639,50,49000,384,12,0,0,1737,99,2547,877,16130,1155,9,26012,2700,2192,474,0,1629,1602,17,001,000800
"Census Tract 9, Adams County, Illinois",1400000US17001000900,2671,31.0,2448,114,0,0,0,0,1281,1096,699,397,973,114,84900,699,11,0,0,1600,145,2671,754,18335,1096,7,40475,2671,2105,548,0,1695,1668,17,001,000900
"Census Tract 10.01, Adams County, Illinois",1400000US17001001001,3577,34.7,3523,54,0,0,0,0,1574,1513,1193,320,763,67,94100,1193,0,0,0,2358,404,3558,214,24272,1513,0,49963,3577,2931,646,0,2162,2154,17,001,001001
"Census Tract 10.02, Adams County, Illinois",1400000US17001001002,3691,43.9,3412,115,0,69,0,13,1399,1309,968,341,673,72,107800,968,0,0,0,2565,295,3438,304,24780,1309,10,54511,3691,2762,815,0,1822,1758,17,001,001002
"Census Tract 11, Adams County, Illinois",1400000US17001001100,8160,43.2,7598,165,20,202,0,0,3576,3528,2274,1254,2278,114,182500,2274,0,26,0,5873,1514,8098,797,34367,3528,217,56243,8160,5623,2239,0,4626,4441,17,001,001100
"Census Tract 101, Adams County, Illinois",1400000US17001010100,4323,42.7,4301,4,0,4,0,9,1938,1736,1359,377,702,33,100800,1359,0,2,0,3105,361,4238,339,24763,1736,12,50156,4323,3620,666,8,2445,2414,17,001,010100
"Census Tract 102, Adams County, Illinois",1400000US17001010200,3436,44.2,3323,0,32,36,0,0,1631,1419,1136,283,526,49,93700,1136,8,0,0,2511,215,3292,353,23738,1419,11,46350,3436,2904,484,10,2081,2012,17,001,010200
"Census Tract 103, Adams County, Illinois",1400000US17001010300,6038,40.5,5932,56,0,25,3,0,2412,2098,1736,362,1087,99,115100,1736,39,0,1,4015,352,5983,369,24220,2098,36,59009,6038,4886,1102,21,3604,3412,17,001,010300
"Census Tract 104, Adams County, Illinois",1400000US17001010400,3508,44.7,3467,0,0,41,0,0,1322,1240,1106,134,256,27,153600,1106,0,0,8,2346,304,3479,248,29961,1240,66,62457,3508,2620,845,16,2115,2080,17,001,010400
"Census Tract 105, Adams County, Illinois",1400000US17001010500,3131,47.2,3005,56,0,0,0,0,1358,1281,1156,125,260,0,165100,1156,0,0,0,2348,586,3120,85,40839,1281,76,76518,3131,2614,463,16,1713,1698,17,001,010500
"Census Tract 106, Adams County, Illinois",1400000US17001010600,5921,40.8,5720,113,56,3,0,0,2221,2198,1657,541,1252,68,176900,1657,0,0,0,3849,695,5907,713,27218,2198,41,58796,5921,4595,1271,21,3618,3557,17,001,010600
"Census Tract 9576, Alexander County, Illinois",1400000US17003957600,2363,43.3,1934,323,23,5,0,0,1078,807,617,190,534,0,58400,617,0,0,0,1694,75,2209,676,17092,807,3,35387,2363,1329,1023,0,1510,1485,17,003,957600
"Census Tract 9577, Alexander County, Illinois",1400000US17003957700,1788,43.0,1502,240,0,6,0,27,994,564,434,130,515,38,85200,434,0,0,0,1244,59,1769,354,17492,564,3,40714,1788,1079,704,0,920,919,17,003,957700
"Census Tract 9578, Alexander County, Illinois",1400000US17003957800,1527,33.3,605,857,0,9,0,0,922,553,394,159,544,42,26000,394,0,0,0,937,94,1507,608,15176,553,6,22326,1527,1103,399,0,808,794,17,003,957800
"Census Tract 9579, Alexander County, Illinois",1400000US17003957900,1373,43.9,324,968,8,0,0,0,980,610,291,319,496,104,29000,291,0,0,0,933,95,1341,646,13437,610,0,21500,1373,1064,298,0,802,802,17,003,957900
"Census Tract 9512, Bond County, Illinois",1400000US17005951200,2791,51.8,2591,147,5,21,0,0,1500,1197,1008,189,369,10,131300,1008,0,0,0,2163,298,2773,353,30772,1197,64,56838,2791,2148,610,2,1664,1649,17,005,951200
"Census Tract 9513, Bond County, Illinois",1400000US17005951300,6743,34.6,5502,738,9,176,0,88,2326,1896,1046,850,2391,330,104800,1046,0,0,0,4289,586,5059,1181,20263,1896,29,49590,6743,3815,2477,88,4520,4087,17,005,951300
"Census Tract 9514, Bond County, Illinois",1400000US17005951400,3080,46.4,3037,0,0,19,0,0,1414,1232,1106,126,343,7,89000,1106,0,0,0,2234,254,3080,314,24928,1232,23,52310,3080,2551,499,16,1851,1820,17,005,951400
"Census Tract 9515, Bond County, Illinois",1400000US17005951500,4523,43.4,4430,20,3,1,0,19,1861,1726,1454,272,810,48,108100,1454,0,0,6,3272,240,4519,705,23473,1726,3,52203,4523,3700,789,20,2824,2752,17,005,951500
"Census Tract 101, Boone County, Illinois",1400000US17007010100,8137,32.2,6237,219,13,0,0,1294,3360,2967,1612,1355,3681,573,96100,1612,0,0,0,4869,342,8056,2133,18095,2967,0,40599,8137,5611,1244,33,4970,3251,17,007,010100
"Census Tract 102, Boone County, Illinois",1400000US17007010200,5611,38.7,5085,83,0,70,0,227,2303,2162,1438,724,1514,312,111800,1438,0,0,0,3753,353,5497,768,20903,2162,24,48226,5611,3096,1298,29,3356,2362,17,007,010200
"Census Tract 103, Boone County, Illinois",1400000US17007010300,6535,38.3,5551,124,0,0,0,637,2586,2312,1731,581,1405,121,83500,1731,0,0,0,4046,240,6494,980,20280,2312,11,43258,6535,4706,1328,7,3627,2977,17,007,010300
