NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 327, Washington County, Oregon",1400000US41067032700,4807,45.4,4310,36,82,100,0,164,1961,1793,1512,281,622,10,0,22,142,428,20,337500,14,40,7,4790,334,34775,119,72644,2537,1866,34,3145,2751,2756,883,41,067,032700
"Census Tract 328, Washington County, Oregon",1400000US41067032800,1208,44.0,1178,0,0,0,0,0,443,424,322,102,376,35,0,76,61,189,15,439700,10,4,13,1203,181,33116,32,64083,845,324,0,724,685,637,111,41,067,032800
"Census Tract 329.01, Washington County, Oregon",1400000US41067032901,6138,32.1,4112,11,33,179,0,1303,1843,1820,1327,493,1755,15,0,0,433,1036,271,168300,0,0,0,6071,831,21154,38,51858,2840,1592,47,3700,2027,3112,539,41,067,032901
"Census Tract 329.02, Washington County, Oregon",1400000US41067032902,7700,29.9,6330,21,15,90,0,884,2257,2130,1780,350,1577,0,0,25,384,1089,79,202100,12,0,0,7666,454,17377,0,57934,3897,1806,14,4584,2159,3701,483,41,067,032902
"Census Tract 330, Washington County, Oregon",1400000US41067033000,5473,46.7,4689,0,7,103,8,379,2095,1956,1536,420,1328,5,0,25,508,653,137,385700,34,10,0,5450,476,33916,142,74118,2870,2088,52,3435,2843,3025,746,41,067,033000
"Census Tract 331.01, Washington County, Oregon",1400000US41067033101,3079,33.5,2699,1,23,27,0,130,1155,1103,579,524,1455,0,0,87,211,875,282,243500,0,0,11,3020,488,23009,42,46280,1780,965,78,1951,1583,1565,341,41,067,033101
"Census Tract 331.02, Washington County, Oregon",1400000US41067033102,3255,35.6,2848,0,0,22,0,309,1212,1101,620,481,1122,21,0,14,221,826,40,219400,9,0,0,3080,361,22333,9,46010,1654,1001,46,2033,1426,1743,300,41,067,033102
"Census Tract 332, Washington County, Oregon",1400000US41067033200,7026,25.6,5031,66,105,562,0,808,2463,2273,788,1485,3627,12,44,180,582,2729,80,202700,0,0,0,6143,1637,15787,0,28552,3254,2233,188,4249,3072,2543,399,41,067,033200
"Census Tract 333.01, Washington County, Oregon",1400000US41067033301,5702,33.2,5065,0,0,185,0,29,1966,1945,1390,555,1465,0,0,24,85,1226,130,223400,0,0,7,5702,803,22705,5,59908,3078,2097,79,3457,2994,2835,711,41,067,033301
"Census Tract 333.02, Washington County, Oregon",1400000US41067033302,5266,43.1,4961,49,9,68,21,22,1814,1753,1510,243,668,83,0,51,211,269,54,353100,15,0,11,5231,307,34691,156,80329,2296,2542,86,3203,2955,2881,970,41,067,033302
"Census Tract 334, Washington County, Oregon",1400000US41067033400,2285,45.3,2099,11,0,33,0,8,902,792,709,83,277,5,0,77,70,68,57,419500,20,0,14,2285,142,37253,70,91250,1477,701,25,1474,1396,1269,363,41,067,033400
"Census Tract 335, Washington County, Oregon",1400000US41067033500,3968,40.2,3660,15,7,73,10,42,1436,1321,1158,163,448,0,0,34,109,284,21,337500,34,8,0,3950,212,32807,82,89792,2231,1525,46,2523,2367,2235,716,41,067,033500
"Census Tract 336, Washington County, Oregon",1400000US41067033600,2137,49.1,2008,14,4,34,0,37,888,814,653,161,490,0,55,27,181,173,54,335400,15,0,0,2132,230,26803,21,56111,1220,872,0,1363,1292,1198,337,41,067,033600
"Census Tract 9601, Wheeler County, Oregon",1400000US41069960100,1369,59.2,1309,0,15,9,0,8,974,696,518,178,393,2,6,41,92,234,18,114700,0,0,3,1345,272,22723,5,33400,801,553,0,722,712,654,137,41,069,960100
"Census Tract 301.01, Yamhill County, Oregon",1400000US41071030101,6025,45.8,5485,15,0,153,26,20,2217,2168,1858,310,765,0,0,0,126,522,117,367300,30,0,0,6025,341,40538,298,87283,2450,3020,58,3577,3117,3318,1594,41,071,030101
"Census Tract 301.02, Yamhill County, Oregon",1400000US41071030102,7071,40.8,6753,0,61,107,0,64,2949,2754,2080,674,1675,0,40,32,500,1060,43,248700,0,0,12,7071,553,30461,100,61918,3793,2780,107,4470,4086,4072,1225,41,071,030102
"Census Tract 302.01, Yamhill County, Oregon",1400000US41071030201,6758,25.2,5829,21,6,292,19,123,2206,2064,862,1202,3065,0,0,77,1548,1178,262,207700,0,0,0,5329,1286,19602,0,42054,3120,3031,53,4840,4217,2602,744,41,071,030201
"Census Tract 302.02, Yamhill County, Oregon",1400000US41071030202,6436,30.5,5094,9,145,30,0,920,2344,2100,1103,997,3251,0,12,575,351,2260,53,177400,0,0,0,6394,2163,19547,41,43438,3773,2179,19,4276,3566,3135,600,41,071,030202
"Census Tract 303.01, Yamhill County, Oregon",1400000US41071030301,10044,39.8,8988,21,40,99,17,450,3352,3164,2610,554,1837,83,0,377,310,1059,8,242400,0,39,26,10001,1265,25730,115,61861,5260,3516,163,6450,5281,5553,1187,41,071,030301
"Census Tract 303.02, Yamhill County, Oregon",1400000US41071030302,2047,54.2,1943,0,6,37,0,8,843,785,696,89,188,0,0,0,73,53,62,479400,43,0,0,2047,138,49477,103,89250,974,979,21,1275,1172,1254,579,41,071,030302
"Census Tract 304, Yamhill County, Oregon",1400000US41071030400,8038,45.8,7636,0,18,26,0,113,3090,2804,2338,466,1539,16,0,18,411,854,240,322300,102,0,16,7945,348,36693,146,70636,4604,3034,66,4839,4463,4178,1105,41,071,030400
"Census Tract 305.01, Yamhill County, Oregon",1400000US41071030501,6308,44.3,5173,352,175,15,99,236,1934,1756,1274,482,1019,0,0,10,229,719,61,188100,9,0,19,4570,507,21779,42,51900,2764,3307,0,4232,3693,3944,496,41,071,030501
"Census Tract 305.02, Yamhill County, Oregon",1400000US41071030502,4782,39.7,4081,45,299,76,13,35,2008,1757,1097,660,1821,0,0,63,299,1390,69,161100,0,0,0,4686,716,19859,13,40559,2709,1965,67,2845,2637,2480,378,41,071,030502
"Census Tract 306.01, Yamhill County, Oregon",1400000US41071030601,3548,40.7,3141,0,30,11,1,269,1359,1264,907,357,1140,0,0,274,310,545,11,163300,0,8,0,3507,539,19461,14,37276,1746,1196,47,1820,1356,1523,258,41,071,030601
"Census Tract 306.02, Yamhill County, Oregon",1400000US41071030602,6445,37.5,5784,56,85,143,29,76,2273,2191,1684,507,1659,0,0,16,356,1166,121,283100,0,0,0,6342,866,36561,177,78197,3940,1981,59,3412,2945,2940,1065,41,071,030602
"Census Tract 307.01, Yamhill County, Oregon",1400000US41071030701,7725,41.9,7499,31,69,14,0,18,3369,3174,2057,1117,3131,0,46,166,268,2328,323,223900,0,0,0,7701,1505,29582,141,52778,3681,3154,54,4201,3540,3504,926,41,071,030701
"Census Tract 307.02, Yamhill County, Oregon",1400000US41071030702,7782,33.7,7013,75,30,175,0,157,3077,2892,1606,1286,3666,0,0,61,805,2412,388,176100,0,0,0,7704,1618,24318,82,45409,3791,2704,181,4696,3708,3987,621,41,071,030702
"Census Tract 308.01, Yamhill County, Oregon",1400000US41071030801,5090,35.3,4442,67,73,75,29,262,2210,2071,751,1320,2739,0,0,32,661,1764,282,205800,0,0,0,4875,1011,18430,0,36295,2381,1970,29,2882,2344,2477,369,41,071,030801
"Census Tract 308.02, Yamhill County, Oregon",1400000US41071030802,5221,22.3,3955,176,77,172,37,666,1363,1223,564,659,2134,0,0,11,441,1545,137,169100,0,0,0,4063,1179,16547,27,45352,2579,1560,57,3732,2619,2108,449,41,071,030802
