NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B03003_003E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county
"Shawano County, Wisconsin",0500000US55115,41384,44.7,37041,133,3090,179,11,1041,53,20714,16940,12853,4087,9154,240,104,426,1968,5449,967,132500,27,2,30,40438,4594,25286,305,48773,35564,5037,237,24077,23243,21158,3565,55,115
"Sheboygan County, Wisconsin",0500000US55117,115269,41.4,103755,1760,252,6058,7,6888,1188,50642,47152,33048,14104,29746,246,297,953,6933,18744,2573,148200,47,15,53,112101,9942,27796,1055,54392,90211,17758,667,70197,63420,61131,15427,55,117
"Taylor County, Wisconsin",0500000US55119,20521,43.4,20056,77,52,44,0,358,85,10594,8751,6606,2145,4003,185,53,188,760,2305,512,129000,17,0,12,20197,2511,24907,193,47306,17176,2999,46,11910,11310,10513,1522,55,119
"Trempealeau County, Wisconsin",0500000US55121,29521,40.8,27543,124,71,195,0,2074,1359,12819,11840,8498,3342,7388,193,65,369,1504,4493,764,145800,59,3,4,29001,2804,26002,228,52438,22323,5937,82,17328,16056,15178,3200,55,121
"Vernon County, Wisconsin",0500000US55123,30442,42.4,29612,141,69,163,0,463,181,13807,11843,9355,2488,5270,194,151,219,1478,2799,429,146100,42,4,12,29955,4882,24414,270,49476,23735,6314,111,16916,15178,14830,3267,55,123
"Vilas County, Wisconsin",0500000US55125,21373,52.9,18471,59,1939,116,12,430,73,25418,10648,8018,2630,4976,48,47,300,1298,2652,631,201000,87,41,37,21134,3098,27537,252,41632,13774,7159,56,11607,11292,10398,2612,55,125
"Walworth County, Wisconsin",0500000US55127,103021,39.0,96192,1091,380,954,90,11224,2307,51704,39967,27099,12868,29488,240,452,1188,5760,18728,3120,189500,328,58,154,100069,12885,28085,1290,55575,60026,35831,882,64583,57897,51431,14324,55,127
"Washburn County, Wisconsin",0500000US55129,15685,50.0,14989,82,273,92,2,255,28,13066,7151,5534,1617,3255,29,16,143,821,2013,233,147300,5,2,11,15448,1976,26570,134,44437,9780,5631,73,8911,8686,7998,1743,55,129
"Washington County, Wisconsin",0500000US55131,133422,42.4,127480,1447,196,1478,24,3966,643,55528,53187,41452,11735,24316,303,287,1374,6357,14523,1472,215700,130,16,120,132098,7486,34722,2639,70325,109331,19958,507,81759,78268,72148,22890,55,131
"Waukesha County, Wisconsin",0500000US55133,395377,43.0,366591,5709,898,12347,166,17775,3968,162740,155776,118740,37036,73152,577,705,2946,17836,44250,6838,254700,772,230,430,390212,20167,40174,13575,78268,298416,74652,2926,241586,223093,211020,96200,55,133
"Waupaca County, Wisconsin",0500000US55135,51974,44.8,50292,223,280,180,8,1497,431,25456,21412,16073,5339,11464,111,67,381,2957,6733,1215,137700,18,25,47,50243,5327,28145,480,52441,43597,7185,248,30778,29643,27041,4981,55,135
"Waushara County, Wisconsin",0500000US55137,24238,48.5,22695,383,125,97,8,1506,504,14914,9749,7922,1827,3949,81,92,193,958,2288,337,137200,29,3,0,22939,2646,24861,191,46581,18952,4509,102,14253,13245,12713,1894,55,137
"Winnebago County, Wisconsin",0500000US55139,169487,37.9,156765,3559,1048,4391,36,6510,1312,74276,69169,44768,24401,50822,417,384,1531,9757,32625,6108,144300,123,47,12,160887,19573,28446,1883,53501,133548,29465,849,109045,102519,88225,25184,55,139
"Wood County, Wisconsin",0500000US55141,73621,43.7,69994,522,470,1460,10,1962,308,34413,31884,23456,8428,16340,196,232,786,3952,9961,1213,124000,14,10,8,72589,7715,27687,691,49926,60016,11626,266,43811,41697,38374,8509,55,141
"Albany County, Wyoming",0500000US56001,37836,26.6,33960,577,275,1139,7,3492,819,18695,15565,7606,7959,16728,51,50,345,1781,12022,2479,220900,70,19,78,35551,9070,25227,400,43043,15028,20154,353,27968,25059,16885,8314,56,001
"Big Horn County, Wyoming",0500000US56003,11931,41.8,11385,28,151,69,11,1057,113,5376,4459,3279,1180,2786,29,51,143,450,1719,394,148200,50,0,0,11647,1385,23041,48,50820,6191,5308,39,6538,6003,5672,1019,56,003
"Campbell County, Wyoming",0500000US56005,48473,32.8,45793,361,649,305,0,4051,371,19626,17534,12241,5293,13955,38,36,195,1141,9228,3317,214000,53,0,83,47968,3898,33317,722,80822,19556,26969,181,31337,29701,27121,5072,56,005
"Carbon County, Wyoming",0500000US56007,15696,38.1,14283,200,149,60,16,2770,341,8571,6095,4273,1822,4276,39,126,51,810,3034,216,153700,15,0,19,14887,2133,27399,151,56972,6148,8635,97,9773,8577,8454,1772,56,007
