NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B03003_003E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county
"Autauga County, Alabama",0500000US01001,55049,37.8,42311,10196,226,444,31,1416,764,22714,20800,15218,5582,14426,59,73,470,2867,9189,1768,141000,10,9,7,54598,6697,26168,484,53099,38663,14574,800,33501,32143,28771,7643,01,001
"Baldwin County, Alabama",0500000US01003,199510,42.3,172441,18594,1355,1338,0,8712,1766,107579,75149,53905,21244,55515,758,440,1285,11397,37413,4222,173400,329,67,168,196640,25551,28069,3265,51365,107762,83573,1652,117902,110477,102608,29883,01,003
"Barbour County, Alabama",0500000US01005,26614,38.7,12430,12756,46,129,0,1147,1099,11802,9122,5829,3293,8743,134,227,412,2420,4727,823,90300,0,2,12,23641,6235,17249,47,33956,18657,7072,124,16480,15437,13988,1795,01,005
"Bibb County, Alabama",0500000US01007,22572,40.2,17370,4788,81,14,0,502,8,8972,7048,5119,1929,6121,166,40,628,1373,3434,480,97200,2,0,0,20603,3390,18988,55,39776,18708,3484,75,14456,13980,12390,1701,01,007
"Blount County, Alabama",0500000US01009,57704,40.8,55073,905,201,92,0,5036,501,23850,20619,16254,4365,11115,51,156,451,3569,6319,569,124200,21,13,26,57099,9441,21033,247,46212,45649,9275,315,34182,31528,29551,3940,01,009
"Bullock County, Alabama",0500000US01011,10552,39.2,2301,7967,84,84,0,13,1,4462,3556,2600,956,2853,13,168,57,848,1709,58,68000,29,0,3,10154,2728,17909,43,29335,8875,1502,15,6681,6466,5736,551,01,011
"Butler County, Alabama",0500000US01013,20280,40.6,10876,8875,15,203,0,253,44,9914,7675,5393,2282,5984,51,63,482,1716,2932,740,83000,5,5,17,19977,5126,19011,46,34315,17129,2782,86,11871,11565,10273,1633,01,013
"Calhoun County, Alabama",0500000US01015,115883,39.1,86777,23791,382,1079,6,3982,1221,53326,45071,31107,13964,35117,294,255,1741,7270,21236,4321,107900,56,64,40,112690,22135,22231,730,41954,84825,27023,1261,71781,68703,60200,10848,01,015
"Chambers County, Alabama",0500000US01017,34018,43.1,19417,13779,78,312,0,148,42,16905,13851,9370,4481,11083,118,294,410,3364,5909,988,83000,19,17,0,33503,6805,21532,155,36027,25969,7614,98,20480,20225,17599,2190,01,017
"Cherokee County, Alabama",0500000US01019,25897,45.7,24156,1209,152,109,0,405,2,16260,10999,8708,2291,5279,56,104,278,1274,3338,229,112500,15,4,0,25465,4188,22544,134,38925,14379,11286,44,15308,15199,13431,2014,01,019
"Chilton County, Alabama",0500000US01021,43817,38.7,36740,4418,134,191,0,3341,1882,19260,16619,12635,3984,10810,75,112,213,3208,6358,844,99100,71,6,0,43301,8779,22045,208,42594,33431,7699,252,26545,24290,23053,3503,01,021
"Choctaw County, Alabama",0500000US01023,13287,45.1,7495,5658,2,6,0,74,2,7241,5562,4479,1083,2266,49,35,110,866,1010,196,64600,15,0,12,13091,2743,20773,70,32622,6755,6435,75,7770,7727,6691,920,01,023
"Clarke County, Alabama",0500000US01025,24847,42.0,13253,11304,8,114,33,43,0,12589,9554,6422,3132,6970,567,322,777,1572,3412,320,85900,2,0,7,24448,6023,20543,180,32735,21404,3303,24,14741,14576,12534,1521,01,025
"Clay County, Alabama",0500000US01027,13483,43.7,11177,1993,124,0,0,419,68,6745,5363,4025,1338,3203,65,76,313,985,1482,282,90000,4,12,0,13106,2195,21115,97,38815,10796,2428,4,7953,7688,6830,670,01,027
"Cleburne County, Alabama",0500000US01029,14991,41.5,14176,354,21,86,0,349,58,6689,5834,4411,1423,3639,47,21,56,1303,1614,598,108100,23,50,14,14726,2889,19791,52,36316,8266,6387,76,8750,8496,7643,956,01,029
"Coffee County, Alabama",0500000US01031,50991,39.3,38945,8766,421,623,0,3344,528,22862,19375,12917,6458,16684,196,243,474,4307,9326,2138,142800,21,7,7,50255,8219,25325,362,47872,30463,17368,1254,30821,28323,26566,6469,01,031
"Colbert County, Alabama",0500000US01033,54377,42.4,43379,8532,328,255,31,1306,605,26156,22105,15936,6169,14743,229,305,783,4300,7885,1241,102500,35,5,14,53910,8910,23318,219,43786,41495,11737,296,32608,31717,28237,5563,01,033
"Conecuh County, Alabama",0500000US01035,12697,44.0,6593,5880,19,14,0,224,1,7055,5090,3997,1093,3181,66,9,91,991,1928,96,72300,0,0,0,12622,4107,16004,28,27609,10859,1704,26,7304,7196,6235,570,01,035
"Coosa County, Alabama",0500000US01037,10864,44.9,7204,3516,8,0,0,140,0,6453,4206,3345,861,2253,43,54,195,652,1135,174,76500,0,0,5,10497,1610,18080,26,31910,9321,1341,66,6844,6613,5879,581,01,037
"Covington County, Alabama",0500000US01039,37729,42.9,31881,4945,130,176,23,578,144,18783,15179,11343,3836,9228,238,329,299,2626,4708,1028,93700,36,0,12,37016,7031,21738,234,37313,27903,9318,148,21798,21412,18879,2892,01,039
"Crenshaw County, Alabama",0500000US01041,13896,41.6,9935,3312,123,232,0,234,180,6699,5426,3805,1621,4087,96,62,348,1038,2330,213,77600,16,0,1,13662,2484,20455,91,37557,11578,1966,34,8285,7948,7118,1090,01,041
"Cullman County, Alabama",0500000US01043,81316,40.5,77946,899,425,497,19,3426,634,37150,31081,23583,7498,18505,120,139,519,4157,11924,1646,118700,75,5,85,80126,13718,21041,573,39297,63134,15589,289,48602,46256,41888,6328,01,043
"Dale County, Alabama",0500000US01045,49607,36.9,36921,9756,295,508,11,2921,611,22839,18794,11413,7381,20257,67,625,500,4099,12035,2931,103800,24,0,27,48338,9897,22834,348,44093,27938,19035,1272,30225,28734,25709,4289,01,045
"Dallas County, Alabama",0500000US01047,41426,38.9,11884,28798,91,163,37,397,92,20242,16099,9385,6714,18086,773,526,831,6274,8468,1214,81000,36,0,0,40895,14027,17611,287,28136,36317,4415,84,24498,23956,20544,2646,01,047
"DeKalb County, Alabama",0500000US01049,70937,39.3,61858,1082,979,214,497,9942,4713,31068,24811,17938,6873,19780,203,164,1287,5753,10409,1964,99600,71,9,52,70108,13872,18685,317,38248,49296,16124,355,42369,37236,36422,4275,01,049
"Elmore County, Alabama",0500000US01051,80957,38.3,61018,17296,210,457,0,2268,634,33322,28890,21215,7675,20134,201,104,481,4714,12267,2367,152500,77,19,17,76191,10893,24771,705,53398,58559,19821,997,51161,49399,43707,9878,01,051
"Escambia County, Alabama",0500000US01053,37875,39.9,23453,12267,1317,40,67,780,224,16421,13536,9641,3895,9729,158,130,360,3520,5104,457,93900,15,0,0,35290,8894,17420,197,32334,27551,9772,273,23135,22757,19453,2081,01,053
"Etowah County, Alabama",0500000US01055,103363,40.9,84024,15931,475,699,67,3752,584,47504,39522,28044,11478,29244,269,480,1509,6656,16063,4267,101900,29,33,86,101829,18713,21287,705,40478,81739,18217,428,62659,60155,53749,9212,01,055
"Fayette County, Alabama",0500000US01057,16783,43.6,14371,2104,0,45,0,144,0,8412,6850,5336,1514,3316,208,69,98,898,1674,369,76400,8,2,34,16548,2863,20201,103,36205,14082,2568,39,9895,9843,8525,1300,01,057
"Franklin County, Alabama",0500000US01059,31573,39.1,28133,1427,313,102,18,5057,1244,14050,11697,8053,3644,10540,59,189,260,3164,5995,873,87000,8,0,0,31191,6951,18193,138,36138,22128,6423,217,18835,15839,15865,2024,01,059
"Geneva County, Alabama",0500000US01061,26765,42.0,23235,2570,126,103,0,992,178,12643,10657,8018,2639,6864,58,20,283,1279,4624,600,81500,30,0,0,26401,6011,20189,136,36519,18479,7638,199,15760,15217,13733,1680,01,061
"Greene County, Alabama",0500000US01063,8587,41.3,1472,6977,35,14,0,53,0,4996,3107,2189,918,2491,75,324,294,578,1120,100,68100,0,0,0,8534,3233,13679,0,21339,7834,730,1,5051,5003,4419,423,01,063
"Hale County, Alabama",0500000US01065,15159,39.7,6062,8843,49,16,9,183,147,7655,5948,4467,1481,3230,220,81,405,1096,1159,269,89400,47,10,0,14889,3858,19296,107,33351,13425,1528,49,8917,8650,7552,1015,01,065
"Henry County, Alabama",0500000US01067,17187,43.2,12113,4793,0,0,0,435,88,8950,6831,5471,1360,3502,106,67,309,644,2126,250,101800,0,0,15,16923,2586,22825,73,41045,12272,4571,50,10009,9684,8675,1505,01,067
"Houston County, Alabama",0500000US01069,103891,39.3,72332,27680,427,866,27,3311,648,46385,39363,25354,14009,37415,363,363,1208,7644,23943,3894,124800,59,17,47,102830,19415,24086,1247,41945,68493,32120,871,62506,59780,54100,11996,01,069
"Jackson County, Alabama",0500000US01071,52608,42.8,47949,1733,448,196,28,1435,591,24773,19945,14527,5418,13950,344,256,1138,3015,8012,1185,103800,10,0,2,52043,9780,20487,353,38422,36213,15094,114,31466,30730,27412,3527,01,071
"Jefferson County, Alabama",0500000US01073,659096,37.5,345499,280248,1467,9932,198,24316,12185,305262,261773,164876,96897,227449,2169,2530,7611,49484,142104,23551,145700,1193,349,408,644879,116750,28162,11420,47220,498127,130881,4213,412301,386380,351780,117298,01,073
"Lamar County, Alabama",0500000US01075,14066,44.3,12315,1584,42,0,0,201,81,7327,6010,4396,1614,3740,161,31,196,790,1886,676,71100,4,0,0,13922,3322,20206,70,34298,8409,5501,37,8172,8035,7154,910,01,075
"Lauderdale County, Alabama",0500000US01077,92641,41.3,80627,9126,371,629,15,2217,218,44313,38361,26319,12042,26402,471,310,729,5681,16686,2525,124100,61,15,54,90480,16538,24893,905,43657,64145,26151,443,56672,54885,46183,10468,01,077
"Lawrence County, Alabama",0500000US01079,33433,42.2,26108,3800,1653,31,0,691,0,15181,13321,10626,2695,6961,337,201,476,1766,3848,333,97600,2,17,16,33096,6050,21911,69,42339,28049,5062,79,20721,20433,18027,2127,01,079
"Lee County, Alabama",0500000US01081,153947,30.5,107682,35770,203,5576,27,5681,2423,65701,57901,34032,23869,58540,392,398,1768,8286,40053,7643,156400,27,59,58,148121,34085,24951,1844,45056,80831,63305,1871,104519,96169,74210,26604,01,081
"Limestone County, Alabama",0500000US01083,90257,39.0,73517,11502,581,1125,30,5135,1271,35515,32073,24364,7709,21180,292,212,953,6209,11420,2094,142500,36,15,58,87161,12290,26086,1175,51115,59871,25767,711,56598,52871,49481,12029,01,083
"Lowndes County, Alabama",0500000US01085,10565,40.4,2612,7886,8,0,0,50,0,5081,4238,3118,1120,2999,145,84,375,1215,1041,139,68900,7,0,0,10474,3005,18434,57,27914,9441,1015,77,6280,6230,5333,604,01,085
"Macon County, Alabama",0500000US01087,19684,38.2,3106,16162,65,44,0,324,175,10222,7915,5222,2693,5935,229,116,356,1620,3144,470,77000,29,0,0,17395,4442,18385,22,32390,14465,4887,110,12845,12246,9117,1689,01,087
"Madison County, Alabama",0500000US01089,349973,38.1,240861,84657,2094,8574,396,16362,3355,154710,139949,95114,44835,102031,935,1547,2346,16964,67705,12534,171200,583,94,141,341264,45287,33264,7947,60150,188761,134438,7313,223445,206872,189037,79828,01,089
"Marengo County, Alabama",0500000US01091,20066,42.2,9167,10587,50,43,0,190,150,10208,8149,5683,2466,5597,166,146,470,1903,2779,133,87900,9,2,29,19814,5504,20359,92,30713,16639,3239,6,11694,11512,9939,1583,01,091
"Marion County, Alabama",0500000US01093,30239,43.9,28242,1012,115,98,0,726,174,14702,12486,9552,2934,6419,106,76,278,1519,3628,812,85500,31,0,15,29574,5509,20998,238,34074,21524,8144,82,17778,17247,15461,2102,01,093
"Marshall County, Alabama",0500000US01095,94534,38.8,87423,1981,567,556,20,12210,2324,40352,34461,24342,10119,27798,233,418,817,6662,16536,3132,115700,94,28,43,93300,19138,21767,891,39831,67173,20044,538,55665,49303,47858,7991,01,095
"Mobile County, Alabama",0500000US01097,414291,37.2,246794,146306,2568,8140,49,10957,3207,181612,154261,101766,52495,132968,1737,1560,4291,28171,83095,14114,123500,406,85,158,403782,78633,23318,3865,44263,301449,97058,2920,254643,240981,214640,50703,01,097
"Monroe County, Alabama",0500000US01099,21975,41.5,12065,9405,251,50,0,136,0,11275,8316,5100,3216,7598,366,332,530,2491,3475,404,87700,10,0,6,21722,6972,16556,66,28182,19160,2758,13,12916,12847,10980,1265,01,099
"Montgomery County, Alabama",0500000US01101,227392,36.0,85928,129205,388,5109,44,7530,2830,103577,90281,53031,37250,89685,1167,960,2953,16974,58288,9343,122000,287,48,65,220452,46982,26255,3107,45358,164163,50986,2331,144383,136078,119927,38410,01,101
"Morgan County, Alabama",0500000US01103,119555,39.8,97880,14557,849,802,5,9339,2582,51523,46164,32717,13447,33336,272,271,1063,8372,20270,3088,124900,77,18,8,117554,19172,24415,963,46883,82880,30491,1021,73016,66991,63199,13863,01,103
"Perry County, Alabama",0500000US01105,9856,37.1,2962,6760,4,18,0,94,47,4693,3198,2345,853,2690,236,104,586,828,913,23,73700,0,0,0,9058,3605,14033,35,24912,8597,1196,26,5777,5698,4082,539,01,105
"Pickens County, Alabama",0500000US01107,20042,42.2,11254,8387,24,12,9,486,184,9449,7618,5541,2077,4889,129,367,350,1378,2312,353,89100,15,0,28,19122,4575,19188,134,31679,15538,4134,58,12255,11794,10492,1168,01,107
"Pike County, Alabama",0500000US01109,33277,31.2,19408,12514,215,704,2,730,19,15734,12802,7592,5210,11654,221,113,321,2931,6939,1129,102300,10,16,23,31365,8074,20180,166,33193,25656,6201,127,21855,20663,14865,3833,01,109
"Randolph County, Alabama",0500000US01111,22615,42.8,17452,4429,74,51,44,661,165,11937,8691,6172,2519,6461,363,67,367,1355,3542,767,85600,36,0,89,22089,4542,19584,104,37496,13938,8241,75,13216,13056,11213,1743,01,111
"Russell County, Alabama",0500000US01113,58636,34.8,30392,24789,216,435,128,2974,603,26719,22333,13103,9230,24219,228,271,664,5464,14332,3260,114000,46,0,17,57669,12423,20760,203,38400,18419,37360,1190,36527,34422,31178,5640,01,113
"St. Clair County, Alabama",0500000US01115,86576,40.0,75738,8156,265,741,0,1961,715,35844,31832,25809,6023,15615,147,326,1073,3042,10022,1005,142800,66,0,18,84517,11582,24474,566,54042,67243,17548,265,53436,51940,46855,7887,01,115
"Shelby County, Alabama",0500000US01117,205951,38.1,167257,23898,446,4088,67,11861,6873,83622,75942,60224,15718,38751,133,231,807,6534,26562,4484,195400,345,9,128,202821,17227,34117,4776,72310,130995,61840,1870,128943,117642,112301,48558,01,117
"Sumter County, Alabama",0500000US01119,13285,36.5,3280,9523,41,375,0,39,18,6767,4878,3225,1653,3900,87,76,479,1214,1832,212,73400,19,0,5,12478,4582,13929,21,20428,9652,3339,25,8485,8126,6122,1236,01,119
"Talladega County, Alabama",0500000US01121,81057,40.8,52390,25996,253,442,29,1752,643,37197,31461,22718,8743,20921,300,358,1384,4417,12754,1708,94200,46,12,8,77517,16119,20430,351,37923,65403,13923,482,49960,48497,42905,5856,01,121
"Tallapoosa County, Alabama",0500000US01123,40958,43.0,28778,11248,144,208,0,988,292,22058,16338,11571,4767,12152,359,263,942,2843,6817,928,105200,30,9,30,40372,9431,21410,219,39395,34161,6042,158,24168,23703,20917,3575,01,123
"Tuscaloosa County, Alabama",0500000US01125,202471,32.1,132344,62793,287,3044,29,6666,1870,87923,70440,44393,26047,67341,754,787,1628,12894,43686,7592,160000,170,63,59,191934,34470,23896,2111,48022,147061,46699,1584,136198,128653,99421,30788,01,125
"Walker County, Alabama",0500000US01127,65593,42.3,59932,3791,36,302,0,1483,109,30708,25194,18772,6422,16522,332,179,470,3745,9653,2143,84800,16,0,0,64630,14174,20410,434,37025,53290,11114,252,39137,38303,33742,3675,01,127
"Washington County, Alabama",0500000US01129,16909,41.4,11082,4189,1341,110,0,219,79,8374,6113,5115,998,3097,164,0,320,1121,1276,216,81100,0,0,11,16591,3585,19598,55,40293,13588,3089,58,10115,9959,8697,776,01,129
"Wilcox County, Alabama",0500000US01131,11119,40.2,3050,8000,7,0,0,62,62,5619,3792,2376,1416,3201,260,144,508,1135,993,161,81600,9,0,0,10799,3768,14800,29,24442,10157,912,50,6547,6456,5467,583,01,131
"Winston County, Alabama",0500000US01133,24013,44.1,23191,98,166,84,12,700,33,13404,9436,7158,2278,5789,117,178,514,1218,3323,439,77700,30,9,10,23500,4833,19299,86,33896,18713,4900,86,14165,13811,12466,1680,01,133
"Aleutians East Borough, Alaska",0500000US02013,3299,42.8,630,231,1119,974,36,331,134,1005,788,443,345,703,6,31,70,246,317,33,124500,0,0,0,3291,510,31025,33,65926,1215,647,95,2672,1279,2325,292,02,013
"Aleutians West Census Area, Alaska",0500000US02016,5714,37.6,1763,315,745,2086,143,790,346,1958,1186,336,850,2876,8,18,75,800,1647,328,211400,0,0,0,5544,426,35083,97,86964,1120,2201,288,4489,2076,3826,620,02,016
"Anchorage Municipality, Alaska",0500000US02020,299321,32.8,192329,16938,20963,26756,6797,26091,6187,114443,104969,63267,41702,109649,285,927,3175,20894,70335,14033,298000,317,94,129,292059,23652,37864,9257,80862,109534,149844,9137,197695,162251,164646,56582,02,020
"Bethel Census Area, Alaska",0500000US02050,17885,26.8,1976,135,14651,161,67,359,75,5986,4555,2921,1634,5381,151,167,201,1749,2571,542,151400,1,0,0,17373,4619,18231,124,53296,15563,1983,17,10265,3464,8303,925,02,050
"Bristol Bay Borough, Alaska",0500000US02060,942,40.7,525,3,302,11,2,46,13,909,360,197,163,379,5,0,10,73,265,26,199000,0,0,0,924,67,41420,18,88000,464,442,13,647,598,574,116,02,060
"Denali Borough, Alaska",0500000US02068,2125,37.3,1817,21,66,72,0,17,4,1711,707,533,174,404,0,0,5,86,245,68,228600,7,0,0,2066,233,38337,41,81302,448,1515,30,1589,1401,1348,518,02,068
"Dillingham Census Area, Alaska",0500000US02070,4980,29.7,893,12,3596,108,1,147,27,2444,1375,832,543,1594,12,24,77,372,990,119,196400,0,0,0,4945,815,23520,44,56055,4034,824,0,2997,1678,2423,437,02,070
"Fairbanks North Star Borough, Alaska",0500000US02090,100150,30.7,76617,4183,6547,3037,594,7486,925,41670,35303,21005,14298,36833,158,78,340,4073,27070,5114,224000,24,0,82,95949,7444,34182,2080,73831,33488,58353,3110,67772,59802,53371,17736,02,090
"Haines Borough, Alaska",0500000US02100,2528,44.6,1970,1,123,85,5,41,12,1623,1170,803,367,763,4,0,32,48,673,6,198400,2,0,0,2513,132,32673,78,53125,697,1589,119,1646,1466,1428,554,02,100
"Hoonah-Angoon Census Area, Alaska",0500000US02105,2107,48.4,1070,77,678,48,1,105,24,1647,836,597,239,592,7,6,83,120,295,81,235100,9,0,2,2106,260,31451,9,54091,1077,886,17,1364,1196,1228,285,02,105
"Juneau City and Borough, Alaska",0500000US02110,32524,37.5,22575,381,4009,2332,324,2048,251,13263,12138,7816,4322,10404,37,98,278,2435,5956,1600,329500,42,0,5,31859,2365,40592,952,87436,12927,16267,674,21911,19504,18921,7418,02,110
"Kenai Peninsula Borough, Alaska",0500000US02122,57637,40.5,48208,345,4338,761,190,2214,399,30752,21481,15382,6099,16007,4,265,981,2532,9574,2651,229200,43,14,29,56295,6175,32556,1045,64891,21280,34116,617,36254,33367,31439,7117,02,122
"Ketchikan Gateway Borough, Alaska",0500000US02130,13715,39.2,9264,68,1834,1037,10,634,125,6254,5209,3100,2109,4990,16,27,66,1190,3089,602,257100,11,0,3,13510,1453,32694,307,64162,5740,6707,146,8892,7864,7706,1735,02,130
"Kodiak Island Borough, Alaska",0500000US02150,13918,32.7,7516,20,1908,3048,159,1211,261,5322,4585,2785,1800,5071,0,14,221,995,2951,890,266700,0,0,0,13623,1247,32066,216,73068,5315,5845,152,9015,6741,7834,1945,02,150
"Kusilvak Census Area, Alaska",0500000US02158,7993,23.3,312,46,7128,31,0,107,3,2250,1734,1284,450,1744,28,127,152,698,547,192,101300,0,0,0,7954,2862,11701,9,38160,7617,298,0,4357,2175,3353,169,02,158
"Lake and Peninsula Borough, Alaska",0500000US02164,1411,31.9,300,11,976,40,1,29,0,1451,468,318,150,443,3,6,12,110,252,60,143800,5,1,2,1401,263,22684,8,43864,1052,300,7,889,786,749,93,02,164
"Matanuska-Susitna Borough, Alaska",0500000US02170,98679,34.8,82571,1042,5100,1316,175,4463,611,41417,30839,23382,7457,21465,77,152,326,4171,14247,2492,230100,45,4,23,96720,9350,30078,1718,73908,40715,53003,1725,62179,57699,53325,10899,02,170
"Nome Census Area, Alaska",0500000US02180,9879,27.7,1623,75,7174,127,22,212,11,4053,2879,1732,1147,3423,111,97,352,924,1607,332,138300,0,0,0,9600,2593,20033,99,51563,8242,1416,45,5749,3895,4686,651,02,180
"North Slope Borough, Alaska",0500000US02185,9681,33.8,3150,57,5022,584,182,371,108,2550,2018,1010,1008,3009,32,89,126,985,1510,267,154100,0,0,0,9545,1070,49982,159,72027,5958,2945,184,6751,4682,5860,798,02,185
"Northwest Arctic Borough, Alaska",0500000US02188,7723,26.3,890,43,6350,61,1,163,62,2722,1904,1044,860,2980,48,55,343,794,1564,176,146400,9,0,0,7638,1874,21028,79,61341,6649,955,21,4483,2852,3518,394,02,188
"Petersburg Borough, Alaska",0500000US02195,3196,40.8,2391,75,241,143,20,331,61,1764,1237,840,397,791,0,7,17,177,555,35,213400,0,0,0,3166,294,34788,56,63940,1278,1624,44,2003,1606,1674,437,02,195
"Prince of Wales-Hyder Census Area, Alaska",0500000US02198,6374,40.5,2941,13,2650,69,38,221,10,3359,2267,1625,642,1767,14,67,135,419,975,157,171100,11,0,0,6302,938,25564,39,51887,3438,2773,37,4103,3922,3603,555,02,198
"Sitka City and Borough, Alaska",0500000US02220,8921,39.1,5744,195,1206,616,33,556,82,4112,3504,1960,1544,3361,10,41,90,695,2076,449,341600,0,4,0,8799,796,35655,171,70160,3731,4309,127,5731,5081,5116,1677,02,220
"Skagway Municipality, Alaska",0500000US02230,1014,44.1,815,11,59,76,0,64,4,639,428,233,195,336,4,2,22,83,172,53,305700,2,0,0,1009,53,39412,9,64853,223,647,57,783,677,710,253,02,230
"Southeast Fairbanks Census Area, Alaska",0500000US02240,6970,36.4,5444,98,768,124,3,353,105,3901,2085,1494,591,1948,18,113,108,317,1117,275,201600,26,0,0,6906,941,30757,56,63713,2734,3315,170,4299,3205,3698,724,02,240
"Valdez-Cordova Census Area, Alaska",0500000US02261,9522,37.6,7023,12,1420,353,51,444,30,6107,2937,2105,832,2714,0,21,217,570,1384,522,227900,0,0,4,9397,802,35457,221,82511,3760,5141,119,6256,5820,5271,1561,02,261
"Wrangell City and Borough, Alaska",0500000US02275,2401,48.8,1621,7,462,83,0,72,3,1408,1045,716,329,658,2,1,56,89,458,52,183300,0,0,0,2383,237,29782,25,52986,966,1319,6,1434,1331,1295,278,02,275
"Yakutat City and Borough, Alaska",0500000US02282,646,40.5,290,7,201,38,7,18,2,391,247,149,98,207,7,4,18,73,100,5,165800,0,0,0,646,51,31084,3,66875,302,294,9,427,365,376,81,02,282
"Yukon-Koyukuk Census Area, Alaska",0500000US02290,5600,35.2,1250,21,3938,41,0,107,25,4060,1981,1404,577,1565,20,36,55,411,911,132,90800,0,0,0,5541,1304,20812,25,38451,4413,1095,9,3282,2841,2788,319,02,290
"Apache County, Arizona",0500000US04001,72346,33.5,16307,361,52978,259,81,4303,647,32725,19351,14882,4469,16643,286,328,1947,5978,6802,1302,77900,53,0,71,70874,25658,13428,95,32460,53438,17546,118,41517,16391,34019,3741,04,001
"Cochise County, Arizona",0500000US04003,128177,40.3,106136,5076,1496,2250,399,44097,6577,60401,49230,33380,15850,39627,222,166,694,7768,25244,5533,140700,68,2,50,117212,22184,23757,1316,45383,43912,65227,4351,74280,51321,62848,14002,04,003
"Coconino County, Arizona",0500000US04005,138064,30.7,87335,2136,37054,2430,178,18930,4202,64435,47366,28005,19361,49693,215,700,1914,11087,29631,6146,231300,205,87,120,127204,28193,24711,1876,51106,72170,57854,1378,92956,70479,65309,21728,04,005
"Gila County, Arizona",0500000US04007,53179,48.9,41812,332,8249,418,0,9864,985,33138,21408,15383,6025,15533,350,426,798,3336,9488,1135,139800,29,0,0,52294,11097,21470,303,40593,28851,21798,270,28313,23250,24519,3909,04,007
"Graham County, Arizona",0500000US04009,37529,32.4,29600,741,4941,265,49,12046,953,13268,10915,7570,3345,10495,162,266,402,1793,6700,1172,121400,3,0,2,32972,7419,17710,135,47422,25439,10260,184,22461,17008,18374,2369,04,009
"Greenlee County, Arizona",0500000US04011,9224,33.3,8333,175,351,51,0,4290,220,4424,3295,1500,1795,5446,21,157,293,1644,2879,452,81600,0,0,8,9084,1216,23778,55,51813,6199,2565,38,5547,4183,4709,628,04,011
"La Paz County, Arizona",0500000US04012,20304,55.1,15274,77,2683,148,48,5316,1600,16234,9181,6885,2296,5412,58,247,54,1455,3075,523,71200,5,26,8,20079,4243,21447,77,36321,5940,11961,94,9471,6976,8048,765,04,012
"Maricopa County, Arizona",0500000US04013,4088549,35.8,3214001,216064,77142,157074,8425,1238292,281320,1680412,1465840,884770,581070,1604568,5232,7556,29418,262971,1117249,182142,204900,8589,3286,4805,4035348,666513,28791,76631,55676,1546528,1886013,53792,2498861,1795709,2106643,660782,04,013
"Mohave County, Arizona",0500000US04015,203629,49.7,182395,2100,4332,2551,279,31987,6421,112617,82145,54832,27313,71712,275,1182,1881,14218,45234,8922,130000,188,26,91,196049,37884,22026,1321,39856,38282,149411,1745,110888,96414,97217,11145,04,015
"Navajo County, Arizona",0500000US04017,108209,35.8,51614,905,47599,659,100,11957,3808,57554,34090,23796,10294,33643,339,761,1617,9285,18295,3346,106100,58,33,50,105589,31575,16564,470,36868,73823,30834,398,60964,35438,51027,6666,04,017
"Pima County, Arizona",0500000US04019,1003338,38.1,775748,35337,32542,27297,1483,362265,89364,450828,395390,242399,152991,363348,1612,2859,9024,60351,242611,46891,160800,1530,343,472,976120,186299,26204,13067,46764,414003,443359,16511,605436,416398,484271,143458,04,019
"Pinal County, Arizona",0500000US04021,397604,38.3,317989,18223,20889,6974,1375,116072,20437,166455,130801,94847,35954,118308,522,1190,2664,22457,79779,11696,142200,305,29,174,372918,61430,21982,2585,51190,157327,196284,4738,228740,172224,197343,33966,04,021
"Santa Cruz County, Arizona",0500000US04023,46547,36.4,39587,194,177,357,18,38736,5634,18125,15538,10288,5250,15286,178,312,999,3475,9213,1109,135200,123,20,22,46131,10083,18860,294,38941,21955,8366,1031,25902,5099,21383,4662,04,023
"Yavapai County, Arizona",0500000US04025,218586,51.9,201048,1159,3998,1874,80,30722,5782,112854,93445,65515,27930,68660,71,450,1138,13908,45156,7937,199300,596,132,238,214690,31512,26584,2168,46638,63441,138728,2303,118758,104873,103855,24392,04,025
"Yuma County, Arizona",0500000US04027,203292,34.0,147979,4230,2301,2622,348,125972,40956,90071,70924,47826,23098,63381,373,187,1777,12841,39857,8346,113400,91,26,49,196959,40330,19483,1272,41467,72083,73635,2846,114714,47709,90919,13497,04,027
"Arkansas County, Arkansas",0500000US05001,18569,41.2,13483,4892,11,1,0,556,14,9441,7685,4967,2718,6603,90,121,211,1318,3870,993,77600,0,0,5,18266,3587,23287,210,37330,16032,2291,37,10981,10713,9449,1408,05,001
"Ashley County, Arkansas",0500000US05003,20989,41.5,15049,5440,43,0,0,1080,307,10101,8338,6263,2075,5429,90,232,118,1606,3089,294,70900,48,0,8,20749,4131,20290,116,36352,14160,6223,61,12262,11659,10535,1572,05,003
"Baxter County, Arkansas",0500000US05005,40992,51.8,39668,101,218,227,7,836,205,22588,18061,13608,4453,10332,90,51,242,2128,6183,1638,123100,45,18,25,40473,5600,23068,275,38115,15111,24743,173,21415,21025,19108,3746,05,005
