NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state
New Jersey,0400000US34,8915456,39.5,6075710,1207221,18470,819208,2811,566323,3586442,3195014,2047794,1147220,2923069,218434,316400,38095,11831,15182,8739058,949341,37538,343659,73702,4686801,2074338,210979,5593352,3744027,4800256,1929038,34
New Mexico,0400000US35,2082669,37.2,1530636,41957,193295,29168,1340,218476,912445,762551,516819,245732,639033,73576,161600,3066,775,1458,2042014,426814,24459,23902,45674,1101786,755037,24503,1262633,796211,1055634,273882,35
New York,0400000US36,19697457,38.2,12667413,3073278,75751,1599216,7528,1697831,8191568,7266187,3894613,3371574,8313819,490258,286300,102606,40906,77945,19186062,2967564,34212,584890,60741,12472224,2295939,487047,12577247,8586473,10610282,3932629,36
North Carolina,0400000US37,9940828,38.3,6882915,2137131,117479,254550,6588,298795,4453767,3815392,2471723,1343669,3319225,366433,157100,14459,4417,5681,9685511,1631704,26779,149227,48256,5698997,3363076,111099,6193672,5453229,5225342,1600084,37
North Dakota,0400000US38,736162,35.2,649730,14761,38369,9296,336,5691,350134,305163,193909,111254,223916,31535,164000,660,171,281,710355,79314,33107,14859,59114,475599,230227,5972,463700,436730,372862,114626,38
Ohio,0400000US39,11586941,39.3,9519506,1421943,21459,224520,3248,98088,5146944,4601449,3035485,1565964,3549438,375680,131900,8354,2160,3737,11267500,1732839,27800,168570,50674,8708736,2300978,92519,7150744,6641320,6051709,1737195,39
Oklahoma,0400000US40,3875589,36.2,2823497,281295,286231,77541,4969,102292,1699462,1461500,960161,501339,1252828,157054,121300,3131,1099,1485,3760050,621155,25628,48490,48038,2360651,1252835,36587,2361379,2107026,1972393,499785,40
Oregon,0400000US41,3982267,39.1,3387825,74012,45233,160155,14936,124565,1706290,1545745,948587,597158,1456723,148504,247200,8567,1887,3303,3905386,614223,28822,66308,53270,1835373,1712115,44166,2486298,2095412,2121212,684648,41
Pennsylvania,0400000US42,12783977,40.6,10402743,1410563,24947,401979,4463,253514,5592175,4961929,3425706,1536223,3454249,336519,167700,18953,5373,7669,12369671,1647762,30137,243593,54895,9352111,2400038,213465,7946462,7021561,6716599,2154315,42
Rhode Island,0400000US44,1054491,39.9,854026,68886,5130,34598,575,61218,462657,410240,244748,165492,371057,32369,238200,2315,520,1448,1013916,140161,31904,22521,58387,604803,284315,22710,675568,523610,558191,191512,44
South Carolina,0400000US45,4834605,38.8,3252252,1322368,15417,68553,2784,73149,2192041,1839041,1258661,580380,1465972,155930,143600,7671,3346,4074,4693266,806422,25521,58221,46898,2784196,1767132,52561,2987146,2765903,2507744,685156,45
South Dakota,0400000US46,851058,36.8,721410,14078,74187,11351,313,7480,375866,333536,226145,107391,240847,28682,146700,845,336,460,822334,115300,27516,11569,52078,549508,269367,4988,512234,475828,427378,124354,46
Tennessee,0400000US47,6548009,38.5,5096733,1100577,18757,105368,3299,90065,2873478,2522204,1673043,849161,2086008,229476,146000,8265,2619,3793,6386751,1100169,26019,88253,46574,3983163,2195305,54222,4068635,3770228,3442891,927669,47
Texas,0400000US48,26956435,34.2,20174403,3221133,128145,1175423,22248,1561683,10441643,9289554,5747458,3542096,9355406,1126509,142700,36086,12817,18864,26334005,4397307,27828,531221,54727,16186219,5900442,375429,16727392,10563327,13988561,4042242,48
Utah,0400000US49,2948427,30.3,2572595,32512,31686,66039,26411,141374,1024047,918367,638767,279600,816913,106555,224600,4149,1396,2228,2901465,338808,25600,42247,62518,1834864,839301,29478,1747889,1470125,1411761,450577,49
Vermont,0400000US50,626249,42.6,592965,7404,1984,9212,206,2309,326812,257107,181461,75646,160041,16223,218900,1160,378,496,601538,69673,30663,10301,56104,319418,272865,6411,398365,375890,331111,122932,50
Virginia,0400000US51,8310301,37.8,5712958,1596352,21948,502878,5494,190972,3445357,3090178,2032761,1057417,2655693,290821,248400,31900,8824,8830,8060892,921664,34967,263088,66149,4105131,3065451,153224,5299928,4398841,4476193,1741662,51
Washington,0400000US53,7073146,37.6,5470566,256990,94026,552032,44870,276959,2966814,2696606,1683381,1013225,2468287,283515,269300,25872,8207,9917,6939622,883256,32999,170306,62848,3347889,2643859,124213,4475709,3583895,3811382,1306843,53
West Virginia,0400000US54,1846092,41.9,1725411,63305,3281,13990,648,5731,884728,739397,535940,203457,462916,48724,107400,968,271,650,1792808,318060,24002,16737,42644,1285012,522718,9454,1138120,1106986,968994,205354,54
Wisconsin,0400000US55,5754798,39.1,4961193,361730,51459,148077,1378,105038,2649597,2310246,1547633,762613,1672439,176988,167000,5947,1745,2720,5603274,713472,29253,82489,54610,4113612,1317386,46562,3578080,3257573,3016032,913526,55
Wyoming,0400000US56,583029,36.8,531851,6435,13033,5385,391,10403,267987,226985,155741,71244,170780,22031,199900,1474,516,1174,568943,65762,30139,7831,59143,240959,316408,4950,363478,335792,306355,80781,56
Puerto Rico,0400000US72,3529385,39.4,2448085,320087,11814,9574,182,474879,1571744,1237180,848735,388445,1056828,68544,118600,2101,506,2394,3496728,1577075,11688,8869,19606,0,175243,3258818,2147747,114959,1790853,503370,72
